,0
0,21.02.14.
1,21.02.03.
2,20.12.29.
3,21.01.02.
4,21.01.02.
5,20.12.29.
6,21.01.01.
7,20.12.10.
8,20.11.25.
9,20.12.08.
10,20.11.15.
11,20.11.17.
12,20.11.15.
13,20.10.30.
14,20.11.10.
15,20.10.30.
16,20.11.24.
17,20.11.15.
18,20.10.07.
19,20.10.29.
20,20.10.13.
21,20.10.21.
22,20.10.23.
23,20.10.09.
24,20.10.05.
25,20.09.16.
26,20.09.05.
27,20.10.04.
28,20.09.04.
29,20.09.20.
30,20.08.20.
31,20.09.12.
32,20.07.16.
33,20.08.21.
34,20.08.25.
35,20.09.03.
36,20.09.03.
37,20.08.25.
38,20.07.17.
39,20.07.27.
40,20.07.31.
41,20.07.04.
42,20.08.15.
43,20.08.10.
44,20.07.19.
45,20.07.18.
46,20.06.23.
47,20.07.06.
48,20.06.18.
49,20.07.16.
50,20.06.23.
51,20.06.23.
52,20.07.05.
53,20.07.07.
54,20.06.17.
55,20.07.03.
56,20.07.03.
57,20.07.03.
58,20.05.18.
59,20.05.07.
60,20.06.08.
61,20.05.25.
62,20.05.13.
63,20.06.11.
64,20.06.13.
65,20.05.02.
66,20.04.23.
67,20.05.04.
68,20.03.25.
69,20.04.15.
70,20.04.12.
71,20.04.12.
72,20.03.15.
73,20.03.17.
74,20.04.05.
75,20.03.18.
76,20.03.31.
77,20.04.03.
78,20.03.23.
79,20.04.02.
80,20.03.26.
81,20.04.03.
82,20.03.05.
83,20.03.14.
84,20.03.06.
85,20.02.17.
86,20.04.10.
87,20.03.09.
88,20.03.02.
89,20.03.11.
90,20.01.29.
91,20.03.02.
92,20.03.08.
93,20.02.12.
94,20.02.18.
95,20.02.21.
96,20.02.07.
97,20.02.07.
98,20.01.17.
99,20.02.03.
100,20.01.12.
101,20.02.12.
102,20.01.25.
103,20.02.05.
104,20.02.05.
105,20.01.15.
106,19.12.26.
107,20.01.08.
108,20.01.12.
109,20.01.28.
110,20.01.26.
111,20.01.26.
112,20.01.20.
113,20.01.11.
114,20.02.17.
115,20.01.12.
116,19.12.30.
117,19.12.22.
118,19.12.14.
119,19.12.25.
120,19.12.20.
121,19.11.27.
122,19.12.15.
123,19.11.30.
124,19.12.10.
125,19.11.24.
126,19.12.14.
127,19.12.11.
128,19.11.11.
129,19.12.12.
130,19.11.24.
131,19.12.08.
132,19.12.09.
133,19.11.13.
134,19.11.18.
135,19.11.05.
136,19.10.30.
137,19.10.19.
138,19.10.14.
139,19.10.17.
140,19.09.27.
141,19.10.25.
142,19.09.26.
143,19.10.15.
144,19.10.15.
145,19.10.09.
146,19.10.09.
147,19.10.07.
148,19.10.05.
149,19.09.26.
150,19.10.03.
151,19.10.02.
152,19.09.25.
153,19.09.28.
154,19.09.19.
155,19.09.18.
156,19.09.12.
157,19.08.16.
158,19.07.15.
159,19.08.10.
160,19.08.06.
161,19.08.27.
162,19.07.01.
163,19.06.17.
164,19.05.22.
165,19.05.16.
166,19.06.13.
167,19.05.25.
168,19.06.12.
169,19.05.17.
170,19.05.23.
171,19.05.23.
172,19.04.07.
173,19.05.05.
174,19.05.13.
175,19.05.16.
176,19.05.10.
177,19.05.10.
178,19.04.03.
179,19.05.09.
180,19.04.07.
181,19.05.06.
182,19.04.09.
183,19.04.30.
184,19.04.13.
185,19.04.08.
186,19.04.30.
187,19.04.07.
188,19.04.24.
189,19.04.21.
190,19.04.10.
191,19.04.05.
192,19.03.16.
193,19.04.08.
194,19.02.23.
195,19.04.03.
196,19.03.30.
197,19.03.27.
198,19.03.29.
199,19.03.10.
200,21.02.14.
201,21.02.03.
202,20.12.29.
203,21.01.02.
204,21.01.02.
205,20.12.29.
206,21.01.01.
207,20.12.10.
208,20.11.25.
209,20.12.08.
210,20.11.15.
211,20.11.17.
212,20.11.15.
213,20.10.30.
214,20.11.10.
215,20.10.30.
216,20.11.24.
217,20.11.15.
218,20.10.07.
219,20.10.29.
220,20.10.13.
221,20.10.21.
222,20.10.23.
223,20.10.09.
224,20.10.05.
225,20.09.16.
226,20.09.05.
227,20.10.04.
228,20.09.04.
229,20.09.20.
230,20.08.20.
231,20.09.12.
232,20.07.16.
233,20.08.21.
234,20.08.25.
235,20.09.03.
236,20.09.03.
237,20.08.25.
238,20.07.17.
239,20.07.27.
240,20.07.31.
241,20.07.04.
242,20.08.15.
243,20.08.10.
244,20.07.19.
245,20.07.18.
246,20.06.23.
247,20.07.06.
248,20.06.18.
249,20.07.16.
250,20.06.23.
251,20.06.23.
252,20.07.05.
253,20.07.07.
254,20.06.17.
255,20.07.03.
256,20.07.03.
257,20.07.03.
258,20.05.18.
259,20.05.07.
260,20.06.08.
261,20.05.25.
262,20.05.13.
263,20.06.11.
264,20.06.13.
265,20.05.02.
266,20.04.23.
267,20.05.04.
268,20.03.25.
269,20.04.15.
270,20.04.12.
271,20.04.12.
272,20.03.15.
273,20.03.17.
274,20.04.05.
275,20.03.18.
276,20.03.31.
277,20.04.03.
278,20.03.23.
279,20.04.02.
280,20.03.26.
281,20.04.03.
282,20.03.05.
283,20.03.14.
284,20.03.06.
285,20.02.17.
286,20.04.10.
287,20.03.09.
288,20.03.02.
289,20.03.11.
290,20.01.29.
291,20.03.02.
292,20.03.08.
293,20.02.12.
294,20.02.18.
295,20.02.21.
296,20.02.07.
297,20.02.07.
298,20.01.17.
299,20.02.03.
300,20.01.12.
301,20.02.12.
302,20.01.25.
303,20.02.05.
304,20.02.05.
305,20.01.15.
306,19.12.26.
307,20.01.08.
308,20.01.12.
309,20.01.28.
310,20.01.26.
311,20.01.26.
312,20.01.20.
313,20.01.11.
314,20.02.17.
315,20.01.12.
316,19.12.30.
317,19.12.22.
318,19.12.14.
319,19.12.25.
320,19.12.20.
321,19.11.27.
322,19.12.15.
323,19.11.30.
324,19.12.10.
325,19.11.24.
326,19.12.14.
327,19.12.11.
328,19.11.11.
329,19.12.12.
330,19.11.24.
331,19.12.08.
332,19.12.09.
333,19.11.13.
334,19.11.18.
335,19.11.05.
336,19.10.30.
337,19.10.19.
338,19.10.14.
339,19.10.17.
340,19.09.27.
341,19.10.25.
342,19.09.26.
343,19.10.15.
344,19.10.15.
345,19.10.09.
346,19.10.09.
347,19.10.07.
348,19.10.05.
349,19.09.26.
350,19.10.03.
351,19.10.02.
352,19.09.25.
353,19.09.28.
354,19.09.19.
355,19.09.18.
356,19.09.12.
357,19.08.16.
358,19.07.15.
359,19.08.10.
360,19.08.06.
361,19.08.27.
362,19.07.01.
363,19.06.17.
364,19.05.22.
365,19.05.16.
366,19.06.13.
367,19.05.25.
368,19.06.12.
369,19.05.17.
370,19.05.23.
371,19.05.23.
372,19.04.07.
373,19.05.05.
374,19.05.13.
375,19.05.16.
376,19.05.10.
377,19.05.10.
378,19.04.03.
379,19.05.09.
380,19.04.07.
381,19.05.06.
382,19.04.09.
383,19.04.30.
384,19.04.13.
385,19.04.08.
386,19.04.30.
387,19.04.07.
388,19.04.24.
389,19.04.21.
390,19.04.10.
391,19.04.05.
392,19.03.16.
393,19.04.08.
394,19.02.23.
395,19.04.03.
396,19.03.30.
397,19.03.27.
398,19.03.29.
399,19.03.10.
400,21.02.14.
401,21.02.03.
402,20.12.29.
403,21.01.02.
404,21.01.02.
405,20.12.29.
406,21.01.01.
407,20.12.10.
408,20.11.25.
409,20.12.08.
410,20.11.15.
411,20.11.17.
412,20.11.15.
413,20.10.30.
414,20.11.10.
415,20.10.30.
416,20.11.24.
417,20.11.15.
418,20.10.07.
419,20.10.29.
420,20.10.13.
421,20.10.21.
422,20.10.23.
423,20.10.09.
424,20.10.05.
425,20.09.16.
426,20.09.05.
427,20.10.04.
428,20.09.04.
429,20.09.20.
430,20.08.20.
431,20.09.12.
432,20.07.16.
433,20.08.21.
434,20.08.25.
435,20.09.03.
436,20.09.03.
437,20.08.25.
438,20.07.17.
439,20.07.27.
440,20.07.31.
441,20.07.04.
442,20.08.15.
443,20.08.10.
444,20.07.19.
445,20.07.18.
446,20.06.23.
447,20.07.06.
448,20.06.18.
449,20.07.16.
450,20.06.23.
451,20.06.23.
452,20.07.05.
453,20.07.07.
454,20.06.17.
455,20.07.03.
456,20.07.03.
457,20.07.03.
458,20.05.18.
459,20.05.07.
460,20.06.08.
461,20.05.25.
462,20.05.13.
463,20.06.11.
464,20.06.13.
465,20.05.02.
466,20.04.23.
467,20.05.04.
468,20.03.25.
469,20.04.15.
470,20.04.12.
471,20.04.12.
472,20.03.15.
473,20.03.17.
474,20.04.05.
475,20.03.18.
476,20.03.31.
477,20.04.03.
478,20.03.23.
479,20.04.02.
480,20.03.26.
481,20.04.03.
482,20.03.05.
483,20.03.14.
484,20.03.06.
485,20.02.17.
486,20.04.10.
487,20.03.09.
488,20.03.02.
489,20.03.11.
490,20.01.29.
491,20.03.02.
492,20.03.08.
493,20.02.12.
494,20.02.18.
495,20.02.21.
496,20.02.07.
497,20.02.07.
498,20.01.17.
499,20.02.03.
500,20.01.12.
501,20.02.12.
502,20.01.25.
503,20.02.05.
504,20.02.05.
505,20.01.15.
506,19.12.26.
507,20.01.08.
508,20.01.12.
509,20.01.28.
510,20.01.26.
511,20.01.26.
512,20.01.20.
513,20.01.11.
514,20.02.17.
515,20.01.12.
516,19.12.30.
517,19.12.22.
518,19.12.14.
519,19.12.25.
520,19.12.20.
521,19.11.27.
522,19.12.15.
523,19.11.30.
524,19.12.10.
525,19.11.24.
526,19.12.14.
527,19.12.11.
528,19.11.11.
529,19.12.12.
530,19.11.24.
531,19.12.08.
532,19.12.09.
533,19.11.13.
534,19.11.18.
535,19.11.05.
536,19.10.30.
537,19.10.19.
538,19.10.14.
539,19.10.17.
540,19.09.27.
541,19.10.25.
542,19.09.26.
543,19.10.15.
544,19.10.15.
545,19.10.09.
546,19.10.09.
547,19.10.07.
548,19.10.05.
549,19.09.26.
550,19.10.03.
551,19.10.02.
552,19.09.25.
553,19.09.28.
554,19.09.19.
555,19.09.18.
556,19.09.12.
557,19.08.16.
558,19.07.15.
559,19.08.10.
560,19.08.06.
561,19.08.27.
562,19.07.01.
563,19.06.17.
564,19.05.22.
565,19.05.16.
566,19.06.13.
567,19.05.25.
568,19.06.12.
569,19.05.17.
570,19.05.23.
571,19.05.23.
572,19.04.07.
573,19.05.05.
574,19.05.13.
575,19.05.16.
576,19.05.10.
577,19.05.10.
578,19.04.03.
579,19.05.09.
580,19.04.07.
581,19.05.06.
582,19.04.09.
583,19.04.30.
584,19.04.13.
585,19.04.08.
586,19.04.30.
587,19.04.07.
588,19.04.24.
589,19.04.21.
590,19.04.10.
591,19.04.05.
592,19.03.16.
593,19.04.08.
594,19.02.23.
595,19.04.03.
596,19.03.30.
597,19.03.27.
598,19.03.29.
599,19.03.10.
600,21.02.14.
601,21.02.03.
602,20.12.29.
603,21.01.02.
604,21.01.02.
605,20.12.29.
606,21.01.01.
607,20.12.10.
608,20.11.25.
609,20.12.08.
610,20.11.15.
611,20.11.17.
612,20.11.15.
613,20.10.30.
614,20.11.10.
615,20.10.30.
616,20.11.24.
617,20.11.15.
618,20.10.07.
619,20.10.29.
620,20.10.13.
621,20.10.21.
622,20.10.23.
623,20.10.09.
624,20.10.05.
625,20.09.16.
626,20.09.05.
627,20.10.04.
628,20.09.04.
629,20.09.20.
630,20.08.20.
631,20.09.12.
632,20.07.16.
633,20.08.21.
634,20.08.25.
635,20.09.03.
636,20.09.03.
637,20.08.25.
638,20.07.17.
639,20.07.27.
640,20.07.31.
641,20.07.04.
642,20.08.15.
643,20.08.10.
644,20.07.19.
645,20.07.18.
646,20.06.23.
647,20.07.06.
648,20.06.18.
649,20.07.16.
650,20.06.23.
651,20.06.23.
652,20.07.05.
653,20.07.07.
654,20.06.17.
655,20.07.03.
656,20.07.03.
657,20.07.03.
658,20.05.18.
659,20.05.07.
660,20.06.08.
661,20.05.25.
662,20.05.13.
663,20.06.11.
664,20.06.13.
665,20.05.02.
666,20.04.23.
667,20.05.04.
668,20.03.25.
669,20.04.15.
670,20.04.12.
671,20.04.12.
672,20.03.15.
673,20.03.17.
674,20.04.05.
675,20.03.18.
676,20.03.31.
677,20.04.03.
678,20.03.23.
679,20.04.02.
680,20.03.26.
681,20.04.03.
682,20.03.05.
683,20.03.14.
684,20.03.06.
685,20.02.17.
686,20.04.10.
687,20.03.09.
688,20.03.02.
689,20.03.11.
690,20.01.29.
691,20.03.02.
692,20.03.08.
693,20.02.12.
694,20.02.18.
695,20.02.21.
696,20.02.07.
697,20.02.07.
698,20.01.17.
699,20.02.03.
700,20.01.12.
701,20.02.12.
702,20.01.25.
703,20.02.05.
704,20.02.05.
705,20.01.15.
706,19.12.26.
707,20.01.08.
708,20.01.12.
709,20.01.28.
710,20.01.26.
711,20.01.26.
712,20.01.20.
713,20.01.11.
714,20.02.17.
715,20.01.12.
716,19.12.30.
717,19.12.22.
718,19.12.14.
719,19.12.25.
720,19.12.20.
721,19.11.27.
722,19.12.15.
723,19.11.30.
724,19.12.10.
725,19.11.24.
726,19.12.14.
727,19.12.11.
728,19.11.11.
729,19.12.12.
730,19.11.24.
731,19.12.08.
732,19.12.09.
733,19.11.13.
734,19.11.18.
735,19.11.05.
736,19.10.30.
737,19.10.19.
738,19.10.14.
739,19.10.17.
740,19.09.27.
741,19.10.25.
742,19.09.26.
743,19.10.15.
744,19.10.15.
745,19.10.09.
746,19.10.09.
747,19.10.07.
748,19.10.05.
749,19.09.26.
750,19.10.03.
751,19.10.02.
752,19.09.25.
753,19.09.28.
754,19.09.19.
755,19.09.18.
756,19.09.12.
757,19.08.16.
758,19.07.15.
759,19.08.10.
760,19.08.06.
761,19.08.27.
762,19.07.01.
763,19.06.17.
764,19.05.22.
765,19.05.16.
766,19.06.13.
767,19.05.25.
768,19.06.12.
769,19.05.17.
770,19.05.23.
771,19.05.23.
772,19.04.07.
773,19.05.05.
774,19.05.13.
775,19.05.16.
776,19.05.10.
777,19.05.10.
778,19.04.03.
779,19.05.09.
780,19.04.07.
781,19.05.06.
782,19.04.09.
783,19.04.30.
784,19.04.13.
785,19.04.08.
786,19.04.30.
787,19.04.07.
788,19.04.24.
789,19.04.21.
790,19.04.10.
791,19.04.05.
792,19.03.16.
793,19.04.08.
794,19.02.23.
795,19.04.03.
796,19.03.30.
797,19.03.27.
798,19.03.29.
799,19.03.10.
800,21.02.14.
801,21.02.03.
802,20.12.29.
803,21.01.02.
804,21.01.02.
805,20.12.29.
806,21.01.01.
807,20.12.10.
808,20.11.25.
809,20.12.08.
810,20.11.15.
811,20.11.17.
812,20.11.15.
813,20.10.30.
814,20.11.10.
815,20.10.30.
816,20.11.24.
817,20.11.15.
818,20.10.07.
819,20.10.29.
820,20.10.13.
821,20.10.21.
822,20.10.23.
823,20.10.09.
824,20.10.05.
825,20.09.16.
826,20.09.05.
827,20.10.04.
828,20.09.04.
829,20.09.20.
830,20.08.20.
831,20.09.12.
832,20.07.16.
833,20.08.21.
834,20.08.25.
835,20.09.03.
836,20.09.03.
837,20.08.25.
838,20.07.17.
839,20.07.27.
840,20.07.31.
841,20.07.04.
842,20.08.15.
843,20.08.10.
844,20.07.19.
845,20.07.18.
846,20.06.23.
847,20.07.06.
848,20.06.18.
849,20.07.16.
850,20.06.23.
851,20.06.23.
852,20.07.05.
853,20.07.07.
854,20.06.17.
855,20.07.03.
856,20.07.03.
857,20.07.03.
858,20.05.18.
859,20.05.07.
860,20.06.08.
861,20.05.25.
862,20.05.13.
863,20.06.11.
864,20.06.13.
865,20.05.02.
866,20.04.23.
867,20.05.04.
868,20.03.25.
869,20.04.15.
870,20.04.12.
871,20.04.12.
872,20.03.15.
873,20.03.17.
874,20.04.05.
875,20.03.18.
876,20.03.31.
877,20.04.03.
878,20.03.23.
879,20.04.02.
880,20.03.26.
881,20.04.03.
882,20.03.05.
883,20.03.14.
884,20.03.06.
885,20.02.17.
886,20.04.10.
887,20.03.09.
888,20.03.02.
889,20.03.11.
890,20.01.29.
891,20.03.02.
892,20.03.08.
893,20.02.12.
894,20.02.18.
895,20.02.21.
896,20.02.07.
897,20.02.07.
898,20.01.17.
899,20.02.03.
900,20.01.12.
901,20.02.12.
902,20.01.25.
903,20.02.05.
904,20.02.05.
905,20.01.15.
906,19.12.26.
907,20.01.08.
908,20.01.12.
909,20.01.28.
910,20.01.26.
911,20.01.26.
912,20.01.20.
913,20.01.11.
914,20.02.17.
915,20.01.12.
916,19.12.30.
917,19.12.22.
918,19.12.14.
919,19.12.25.
920,19.12.20.
921,19.11.27.
922,19.12.15.
923,19.11.30.
924,19.12.10.
925,19.11.24.
926,19.12.14.
927,19.12.11.
928,19.11.11.
929,19.12.12.
930,19.11.24.
931,19.12.08.
932,19.12.09.
933,19.11.13.
934,19.11.18.
935,19.11.05.
936,19.10.30.
937,19.10.19.
938,19.10.14.
939,19.10.17.
940,19.09.27.
941,19.10.25.
942,19.09.26.
943,19.10.15.
944,19.10.15.
945,19.10.09.
946,19.10.09.
947,19.10.07.
948,19.10.05.
949,19.09.26.
950,19.10.03.
951,19.10.02.
952,19.09.25.
953,19.09.28.
954,19.09.19.
955,19.09.18.
956,19.09.12.
957,19.08.16.
958,19.07.15.
959,19.08.10.
960,19.08.06.
961,19.08.27.
962,19.07.01.
963,19.06.17.
964,19.05.22.
965,19.05.16.
966,19.06.13.
967,19.05.25.
968,19.06.12.
969,19.05.17.
970,19.05.23.
971,19.05.23.
972,19.04.07.
973,19.05.05.
974,19.05.13.
975,19.05.16.
976,19.05.10.
977,19.05.10.
978,19.04.03.
979,19.05.09.
980,19.04.07.
981,19.05.06.
982,19.04.09.
983,19.04.30.
984,19.04.13.
985,19.04.08.
986,19.04.30.
987,19.04.07.
988,19.04.24.
989,19.04.21.
990,19.04.10.
991,19.04.05.
992,19.03.16.
993,19.04.08.
994,19.02.23.
995,19.04.03.
996,19.03.30.
997,19.03.27.
998,19.03.29.
999,19.03.10.
1000,21.02.14.
1001,21.02.03.
1002,20.12.29.
1003,21.01.02.
1004,21.01.02.
1005,20.12.29.
1006,21.01.01.
1007,20.12.10.
1008,20.11.25.
1009,20.12.08.
1010,20.11.15.
1011,20.11.17.
1012,20.11.15.
1013,20.10.30.
1014,20.11.10.
1015,20.10.30.
1016,20.11.24.
1017,20.11.15.
1018,20.10.07.
1019,20.10.29.
1020,20.10.13.
1021,20.10.21.
1022,20.10.23.
1023,20.10.09.
1024,20.10.05.
1025,20.09.16.
1026,20.09.05.
1027,20.10.04.
1028,20.09.04.
1029,20.09.20.
1030,20.08.20.
1031,20.09.12.
1032,20.07.16.
1033,20.08.21.
1034,20.08.25.
1035,20.09.03.
1036,20.09.03.
1037,20.08.25.
1038,20.07.17.
1039,20.07.27.
1040,20.07.31.
1041,20.07.04.
1042,20.08.15.
1043,20.08.10.
1044,20.07.19.
1045,20.07.18.
1046,20.06.23.
1047,20.07.06.
1048,20.06.18.
1049,20.07.16.
1050,20.06.23.
1051,20.06.23.
1052,20.07.05.
1053,20.07.07.
1054,20.06.17.
1055,20.07.03.
1056,20.07.03.
1057,20.07.03.
1058,20.05.18.
1059,20.05.07.
1060,20.06.08.
1061,20.05.25.
1062,20.05.13.
1063,20.06.11.
1064,20.06.13.
1065,20.05.02.
1066,20.04.23.
1067,20.05.04.
1068,20.03.25.
1069,20.04.15.
1070,20.04.12.
1071,20.04.12.
1072,20.03.15.
1073,20.03.17.
1074,20.04.05.
1075,20.03.18.
1076,20.03.31.
1077,20.04.03.
1078,20.03.23.
1079,20.04.02.
1080,20.03.26.
1081,20.04.03.
1082,20.03.05.
1083,20.03.14.
1084,20.03.06.
1085,20.02.17.
1086,20.04.10.
1087,20.03.09.
1088,20.03.02.
1089,20.03.11.
1090,20.01.29.
1091,20.03.02.
1092,20.03.08.
1093,20.02.12.
1094,20.02.18.
1095,20.02.21.
1096,20.02.07.
1097,20.02.07.
1098,20.01.17.
1099,20.02.03.
1100,20.01.12.
1101,20.02.12.
1102,20.01.25.
1103,20.02.05.
1104,20.02.05.
1105,20.01.15.
1106,19.12.26.
1107,20.01.08.
1108,20.01.12.
1109,20.01.28.
1110,20.01.26.
1111,20.01.26.
1112,20.01.20.
1113,20.01.11.
1114,20.02.17.
1115,20.01.12.
1116,19.12.30.
1117,19.12.22.
1118,19.12.14.
1119,19.12.25.
1120,19.12.20.
1121,19.11.27.
1122,19.12.15.
1123,19.11.30.
1124,19.12.10.
1125,19.11.24.
1126,19.12.14.
1127,19.12.11.
1128,19.11.11.
1129,19.12.12.
1130,19.11.24.
1131,19.12.08.
1132,19.12.09.
1133,19.11.13.
1134,19.11.18.
1135,19.11.05.
1136,19.10.30.
1137,19.10.19.
1138,19.10.14.
1139,19.10.17.
1140,19.09.27.
1141,19.10.25.
1142,19.09.26.
1143,19.10.15.
1144,19.10.15.
1145,19.10.09.
1146,19.10.09.
1147,19.10.07.
1148,19.10.05.
1149,19.09.26.
1150,19.10.03.
1151,19.10.02.
1152,19.09.25.
1153,19.09.28.
1154,19.09.19.
1155,19.09.18.
1156,19.09.12.
1157,19.08.16.
1158,19.07.15.
1159,19.08.10.
1160,19.08.06.
1161,19.08.27.
1162,19.07.01.
1163,19.06.17.
1164,19.05.22.
1165,19.05.16.
1166,19.06.13.
1167,19.05.25.
1168,19.06.12.
1169,19.05.17.
1170,19.05.23.
1171,19.05.23.
1172,19.04.07.
1173,19.05.05.
1174,19.05.13.
1175,19.05.16.
1176,19.05.10.
1177,19.05.10.
1178,19.04.03.
1179,19.05.09.
1180,19.04.07.
1181,19.05.06.
1182,19.04.09.
1183,19.04.30.
1184,19.04.13.
1185,19.04.08.
1186,19.04.30.
1187,19.04.07.
1188,19.04.24.
1189,19.04.21.
1190,19.04.10.
1191,19.04.05.
1192,19.03.16.
1193,19.04.08.
1194,19.02.23.
1195,19.04.03.
1196,19.03.30.
1197,19.03.27.
1198,19.03.29.
1199,19.03.10.
1200,21.02.14.
1201,21.02.03.
1202,20.12.29.
1203,21.01.02.
1204,21.01.02.
1205,20.12.29.
1206,21.01.01.
1207,20.12.10.
1208,20.11.25.
1209,20.12.08.
1210,20.11.15.
1211,20.11.17.
1212,20.11.15.
1213,20.10.30.
1214,20.11.10.
1215,20.10.30.
1216,20.11.24.
1217,20.11.15.
1218,20.10.07.
1219,20.10.29.
1220,20.10.13.
1221,20.10.21.
1222,20.10.23.
1223,20.10.09.
1224,20.10.05.
1225,20.09.16.
1226,20.09.05.
1227,20.10.04.
1228,20.09.04.
1229,20.09.20.
1230,20.08.20.
1231,20.09.12.
1232,20.07.16.
1233,20.08.21.
1234,20.08.25.
1235,20.09.03.
1236,20.09.03.
1237,20.08.25.
1238,20.07.17.
1239,20.07.27.
1240,20.07.31.
1241,20.07.04.
1242,20.08.15.
1243,20.08.10.
1244,20.07.19.
1245,20.07.18.
1246,20.06.23.
1247,20.07.06.
1248,20.06.18.
1249,20.07.16.
1250,20.06.23.
1251,20.06.23.
1252,20.07.05.
1253,20.07.07.
1254,20.06.17.
1255,20.07.03.
1256,20.07.03.
1257,20.07.03.
1258,20.05.18.
1259,20.05.07.
1260,20.06.08.
1261,20.05.25.
1262,20.05.13.
1263,20.06.11.
1264,20.06.13.
1265,20.05.02.
1266,20.04.23.
1267,20.05.04.
1268,20.03.25.
1269,20.04.15.
1270,20.04.12.
1271,20.04.12.
1272,20.03.15.
1273,20.03.17.
1274,20.04.05.
1275,20.03.18.
1276,20.03.31.
1277,20.04.03.
1278,20.03.23.
1279,20.04.02.
1280,20.03.26.
1281,20.04.03.
1282,20.03.05.
1283,20.03.14.
1284,20.03.06.
1285,20.02.17.
1286,20.04.10.
1287,20.03.09.
1288,20.03.02.
1289,20.03.11.
1290,20.01.29.
1291,20.03.02.
1292,20.03.08.
1293,20.02.12.
1294,20.02.18.
1295,20.02.21.
1296,20.02.07.
1297,20.02.07.
1298,20.01.17.
1299,20.02.03.
1300,20.01.12.
1301,20.02.12.
1302,20.01.25.
1303,20.02.05.
1304,20.02.05.
1305,20.01.15.
1306,19.12.26.
1307,20.01.08.
1308,20.01.12.
1309,20.01.28.
1310,20.01.26.
1311,20.01.26.
1312,20.01.20.
1313,20.01.11.
