,0
0,21.01.18.
1,21.02.05.
2,21.01.08.
3,21.01.06.
4,21.02.20.
5,20.09.23.
6,21.01.09.
7,19.07.28.
8,21.02.03.
9,19.07.31.
10,19.07.28.
11,21.01.29.
12,20.12.07.
13,19.07.29.
14,20.09.13.
15,19.07.28.
16,20.12.23.
17,20.11.22.
18,21.03.04.
19,19.07.29.
20,21.03.05.
21,21.02.17.
22,21.01.05.
23,21.01.27.
24,21.01.23.
25,20.12.17.
26,20.05.14.
27,20.12.24.
28,21.01.23.
29,20.12.26.
30,21.02.26.
31,20.06.13.
32,21.01.28.
33,21.01.15.
34,19.12.15.
35,21.01.30.
36,20.09.03.
37,21.03.06.
38,21.02.11.
39,20.09.05.
40,19.12.18.
41,19.07.26.
42,19.09.17.
43,20.08.13.
44,19.07.27.
45,21.01.06.
46,21.01.21.
47,20.07.30.
48,21.01.21.
49,20.09.22.
50,20.06.23.
51,21.02.07.
52,21.01.29.
53,19.07.25.
54,20.11.03.
55,19.08.27.
56,20.10.15.
57,19.08.01.
58,20.09.19.
59,20.12.19.
60,21.02.01.
61,21.01.05.
62,20.10.06.
63,20.12.18.
64,21.01.23.
65,20.09.26.
66,19.07.30.
67,19.08.01.
68,20.11.06.
69,20.08.26.
70,20.10.14.
71,19.07.26.
72,20.12.17.
73,20.12.27.
74,21.02.13.
75,19.07.26.
76,21.01.25.
77,19.08.03.
78,19.10.24.
79,19.10.12.
80,20.10.27.
81,20.06.23.
82,20.02.24.
83,20.11.18.
84,19.07.31.
85,20.11.26.
86,20.11.23.
87,19.10.24.
88,20.04.01.
89,19.12.16.
90,20.08.28.
91,20.09.23.
92,19.07.27.
93,20.12.25.
94,19.07.30.
95,20.08.19.
96,20.10.25.
97,19.08.06.
98,19.09.19.
99,19.08.16.
100,20.11.13.
101,20.12.26.
102,20.01.23.
103,20.04.09.
104,19.07.25.
105,21.01.08.
106,20.03.18.
107,21.01.22.
108,20.04.22.
109,20.10.05.
110,19.08.04.
111,19.11.14.
112,19.07.28.
113,20.10.15.
114,20.03.08.
115,20.10.01.
116,20.02.05.
117,20.06.15.
118,20.09.23.
119,20.11.01.
120,19.09.28.
121,19.07.26.
122,20.01.23.
123,20.07.20.
124,19.07.27.
125,20.09.26.
126,20.10.30.
127,20.07.25.
128,20.12.22.
129,20.07.17.
130,19.10.14.
131,20.04.08.
132,20.12.27.
133,19.08.27.
134,19.07.26.
135,20.10.24.
136,19.07.31.
137,19.11.27.
138,20.08.15.
139,20.11.01.
140,20.05.03.
141,20.08.11.
142,20.03.18.
143,20.07.19.
144,19.08.05.
145,20.07.30.
146,20.11.07.
147,20.04.15.
148,20.02.06.
149,20.07.09.
150,19.07.26.
151,19.08.02.
152,20.10.12.
153,20.02.14.
154,19.10.19.
155,20.12.03.
156,20.03.20.
157,19.08.02.
158,20.11.18.
159,20.07.15.
160,20.06.12.
161,20.05.29.
162,20.08.16.
163,20.12.19.
164,19.07.28.
165,20.01.22.
166,20.08.14.
167,20.02.07.
168,20.10.07.
169,19.09.30.
170,20.03.26.
171,20.01.12.
172,20.04.29.
173,20.03.30.
174,20.01.30.
175,19.10.21.
176,20.09.10.
177,19.09.30.
178,20.05.31.
179,20.11.03.
180,20.03.12.
181,20.05.31.
182,20.03.29.
183,19.09.17.
184,20.06.14.
185,19.10.16.
186,20.04.08.
187,19.10.27.
188,19.12.04.
189,20.04.07.
190,20.08.16.
191,20.08.24.
192,20.01.05.
193,20.06.15.
194,20.02.14.
195,20.05.08.
196,20.01.17.
197,20.03.07.
198,19.07.31.
199,20.08.19.
200,19.10.01.
201,20.02.28.
202,19.12.20.
203,19.12.14.
204,19.11.14.
205,19.11.20.
206,20.01.03.
207,19.12.18.
208,19.08.24.
209,19.11.03.
210,19.12.17.
211,19.09.05.
212,20.01.03.
213,19.09.18.
214,19.12.13.
215,19.11.17.
216,20.01.04.
217,19.11.28.
218,19.12.18.
219,19.07.31.
220,20.03.12.
221,20.05.31.
222,20.03.29.
223,19.09.17.
224,20.06.14.
225,19.10.16.
226,20.04.08.
227,19.10.27.
228,19.12.04.
229,20.04.07.
230,20.08.16.
231,20.08.24.
232,20.01.05.
233,20.06.15.
234,20.02.14.
235,20.05.08.
236,20.01.17.
237,20.03.07.
238,19.07.31.
239,20.08.19.
240,20.09.08.
241,20.03.24.
242,20.01.09.
243,19.10.11.
244,20.03.22.
245,20.04.05.
246,19.12.23.
247,20.01.10.
248,20.07.09.
249,20.05.05.
250,20.03.10.
251,20.03.19.
252,20.07.08.
253,19.08.15.
254,19.08.14.
255,19.10.28.
256,20.04.26.
257,19.11.22.
258,19.07.31.
259,20.03.01.
260,20.03.29.
261,20.02.18.
262,20.08.17.
263,19.08.28.
264,20.02.19.
265,20.01.07.
266,20.01.29.
267,19.07.23.
268,19.07.26.
269,20.03.02.
270,20.03.02.
271,20.02.10.
272,19.07.30.
273,20.01.08.
274,20.01.07.
275,20.03.27.
276,19.08.13.
277,20.05.09.
278,20.02.29.
279,19.07.30.
280,20.02.25.
281,19.12.30.
282,20.07.09.
283,19.08.07.
284,20.05.07.
285,19.11.29.
286,20.04.25.
287,20.03.11.
288,20.02.04.
289,19.09.28.
290,19.10.05.
291,20.03.07.
292,20.05.24.
293,19.12.10.
