,0
0,20.11.12.
1,20.11.26.
2,21.02.03.
3,21.01.06.
4,20.11.23.
5,20.08.20.
6,21.01.21.
7,20.11.25.
8,20.10.19.
9,20.09.20.
10,20.07.24.
11,21.01.21.
12,21.01.12.
13,20.11.26.
14,21.01.23.
15,20.04.24.
16,20.04.09.
17,20.12.09.
18,20.12.31.
19,20.08.04.
20,20.03.20.
21,20.12.11.
22,20.03.13.
23,20.12.02.
24,20.10.20.
25,20.11.15.
26,20.11.26.
27,20.10.23.
28,21.02.21.
29,20.12.14.
30,20.10.30.
31,20.12.03.
32,20.11.09.
33,20.09.24.
34,20.10.22.
35,20.06.17.
36,20.08.27.
37,20.09.23.
38,20.08.29.
39,21.01.24.
40,20.09.24.
41,20.07.27.
42,20.03.20.
43,20.09.13.
44,20.08.08.
45,20.11.29.
46,20.09.26.
47,20.11.10.
48,20.09.03.
49,20.09.24.
50,20.10.07.
51,20.08.04.
52,20.11.25.
53,20.10.20.
54,20.08.07.
55,20.10.23.
56,20.03.31.
57,20.09.07.
58,20.09.10.
59,20.08.27.
60,20.09.21.
61,20.08.25.
62,20.11.03.
63,20.09.06.
64,20.07.06.
65,20.06.08.
66,20.09.08.
67,20.08.31.
68,20.06.29.
69,20.07.17.
70,20.09.21.
71,19.11.14.
72,20.05.19.
73,20.03.09.
74,19.12.19.
75,20.01.03.
76,19.11.25.
77,19.02.15.
78,19.08.03.
79,19.05.31.
80,19.03.28.
81,19.10.23.
82,20.07.01.
83,19.11.11.
84,19.03.30.
85,19.07.17.
86,19.03.08.
87,19.04.02.
88,19.03.21.
89,19.06.17.
90,19.04.11.
91,19.04.04.
92,19.03.16.
93,18.11.10.
94,19.07.19.
95,19.03.23.
96,19.07.03.
97,18.12.26.
98,19.03.28.
99,18.11.27.
100,19.04.10.
101,18.12.17.
102,18.12.18.
103,18.08.08.
104,18.11.08.
105,18.09.16.
106,19.04.08.
107,21.02.05.
108,20.10.27.
109,21.01.06.
110,21.01.13.
111,20.11.16.
112,21.03.06.
113,20.11.11.
114,20.11.08.
115,21.03.02.
116,21.02.25.
117,21.02.26.
118,21.03.05.
119,21.02.21.
120,21.02.25.
121,20.10.29.
122,21.03.01.
123,20.10.21.
124,21.03.05.
125,21.01.21.
126,21.02.18.
127,21.01.28.
128,21.02.28.
129,21.02.07.
130,21.02.17.
131,21.02.09.
132,20.12.27.
133,21.01.14.
134,21.02.18.
135,21.02.06.
136,21.02.08.
137,21.01.30.
138,21.02.20.
139,21.01.16.
140,21.02.17.
141,21.02.01.
142,21.01.30.
143,21.01.31.
144,21.02.05.
145,21.02.05.
146,21.01.30.
147,21.02.07.
