,0
0,21.03.04.
1,21.03.04.
2,21.02.26.
3,21.02.16.
4,21.01.07.
5,21.02.16.
6,21.02.14.
7,21.02.21.
8,21.02.25.
9,21.02.16.
10,21.02.17.
11,21.02.12.
12,21.03.07.
13,21.01.08.
14,21.02.27.
15,21.02.24.
16,21.01.02.
17,21.03.02.
18,21.01.16.
19,21.02.23.
20,21.02.15.
21,20.12.30.
22,21.02.11.
23,21.01.06.
24,21.02.19.
25,21.01.19.
26,21.01.23.
27,21.01.17.
28,21.01.21.
29,21.01.10.
30,21.02.04.
31,21.01.21.
32,21.02.05.
33,21.01.17.
34,21.01.11.
35,21.02.03.
36,21.02.03.
37,21.01.22.
38,20.12.15.
39,21.01.07.
40,21.01.27.
41,21.01.10.
42,21.01.01.
43,21.01.05.
44,21.01.08.
45,20.12.23.
46,20.12.02.
47,21.01.21.
48,21.01.20.
49,20.12.11.
50,21.01.23.
51,21.01.02.
52,20.12.16.
53,21.01.17.
54,20.11.25.
55,21.01.17.
56,20.12.14.
57,21.01.10.
58,20.12.31.
59,20.12.28.
60,21.01.07.
61,21.01.14.
62,21.01.04.
63,20.12.20.
64,20.12.28.
65,20.11.26.
66,20.12.15.
67,20.12.04.
68,20.12.14.
69,20.12.14.
70,21.01.07.
71,20.12.11.
72,20.12.16.
73,21.01.02.
74,20.12.10.
75,20.12.14.
76,20.12.31.
77,20.12.28.
78,20.12.09.
79,20.12.11.
80,20.12.28.
81,20.12.09.
82,20.12.09.
83,20.12.28.
84,20.12.12.
85,20.12.03.
86,20.12.22.
87,20.12.06.
88,20.12.28.
89,20.12.20.
90,20.12.06.
91,20.11.30.
92,20.11.30.
93,20.11.20.
94,20.12.22.
95,20.11.24.
96,20.12.12.
97,20.11.30.
98,20.11.22.
99,20.12.19.
100,20.11.24.
101,20.11.21.
102,20.12.11.
103,21.01.18.
104,20.10.09.
105,20.11.09.
106,20.10.29.
107,20.11.22.
108,20.12.11.
109,20.12.06.
110,20.11.20.
111,20.12.09.
112,20.11.24.
113,20.11.22.
114,20.11.28.
115,20.11.16.
116,20.11.15.
117,20.11.14.
118,20.12.05.
119,20.11.23.
120,20.12.05.
121,20.11.14.
122,20.11.06.
123,20.09.21.
124,20.11.06.
125,20.11.26.
126,20.11.23.
127,20.10.18.
128,20.10.22.
129,20.10.12.
130,20.10.21.
131,20.10.17.
132,20.11.20.
133,20.11.28.
134,20.10.12.
135,20.10.30.
136,20.11.19.
137,20.11.27.
138,20.10.22.
139,20.11.24.
140,20.11.11.
141,20.10.27.
142,20.11.22.
143,20.10.19.
144,20.11.22.
145,20.11.02.
146,20.10.06.
147,20.11.07.
148,20.10.02.
149,20.10.18.
150,20.11.12.
151,20.11.09.
152,20.10.14.
153,20.10.15.
154,20.10.15.
155,20.10.14.
156,20.11.12.
157,20.10.21.
158,20.09.18.
159,20.11.04.
160,20.11.12.
161,20.11.07.
162,20.10.20.
163,20.09.25.
164,20.11.11.
165,20.10.31.
166,20.11.05.
167,20.10.27.
168,20.10.07.
169,20.10.10.
170,20.10.17.
171,20.10.09.
172,20.09.23.
173,20.09.28.
174,20.10.26.
175,20.10.09.
176,20.10.16.
177,20.10.05.
178,20.10.27.
179,20.09.16.
180,20.10.28.
181,20.10.13.
182,20.09.18.
183,20.10.06.
184,20.09.27.
185,20.10.01.
186,20.09.28.
187,20.09.27.
188,20.10.14.
189,20.10.07.
190,20.10.17.
191,20.09.26.
192,20.09.12.
193,20.10.14.
194,20.10.23.
195,20.08.27.
196,20.09.12.
197,20.10.18.
198,20.09.24.
199,20.10.08.
200,20.10.07.
201,20.10.18.
202,20.10.14.
203,20.10.06.
204,20.09.19.
205,20.09.13.
206,20.09.11.
207,20.10.02.
208,20.09.09.
209,20.09.16.
210,20.08.30.
211,20.09.19.
212,20.09.27.
213,20.08.23.
214,20.08.28.
215,20.08.17.
216,20.10.13.
217,20.07.28.
218,20.09.14.
219,20.09.25.
220,20.08.27.
221,20.09.16.
222,20.08.31.
223,20.09.07.
224,20.08.23.
225,20.08.30.
226,20.10.05.
227,20.09.05.
228,20.09.11.
229,20.09.14.
230,20.09.05.
231,20.09.09.
232,20.08.29.
233,20.09.25.
234,20.09.23.
235,20.09.26.
236,20.09.03.
237,20.09.27.
238,20.08.18.
239,20.09.08.
240,20.09.24.
241,20.08.14.
242,20.09.15.
243,20.09.23.
244,20.08.25.
245,20.08.31.
246,20.08.10.
247,20.09.18.
248,20.08.25.
249,20.08.23.
250,20.08.23.
251,20.07.22.
252,20.10.12.
253,20.08.29.
254,20.08.24.
255,20.09.07.
256,20.08.09.
257,20.09.01.
258,20.08.21.
259,20.08.20.
260,20.09.05.
261,20.09.03.
262,20.08.18.
263,20.08.12.
264,20.07.20.
265,20.09.08.
266,20.08.23.
267,20.07.29.
268,20.08.13.
269,20.07.29.
270,20.09.02.
271,20.08.11.
272,20.08.11.
273,20.08.23.
274,20.08.03.
275,20.05.21.
276,20.07.26.
277,20.08.02.
278,20.08.22.
279,20.07.27.
280,20.08.13.
281,20.07.29.
282,20.08.23.
283,20.08.25.
284,20.08.03.
285,20.08.03.
286,20.08.22.
287,20.07.26.
288,20.08.22.
289,20.08.19.
290,20.08.08.
291,20.08.20.
292,20.07.20.
293,20.07.24.
294,20.06.05.
295,20.08.18.
296,20.09.16.
