,0
0,20.12.17.
1,20.12.10.
2,20.12.10.
3,21.02.18.
4,20.09.22.
5,20.12.18.
6,21.02.26.
7,21.01.20.
8,21.02.14.
9,20.12.22.
10,20.12.17.
11,21.01.16.
12,21.02.15.
13,20.12.09.
14,20.12.05.
15,20.09.27.
16,20.11.25.
17,20.09.29.
18,20.12.19.
19,20.10.22.
20,20.01.05.
21,20.02.10.
22,19.10.25.
23,20.05.06.
24,20.07.10.
25,20.03.10.
26,19.09.19.
27,20.01.23.
28,20.04.01.
29,20.02.08.
30,19.12.12.
31,20.04.21.
32,20.05.01.
33,20.03.06.
34,19.12.12.
35,20.01.12.
36,19.06.10.
37,19.02.26.
38,19.01.05.
39,19.12.26.
40,19.04.22.
41,19.04.01.
42,18.02.01.
43,19.07.20.
44,19.01.20.
45,19.03.21.
46,19.03.31.
47,18.02.08.
48,18.09.14.
49,19.02.27.
50,19.03.30.
51,19.09.11.
52,18.12.26.
53,18.05.29.
54,18.10.23.
55,19.01.08.
56,19.03.10.
57,19.02.21.
58,19.03.29.
59,18.10.15.
60,18.10.18.
61,18.06.21.
62,19.03.15.
63,19.04.04.
64,18.05.17.
65,19.01.22.
66,19.06.26.
67,19.02.03.
68,19.01.21.
69,19.01.14.
70,18.11.13.
71,18.12.17.
72,18.01.20.
73,18.10.31.
74,18.06.26.
75,18.10.11.
76,18.07.12.
77,18.05.29.
78,18.08.31.
79,18.09.01.
80,18.10.10.
81,18.07.22.
82,18.03.27.
83,18.07.30.
84,18.09.30.
85,18.03.25.
86,18.01.29.
87,18.06.28.
88,18.08.25.
89,18.07.27.
90,18.07.21.
91,18.08.02.
92,18.05.21.
93,18.05.15.
94,18.10.09.
95,18.04.10.
96,18.05.21.
97,18.04.08.
98,18.09.04.
99,18.04.19.
100,18.06.22.
101,18.06.04.
102,18.03.04.
103,18.04.16.
104,18.04.25.
105,18.02.26.
106,17.12.29.
107,18.02.12.
108,18.04.23.
109,18.05.09.
110,18.02.13.
111,18.05.10.
112,18.03.08.
113,18.11.03.
114,18.02.14.
115,18.05.03.
116,17.11.29.
117,18.01.13.
118,18.03.04.
119,18.05.17.
120,18.04.03.
121,18.02.28.
122,18.05.11.
123,18.01.31.
124,18.02.23.
125,18.03.07.
126,18.04.05.
