,0
0,"한줄평: 피부타입과 상관없이 OK, 보습은 확실하게 잡아줌.

1. 배송: 겁나 빠르게 옵니다.

2. 성분: 요 부스팅엠플의 성분은 피부타입과 상관없이 모두에게 알맞은 제품이라고 생각합니다. 알란토인으로 수렴및 진정이 되어서, 겨울철에 칼바람 맞고 집에서 세안 후, 토너위에 바르기 좋아요.

그리고 강조하는 히알루론산과 더불어 부틸렌글라이콜, . 해당 앰플을 쓰고나면 확실히 피부를 손으로 터치했을 때, 쫀쫀한 느낌이 수분이 들어갔구나 생각이 들어요.

또한, 저는 지성피부인데, 몇몇 앰플에는 오일이 함유되어 있어서, 하고 나면 종종 여드름이나, 피지가 올라오는데, 그런 점도 없으니, 더욱 좋은 것 같네요. 지성피부인 분들에게 추천합니다.

3. 발림성&제형: 발림성은 호불호가 있을지도 모르겠네요. 아무래도 음식의 간과 같이 개인취향이 있는 점이라... 설명을 드리면, 영상에서 보듯이 물과 같은 제형은 아닙니다. 만졌을 때, 진득하구요. 펴서 바른 후에는 약간 찐득한 느낌이 있습니다. 하지만, 금방 흡수가 끝이 난 후에는 그러한 점도 느껴지지 않습니다."
1,"남편이 마스크 때문에 턱과 볼에 트러블이 너무 많이 나서 스킨케어를 바꿔볼까 하고 고민하다, 평이 좋아서 주문했습니다.

저희 남편은 제가 보기엔 전형적인 수부지 피부고요, 오일리하고 너무 촉촉한 스킨케어는 피부 속으로 흡수되지 못하고 번들거리며 더 여드름을 유발하는 것 같다고 생각했어요.

그렇다고 .
참 까다로운 피부입니다.

유튜브에서도 유명하고 화해 앱에서도 유명한 더랩바이블랑두 스킨케어를 살펴보니, 건성 분들도 민감성 분들도 만족하신 제품이더라구요.
번들거리지 않는다 하여 토너와 앰플을 구입해보았습니다.

남편의 마스크 트러블의 원인이 마스크 속 습기 때문인 것 같아서 최대한 유분은 자제하면서 수분 보충을
열심히 해봐야 할 것 같아서요. 하여 기대하며 구입했습니다.

오늘 , 앰플도 걱정과는 달리 끈적임 없이 싹 흡수되는 걸 느꼈습니다.

알려줬는데, 남편도 조금이나 트러블이 완화되고 피부결이 개선되길 기대한다고 합니다.

아직 트러블 개선은 알 수 없지만, 무엇보다도 수부지 피부이고 요즘들어 . 열심히 사용해보고 후기 더 남겨볼게요."
2,"제가 써본 수분앰플 중 가장 좋아요. 바를 때 잠깐 미끌거렸으나 촉촉하게 바로 흡수되서 산뜻하고 좋았어요! 전 수분부족지성이라 수분이 부족하면 트러블과 직결되서 트러블이 나는 피부인데, 이 앰플만 쓰면 트러블이 진정되서 재구매를 할 수 밖에 없네요ㅋㅋ 수분감이 채워지니까 탄력도도 좋아지는 느낌이구요.
메이크업 하기 전에는 충분히 흡수만 시켜주면 밀림현상 없었어요!"
3,"한 통 다쓰고 마음에 들어서 재구매했어요 저는 수분부족형 지성에 피부가 얇고 계절을 좀 많이 타는 편이에요 더랩바이블랑두는 패드제품으로 처음 알게 되었는데 봄,여름,가을에 수분+진정으로 대여섯통을 잘 썼어요 겨울에는 아무래도 보습이 좀 더 필요해서 앰플을 구매해봤는데 촉촉하고 순해서 마음에 드네요 하나만 바르기는 부족하지만 로션이나 크림 바르기 전에 한겹 깔아주면 촉촉하고 무겁지 않아서 좋더라고요 스포이드형 용기라 위생적이어서 좋고요
다만 한가지 단점을 꼽자면 불투명해서 얼마나 남았는지 알 수 없고 마지막 용기 바닥에 남은 앰플을 끝까지 쓰기 좀 어렵네요 그점을 제외하면 성분과 효과면에서"
4,"제가 써보고 좋아서 저희 엄마한테도 보내드리려고 재구매했어요 더랩바이블랑두 제품 몇개 쓰고 있는데 다 좋은 거 같아요 둘째 낳고 피부 트러블이 왔는데(피부 가려움, 각질, 좁쌀 여드름 등) 여기 패드 토너랑 샘플로 받은 리퀴드 크림등등 발랐더니 약 3주 정도만에 괜찮아졌어요 호르몬 변화시기라 백퍼센트 이거 덕분이라고 할 순 없겠지만 제가 느끼기엔 화장품 때문인 거 같아요 왜냐면 진짜 촉촉하고 쫀쫀하거든요 저녁에 씻고 스킨-앰플-로션-크림 순으로 바르고 자면 다음날 내내 아무것도 안 발라도 괜찮을 정도로요 물론 아침에 다시 발라주면 더 좋지만 애 둘 집에서 케어하느라 못 할때도 많거든요 ㅜㅜ 저는 계속 구매해서 쓸 예정입니다 무엇보다 가격도 너무 착하고요 요새 이런 한국 화장품 회사(제가 애정하는 곳은 랩노, 더랩바이블랑두, 라운드랩 등이에요) 응원합니다 정말 이런 좋은 화장품 만드는 곳은 돈줄이 나야 하는데... 친구들에게도 열심히 영업할게요 계속"
5,"더랩바이블랑두 올리고 히알루론산 부스팅 앰플

은... 가격과 성분 모두 착하고, 효과도 Good!
입니다. 제가 최근 기초 제품도 모두 동일 브랜드
제품으로 바꿨어요.

나이가 들면서 피부 타입도 변하는 건지...
무리한 다이어트 때문 인건지...
피부가 푸석거리고... 예민해져서 고민이었어요.

사용한지 일주일 정도 되어 가구요.
제가... 이 제품 정말 괜찮구나...
이 브랜드 정말 괜찮구나...
느낄 때가, 세안하고 나서예요.

얼마전까지는 세안하고 바로 기초+수분 제품을
바르지 않으면 얼굴 당김이며,
푸석푸석해서, 세안 하자마자 화장실 세면대에서
바로 바르고는 했는데...

보니,
예전과 다르게 세안 후, 얼굴 당김이나...
푸석 거림이 덜 하더라구요.

그래서 ...
그리고 조금씩 나아지는게 느껴져서, 제품에 대한 신뢰감도 많이 높아 졌습니다.

당연히 재구매 할 의사 100% 구요.
요즘같은 환절기에...
...
한번 사용해 보시면 후회 없으실거 같아요."
6,"재구매했어요! 재택으로 집에 있으면서 기초케어에도 소홀해지게되고, 기름은 생기는데 피부가 푸석푸석한 느낌이라서 디렉터파이 보고 구매했어요! 살짝 흐를듯 말듯한 제형이고 바르고나면 살짝 끈적+쫀쫀한 느낌이에요. 근데 금방 흡수되더라고요! 피부가 수분이 부족했는지 계속 먹어서,,,, ㅠㅠ 이번에 같이 산 크림도 발랐어요.
겨울철 집도 밖도 건조한데 아침 저녁으로 잘 챙겨바르려고요~~~~~ 가격도 그렇게 비싸지않고 잘 맞아서 앞으로 정착해볼까 생각중입니다"
7,"피부에 앰플을 올리고서 주루륵 흘르는 묽은 제형이 아니라서 넘 좋았어요. 향도 많이 나지않아 부담스럽지 않고, 너무 가벼운 제형이 아니라 묵직하고 쫀쫀한 텍스처의 앰플이라 발림감과 촉촉함이 너무나 좋았어요! 트러블이 올라오는 피부인데 오히려 진정이 되고 없던 수분들이 빵빵하게 채워지는 느낌이에요. 바르고 바로 피부를 만져보니 탱탱함이 느껴지더라구요 :) 크림을 바로 발라도 전혀 밀리지 않고 메이크업에도 지장이 없어서 아침/저녁 많은 양을 발라도 부담스럽지 않은 데일리 앰플로 아주 좋은 아이라 생각해요. 확실히 히알루론산의 성분 때문인지 바르고 나가면 건조함도 없고 또 끈적함도 없어서 여름철 더 사용하기 좋은 것 같아여!! 예민한 피부 분들에게도 왕 추천입니다요 !"
8,"추천받아 주문한 앰플인데요
깔끔한 용기에 스포이드로 되어있어
사용하기 참 좋네요
아주 촉촉한 타입이에요
고농축같은 느낌의 제형이에요
발림성은 워낙 촉촉해서 요
메이크업전에는 충분히 흡수시켜야 밀림이 없을듯해요 앰플이 딱 필요한 계절에
수분이듬뿍 담긴 착한성분에 제품을 찾아서 좋아요
약간의 끈적임은 있지만 특별한 향은 없는듯해요
아직까지 트러블은 없어요
오래동안 쓸수 있을거 같아요"
9,"원래는 파워 지성이라 겨울에도 가볍게 바르는걸 선호해서 크림 하나만 달랑 바르고 그랬는데 점점 건조한게 느껴지더라구요. 그래서 예전에 더랩바이블랑두 토너 시킬 때 주신 부스팅 앰플 샘플을 발라봤는데 촉촉하니 좋더군요. 흡수도 빠르고 전 더랩바이블랑두가 좋은게 무슨 향같은거 안 나서 좋아요. 맑은 느낌. 그리고 앰플도 끈적끈적한 느낌보다는 촉촉, 쫀득한 느낌이라 맘에 들어서 구매했습니다. 더랩 토너+앰플 같이 사용하니까 피부가 맨들맨들해졌습니다. 그리고 막 발랐을 때 쫀쫀한 느낌이 좋아요👍"
