,0
0,5
1,5
2,5
3,5
4,4
5,5
6,5
7,5
8,4
9,4
10,5
11,5
12,5
13,4
14,5
15,4
16,5
17,5
18,5
19,5
20,5
21,5
22,5
23,5
24,4
25,5
26,5
27,5
28,4
29,4
30,5
31,5
32,5
33,4
34,5
35,4
36,5
37,5
38,5
39,5
40,4
41,5
42,5
43,5
44,3
45,5
46,4
47,2
48,3
49,5
50,5
51,4
52,4
53,4
54,5
55,5
56,5
57,5
58,5
59,5
60,5
61,5
62,5
63,5
64,5
65,5
66,5
67,5
68,5
69,5
70,5
71,5
72,4
73,5
74,5
75,5
76,5
77,3
78,4
79,5
80,5
81,4
82,5
83,5
84,5
85,5
86,5
87,3
88,5
89,5
90,4
91,5
92,5
93,5
94,5
95,5
96,4
97,5
98,5
99,5
100,5
101,5
102,5
103,5
104,5
105,5
106,5
107,5
108,4
109,5
110,3
111,5
112,5
113,5
114,5
115,4
116,4
117,5
118,5
119,5
120,5
121,5
122,5
123,5
124,5
125,4
126,4
127,5
128,5
129,5
130,3
131,4
132,5
133,5
134,4
135,5
136,5
137,5
138,5
139,5
140,5
141,5
142,5
143,5
144,4
145,5
146,5
147,4
148,5
149,3
150,4
151,5
152,5
153,5
154,5
155,5
156,5
157,4
158,4
159,5
160,4
161,5
162,5
163,5
164,5
165,5
166,5
167,5
168,5
169,5
170,4
171,3
172,5
173,4
174,5
175,3
176,5
177,4
178,5
179,5
180,5
181,5
182,5
183,5
184,5
185,5
186,5
187,5
188,5
189,4
190,5
191,5
192,5
193,4
194,4
195,5
196,5
197,5
198,5
199,4
200,5
201,4
202,4
203,5
204,5
205,5
206,3
207,5
208,5
209,5
210,4
211,5
212,5
213,5
214,5
215,5
216,5
217,5
218,5
219,5
220,4
221,5
222,5
223,5
224,5
225,5
226,5
227,5
228,2
229,5
230,5
231,5
232,5
233,5
234,4
235,4
236,2
237,5
238,5
239,5
240,4
241,5
242,5
243,5
244,5
245,5
246,5
247,5
248,2
249,5
250,5
251,5
252,5
253,5
254,4
255,4
256,2
257,5
258,5
259,5
260,5
261,5
262,5
263,5
264,5
265,4
266,5
267,5
268,5
269,5
270,5
271,5
272,5
273,4
274,5
275,4
276,5
277,4
278,4
279,4
280,5
281,5
282,5
283,5
284,5
285,4
286,5
287,5
288,5
289,4
290,4
291,4
292,5
293,5
294,5
295,5
296,5
297,5
298,5
299,5
300,5
301,5
302,5
303,4
304,5
305,5
306,5
307,5
308,5
309,4
310,5
311,3
312,5
313,5
314,4
315,5
316,5
317,5
318,5
319,5
320,5
321,4
322,5
323,5
324,5
325,1
326,5
327,3
328,5
329,4
330,4
331,5
332,5
333,3
334,3
335,5
336,5
337,5
338,5
339,5
340,4
341,5
342,4
343,5
344,5
345,4
346,5
347,4
348,5
349,5
350,5
351,5
352,5
353,5
354,5
355,5
356,3
357,5
358,5
359,5
360,5
361,5
362,2
363,5
364,5
365,5
366,4
367,3
368,4
369,5
370,5
371,4
372,5
373,5
374,4
375,5
376,5
377,5
378,5
379,5
380,4
381,5
382,5
383,5
384,5
385,5
386,5
387,5
388,5
389,4
390,3
391,5
392,5
393,5
394,5
395,5
396,5
397,5
398,3
399,5
400,5
401,3
402,4
403,5
404,5
405,4
406,5
407,4
408,5
409,5
410,4
411,4
412,5
413,4
414,5
415,5
416,1
417,5
418,5
419,5
420,5
421,5
422,5
423,5
424,5
425,5
426,5
427,5
428,5
429,3
430,5
431,5
432,5
433,5
434,5
435,5
436,5
437,5
438,5
439,5
440,4
441,3
442,5
443,5
444,4
445,3
446,5
447,4
448,5
449,5
450,5
451,3
452,4
453,5
454,5
455,4
456,5
457,5
458,5
459,5
460,4
461,3
462,5
463,5
464,4
465,3
466,5
467,4
468,5
469,5
470,5
471,3
472,4
473,5
474,5
475,4
476,5
477,5
478,5
479,5
480,5
481,5
482,5
483,4
484,5
485,5
486,3
487,5
488,5
489,5
490,5
491,5
492,5
493,5
494,5
495,5
496,5
497,5
498,4
499,4
500,5
501,4
502,5
503,5
504,5
505,5
506,5
507,5
508,4
509,5
510,5
511,3
512,3
513,4
514,5
515,4
516,5
517,5
518,5
519,5
520,5
521,5
522,5
523,3
524,5
525,5
526,5
527,4
528,5
529,5
530,5
531,5
532,5
533,5
534,5
535,5
536,4
537,5
538,4
539,5
540,2
541,5
542,4
543,5
544,5
545,4
546,5
547,5
548,5
549,5
550,5
551,5
552,5
553,3
554,5
555,5
556,4
557,4
558,5
559,5
560,5
561,5
562,5
563,5
564,5
565,3
566,2
567,5
568,5
569,5
570,5
571,5
572,5
573,5
574,5
575,3
576,1
577,4
578,5
579,5
580,5
581,5
582,5
583,5
584,5
585,5
586,5
587,5
588,5
589,5
590,4
591,5
592,5
593,3
594,5
595,4
596,5
597,5
598,5
599,5
600,5
601,5
602,5
603,5
604,5
605,5
606,5
607,4
608,5
609,3
610,5
611,5
612,4
613,5
614,4
615,5
616,4
617,5
618,4
619,5
620,5
621,5
622,5
623,4
624,5
625,5
626,5
627,4
628,5
629,5
630,5
631,4
632,5
633,5
634,4
635,5
636,5
637,5
638,4
639,5
640,5
641,4
642,5
643,5
644,5
645,4
646,5
647,4
648,5
649,5
650,5
651,4
652,4
653,5
654,4
655,4
656,5
657,5
658,5
659,5
