,0
0,"평점
5"
1,"평점
5"
2,"평점
5"
3,"평점
4"
4,"평점
5"
5,"평점
5"
6,"평점
4"
7,"평점
4"
8,"평점
5"
9,"평점
5"
10,"평점
5"
11,"평점
4"
12,"평점
5"
13,"평점
4"
14,"평점
5"
15,"평점
5"
16,"평점
4"
17,"평점
5"
18,"평점
5"
19,"평점
5"
20,"평점
5"
21,"평점
5"
22,"평점
5"
23,"평점
5"
24,"평점
5"
25,"평점
5"
26,"평점
5"
27,"평점
5"
28,"평점
4"
29,"평점
5"
30,"평점
5"
31,"평점
5"
32,"평점
5"
33,"평점
3"
34,"평점
4"
35,"평점
5"
36,"평점
5"
37,"평점
4"
38,"평점
5"
39,"평점
5"
40,"평점
5"
41,"평점
5"
42,"평점
5"
43,"평점
3"
44,"평점
5"
45,"평점
5"
46,"평점
4"
47,"평점
5"
48,"평점
5"
49,"평점
5"
50,"평점
5"
51,"평점
5"
52,"평점
4"
53,"평점
5"
54,"평점
5"
55,"평점
5"
56,"평점
5"
57,"평점
5"
58,"평점
5"
59,"평점
5"
60,"평점
5"
61,"평점
5"
62,"평점
5"
63,"평점
5"
64,"평점
4"
65,"평점
5"
66,"평점
3"
67,"평점
5"
68,"평점
5"
69,"평점
5"
70,"평점
5"
71,"평점
4"
72,"평점
4"
73,"평점
5"
74,"평점
5"
75,"평점
5"
76,"평점
5"
77,"평점
5"
78,"평점
5"
79,"평점
5"
80,"평점
5"
81,"평점
4"
82,"평점
4"
83,"평점
5"
84,"평점
5"
85,"평점
5"
86,"평점
3"
87,"평점
4"
88,"평점
5"
89,"평점
5"
90,"평점
4"
91,"평점
5"
92,"평점
5"
93,"평점
5"
94,"평점
5"
95,"평점
5"
96,"평점
5"
97,"평점
5"
98,"평점
5"
99,"평점
5"
100,"평점
4"
101,"평점
5"
102,"평점
5"
103,"평점
4"
104,"평점
5"
105,"평점
3"
106,"평점
4"
107,"평점
5"
108,"평점
5"
109,"평점
5"
110,"평점
5"
111,"평점
5"
112,"평점
5"
113,"평점
4"
114,"평점
4"
115,"평점
5"
116,"평점
4"
117,"평점
5"
118,"평점
5"
119,"평점
5"
120,"평점
5"
121,"평점
5"
122,"평점
5"
123,"평점
5"
124,"평점
5"
125,"평점
5"
126,"평점
4"
127,"평점
3"
128,"평점
5"
129,"평점
4"
130,"평점
5"
131,"평점
3"
132,"평점
5"
133,"평점
4"
134,"평점
5"
135,"평점
5"
136,"평점
5"
137,"평점
5"
138,"평점
5"
139,"평점
5"
140,"평점
5"
141,"평점
5"
142,"평점
5"
143,"평점
5"
144,"평점
5"
145,"평점
4"
146,"평점
5"
147,"평점
5"
148,"평점
5"
149,"평점
4"
150,"평점
4"
151,"평점
5"
152,"평점
5"
153,"평점
5"
154,"평점
5"
155,"평점
4"
156,"평점
5"
157,"평점
4"
158,"평점
4"
159,"평점
5"
160,"평점
5"
161,"평점
5"
162,"평점
3"
163,"평점
5"
164,"평점
5"
165,"평점
5"
166,"평점
4"
167,"평점
5"
168,"평점
5"
169,"평점
5"
170,"평점
5"
171,"평점
5"
172,"평점
5"
173,"평점
5"
174,"평점
5"
175,"평점
5"
176,"평점
4"
177,"평점
5"
178,"평점
5"
179,"평점
5"
180,"평점
5"
181,"평점
5"
182,"평점
5"
183,"평점
5"
184,"평점
2"
