,0
0,"재구매하며 사용중인데
각질없이 매끈한 피부로 유지되는거 같아요~"
1,계속 쓰고 있는데 펌프형 대용량이 나와서 너무 편하네요.
2,지인한테 좋다는 추천을 받아서 구매하게 되었는데 포장도 되게 꼼꼼히 해주시고 감사해요~~ 오늘부터 열심히 발라보도록 하겠습니다’
3,발효제품이나 얼굴에 촉촉하게 흡수가 빠르고 건조함이 덜 했어용
4,초반엔 효과가 확 느껴졌는데 계속 쓰다보니 무난한거같아용
5,믿고 쓰는 제품!! 피부가 맑아지기를 기대합니당!
6,"두번째 주문입니다
사은품 핸드크림3개, 쌤플4개
좋으네요"
7,벌써 네번째 사용이에요 피부결 정리에 너무좋아요~가격대비 너무 좋아요~
8,이틀차라 확연한 변화는 아직이지만 사용감이 좋아요
9,항상 믿고 쓰는 제품입니다. 행사시 연락 주시면 고맙겠습니다.
10,좋아요 피부도 환해지는 느낌이고 여드름도 없어진 것 같아요!!
11,늘 착한가격에 몇년째 구매중입니다 감사해요
12,오랜만에 재구매하러 왔습니다! 좋아요 ㅎㅎㅎ
13,항상 쓰는 제품입니다.  대용량이라 가성비 좋은 에센스라 좋아요. 많이 파세요~^^
14,몇년째 쓰고 있는데 아주 만족합니다
15,항상 사용하는 제품입니다. 촉촉한 느낌이 너무 좋네요~
16,저렴한 가격에 잘 쓰고 있습니다
17,계속 사용중 입니다  이번엔  알림푸시 신청했어요  신뢰감이  갑니다 ~
18,첨으로 대용량으로 사봤어요. 밤마다 듬뿍 바름ㅎ
19,"10통째 쓰는중입니다
이거 없으면 이제 절대 안돼요ㅠㅠ"
20,벌써 세번째 쓰네요~개인차가 있겠지만 저한테는 너무 잘 맞아요~이거 쓴 이후로 피부 좋아졌다는 말 많이 들어요~
21,"계속 쓰고있는 제품이예요
넘 좋아유 6통째 쓰는중"
22,에이지인텐트리먼트 너무 좋아요
23,가성비좋은상품 번들거리지않아 좋아요
24,재재재구매 했어요 놓치지 않을거에요
25,이 가격에 이 양에 이 품질이면 재구매를 안할 이유가 아직은 없어요
26,병으로 쓰다가 펌핑식 너무 좋네요~대용량에다가...몇년째 쓰는 제품이예요~
27,무난하게쓰기좋아요 많이파세요
28,작은 거 쓰다가 큰 걸로 바꿔봤어요.
29,무엇보다도 믿고 사용합니다
30,"애스톤네이쳐 상품을 쓰다가 바꾸어 봅니다.

기대만큼 깔끔한 에센스였으면 좋겠어요."
31,항상사용하는제품이라  괜찮아요~
32,"항상 쓰던제품이라 3번째 재구매했어요!
배송도 빠르고 포장도 꼼꼼히해주셨어요! 
트러블케어가 되는지는 잘 모르겠지만 
흡수력은 엄청 좋아요!"
33,재구매각입니다 좋네요
34,"딸과 함께 잘쓰고있습니다
계속 구매해서 사용중으로 만족도가 높아요
주변 지인들에게도 좋은 상품이라 홍보도 한답니다"
35,늘쓰는 제품이라 만족합니다.
36,처음 써 보는건데 기대해 볼게요!
37,6개째 쓰고있어요 진짜 인생템
38,가성비 아주 좋은 제품. 일본효모에센스 칠년 쓰다가 이걸로 바꿨는데 결 더 좋아짐
39,날이 더워 이 에센스만 쓰는데 딱 좋습니다.
