,0
0,"일단 배송 우체국택배라 엄청 빨라서 좋았어요
포장도 종이박스에 뽁뽁이로 싸여서 왔구요 아임프롬 허니마스크 샤쉐도 하나 보내주셨어요
대용량이라 무거운건 있는데 다행히 일반 용량(유리라고 들었어요)과는 달리 플라스틱이라 쓰기에는 더 편해요
은박씰도 꼼꼼하게 마감되어 있구요
유통기한은 21.04.25 좀 급박한 편이긴 해요 알고 샀어요
제형은 물같은데 점성? 점액질을 아주 사알짝 더 넣은 느낌이라 바르는 느낌도 미끈매끈해요
바르고 나면 속부터 아주 좋은것 같아요
향은 미묘하게 저희집에 있는 파스연고? 싸하다고 해야하나 막 코를 쏠 정도로 역하진 않은데 호불호 강하게 갈릴 것 같아요
일단 하루이틀 써본 결과로는 세일해서 궁금했던거 사봤는데 ! 아침저녁으로 계속 덧바르면 빨리 쓸 것 같아요"
1,피부 진정시키기 딱 좋아요. 마스크 써서 피부에 울긋불긋해서 스트레스였는데 솜에 잔뜩 스킨 묻히고 붙이고 있으면 다음날 진정 되었어요. 주변에서 좋다고 말은 많이 했는데 별별 스킨 로션 다 써봤고 별 효과도 없어서 그냥 속는셈치고 샀는데 너무 잘 샀어요. 대용량 할인할때 사서 과거의 제 구매가 기특했습니다. 친구한테 추천했는데 향이 별로라고 하더라구요. 향 예민하신 분한테는 강추 못하지만 그런거 필요없고 피부 진정 시키실분은 무조건 구매하세요. 스킨팩하느라 스킨 와다다 써서 반 이상 썼는데 그냥 가볍게 스킨 바른다고 하면 더 오래쓸 거 같아요. 재구매할때쯤이라 한달리뷰까지 쓰고 구매하러 갑니다. 이거 효과 있을까? 고민하시고 계시면 꼭 구매하세요.
2,평소에 잘 쓰던 제품이라서 주문했어요. 허니세럼으로 아임프롬 입문했는데 대체로 제 피부랑 잘 맞는 거 같아요. (속건조 지성;) 에센스 느낌이라기 보단 스킨에 가깝다고 느꼈고 트러블케어에 좋아요. 특히 그 속에서 땅땅하게 올라오는 그것... 그것이 올라오기 시작할 때 스킨팩으로 올려두면 높은 확률로 사라져요ㅎㅎ 160ml일때는 헤프게 쓰기 아까웟는데 덕분에 저렴하게 사서 마음껏 쓸 수 있을 것 같습니다. 사진은 기존 사이즈랑 용량 비교해봤어요~ 공병 인증😄
3,"진짜진짜 안샀으면 후회했을거같아요 용량 가격 그당시 행사가로 산 나를 매우 칭찬합니다
요즘같이 마스크와 함께하며 엉망인 내피부를 위해서 너무 필수템입니다 팩도하도 데일리스킨케어도 하고 ㅜㅠ 넘 좋아요 남편도 요새 피부가 너무않좋다고 뭐쓰냐고 묻고 같이 쓰고있어요 ㅜㅜ 이용량에 그가격 다시 만나고싶네요"
4,대학가면 여드름 다 없어진다는 말만 믿고 살다가 크게 뒷통수 맞은 인간입니다 어떻게어떻게 잘 수습해 보았지만 여드름 흔적이나 생리 주기마다 찾아오는 놈들은 어찌할 도리가 없었어요 그때 여기 쑥친구들이 참 잘한다 하는 말과 마침 반값세일이라는 문구에 밑져야 본전이다라는 마음으로 구매했습니다 다행히 이 제품을 사용하면서 오히려 트러블이 더 생기는 일은 없었고 진정효과도 확실히 있었습니다 가격이 센 편이라 원가격을 지불하기에는 조금 부담이 있고 이렇게 행사할 때는 찾아 쓸 거 같아요
5,"제가 저녁엔 무거운 크림을 써서 에센스는 아침에만 쓰는데 꽤나 짐승용량이네요. 한달넘데 매일 아침마다 쓰는데도 저거 밖에 안줄었어요.. 닦토는 아니고 손바닥에 덜어서 열로 흡수시켜주는 편이에요. 흡수는 빠르고요, 기존에 쓰던 바이오더마 하이드라비오 세럼(강추템 3통 사용)은 약간 무거운감이 있어서 여름을 맞이&주변 추천으로 샀어요. 원래도피부에 뭐가 많이 나진 않아서 트러블케어보다는 화장 잘먹는 촉촉한 제품을 선호해요. 기존 쓰던 기초 라인 그대로 쓰고 얘만 바꿨는데 놀랍게도 화장이 천천히 무너지고 더럽게 무너지지 않아요. 너무 촉촉한거 쓰다보니 하이드라비오 쓸 때는 금방 무너졌거든요. 겨울오기 전까지 잘 쓰겠습니다."
6,"저는 이제품이 인생템이예요 수부지타입인데 트러블에도효과좋고 특히 결이 엄청 좋아져요!
수분이 많이 부족한타입이라서 여러번 흡수시켜주면 속건조가잘잡혀요!
단점은 정말 빨리 쓰게 된다는거...ㅠㅠ 여러통 비웠습니당...그래서 찾던중에 유통기한임박이지만 대용량이 이가격에 판매하고있어서 얼렁 샀어요 저는 3달이면 넉넉하게 쓸거같아요~"
7,"대용량제품 저렴하게 살수있어서 좋았고 배송도 빨라요!
머그워트 에센스를 처음 구매했던건 여름이었고 트러블에 좋다고 해서 구매했었어요
그런데 저한테는 살짝 무겁게 느껴지고 유분기가 있는듯 느껴져서 손이 잘 안가더라구요 트러블에 큰 효과도 보지 못했었구요ㅠㅠ
금액대가 저렴한 상품은 아니기때문에 어떻게든 다 사용해보려고 하던 중에
매번 화장솜에 뭍혀 사용하기 귀찮아서 패드로 만들어두었는데 날씨가 쌀쌀해지고나서 생각나서 오랜만에 싸봤는데.....대박..너무조아요...
요즘 저는 아침세안후 머그워트에센스로 만들어둔 패드로 얼굴을 문질러주는데요
피부결에 너무 효과를 많이봤어요 트러블이 올라오지도 않구요ㅠㅠ
패드를 쓰면 바로 피부가 너무 보들보들 촉촉해요 건조함도 느껴지지않아서 추워지는 날씨부터 쓰는게 좋은것 같구요
만나는 사람마다 요즘 피부좋다고하는데 머그워트에센스 덕분입니다
이렇게 쓰고나서
패드 다써가서 또 많이 만들어두려고 구매했어요ㅋㅋ
!!"
8,"(내돈내산 후기)❤️

저는 이거 용량 작은거 두통째 쓰고 이번에 대용량 나왔다길래 사서 쓰고있어용~~!

총 3병째인데 저는 이걸 사용안하는 기간동안은 확실히 트러블이 많이 올라오고
쓰면 다시 가라앉는게 눈에보여서 다시 찾을수밖에 없었어용! 진짜 저는 좁쌀이랑 화이트헤드가 많이 올라오는데

그리고 통도 원래는 유리여서 깨질까봐 걱정한적도있고 무거워서 좀 힘들었는데~~ 이번에 대용량은 가볍고 ~!

저한테는 너무좋은 에센스에용 저는 주로 에센스 전에 토너식으로 쓰고 트러블 심한곳은 솜에 적셔서 올려놓는 식으로 사용하구 있어요

앞으로도 좋은제품 많이 만들어주세요 ~! 전 이번 통 또 다쓰면 사러올게용"
9,"300ml를 거의 세달안되게 사용했어요
첨에 피부가 너무 안좋아서 친구 추천으로 사용하게 됐는데 민감형 피부라 툭하면 울긋불긋하고 따가웠는데 이거 바르고 많이 진정됐어요 확실히 피부진정에는 효과가 있는 제품인것같아요
촉촉함도 그냥 물제형이라기보다 아주 살짝 쫀득해서 바를때 좋았지만 흡수력은 좀 떨어져서 많이 두드려줘야 했어요
그리고 복합형이라 티존은 유분이 많고 뺨쪽은 건조한데 뺨쪽에 속건조는 잡히지 못했어요
그렇지만 피부가 더 나빠지지않게 유지시켜주며 민감설 피부에 적합한 제품인것같아서 재구매할 의사가 있어요"
