,0
0,재구매했어요!! 생각보다 오래 사용하기도 하고 이리저리 섞어 쓰거나 바디에도 사용하기 편리해요~ 촉촉하면서 흡수도 빠르고 트러블도 나지 않아서 잘 사용중이에요ㅎㅎ 유통기한도 넉넉하고 포장도 깔끔해요
1,트러블케어가 되는지는 모르겠지만 촉촉하고 양많아서 좋습니다!
2,배송빠르고 촉촉해요 물제형이라 끈적이지않고 좋아요
3,엄청 촉촉해진다는 느낌은 없는데 사용하고 여드름이 안나요. 근데 흉터에는 효과 없는듯 합니다. 가격은 착해서 대량구매함
4,"제가 무딘편이라 향은 잘 모르겠고 색깔이 너무 이뻐요 
흡수 진짜 잘되고 첫사용이라 수분크림이랑 섞어발라서 단점은 잘 모르겠는데 
윤기가 나더라구요 ㅋㅋ 이제껏 제 피부에선 볼수없었던... ㅜㅜ 감동받았어요

========================= 리뷰수정합니다
어제 저녁에 받아서 필링 리퀴드 쓰고 쓰던거 쓰고
자극이 강하다고 해서 이거랑 수분크림 쓰던거 섞어쓰고 
아침에 토너쓰고 이거쓰고 쓰던거쓰고 했어요 
와.. 근데 이거 꼭사세요 꼭써보세요 대박이네요 진짜!! 
여러분들 눈을위해 피부사진은 못보여드리지만 
3시면 없어졌던 화장이 떡지지도 않고 살아있고 모공이 왜작아져요??
수분은 왜 또 개선된거죠?? 
이젠 광이나요?? 이거뭐죠? 왜케좋아여??
왜 저만 이제까지 몰라서  못썼던거죠?? 
피부관리실에서 열배넘게주고 산 세럼 앰플보다 더 좋아요
리즈너뷰티 덕후될래요 세트로 전부 주문했는데
오늘 집에가서 쓰던거 정리하고 리즈너뷰티꺼로 전체 갈아엎을래요
이건 진짜 대박입니다 꼭쓰세요!!!!!"
5,여드름은 확실히 안나는데 흉터에는 효과 없어요. 근데 가격이 착해서 대량구매했습니다.
6,"각질제거제를 구매하면서 좋다길래 같이 샀는데 각질제거제보다 훨씬 저에겐 잘 맞았습니다.
이 상품의 주요 성분이 제 피부에 잘 맞기도 했고 무엇보다 피부가 건강해지는 느낌?을 받았던 것 같아요."
7,"미백엔 효과가 있지만
단독사용으로는 피부가 좀 당기는 감이 있어요"
8,첨 써보는데 너무 맘에 들어요
9,리뉴얼 공지는 안 올라오고 기다리기 애매해서 그냥 6개 샀어요 ㅠ 물 같은 제형이 싫지만 고함량에 가격이 괜찮아서 리즈너만 씁니다. 좋은 제품 싸게 판매해주셔서 감사할 따름이기는 합니다ㅎㅎ 리뉴얼 되는 제품은 MSM 앰플 정도의 점도를 가진 제품이길 바라요!
10,피부환해지고 결이 좋아지는것을 느껴 대량구매했어요!
11,"한통 다 써서 재구매했습니다. 초기때는 끈적거려서 별로였지만 제형이 바뀌고 난뒤 사용할때 살짝 불편한점은 있지만 산뜻해져서 만족했는데 다시 점도있는 제형으로 변경될 예정이라하니 걱정이 되네요.

유분기가 많은 피부들도 고려하여 너무 끈적거리나 무거워지지는 않기를 바래봅니다.."
12,흔적이 생각보다 빨리 옅어져요 넘 좋아서 3개 쟁여둠
13,"각질제거제랑 같이 구매했습니다. 무엇보다 가격이 괜찮아서 같이사도 부담이 안된다는 점이 너무 좋네요. 이전에 타브랜드 나이아신아마이드 제품 구매하고싶었능데 그 당시 구하기도 어려웠고 품절이라 포기했었서든요. 그런데 리즈너뷰티는 이렇게 네이버페이 쇼핑으로도 구매할 수 있어서 좋습니다.
아무튼 각질제거제랑 이 제품 같이 써서 효과봤다는 분 후기 보고 주문했어요. 
일단 처음이라 설명서대로 다른 제품 알로에젤이랑 섞어써봤는데 둘다 묽어서 그런지 잘 안섞이더래요..하하...내일은 설명댜로 크림이랑 섞어 써봐야겠어요. 암튼 효과보고 한달사용후기도 기분좋게 쓸 수 이ㅛ었음 좋겠습니다!"
14,"지금 3일 정도 썼는데 진짜 너무 좋아요.
트러블 붉은기 잡아주고 피부가 보들보들 해졌어요."
15,넘 저렴해요 성분 꼭 보고 사는데 성분도 좋아요 다른 제품도 봤지만 좀 자극될까 이걸루 시켰어용
16,"한달동안 다써봤는데 확실히 이거 쓰고나서 자고 일어나면 피부가 밝아져 있네요. 저한텐 그렇게 자극적이지도 않았고 기능은 확실해서 좋았어요. 굿굿 
다만 물제형이라서 바르기가 좀 힘든게, 얼굴에 한방울 떨어트려도 곧바로 주르륵 아래로 흘러버러 바르기가 애매합니다. 점성이 약간만 있어도 좋을거 같아요.
그거 빼고는 가성비면에서도 다 만족합니다 굿굿"
17,아직 잘은 모르겠지만 꾸준히 써보려고요 미백에 좋대서요
18,"흡수력 좋은 물타입 제형이나 용기때문에 사용이 너무 불편합니다.
이런 물같은 제형을 쓸거라면 용기가 펌핑타입으로 바꾸는게 낫지 않을까요
이용기를 계속 쓸거라면 내용물을 좀 점성있는 제품으로 바꾸는것도 좋구요

어쨌든 좋은 상품이에요 무향에 가격도 너무 착하고 앞으로도 계속 주문할 예정입니다"
19,저렴한 가격에 만족합니다. 아직 다이나믹한 변화는 없어요
20,좋아요 산뜻해요 ㅎㅎ
21,왠지는 모르겠지만 핑크빛이 돌아요..! 리뉴얼 후에 제형이 바뀌었다고 했는데 정말 물 같네요. 쓸 때 딱히 안 눌러도 기울이면 한 방울씩 나와요. 용기 디자인도 딱 좋네요!! 이 용기 쭉 유지했으면 좋겠어요~
22,가격대비 아주 만족해요
23,피부가 밝아지고 전체적으로 효과가 있어요! 자극은 좀 있을 수 있는데 적절히 조절해서 사용해주면 좋아요!!
24,잘모르겠어용..ㅋㅋㅋ
