,0
0,"항상 쓰는 제품이예요!! 30대가 되니 이 앰플 없으면 얼굴이 푸석푸석.ㅠ
기초 후 몇 방울 떨어뜨려주면 쫀쫀하게 수분 유지해줘서 좋아요. 물론 더 만족스럽게 사용하려면 많이 발라줘야는데 가격이 있다보니 아껴썼어요. 그리고 항상 면세점에서 구매했는데 이시국인지라 공항을 오래 못가서 오프보다 좀 더 저렴한 공식샵에서 주문했는데 1리터짜리 앱플 10개에 미스트, 액티브 크림까지 챙겨주셔서 감동했어요! 순간 미스트 등 샘플들 보고 내가 뭘 더시켰나?라고 생각했어요.ㅎ 저렴하게, 그리고 믿을 수 있는 공식샵에서 구매해서 대만족이예요^^
다음에도 이곳에서 주문할게요. 쿠폰 행사 자주 해주세요~"
1,"겨울 바람이 시작된다 싶다면
항상 CNP 애플로 돌아왔습니다

제 피부는 악건성은 아닌데 눈 꼬리쪽과 볼과 턱이 건조하면 홍조 띄다가 모공이 부각되고화장이 아예 안 먹는 피부가 되어버립니다

프로폴리스 앰플 바르고 자고 일어나면

못해
화장품 하나도 모르는 남편이 화장품 바꿨나면서
피부가 엄청 좋네라며 알아차릴 정도예요

사진은 자고 일어나서 세안하고
프로폴리스 미스트 + 앰플만 바르고 찍은거에요

예전에는 무조건 비싸고 명품 브랜드꺼 써야한다는
생각이 많았는데, CNP꺼 사용하고는 나에게 맞는 화장품을 찾아야하는구나를 알게 되었어요


또 떨어지면 구매하려고 합니다

아 맞다 그리도 샘플도 두둑히 주셔서 너무 감사했어요"
2,"겨울 바람이 시작된다 싶다면
항상 CNP 애플로 돌아왔습니다

제 피부는 악건성은 아닌데 눈 꼬리쪽과 볼과 턱이 건조하면 홍조 띄다가 모공이 부각되고화장이 아예 안 먹는 피부가 되어버립니다

프로폴리스 앰플 바르고 자고 일어나면

못해
화장품 하나도 모르는 남편이 화장품 바꿨나면서
피부가 엄청 좋네라며 알아차릴 정도예요

사진은 자고 일어나서 세안하고
프로폴리스 미스트 + 앰플만 바르고 찍은거에요

예전에는 무조건 비싸고 명품 브랜드꺼 써야한다는
생각이 많았는데, CNP꺼 사용하고는 나에게 맞는 화장품을 찾아야하는구나를 알게 되었어요


또 떨어지면 구매하려고 합니다

아 맞다 그리도 샘플도 두둑히 주셔서 너무 감사했어요"
3,"프로폴리스 앰플을 예전에 아주 잘 썼어요
가격이 부담되어서 다른 인터넷쇼핑몰에서 샀었는데 기분탓인건지 피부에 닿는 느낌이 다르더라구요
그래서 역시 공식몰이구나 하고 다시 주문했어요
화장품은 공식몰이 제일입니다!!
샘플지까지 너무 좋았어요
어제 도착해서 바로 발라보니 역시!!
ㅠㅠㅠ
평생템이니까 절대 단종하지 말아주세요!!!"
4,"cnp는 진짜 사랑입니다....
전 그 순하다는 피지오겔도 바르면 오돌토돌한게 올라오는 예민보스 ㅇ드름성 피부를 가진 1인입니다
차앤박 뮤제너랑 프로폴리스 앰플은 트러블 전혀 없이 진정+ 촉촉해져요 .. 여름엔 뮤네너 3통도 넘게 비웠고 요즘 날씨가 쌀쌀해져서 프로폴리스로 갈아탔어요 전 이거랑 제로이드 수딩로션 쓰고있습니다
아무리 좋고 싼 제품이 나와도 저랑은 안맞더라고요 결국 남은건 이 라인 두개랑 제로이드 로션뿐ㅠㅠ
뮤제너, 프로폴리스라인은 앰플뿐만아니라 팩도 진정효과에 대박인데 여튼,, 샘플로 팩도 같이와서 더 좋네요
이렇게 극찬하면서 리뷰쓴적은 인생첨인데
성분 안 바뀌고 계속 나왔으면 좋겠어요 제발"
5,"처음에 올영에서 사서 써보고 너무 좋아서 계속 사용
하다가 인터넷이 더 저렴해서 인터넷 주문으로 사용 하고 있는데 비싼 기능성 제품도 좋지만 차앤박 프로폴리스는 바르고 나면 촉촉하고 뭔가 맑아지는 느낌이 좋아요. 계속 쓰게 될 세럼입니다.
사용하다가 상품평 남기네요. 기본적으로 쟁여 놓고
다른 세럼도 같이 쓰고 있습니다."
6,차앤박 톤업크림쓰다가 혹시나해서 구매했는데 발림성좋고 흡수잘됩니다 거기에 촉촉하기까지해요^^한통다쓰고 두번째구매하는데 요새 티비광고에도 나오더라구요30ml용량 한달쓴거같아요 가격대는 뭐 이정도면 괜찮다구 생각하구요 트러블이 심한피부라 아무거나 못쓰는데 앰플은 믿고 씁니다 추천해요??
7,한파가 계속 되던 요즘 피부가 건조하지 않고 촉촉하게 유지되어 좋았어요. 다만 유분기가 제 피부엔 많이 있어 화장을 할 때는 조금 밀렸어요. 자기 전에 바르면 다음날 부들하고 맑은 피부를 볼 수 있어요. 재구매 의사 있습니다~
8,속건조 잡아줄 세럼을 찾다가 차앤박 프로폴리스 앰플이 하도 유명하길래 긴가민가 하면서 구매했어요 근데 진짜 꾸준히 사용하니 피부가 많이 부들부들 해졌습니다!_! 피부 속이 막 당기는 느낌이 덜 들고 이 앰플로 나온 마스크 팩도 있는데 같이 사용하니까 훨씬 좋았어요! 재구매 하러 들어와서 리뷰 씁니당
9,늘 사용하던 제품이라 만족합니다. 다만 물건 받고나니 케이스 없이 본품만 와서 조금 당황스러웠어요. 요즘 가짜도 많다보니 판매자분께 문의글 남겼고 답변주시길 합리적인 가격을 위해 벌크로 출고되었다고 전달 받았습니다. 사실 케이스 별 필요 없지만 상품 설명에 기재는 해주셔야 하지 않았나 싶네요. 판매 및 구매에 참고하세요~
