,reviews,starpoint,date
0,"ㅡㅡ118ml 제품 5,700에 결제했어요.ㅡㅡ (( 10,7000제품을 쿠폰적용된금액입니다. ))9월19일 주문하고 23일에 배송도착했네요.명절 배송주간이라 많이 늦을지도? 아니면 명절지나서 받을수 있으니 맘 놓고 있었더니 국내배송이나 다름없네요! 국내배송보다 빠를수가....일단 배송이 갈끔해서 좋네요. 호호바오일미스트는 피부에 신경을 쓰는 사람이라면 유명하다는데 이제서야 구매를 했네요.건성피부소유자에겐 필수템ㅡ오일.천연오일은 사용자의 몸컨디션에따라 부작용이 있을지도 몰라서 우선 테스트를 살짝했구요.저는 다행히도 괜찮네요. 여러종류 시도중입니다.향은 견과류이 향이 나네요오일이여도 무게지않은 사용감입니다.환절기에 토너에 몇방울넣어 미스트로 사용해도되고 쓰임새는 연구해야죠~~~일단 미스트, 헤어 오일, 블랙헤드 제거용으로 사용중이고ㅡ정보는 넘치게 있으니 본인에게 맞는걸로 부지런히 찾아야죠.●단점이라면 용기가 푸쉬티입이라 줄~줄 새는데요닦아내느라 여러모로 아까워요.오일제품은 스포이드 타입이 깔끔하게 기 편한데 말이죠!●구매팁--아이허브 처음 구매시 5000원 할인권사용해서 더더 저렴하게 구매했어요! 꼭 활용하세요",80점,2020.11.25
1,"피부가 너무 너무 건조해서 이것저것 엄청 검색하다가 추천받아서 구매하게 되었어요. 세안하고 물을 닦기도 전인데 이미 속부터 찢어질것같은 건조함을 느낄만큼 건성이다 보니 토너, 앰플, 로션, 수분크림까지 발라도 시간이 지나면 속부터 건조함이 올라오더라구요. 그래서 오전엔 아무래도 부담스러워서 저녁에 최종단계에 몇방 울 떨어뜨려 발라주니 그 다음날은 크게 건조함 느끼지 않고 생활이 가능하더라구요. 소량으로도 좋은 효과를 얻는 것 같아 애용하고있어요!!",100점,2020.05.27
2,"호호바오일이 좋다고 해서 찾아보다 나우호호바를 선택했어요. 호호바로 마시지도하고, 클렌징도 할 수 있다고 해서 기대하며 사용을 시작해서 2주 정도 후 중단할 수 밖에 없었네요. 문지르는 시간이 너무 과했는지 얼굴에 좁쌀이 계속 생겨서 ...ㅠ 끊은지 2달이 넘었는데도 아직 이마는 계속 생겨요. 이전에 이런적이 없었는데..피부미인들이 좋다고 하는게 나에게도 좋다는 법은 없다는 걸 다시 한번 깨달았습니다.",100점,2020.06.03
3,겨울이라 추워서그런지 오일이 얼어서 왔어요녹여써도 지장없는것 같아요...유통기한도 2022년까지라 넉넉합니다.오일은 조금 무거운 느낌의 노랑노랑한 색라이트하지않아 흡수가 더딘것같아요. 그래도 오일이까 보습력은 좋은듯 합니다.향도 거의없고 푸석푸석한 머릿결과 건조한 피부에바르려고요 구매했어요,80점,2020.01.10
4,"텔레비젼에서 너무 좋다고 하두 미용사분이 설명하시기에 꿀피부 기대하고 구입했는데 써보니 그냥 오일만 못하더라구요 오일인데도 바르고 나면 당김이 있어서 몇번쓰다가 말았어요 그냥 샤워후에 로숀에 몇방울 떨어뜨려서 사용하고 있어요. 부작용이나 며 특별히 나쁠것은 없구요, 순해서그런지 저는 당김이 생겨서 안씁니다. 오일이니 몸에 바르면 좋을것 같아요.",100점,2020.11.16
5,긴가민가 하면서 다른곳보다 너무 저렴해서 혹시 질이 좀 떨어지진 않을까 했는데 정말 좋아요. 다른곳은 호호바오일 작은 병에 만원이 넘어가거던요. 그런거 사서 쓰다가 이걸로 바꿔 봤는데 얼굴도 바르지만 목에 더 많이 발라두는데 정말 좋더라구요.겨울에는 온몸에 바디로션이랑 섞어서사용도 해보고 오일만 바르기도 했어요. 넘 좋아요,100점,2020.08.01
6,예전에 첫째때 사용했던 오일이라 다시 주문했습니다. 코코넛오일 시어버터 다써봤는데 전 호호바오일이 젤 무난하더라구요 향도 거의없고 잘발리고 굳지도 않고~ 애들 겨울에 건조할때 크림이랑 섞어서 발라주고 있습니다 신생아 마사지용으로도 괜찮아요 비싸다는 신생아 유기농오일들도 써봤지만 큰차이 못느꼈습니다 가성비 좋아요,100점,2020.11.28
7,멸균생리식염수와 호호바오일을 스킨처럼 날마다 사용했는데 세안 후 건조함이 없고 피부가 촉촉해졌다. 식염수 100ml에 호호바오일3그램 섞어 3겹 앰플로 사용했더니 정말로 피부 장벽이 살아났는지 피부에 탄력이 생기고 촉촉해졌다.,100점,2020.05.08
8,아토피가 있는 아이의 보습을 위해 구입했어요. 꾸준히 사용하고 있는 피지오겔 로션과 함께 섞어서 발라주면 피부가 촉촉하고 보습이 더 잘 유지되어서 좋습니다. 3통째 사용하고 있는데 만족합니다.,100점,2020.06.08
9,아이의 클렌징이 걱정되서 샀습니다아이의 보습과 오일 클렌징에 써보려 샀어요.나우 ㅡ 스윗아몬드오일은 아이의 겨울보습용으로 늘 ？㎢쨉？ 가격차가 꽤 있네요? 저도 써보려고 샀는데 3통사니 좀 저렴해서 샀는데 스윗아몬드오일 한통 분량인듯 싶어요.,100점,2020.08.12
