,reviews,starpoint,date
0,"벌써 4번째 사용중입니다맨처음 겟잇뷰티에 나온걸 보고 사게 되어서 여태 꾸준히 사용하고 있네요.겟잇뷰티에 나온 1위 제품은 웬지 꼭 사서 써보고 싶어지잖아요 ㅋㅋ 가격이 비쌌다면 좀 망설여졌을텐데 가격도 나쁘지 않아서 구매하게 됐던거 같아여~속보습이 절실했고 ㅠㅠ 유수분 밸런스도 깨져있던 상태라이것저것 수분크림 브랜드별로 다 사용해봤던것 같아여.근데 속보습이 개선이 안되서 죽을맛였는데 ㅠㅠ앰플이란걸 잘 사용해 보지도 않았고 의심도 많았던터라 큰 기대는 안했는데....어머나~ ㅋㅋ 이래서 어른들이 앰플을 쓰는구나 싶었어요 ㅋㅋ점차 개선되는 제 피부의 반응이 그저 놀라웠고 일시적이겠거니 했는데, 그렇지 않더라구요 ㅠㅠ 감사합니다!앰플의 소중함! 피부속 속건조 개선! 지금 제 피부 정말 촉촉 촉촉 촉촉 겉바삭 속촉촉 아니구요 ㅋㅋ속에서 차오르는 촉촉함이 겉피부의 촉촉함을 만든게 확실합니다.세안만 하고 아무것도 바르지 않은 날도 촉촉함이 살아있거든요ㅎ",100점,2020.08.14
1,"이 제품 10병 이상 사용했을 정도로 매우 만족하고 있어요.물처럼 흐르는 제형이고 끈적임이 있는 편이에요.(처음 나왔을 때는 조금 점도가 있었던 것 같은데 기억조작인가ㅎ)산뜻한 마무리감을 선호하는 분들에게는 비추합니다ㅠㅠ세안하고 물기 있는 상태에서 발라주고, 손으로 톡톡 하면서 흡수시키는 방법이 가장 효과가 좋았어요. 토너 사용하는 분들은 토너 다음에 발라주시면 돼요~그런데 바싹 건조해진 피부에 바르는 거랑, 토너나 물기로 촉촉한 상태에서 바르는 거랑 차이가 커요. 꼭 전 단계 해주세요!그리고 저는 건성이라 오일리한 제형 아무거나 덧발라야 촉촉함이 오래 가더라구요. 참고해주세요!이게 효과가 있기는 한가 싶어서 안바르면 금방 속당김이 왔어요. 그 뒤로는 꾸준히 사용하고 있습니다. 가격이 부담되지도 않고, 간간히 1+1을 해서 주변 사람들한테도 추천하는 제품이에요.",100점,2020.07.04
2,좋다고 소문이 자자해서 한 번 써봐야지 하던 차에 1+1해서 구매했어요. 한 병에 25ml 용량으로 사이즈가 아담해서 휴대하기 좋아요. 스포이드로 펌핑해서 사용하는 방식이라 양 조절이 편해요. 발림성이 좋아서 한번 펌핑으로 얼굴 전체 넉넉하게 쓸 수 있구요. 건조함이 심한 부위만 시간차를 두고 덧발라줘요. 히알루론산 다량 함유라고 해서 점성 있고 묵직한 제형이 아닐까 싶었는데 일반 앰플하고 비슷하고 바르고 나서 금방 흡수가 되서 촉촉해요. 마무리는 소량의 크림으로 해주면 완벽해요. 무향이라 맘에 들고 각종 샘플과 마스크시트도 보내주셨는데 다 써서 사진은 같이 못 찍었네요. 수분 앰플 기능에 충실해서 좋아요. 배송도 빨리 안전하게 잘 받았습니다.,100점,2020.08.29
3,배송 빨라서 좋아요~^^나인위시스 하이드라 앰플 25ml 1+1 행사로저렴하게 구매하게 됐어요 앰플종류가 많고 써보고 싶은 제품이어서피부에 보습을 충분히 주고싶어서 골랐구요다른 앰플도 써보고 싶네요 사용감은 스포이드로 피부에 떨어뜨리고문지르면 윤기와함께 촉촉하게 스며들고신기하게도 끈적임 1도없이 싹스며들어요바른곳이 매끈매끈해지네요데일리로 계속써보고 싶고 모델링 마스크를 자주 해주는 편인데마스크전 충분히 발라주고 마스크하면피부가 엄청 촉촉해질꺼 같네요 조금 아쉬운점도 있는데 전 개인적으로 향기가 좋은 화장품 좋아해서 그런지아무향기도 느껴지지 않네요ㅠ하지만 자극적이지 않고 순한제품 찾으신다면괜찮을것 같아요,80점,2020.07.08
4,정말 정말 좋아요.. 안그래도 피현정님 방송을 보기 전에도 올리브영 제품으로도 알았고 블로그 검색에서도 많이 등장을 해서 알고는 있었지만 피현정님이 성분분석도 해주시고 수분앰플로 건조한 겨울 사용하기도 좋다고해서 구매했는데.. 역시...약간의 점성이 있으면서도 코코넛 오일수로 되어 있어 그런지 흡수도 잘되고 좋았어요..천연오일 종류들에 거부감이 없는 피부라 이왕이면 천연오일 종류의 제품을 선호해서 사용하는데.. 흡수력도 그럲고 발림성도 그렇고 수부지 타입 피부가 사용하기에도 데일리로 너무 좋았어요...요건 주로 데이용으로 아침케어에 사용하는데오 다음 단계의 화장품도 잘 발리고 좋았어요...,100점,2019.04.23
5,"잘 모르는 브랜드인데 검색하니 평가도 좋고, 성분도 괜찮은 것 같아서 구매했습니다.코코넛수 55%, 히알루론산, 프로바이오틱스 세가지가 주요 성분인데, 그래서인지 수분 앰플 중에서도 확연하게 주르륵 흐르는 제형입니다. 거의 왠만한 스킨에 가까운 질감이고, 3번 드롭해서 사용하라고 되어 있는데 2번 정도면 양은 충분합니다. 온가족이 건성이라 가을부터 수분 앰플, 수분 크림, 바디 오일 열심히 바르고 있는데 촉촉하고 괜찮은 것 같습니다. 다른 수분 앰플 대비해서 확연히 다른 건 솔직히 잘 모르겠고, 많이 주르륵 흐르는 제형인 건 특징입니다.",80점,2020.12.26
6,앰플은 원래 쓰고 있는 제품이고 앰플 토너는 샘플로 써봤는데 좋아서 크림도 기대하고 구매하였습니다.제가 건성이라서 앰플만 사용하면 금방 흡수되어서 오일이나 다른 오일이 들어있는 크림을 써야했었는데그때 샘플로 들어있던 앰플 토너와 앰플을 함께사용하니 건조함이 덜 했고 둘만 써도 당기지않았습니다.앰플 토너는 물 같은 느낌은 아니고 앰플이 함류되어있어서 바르면 살짝 끈적한 느낌이 있는데 금방 흡수되어 촉촉하게 마무리되어서 좋고 향이 강하지않아 좋습니다. 두 제품이 저에겐 잘 맞아서 크림도 기대가 됩니다.,80점,2020.07.07
7,기존에 비싼 에센스만 사서 쓰다가 너무 오래 한가지 제품만 쓴거 같아 한번 바꿔볼까 하던 참에 알게 되었습니다.가성비 좋고 촉촉하다는 리뷰만 믿고 처음 사서 써봤는데요. 벌써 3주 정도 썼습니다. 확실히 촉촉하고 오후 되면 건조해 지고 속당김이 있었는데 나인위시스 엠플 세럼은 확실히 속 당김이 없네요. 촉촉함도 오래 유지 되어 좋습니다. 향도 제가 느끼기에는 무향인거 같은데.. 좀 더 예민하신 분들은 향이 느껴질 수도 있고요 ㅎㅎ 가성비 좋습니다 계속 쓸 마음 있습니다.,100점,2019.03.25
8,뷰라벨에서 수분에센스로 1위를 받아 사용하기 시작한 나인위시스 에센스입니다. 예전부터 가격도 착하고 무엇보다 성분도 착해서 애용하는데 이번에 업그레이드 되어 구매하고 10일째 사용중입니다. 악건성이라 추워 히터 틀면 피부가 갈라지는 느낌이었는데 이 수분에센스 쓰며 좀 좋아진것같아여. 적어도 갈라지는 기분은 안들고요. 무엇보다 요즘 피부 좋아졌다는 이야기를 들었는데 이 에센스 덕분인거 같아여. 할인하면 더 구입할 생각입니다.,100점,2020.12.08
9,이거 처음 써보는데 왜 유명한지 알 것 같아요ㅋㅋ세일해서 호기심으로 사봤는데 수분감이 장난 아니네요... 저는 얼굴에 기름은 잘 끼는데 또 속은 건조한 그런 피부라ㅠㅠ 화장품중에 주름개선 이런거 쓰면 모공을 막아서 좁쌀 여드름 나고 그래요ㅠㅠ 근데 이건 모공을 안 막으면서 수분감을 채워주는 느낌이에요 저와같은 피부 가진 분들은 만족하실 것 같아요!!(사실 앰플은 토** 제품 썼었는데 그거 괜찮게 사용 하셨음 괜찮을거같아요 !!!),100점,2020.09.19
