,reviews,starpoint,date
0,"원래 정말 순한게 아니면 무조건 트러블나는 복합성 피부인데 이 제품은 바르고 촉촉함도 오래가고 트러블도 나지않아요. 겨울만 되면 이마랑 코주변은 번들거리는데 입주변은 각질 일어나서 수분크림 열심히 바르면 자극 때문에 오히려 트러블이 더 나서 스트레스만 받았는데 이 앰플 사용하고나서는 많이 나아졌어요. 디렉터파이 채널에서 추천하는 제품이라서 구매했는데 피부타입에 맞는 기초는 오랜만이라 넘 기분 좋네요. 다만 앰플이 좀 찐득찐득한 제형이라 금방 흡수는 안되는 느낌인데 저녁에 세안하고 바르면 다음날 아침에 일어나면 적당하게 촉촉하고 끈적이지도 않아요. 저녁에 바르시는걸 추천합니다. 수분공급 때문에 앰플 구매하실거면 더랩바이블랑두 사시면 되구요 물론 그전에 바르시는 토너는 자극없이 순한 제품으로 정하시는게 좋아요 너무 과하게 바르니까 안바르니만 못한 상태가 되더라구요.ㅠㅠ 제 거지같은 피부도 회생시킬정도면 왠만한 지,복합성 피부는 다 맞으실거에요. 다쓰면 무조건 다시 구입해야할 앰플입니다. 또 올게요.ㅎㅎ",100점,2019.11.27
1,"토너랑 크림 써보고 속건조는 없어지는데 수분감이 좀 부족하니 가벼운느낌이라 앰플 추가해서 세가지 쓰니까 좋으네요. 이것도 촉촉한 타입은 아니고 흡수 엄청 빠르고 약간 쫀쫀한 느낌입니다. 전 건성 아니고 중복합성 피부입니다. 근데 저만 그런건지, 이거 쓰고나서 세수할때 피부 껍데기가 살짝살짝씩 벗겨져요. 각질도 아니고 화장품이 과해서 뭉치는 찌꺼기도 아니고 ..첨엔 이상했는데 그 부분들이 트러블 자국 있던덴데 그렇게 한꺼풀 벗겨지고나니 붉은자국이 옅어지고 있어서 쭉 씁니다. 저한텐 크림보다 앰플이 더 재생효과가 있나봐요.",100점,2019.06.21
2,속건조 잡는데 좋다 그래서 구매하구 사용 한달짼데 날씨 탓인지 오일을 추가해야 할거 같네요 건조해요 추천템이라고 여기저기 광고할 정도는 아닌거 같네요 수부지나 건성분들은 요거 쓰고 페이셜 오일 따로 쓰셔야 좋을 듯 하네요 그리고 용기 디자인이 좀 저렴해보이고 스포이드 형식으로 되어있는데 용기가 불투명해서 잔량을 확인 할 수 없는 것도 단점이네요 가격대가 괜찮다고 생각했었는데 써보고 나니 그닥 가성비가 좋다고 말할수 만도 없는 상품이라 아쉽습니다 피지 분비 왕성하고 환절기나 한겨울에도 유분량 낭낭하신 지성분들에게 더 적합한 제품이네요,100점,2019.12.23
3,"사실 바른 직후는 피부표면에 손을 대면 달라붙는 느낌이라 사용감 면에서 정말 편하다 할 제품은 아니었어요~ ( 다른 장점이 많아서 이부분은 감안하고 구입하였습니다.) 하지만 어느정도 시간을 두고 톡톡해주면 흡수되면서 달라붙는 느낌은 많이 사라지고 쫀쫀한 느낌입니다. 그래도 부족한 수분감이 채워지는 느낌이고, 예민한 피부인데 성분도 좋고 별다른 자극이 없는 것 같아 만족스럽습니다~ 별다른 문제가 없다면 재구매할것 같네요~ 빠른 배송처리도 만족스럽네요~",100점,2019.11.16
4,히알루론산 앰플 좋아요 아침 저녁으로 한 스포이드씩 꾸준히 바르고 있어요 ㅎㅎ 촉촉 쫀쫀합니다~!~! 제형은 점성있는 제형이구요. 잘 발리면서 빠르게 흡수 돼요 피부타입 상관없이 추천해요~ 참고로 전 건성입니다 ㅎㅎ 건성에게는 유분감이 부족할 수 있으니 앰플 바르고 난 이후에는 유분있는 앰플이나 로션/크림 등으로 유분감을 줍시다! 재구매의사있음!!,100점,2019.11.14
5,이 앰플 입소문 많이 듣고 처음 사봤습니다. 사용해보니 피부가 바로 수분으로 부스팅이 되고 확실히 더 촉촉해져요~ 촉촉함이 하루종일 잘 유지되는 것 같애요. 집 안나가는 날 귀찮아서 아침에만 세수 후 크림이랑 같이 바르고 저녁에는 그냥 아무것도 안하고 자고 일어나도 다음날 아침에 피부가 나름 수분감이 남아있어서 좋아요~,100점,2020.12.27
6,수분크림 하나만으로는 부족해서 디파님 영상보고 수분앰플샀어요. 더랩바이블랑두 앰플바르고 수분크림바르면 무기자차에 매트한 쿠션발라도 건조하지않더라구요. 다만 바를때 엄청 촉촉하길 기대했는데 쫀득쫀득하게 느껴졌어요ㅠ 바르자마자 바로 흡수가되지는 않아서 많이 두드려줬어요. 그래도 성분착하니 재구매하려구요~,80점,2019.09.08
7,"사용한지 한 달 넘은거 같아요, 사실 피부에 엄청난 변화를 기대한 것은 아니에요, 역시나 큰 변화는 없었어요, 다만 피부에 좀 나아지지 않을까 하는 기분 차이 정도인 것 같아요, 물론 이 후기도 제가 개인적으로 느낀 후기이다 보니 다른 분들에게는 또 다른 차이가 있을 거에요, 재구매 부분에 있어서는 좀 고민해 봐야 할 것 같아요 ㅜ",100점,2020.04.22
8,유투버 추천템으로 구매했어요 제형은 묽다가 조금 지나면 찐득해지는 제형이에요 물론 얼굴에 다 바르고 나면 다 흡수됩니다 이런 제형은 나중에 화장할때 밀리는 경향이 있어서 좋아하지 않았는데 이 제품은 밀리지 않더라구요 그래서 잘 쓰고 있습니당 수분감은 쓴지 얼마되지 않아 잘 모르겠네요 ㅎㅎ,100점,2020.02.05
9,쫀쫀하기는 한데 내 피부엔 안맞음 수분감이 좋음 몇 번 쓰니 접촉성 피부염이 생겨서 친구 줬음 친구는 좋다고 잘쓰는 중 쫀쫀하기는 한데 내 피부엔 안맞음 수분감이 좋음 몇 번 쓰니 접촉성 피부염이 생겨서 친구 줬음 친구는 좋다고 잘쓰는 중,100점,2020.03.28
