,reviews,starpoint,date
0,처음 써 보는데 좋네요. 차앤* 프로폴리스 앰플 쓰다가 갈아타려고 산건데 향 말고는 크게 차이 못 느끼겠어요. 데일리로 쓰기에 추천합니다.,100점,2019.07.24
1,"현제 싸이닉꺼 에센스,달팽이크림,달팽이 아이크림을 쓰고 있습니다.이게 가격이 착하면서 화장품 질까지 좋은터라 항상 믿고 구매 하고 있구요.요번엔 앰플을 같이 한번 써 볼려고 허니허니로 구매!희한하게 두개다 진짜 꿀 냄새가 나요ㅋㅋㅋ그리고 두개다 촉촉하고 보습력이 있는지...?빨리 흡수는 되는데 촉촉과 보습은 찾아 볼수 엄씀ㅋㅋ어딜가나 피부 좋다는 소리는 항상 듣는 저였는데 작년에 아기 낳고 피부가 전 같지가 않아요ㅜㅜ쓰고 좋아 다시 지길 기대 해 봅니다..",80점,2018.02.21
2,빠른 배송 감사합니다! 앰플 같은 거 한번도 안사본 저인데 저렴해서 호기심으로 한 번 주문해 봤습니다. 음... 오래 써보진 못해서 뭐라고 할 수는 없지만 일단 페타이드 앰플은 괜춘. 그런데 비타민 100앰플인가? 그거는 좀 트러블 올라오네용. 제가 지건성 복합 피부인데 기름진 부분에는 트러블을 일으키는 듯. 향은 둘 다 마음에 듭니다. 서비스로 주신 수분크림이 더 마음에 든 것은 안 비밀. 마스크 팩은 전부 남 줘서 쓸 말이 없네용. 감사히 피부 가꾸고 있습니다. ㅎㅎㅎ,80점,2017.04.03
3,"배송도 빠르고 제품포장도 뽁뽁이로 잘 감싸와서 추운날씨에 깨지지않고 잘 왔네요. 꿀향기가 폴폴나고 바르는 스푼도 있어 큰 통이 오염되지않게 바를수 있구요. 가족들 어머니드릴려고 3개신청해서 앰플과 같이 받아서좋았어요. 상대적으로 크기차이가 많이나 용량도 차이가 많이 나네요. 두가지제품 다 손등에 테스트 발라서 보면 촉촉하게 스며들고 끈적임도 스며드니 모르겠네요. 바른 손등은 반짝이며 광이 나죠. 확실히 바른 피부가 좋으네요. 미백, 주름에도 좋다고 하니 꾸준히 사용할래요. 평상시 세일 많이 해주세요.",100점,2017.12.19
4,싸이닉은 저에게 필수품이에요.이렇게 가성비 좋은 화장품은 사도사도 기분좋아요.그런데...애정템인 몇몇 상품들이 가격을 올리기 시작해 물가상승과 함께 애정템들도 오르기 시작하는건가 하는 슬픈 생각이 들어요. 지갑형편은 그대로인데 ㅠ사설그만하고 애정템중 하나가 꿀앰플입니다무엇을 써도 겨울철 극극극 건성을 안정시켜 줄수 없는 제피부엔 꿀앰플 + 달팽이 크림이면 밤사이 촉촉함 그대로를 유지시켜 줍니다.기획가와 쿠폰만 뜨면 쟁여놓고 써요,80점,2018.03.14
5,올인원 앰플 빙하수를 사용할 때 만족스러워서 허니 구매할 때 망설임없었어요향은 적은 편이고 끈적임이 없고 닦토 후에 찹찹 발라주는 용도로 사용했어요올인원앰플에 스파출러보다는 국자가 들어있었으면 좋겠어요빙하수 허니 아쿠아 달팽이 올인원앰플 사용해봤고빙하수. 달팽이는 정말 피부가 좋아지는 게 보였어요앰플은 어느 거든 좀 진뜩하게 피부에 붙는 느낌이라 흡수되는 게 느려서 그 위에 뭐 바르려면 한참 꾹꾹 눌려줘야 안 밀려요 두 방울 써도 전체 얼굴에 충분히 다 바를 수 있게 묽은 편이라 좋아요,100점,2018.05.20
6,1번 히아루론산 : tx 로드샵브랜드 화장품향2번 프로폴리스 : 레몬향3번 펩타이트 : 엄마 화장품향전체적으로 미백 주름개선기능이 있어서 그런지 바르니까 다른부위들보다 확실히 밝아졌구 끈적임(점성)은 개인차가 있겠지만 펩타이드> 히아루론산=프로폴리스 였습니다! 겨울이라 피부가 건조해져서 피부컨디션에따라 바꿔가면서 바르려구요! 다 쓰면 또 행사했으면 좋겠어요ㅠㅠㅠㅠㅠㅠㅠㅠ 파손도 안되고 빠른배송 너무 감사합니다!,100점,2017.11.15
7,우선 끈적이지 않아 좋아요. 근데 보통 앰플들은 끈적임이 있지않나요??ㅜ제가 앰플은 이게 처음 써보는거라... 이건 바르고 나면 뽀송하게 마무리되요. 피부가 부드러워진다고 해야하나??그리고 무엇보단 bb바를때 섞어서 바르니 얇고 촉촉하게 싸악 잘 발리네요ㅋㅋㅋ그래서 이건 bb에 섞어쓰거나 금요일 밤에 푹 자기전에 얼굴에 듬뿍바르고 자는용도로 쓰는데 다음날 일어나면 부드러운 피부 그대로예요ㅎㅎ!,80점,2016.03.07
8,올인원 앰플은 빙하수랑 달팽이만 써봤는데 이건 어떨지 모르겠어요 빙하수랑 달팽이 둘 다 만족스러웠기 때문에 망설임없이 구매했고요게다가 앰플까지 딸려오니까 정말 저렴하게 샀어요올인원 앰플에 왜 스파출러를 주는지 모르겠어요. 차라리 국자를 주면 모를까....ㅋㅋ히알루론산으로 수분을 채워야죠. 겨울엔 보습도 중요하지만 먼저 수분을 채워줘야 보습도 효과가 있는 거니까요,100점,2017.12.19
9,뽁뽁이로 아주 잘 포장되어서 왔구요엄청 두껍게 잘 포장되어 있어서 좋았어요박스를 뜯고 사진을 찍었는데..사진 초점이 좀 흔들렸네요..이 제품 말고 싸이닉 제품 여러개 써봤는데대체로 다 만족합니다저렴한 가격인데 개당 몇 만원하는 화장품이랑별 차이를 못느낄만큼 품질은 가격대비 가성비 짱!!앰플 듬뿍 바르고 모델링팩하고 나면진짜 얼굴 부들부들해져요ㅋㅋㅋ,100점,2017.12.18
10,"구매상품 싸이닉 [9900원]앰플 골라담기/대용량앰플/꿀/탄력/ [옵션] 옵션명:프로폴리스앰플[[C02T0000002737]]-,옵션명:펩타이드앰플[[C02T0000002736]]-1 상품평가 불만 보통 보통 만족 만족 최고예요 만족도평가 배송 빨라요 보통이에요 느려요 발림성 별로에요 보통이에요 좋아요 보습력 건조해요 보통이에요",100점,2018.02.12
11,가격대비...정말 좋은제품같아요...싸이닉 제품 처음 써보는데 평이 좋은 이유도 많이 사는 이유도 알겠네요...싼만큼 양도 많아 춥고 건조한 날씨에 메마른 피부에수분공급 아주 빵빵히 하고 있네요~일주일도 안썼지만 아주 대만족 입니다...배송도 빨랐구요...뽁뽁이에 포장도 잘되서 왔구용~요건 날짜도 최근 제조된거라 좋구요...아주 잘산거 같습니다~많이 파시고 번창하시길 바랍니다~,100점,2017.12.17
12,트러블없고요 제발 내피부 탈력을 책임져 주길~^^ 싸이닉 기초부터 기능성까지 다바꿨어용일주일 써본 체험입니다저 길게 잘 안써요하지만 트러블없고 끈적이지도 않고쏙~~스며드는 느낌 너무좋고요저랑 안맞는거 바르다가 얼굴 전체가따갑고 트러블생겼거든요싸이닉 덕분에 진정됐어요 싸이닉 사랑합니다~~~~~♡담엔 프로폴리스로 사볼꺼 예요수분통크림도 너무 좋아요~~~^^,100점,2017.11.28
13,"스네일 앰플바르고 피부 뒤집어졌어요.. 근데 환불하려니 개인피부타입에 안맞는거라 배송료도 내라그러고 병원비도 환불원하면 진단서랑 다 첨부하라는데 진료비보다 진단서비용이 더 크고 -_- ... 병원비는 안받더라도, 앰플반품이라도 하려고했더니 그냥 만얼마 받겠다고 절차대로하려니 귀찮기도하고 .. 놔뒀네요.. 저 되게 아무거나 싼거 막 발라도 다 괜찮은 피부인데 얼굴이 막 뒤집어지니 속상하네여...",20점,2017.03.21
14,몇 년째 꾸준히 쓰고 있는 제품이예요 바르고 나면 피부가 촉촉하고 탱탱해지는 느낌이라서요 용량도 많아서 아낌없이 쓰고 달달이 주는 싸이닉 쿠폰으로 필요한 제품을 미리미리 장만해둬요 제조일은 2017년 9월로 양호하네요 근데 파격 행사제품은 가끔 제조일이 오래된것도 있더라구요 요번엔 명절이 끼어서인지 늦었지만 배송도 총알배송이죠 싸이닉!! 앞으로도 쭈욱 함께할 생각이에요ㅎㅎ,80점,2018.02.19
15,믿고 쓰는 싸이닉!!앰플 원플원 행사할때 저렴하게 득템했구요~저가라고 얕볼께 아니에요~무난보다 +1정도의 느낌??사실 비싼화장품 사도 아주 좋다!!이런느낌 잘없거든요성분 착하고 효능좋고 가격까지 저렴하면 장땡이죠^^제형은 점도가 좀 있는편이고 바르고나면 두둑한 느낌이들어요 ㅋㅋ아주 살짝 끈적임은 있지만 잘 두드려주면 촉촉하게 스며들어요!! 굿!!!,100점,2017.11.06
16,워낙 건조 피부라 겨울이라면 보습위주의 앰플을 골랐을 텐데 봄이라 탄력앰플을 골랐음. 우선 바르면 수분감이 막 터지는 그런 건 아니고 아침까지 당기지 않고 그런정도.. 탄력이야 한통 다 써봐야 알거 같음. 향은 개인적 취향은 아닌듯.. 꽤 달달한 향이라 ㅋㅋ 싸이닉은 워낙 가성비가 좋은 제품이라 아끼지 않고 마구 발라줄 예정 ㅎㅎ,80점,2018.03.12
17,이렇게 뽁뽁이에 안전하게 포장되어서 왔네요 많은 제품들을 써봐도 싸이닉이 제일 가성비도있고 피부에도 잘맞는제품이라 떨어져갈 때 마다 구매하고있습니다 ㅎㅎ 이번에는 아직 남았는데도 싸게판매하시길래 꿀올인원 하나더 주문했습니다 하루만에 바로 받았구요 배송도 빠르고 11번가에서 현재까지 별5개 드린 제품은 싸이닉 밖에없네요 재구매 당연히 하구요 감사하구요 많이파세요,100점,2017.11.21
18,"경남지방의 바닷가에서만 살다가, 서울에 오니 겨울이 많이 건조하게 느껴졌어요. 실제로 피부에 수분감이 죽더라구요. 또한 서울사람들 피부가 상대적으로 건조함을 느꼈습니다. 이 앰플을 바르고 나서 크림을 바르니 수분감이 한층 회복되었어요. 경인 수도권지역 사람들에게 추천합니다.",100점,2018.02.08
19,프로폴리스는 스킨제형이고 앰플은 뭔가 바르면 ？d 달라붙는 그담날 화장 잘 먹을지는 꾸준히 발라봐야 알것같다. 피부과 에서 관리까지는 아니지만 홈케어 꾸준히 해서 나날이 트러블도 들어가는 날이오면서사봅니다 예민+건성 +홍조+트러블 먼가 다가지고 있는듯ㅋㅋㅋ 나름 나쁘지 않음 괜찮음 물광 피부를 가지고 싶다면 추천합니다,80점,2018.01.17
20,건성인 제피부에 잘 맞습니다. 스킨 로션 에센스 바르는 번거로움 없이 한번에~ㅎ 할인에 쿠폰까지 적용해서 아주 저렴하게 구매하였습니다. 제품 하나 주문 했는데도~ 꼼꼼히 포장하여 주문 바로 다음날 받아볼 수 있도록 해 주셔서 너무 감사드려요!다른 제품도 사러 오겠습니다. 추워진 날씨에 감기 조심하시고..번창하세요!,100점,2017.11.15
21,빠른배송 좋구요피부결의 변화가 한두번만 사용해도 눈에 띄게 고와집니다피부장벽 재건에 특효있구요악건성 보습은 크림으로 잡아야지 왜 이걸로 보습 아쉽다고 하는지는 잘 모르겠습니다결이 푸석푸석하신분 장벽 무너지신분 꼭 써보세요 이 가격에 그만한 효과 어디서 못봐요 ㅎㅎ다만 조금 더 큰 용량 출시되길 기대해봅다,100점,2018.05.19
22,지금 사이닉 핑크앰플을 사용하고 있는데 다 써가서 주문해봤어요겨울에는 뭐니뭐니해도 꿀이 보습에 좋잖아요 ㅎㅎ스킨로션 전부 싸이닉 프로폴리스 에너지 사용중이라 같은 라인 같더라고요향은 약간 다른거같고요병이 넘 예쁘네요 애가 병이 그라데이션디자인을 보고 넘 이쁘다고 황홀하게 바라보더라는 ㅎㅎ앰플은 투명이고요잘 발려요오일베이스가 아니라서 끈적이지 않아서 좋네요,100점,2019.01.15
23,제가 건성이라 그런지 너무 라이트해요ㅠㅠ여러번 레이어드해서 바르는데 스킨만 바른기분이에요가벼운거 좋아하시는 지성분들은 좋아하실것같아요바짝 매마른 건성피부인 저로써는 넘나 가벼워요건성분들 참고하시구요 저렴한가격이니 아끼지않고 앰플로 7스킨법을 대신 해야겠어요ㅋㅋ많이 파세요~,60점,2018.01.08
24,"재구매한 싸이닉 프로폴리스 앰플입니다..제조년월 170500으로 배송되었네요...싸이닉 프로폴리스 앰플 30ml x 2개 구성으로 배송받았습니다....하이루론산과 프로폴리스 앰플도 제품 구성에 있는데, 딸아이가 원하는 프로폴리스 앰플을 자주 구매하게 되네요..예전엔 3개 구성였던 기억이라 2개 구성은 아쉽게 느껴지네요..사진으로 보이듯, 안전하게 완충되어 배송받았습니다.",100점,2017.11.21
25,방금 받고 세안하고 발라봤어요 제피부는 트러블도 좀있고 예민한편이예요 건조하기도 하면서 기름지기도 ㅜㅜ 잘 안맞으면 간지럽고 트러불 올라오는데 요건 제피부에 잘 맞아용 그냥 스킨로션만 바르면 당기고 건조함이 느껴져서 샀는데 이거 바르니까 당기지 않고요 흡수도 잘되는것같고 맘에 드네용,100점,2018.01.11
26,"싸이닉 브랜드를 신뢰하는 1인입니다~ 스킨 로션, 에센스, 세럼등 싸이닉의 여러가지를 써봤는데요 세럼은 끈적임없이 잘 흡수되고 좋아요~ 개인적으론 히알루론산보다 훨씬 쫀쫀해서 좋구요, 앰플은 팩할때 바르고 하려고 구매했는데 끈적임 조금 있구요 저의 구매용도로는 괜찮네요~ 앰플은 보통이니 너무 기대는하지 마세요^^",100점,2017.04.04
27,항상 써오던 제품인데요. 대용량으로 나온 에센스중에 제 개인적으로는 위 제품이 가장 맘에 듭니다. 너무 묽지 않아서 얼굴에 발랐을 때 질질 흘리지 않아서 좋아요. 대용량 에센스는 모두 한 두 번씩 다 써봤습니다. 양이 많아서 다른 용기에 덜어서 쓰고 냉장 보관합니다. 단골 쿠폰 요거요거 아주 요긴해요.,100점,2017.11.10
28,제품 매우 만족합니다 허니라고 해서 좀 많이 끈적일줄 알았는데 많이 끈적이지 않습니다 다만 바르고 나면 약간의 단냄새(꿀향기)가 나는거 어쩔수 없나봐요ㅋㅋ 역시 올인원이라 복잡하지 않아 좋습니다 제품 바르고 수분크림 사용하는데 편해서 감동 먹음 ㅋㅋㅋㅋ 다만 병 제품이고 스푼 동봉했다 쳐도 바르기 살짝 불편해서 펌핑기 구입해서 사용해야하는점 1% 아쉽습니다,100점,2017.04.16
29,11번가에서 나름 상푸을 많이 구입하는데 구입 한 것중에 가장 잘 구매한것같은 상품입니다.팩4개가 사은품으로 왔구요제가 구매한 상품 2개는 뽁뽁이 옷을입구 안전하게 왔네요작은병은 아직 안써봐서 잘 모르겠구요큰병은 얼굴이 촉촉하니 좋네요ㅋㅋ착한 가격에 사은품까지 주시다니 너무 좋아요앞으로도 이런 착한 구성이 많았으면 좋겠네요~~,100점,2017.04.10
30,점도도 높고 흘러 내리지 않아 좋아요~~비싼거 사서 아껴쓰기보단 가성비 좋은 걸로 듬뿍 바르자 마음먹고 샀는데 듬뿍 발라 그런지 아침에 확실히 피부결이 좋아져 있네요 제 피부엔 약간 쎈(?) 느낌이긴 하지만요스포이드 스타일이면 쓰기 편할텐데 스푼으로 덜어 써야해서 조금 불편은 합니다만 전체적으로 제 구매 목적에는 맞네요,80점,2017.03.06
