,reviews,starpoint,date
0,배송; 뽁뽁이로 잘 감싸서 포장해 주셨어요~ 배송도 빠른 편 이었구요.가격; 쿠폰이랑 11번가 포인트 사용해서 저렴하게 구입했어요. 다른 데 비교해서 저렴하게 샀너요.사용감; 3번 째 구입해서 사용 중 입니다. 한번 구매후 계속 찾게 되네요. 쫀쫀하게 피부를 잘 정돈해주고 피부 진정 효과도 있는듯 해요. 민감성 복합성 피부인데 잘 맞아요. 눈에 띄게 좋아진다 그런 건 아닌데 안쓰면 티가나는. 느낌입니다.,100점,2019.07.03
1,사용 1개월째인데 개인적으로 올리브영에 있는 브링그린 카밍쑥 토너가 더 진정효과는 좋은 것 같아요! 그런데 사람마다 다른게 제 지인은 이게 훨씬 진정효과가 좋다구 하더라고요딱딱한 화농성 여드름이 15분만에 진정되었다고 하는데! 저는 15분은 아니고 이틀정도 걸린 것 같아요시루콧토(화장솜) 에 발라서 화농성여드름 있는 곳에 올려놓고 15분있다가 떼는것을 매일 반복하니ㅜㅜ 한달만에 미세먼지로 인한 트러블이 다 진정이 되었습니다! ㅎㅎ,100점,2019.04.04
2,올영 할인기간이라그런지 배송 오래걸렸어요ㅠ 그치만 알고주문했으니 그려러니 하려구용ㅎㅎ 제품은 좋아요! 요즘 하도 핫하길래 왜저렇게 유명한가했더니 촉촉함 보다는 산뜻함이 강하고 아침에 일어나면 피부결이 많이 정돈된듯한 느낌이예요! 수분감을 원하신다면 실망하실것같고 정돈된 느낌이라면 만족하실듯!! 전 딱 원하는 질감에 효과라 완전 200프로 만족해요ㅎㅎ,100점,2019.03.16
3,입소문 좋길래 구매해서 사용해봤어요. 에센스로 사용안하고 닦는 토너용으로 씁니다. 토너로 사용하기에는 미끌미끌한 느낌이 있지만 퍼스트에센스 개념으로 사용합니다. 다만 에센스치고는 보습을 기대하긴 어려워요. 그리고 가끔 쉰내? 라고해야하나 그런 냄새가 올라와요. 한달이상 사용해본결과 그냥 무난하고 착한 성분이니 재구매 의사는 있습니다,60점,2019.04.25
4,다른 쑥에센스를 사용하다가 가격때문에비슷한 아임프롬으로 바꿔봤어요제조사가 같아서 거의 똑같을줄 알았는데제형이나 향이 다르네요~쑥향은 거의 안나는것 같구요제형은 쫀득? 끈적?한 느낌입니다바를때만 그렇고바른 후에는 매끄러운 느낌이에요저는 이걸로 세번 바르고다른 스킨으로 네번 바릅니다^^만족합니다,80점,2019.03.05
5,음 우선 원가보다 훨 싸고요 ㅎㅎㅎ 그리고 올리브영은 배송 진짜 느린데 ㅜㅜ한 10일은 걸림*^;;현대 몰에서 사서 5일?만에 옴... 현대몰 치고 배송 왜케 늦나했는데 엄청 빠른거얐음 ㅎㅎㅎ암튼 화장품 엄청 순하고 향도 좋음! 에센스 대신 닥토로도 쓰는데 짱좋!! 왜 유명한지 알겠음 ㅎㄹㅎㅎ,100점,2019.04.08
6,배송 빠릅니다.예민한 피부인데 진정효과가 있고 순하다고 해서 구매했어요. 성분도 쑥 추출물로만 되어 있구요. 향도 자극적이지 않고 은은합니다. 약간 점성이 있는 제형인데 쏙 흡수되서 끈적이지 않아요. 재구매 의사 있습니다.,100점,2019.07.19
7,인진쑥 핫한거 아실만한 분은 다 아실듯요 ^^이벤트 덕분에 저렴하게 구매 했네요배송은 주문폭주로 인해.... 조금 걸렸네요스킨 타입이 아니라 생각보다 조금 무겁네요 오일 처럼좋다고하니 꾸준히 사용해봐야겠네요!많이 판매 하세요~!,60점,2019.03.28
8,지마켓에서 할인할때 쿠폰까지 써서 2만원 초반대로 구매했어요. 개이득>_< 아직 사용한지 3일되서 드라마틱한 효과는 모르겠지만 워낙 좋다고하니 꾸준히 써보려구요!! 약간 수분감이 차오르고 있는듯ㅎㅎ,100점,2019.03.06
9,건성인데 쓰니가 수분감 떨어져요 땡깁니다. 이부분은 본인 얼굴 상태에 따라 다른 크림으로 보완해주면 될 것 같고 하루만 서서 아직 효과는 모으겟고 기대중입니다~,80점,2019.03.23
10,"피부 뒤집어진 거 하루만에 진정되는 거 보고 만족했읍니다,,,, 다만 무지 건조해서 수분크림같은 거 같이 발라야 할 것 같습니다,,,, 그래도 전 만족,,,,",100점,2019.06.04
11,화해 어플 상위권 랭킹 할 만 하네요살짝 점성있고 촉촉하고 풀향도 좋아요 ㅠㅜ근데 너무 방울방울 나와서 화장솜에 적시기 힘들어요~입구 개선해서 톡톡 가볍게 두드려도 잘 나오게 만들어 쥬세요 ㅠㅜ,100점,2019.06.06
12,향 좋아요. 얼굴에 열이 없어 진정 효과는 모르겠고 성분 좋으니 그냥 좋은 것 같아요. 세수 후 솜으로 얼굴 닦는 용으로도 좋구요. 피부 정돈용으로도 좋아요.,100점,2019.05.24
13,좋은제품이라해서 주문했어요.제품은 써봐야알겠고 배송이 너무 느렸어요일주일걸려 받았네요할인행사로 주문이몰려그렇다지만 그래도 일주일은 너무하네요늦으면 늦는다 연락이라도 주셔야지 마냥 기다려야하나요?,60점,2019.03.14
14,환절기에 피부 붉어지거나 가끔 여드름올라올때 진정잘되서 재구매합니다. 후기좋아서 사용해봤는데 좋아요. 뾰루지올라올때 사용하면 잘 가라앉는 것 같아요.,100점,2020.08.23
15,첨써보는 브랜드고 지금 산지 얼마안됐는데 이거 왜케늦게샀는지후회함 뾰루나 피지가 덜올라옴 닦토로 이거 쓰고 손에덜어서 한번더 발라주는데 진심 구뜨 인생템등극,100점,2019.03.04
16,배송은 3일 걸렸고 11번가가 제일 싸게 팔아서 구매했어요 여드름 진정에 탁월하다는 후기를 여럿 봐서 구매했습니다 향은 호불호 갈릴 수도 있겠지만 저는 좋았어요,80점,2019.03.07
17,처음 써보는데 좋기는 한데 저는 건조함이 심해서 그런지 이걸로는 충분치 않아요. 향도 쑥향이 심하지 않고 약해서 의식하지 않으면 모릅니다. 나름 괜찮아요,80점,2019.06.05
18,"막 엄청 좋은건 모르겠음..일반적인 에센스처럼 사용하기 보다는화장솜에 듬뿍 묻혀서 팩처럼 사용하는게 효과 있는듯함그냥 무난한듯,",80점,2019.06.06
19,"피부 진정에 좋다고 추천 받아서 구매했는데,양도 적당히 넉넉하고 사용감도 좋네요.다른 수분크림이랑 함께 사용하고 있어요",100점,2019.03.20
20,두병째 씁니다. 뭔가 피부가 좋아진 느낌이예요. 다른 브랜드와 거의 같이 백프로 쑥인데 가격이 훨더 착하네요,100점,2019.03.12
21,ㅂㄹㅂㄹ 쓰다가 이것도 써보고싶어서 주문한건데 점성이 좀더있는거 같아용 개인적으론 머그워트 질감이 더 좋네요 만족해서 앞으로 자주 쓸거에용,100점,2019.03.15
22,음.... 좋은지모르겠어요.... 그냥 묽은 쑥내나는 스킨... 에센스 기능이있는지도모르겠네요재구매의사는 없습니다,60점,2019.03.14
23,홍조땜에 사봤는데..며칠 안써봐서 홍조는 잘모르겠는데 끈적이지 않고 가벼워서 여러번 겹쳐바르기 좋아요뭔가 얼굴색이 밝아진 느낌..!,100점,2019.03.16
24,가벼운제형이라 아주 촉촉한건 아닌데 어차피 하나만 바를건 아니니까.. 홍조에 좋다고해서 사봤어요.,80점,2019.04.03
25,요세 얼굴이 안좋아서 지인추천으로 구매해봤어요 ㅎㅎ 나쁘지않고 좋아요 ㅎ향도 진하지않아서 순하니 좋내요,100점,2019.05.27
26,효과는 아주 좋지는 않지만 안쓸때보다 좋은것 같아서 아이가 자꾸 사달라고 하네요 진정효과는 큰기대 않고 쓰면 좋아요,80점,2019.12.04
27,화장솜에 적셔서 팩하듯이 사용했어요. 피부가 매끄러워지는 느낌이에요. 순한것 같고 용량도 많아요!,100점,2020.09.16
28,아들내미 여드름때문에 구입하였습니다배송사고로 받는데 한참 걸리긴 했지만 여드름만 잘 잡힌다면 만족할거예요,100점,2019.04.05
29,토너같은 제형이고 촉촉하고 좋아요. 효과는 더 써봐야 알겠지만 순해서 좋습니다.,100점,2019.03.07
30,타사 쑥에센스랑 비교해보려 구매함.무난하고 약간 더 점성이 있는 듯.화장솜 이용 팩처럼 사용 중.,80점,2019.03.15
31,배송은 올리브영 세일기간이라 늦게왔지만급한게 아니라 만족해요.워낙 소문난 제품이라 믿고 주문했어요!기대됩니당,100점,2019.03.20
32,아직 써본지 몇일 안?지만 쑥냄새도 좋고 바르고 나면 맨들맨들 해지는거같아요 여드름은 아직 효과못봄..,80점,2019.03.28
33,근데 저는 다신 안쓸거 같아요 ㅋㅋㅋ 미샤 더퍼스트 에센스가 짱입니다. 그럼 이만..,100점,2019.03.28
34,트러블에 좋다고해서 구입했어요꾸준히 써봐야죠 ㅎㅎㅎ배송빠르고 포장도 꼼꼼히 해주셔서 감사합니다,100점,2019.03.08
35,향도좋고 여드름피부에 좋네요. 심하게 붉은날은 화장솜에 묻혀서 얼굴에 올려놓은면 진정이 되요.,100점,2019.03.28
36,유명해서 한 번 구매해 봤는데 써보니까 확실히 여드름이 덜 나는 것 같아요. 강추!!*^o^*,100점,2019.05.10
37,유통기한이 좋으네요다른곳보다 최고 저럼하게 구매했어요워낙 인기있는 상품이라 믿고 구입했어요,100점,2019.07.03
38,트러블나서 두번쓰고 안써요 ㅠㅠ 닦토로써도 트러블 나고....저랑 그냥 안맞네요,20점,2020.09.02
39,여드름이 올라오는 동생 주려고 샀어요. 사용하고 좀 가라앉는게 보여서 다행입니다. 감사감사요,80점,2019.07.14
40,할인해서 저렴하게 샀어요. 스킨대용으로 사용하는데 괜찮아요,100점,2020.01.09
41,묘하게 피클냄새나용ㅋㅋㅋㅋ 독도토너로 닦고나서 2차로 쓰는데 순한것같아서 꾸준히써보려구요,100점,2019.04.04
42,상품을 쓰고 피부가 뒤집어졌어요....유명해서 샀는데 저랑은 안맞네요 ㅠㅠㅠ,40점,2019.05.09
43,아직 써보진 않았지만 올리브영에서 같은날 주문했는데 여기에서 시킨 게 더 빨리 왔어요 ㅋㅋㅋ,100점,2019.03.20
44,여드름에 올려 놓으면 따끔하다가도 여드름이 수그러듭니다. 다만 비싸요 ㅠㅠ,100점,2019.11.08
45,효과 좋구요100 쑥이여서 피부에 해롭지 않아요추천해요,100점,2020.03.30
46,아침저녁으로 요녀석으로 관리중이에요 트러블이 진정되는느낌...,100점,2020.04.11
47,이거 좋대서 이번에 저렴하길래 한 번 사봤는데 진짜 짱이네요....,100점,2019.04.09
48,원래 쓰던제품인데 재구입했어요!민감피부에 참 좋습니다^^,100점,2020.05.23
49,여드름이 사라지길 기대하며 구입했습니다.꾸준히 써보려고 해요~~~~!!,100점,2019.03.13
50,피부가 트러블이 자주생겼는데 고민해결하고 갑니다,100점,2019.03.21
51,다른 회사 제품쓰다가 이것도 유명하길래 세일기간에 구매해봤어요 좋길 바랍니다,100점,2019.04.05
52,여드름 피부라 구매했은데 효과 있길 바래요.,100점,2019.03.10
53,가격두좋고ㅎㅎ 3개째쓰는데순하고 트러블없구 넘죠음,100점,2019.03.09
54,저렴하게 잘삿어요. 피부에 잘맞앗음조켓네요,100점,2019.03.22
55,성분은 좋은데 건성한테는 좀 약한거 같아요,60점,2019.03.10
56,트러블 심할때 화장솜에 듬뿍묻혀서 팩처럼 사용하면 좋아요,100점,2019.04.15
57,한 번 발라봐서 효과야 모르겠지만 끈적임없이 잘 스미네요.,80점,2019.03.04
58,여드름피부에 좋다고해서 샀는데 효과 좋았으면 좋겠어요~~,80점,2019.03.06
59,저렴하게 구입할수있어서 좋아요^^빠른 배송 감사합니다,100점,2019.04.08
60,중학생딸이 이것만 쓰네요~저렴할때 쟁여야지요ㅋ,100점,2019.03.04
61,촉촉하니 금방 스며들고 좋다네요.,100점,2019.03.04
62,배송 빠르고 포장 꼼꼼하게 잘되어있어서 엄청좋아용,100점,2019.03.14
63,흡수가 잘 되는것 같아요 만족 스럽습니당,100점,2020.01.10
64,괜찮은듯 아침에 얼굴이 맑아보여요 ㅋㄱ,100점,2019.05.16
65,세일가로 저렴하게 구매 ㅎㅎ 감사요,100점,2019.03.04
66,아직 별효과는 모르겠지만 자극은 없어요,100점,2019.03.27
67,쑥 종류 화장품 한 번 써보고있어요 배송빨라요,80점,2019.04.01
68,이것저것써봤는데발림성은이제품이짱이예요순하고좋아용,100점,2019.11.29
69,항상 쓰는 원조 쑥~지금 4통째 꾸준히 쓰는중이어요,100점,2019.12.10
70,순하고 촉촉해서 좋습니다,100점,2019.06.04
71,아이프롬 머그워트 에센스 좋아요,100점,2019.03.04
72,최고의 제품입니다 지마켓 최고,100점,2019.03.25
73,성난피부 진정시킬때 좋네요,100점,2019.04.03
74,촉촉하고 갠찬은듯!!!,100점,2019.04.17
75,행사한 덕분에 저렴하게 사서 좋아요,100점,2020.02.11
76,보습도 꽤되고 진정용으로 사용,80점,2020.04.26
77,트러블이많아 구매했어요 좋은것같아요,100점,2019.03.08
78,빠르게 배송해주셔서 감사합니다. 잘쓸게요.,80점,2019.04.04
79,몇일만에 피부가 좋아졌어요,100점,2020.04.25
80,처음 써봐요 효과가 있길 바랍니다,100점,2019.03.17
81,더 써봐야 알겠지만 괜찮은거 같네요,80점,2019.03.07
82,싸이즈 크네요 싸게 잘샀어요 감사합니다,100점,2019.03.16
83,오일같은 느낌같기도 한데 좋았음하네여,80점,2019.04.14
84,좋아서 애용하는 제품입니다만족,100점,2019.04.30
85,부드럽고 순한 제품이라 늘 애용합니다.,100점,2019.12.24
86,올리브영 할인할 때 싸게 샀어요 ㅎㅎ,100점,2019.03.09
87,트러블에 좋은것 같아요~~,100점,2019.10.30
88,괜찮은 상품이라 두번째 구매합니다,100점,2019.11.09
89,여드름에 좋다고해서 구매했어요,100점,2019.03.18
90,빠르고 배송도 빠르고~좋아요,100점,2019.05.26
91,저번에 썼던 제품. 아주 좋아요,100점,2019.07.15
92,굿이에요굿이에요담에도또이용할께용,100점,2019.12.18
93,굿이에요굿이에요담에도또이용할께용,100점,2019.12.18
94,딸아이가 필요하대서 주문했어요,80점,2020.04.29
95,배송도 빠르고 잘받았어요,100점,2019.03.22
96,배송도빠르고제품도좋아요,20점,2019.04.26
97,두병째 쓰고있어요. 좋아요,100점,2020.04.16
98,좋아요 잘산것같아요,80점,2019.03.04
99,아직안써봐서 모르지만 좋을것가타요,80점,2019.03.04
100,배송은 느렸지만 상품 싸게 잘 산 것 같아요,100점,2019.03.08
101,ㄷㅂㅇㅂㅊㅂㄹㅂㅎㅂㅎㅂㅇㅂㅊㅎㅂ,80점,2019.03.06
102,싸게 잘 구매했습니다 굿굿,100점,2019.03.11
103,배송빨라요ㅛㅛㅛ,100점,2019.03.12
104,처음써보는데요 계속 써보고 다시 구매할께요 ㅎ,100점,2019.03.12
105,너무 늦게왔어요~~잘쓸게요..,60점,2019.03.12
106,잘받았아요~잘받았아요~,80점,2019.03.12
107,배송빨라요 아직 사용전,100점,2019.03.14
108,금방 배송받았습니다,60점,2019.03.15
109,좋은 상품같아요 감사합니다,100점,2019.03.16
110,쑥좋아해서 사봤는데 쓸만해요,100점,2019.03.18
111,주문이 많아서 배송이 핵느렸지만 잘 쓸게요,80점,2019.03.21
112,세일해서 또 샀어요,100점,2019.03.22
113,"고딩조카에게 선물했어요,......",100점,2019.03.23
114,좋을거라 믿고 써봐요~,60점,2019.04.09
115,역시사용하던제품 저렴하게사서 좋아요,100점,2019.04.04
116,2병째 쓰는중인데 잘모르겠음ㅜ,60점,2019.05.28
117,이것이 바로 그핫하다던 그제품을 쓰게되네여>_톡톡 발라보니 너무 좋네여 ㅎㅡㅎ흡수력도 좋고 챠악 습여들어서 어서빨리 피부가 좋아지길:)잘쓸께여 감사해여*~*,100점,2019.05.28
118,좋다고 해서 구매해봤으요,100점,2019.10.10
119,쓰던거 재구매입니다진정에는 좋아용 ㅜㅠ크림이랑 같이 쓰니 더 조아요,100점,2019.10.18
120,아직 쓴지 3일밖에 안되서 평가하긴 그렇지만 바를 때마다 뭔가 피부가 진정되는느낌,100점,2019.10.18
121,그극ㄷㄱㄷㄱㄷㄱㄷㄱㄷㄱㄷ,100점,2019.10.17
122,촉촉하고 너무 좋아요,100점,2019.10.17
123,진정은 잘되는거 같아요. 다음날 또 올라와서 걱정입니다.,100점,2019.10.15
124,모낭염인지 너무 심해서 솜에 묻혀서 얼굴에 붙여놨는데 좋은거같아요,100점,2019.10.09
125,친구추전으로 사용후 다시 재구매 여기가 젠싼듯하네요,100점,2019.10.08
126,에센스 좋은거같아요 많이파세요,100점,2019.09.30
127,쓰던건데 ㅋ 싸게사서좋네요,100점,2019.09.29
128,빠른배송 감사합니다 유명해서 믿고 구매했어요,100점,2019.11.13
129,다 써서 재구매합니다!,80점,2019.11.13
130,계속 쓰고 있는 제품이엥노,80점,2019.11.13
131,좋다고해서 주문했어요 좋으면 재구매할께요,100점,2019.11.16
132,매우 좋아요,100점,2019.11.27
133,아주좋습니다,100점,2019.11.29
134,좋아요,60점,2019.12.10
135,항상쓰는제품 싸게 샀어요,100점,2020.02.12
136,늘 쓰던거에요,80점,2020.03.11
137,계속사용 하고 있는 제품 입니다가격 저렴 풀질우수한 제품임 적극 추 천 합니다~~,100점,2020.02.29
138,딸이 구매 해달라한 제품 입니다,100점,2020.03.27
139,좋다고삿는데...ㅎㅎㅎ잘몰겟넹...,80점,2020.04.28
140,좋아요 좋아요좋아요좋아요좋아요,100점,2020.04.28
141,잘쓸께요,100점,2020.05.06
142,아직 많이 쓰지는 않았지만 순해요.,80점,2020.05.18
143,잘 받았습니다. 잘 받았습니다.,60점,2020.05.23
144,very good price and fast delivery i am generally satisfied [G마켓 안드로이드 앱에서 작성],100점,2020.07.01
145,잘쓰고있어오ㅓ,100점,2020.08.02
146,빠른배송에 감사합니다.,100점,2020.09.10
147,넘좋아요 담에 또주만하겠습니다,100점,2021.01.20
148,올리브영 할인에 쿠폰까지 사용해서 정말 저렴하게 구매했습니다. 저는 오프라인 매장에서 테스트 해보고 구매해서 향이나 사용감에 대해 어느정도 알고 있었습니다. 향 같은 경우는 손에 테스트 했을 때는 쑥향이 엄청 심하다고 느꼈는데 얼굴에 사용해보니 생각보다 향이 정말 강하지 않아서 괜찮았습니다. 점성이 있는 제형으로 흡수는 빠른편이에요. 저는 지성피부인데 스킨과 이제품만으로는 건조해서 가벼운 크림이나 좀더 묵직한 에센스와 함께 사용하고 있습니다.,100점,2018.07.31
149,쿠폰이랑 skt 할인까지 받고 저렴하게 구매했고배송도 빨랐어요다만 아직까지도 머그워트 마스크 30g 증정한다고 되어있는데증정품은 안 왔네요증정품 안 보낼거면 왜 이미지는 저걸로 올려놨는지 모르겠네요구매하는 사람들 착오없게 이미지 바꾸세요,40점,2018.08.31
150,요즘 쑥에센스가 인기가 많더라구요올리브영에서 세일한다길래 찾아보다 쿠폰쓰고 하니 11번가가 더 저렴해서 구입했네요피부가 정돈되고 뽀루지에 좋다해서 도착하자마자 바르고 화장솜에 뭍혀 흡수시키고 있네요,80점,2018.10.11
151,한참 쓰다가 리뷰남겨요피부가 아토피도 있고 예민한편인데처음쓰는데도 특별한 트러블같은건 없었어요무난하게 스킨대용으로 쓰기좋고 촉촉하진 않아요,80점,2019.02.18
152,"우연히 알게된 에센스인데, 저한테 이렇게 잘맞을지 몰랐어요.. 세수하고나서 딴거 안쓰고 이것만 쓰고있는데 확실히 트러블이 줄긴 줄었어요 . 한병 다 쓰고 재구매할듯 싶어요~~",100점,2018.07.25
153,이거랑 비슷한 쑥 제품을 쓰다가 가격도 더렴하고 100프로 쑥이라고 해서 바꿔봤어요^^가격도 좋은데 상품도 보들보들하니 좋네요앞으로 이 제품으로 사서 쓰려고요. 감사합니다!!,100점,2019.02.17
154,마스크팩도 써보고싶어서샘플 준다길래 한번 같이 써볼까해서구매했는데 안주네요??그래서 여기서 구매했는데..뭐죠?;;; 증정 이벤트 끝났음 사진이라도 바꿔야하는거 아닌가요?기분나쁘네요.,20점,2018.08.31
155,몇 번째 재구매인지 몰라요 향이 우선 너무 좋아요 은은하면서 쑥 향이 기분을 편하게 만들어줘요 확실히 홍조에 탁월하고 뾰루지 가라앉히는데 도움되요 계속 계속 쓰고싶은 아이템입니다,100점,2019.01.31
156,지인 추천으로 샀는데촉촉하고 좋네요.무거운 에센스 느낌은 아니고조금 무게감있는 스킨 정도 농도에요,100점,2018.12.07
157,미세먼지땜인지 너무 뒤집어져서 급하게 알아보고 구매한거였어요 제품 맘에 들어요 진정 되는게 보이고 트러블 압출도 수월해졌어요,100점,2018.11.29
158,아직 사용전이라 어떨지는 모르겠네요~~써보구 좋으면 재구매 하려구요~~배송빠르고 포장을 꼼꼼하게 잘 보내주셨네요^^,60점,2019.02.26
159,아직 사용전이라 어떨지 모르겠네요 보기엔 너무 묽은게 아닌가 하는데 써봐야 알겠죠?? 유통기한은 20년 11월까지네요,80점,2018.12.08
160,홍조가있어서고민하다가주변추천과평이좋아서기다하며주문해봤어요 쑥이좋은건다아는사실이니효과가있었음좋겠네요,100점,2019.02.26
161,빠른 배송 감사합니다 많이 파세여 향도 좋고 촉촉하고 보습력도 좋네요,100점,2019.01.21
162,타 유명브랜드보다 싼데 제조사가 같아서 결국성분은 똑같을거같네여 ㅋㅋ싸게 잘삿어여,100점,2018.07.11
163,좋아요!! 쑥100에 가격도 착한거같고 발림성도 좋아요 촉촉 다쓰고 또살꺼에요 ㅎㅎㅎ,100점,2018.09.14
164,지금쓰고 있는데 하나 더 샀어요배송도 빠르고 피부도 안정되는 거 같아 좋네요,100점,2018.12.08
165,배송도 빠르고 유통기한도 길어서맘에들어요. 아쉬운점은 사은품이 샘플하나도 없다는 거예요~,100점,2018.10.01
166,진짜 좋아요 다음에 또 구매하고싶어요 진짜좋아요 너무 ？？아요 배송도 빠르고 진짜 ？？네요,100점,2018.11.28
167,트러블없이 빠르게 흡수되서 여름에 써도 무난하네요,80점,2018.07.24
168,여드름 진정에 효과가 좋아서 늘 쓰는 제품입니당 ~~ 배송도 빨라요 ㅎㅎ,100점,2019.02.27
169,중딩 아들 여드름 때문에 주문해봤어요.꿀팩이랑 같이 주문했는데 잘 듣길 바래봅니다,100점,2019.03.01
170,임블리 에센스사려다 이거샀어요! 좋은효과가 있었음 좋겠네요??,80점,2018.07.25
171,매장보다 저렴하게 잘 샀습니다지인 추천으로 구입했는데너무 좋아요,100점,2018.11.11
172,아임프롬 에센스 트러블에 효과 있어요 재구매했어요,100점,2019.02.28
173,쑥향이 진하게 나네요.촉촉해서 지금 쓰기 좋아요!!,100점,2019.02.12
174,세일할때 사봤어요 효과는 모르겠어요 꾸준히 써보려구요,100점,2018.12.19
175,진짜 쑥향이 나요. 촉촉합니다.,80점,2018.07.16
176,배송도 빠르고 촉촉해요~!,100점,2018.09.10
177,배송도 빠르고 제품도 너무 좋네요^^ 순해요^^^,100점,2019.01.02
178,믿고 구매하는 제품입니다. 배송도 빠르고 좋아요~,100점,2019.02.16
179,만족만족합니다 만족합니다,100점,2018.11.05
180,배송빠르네용!물건은 아직안써봤어요ㅎㅎ기대중입니당,100점,2019.02.18
181,아임프롬 쑥에센스 좋아요~3개째 구매했어요,100점,2019.03.02
182,오자마자 써봤는데 대박 흡수 부드러워용,100점,2019.01.24
183,배송 빠르고 잘 포장돼서 왔어요!,100점,2018.12.21
184,좋은 가격에 잘 구매했습니다.,100점,2019.01.02
185,쓰던거라 또사요 만족합니다,100점,2019.02.24
186,진정효과 있는거 같네요,100점,2018.12.26
187,엄청난 효과는 못느꼈어요.,60점,2019.02.19
188,진정효과 있는듯 해요,100점,2018.12.24
189,선물했는데 좋아요,80점,2018.12.24
190,너무 좋아서 세일기간에 쟁이려고 구입했어요!,80점,2018.07.11
191,구매해봤어요 쑥100%이니 여자한테 좋을 것 같아용~,100점,2018.07.16
192,Great experience as always,100점,2018.07.24
193,쑥향도 은은하구 넘 좋으네요,100점,2018.08.10
194,싸게 잘 구매했네요 피부가 좋아졌으면 좋겠어요기대되네요 잘 쓸게요:-),100점,2018.09.07
195,그냥 아직 잘 모르겟디만 그냥 쓰고잇어여,60점,2018.10.03
196,한번 썼는데아주 좋네요,100점,2018.11.12
197,좋다고 소문듣고 사요 아마 곧 또 살듯 합니다,100점,2018.11.27
198,좋아요순한듯,100점,2018.12.19
199,ㅇㅇㅇㅇㅎㅇㅇㅇㅇㅇㅎㅎㅎㅇㅇㅇㅇㅇㅇ,100점,2018.12.20
200,아직모르겠어요 모르는데 리뷰써야해서ㅡㅡ;;;,60점,2018.12.21
201,좋네요~~재구매의사있습니다,100점,2018.12.22
202,잘 사용해 볼게요 기대중,100점,2019.02.15
203,건강해지는 화장품 잘 쓸게요:-)),100점,2019.02.11
204,임블리보다 훨배좋아요,100점,2019.02.08
205,잘바당ㅆ습니다.감사합니다.,80점,2019.02.21
206,세일할때잘산듯요물건문제없이잘도착했습니다,100점,2019.03.01
207,아직하루밖에안되서잘모르겠음 ㅜㅜ,100점,2019.03.01
