,reviews,starpoint,date
0,배송 빠르네요. 딱 사이즈맞는 미니택배박스에 잘 담아주셔서 잘 받았습니다 작년행사때 3가지 앰플 골고루 사봤었는데 지복합성인 저는 VC샷이 발랐을때 향도 느낌도 좋더라고요. 링클케어 선호하지만.. 요건 VC샷만~ 스킨하고 앰플만 바르니 산뜻하고 늠 편하더라고요ㅋ 계속 사용할 생각입니다,100점,2020.07.08
1,"반품후기 입니다. 세라마이드샷을 꾸준히 사용중인데 주문실수로 히알루론이 와서 반품하고 재주문 하였습니다. 왠만하면 그냥 사용할텐데 이 제품에는 세라마이드샷에는 없는 향료와 페녹시에탄올이 첨가되어 있어서, 쓸수가 없었습니다. 다른 제품들을 다양하게 써보고 싶어도 그 부분이 정말 아쉽네요. 향료좀 빼고 재조한다면 정말 좋을 텐데요.",20점,2021.02.22
2,"인생에서 처음 써보는 앰플-,- 앰플류가 대부분 성분이 독해서 써오지 않았는데... 이 제품은 성분이 좋아서 민감성도 써볼 수 있겠더군요~ 게다가 수분공급 기능성 성분인 히알루론산 포함! 살짝 찍어 발라보니, 끈적이지 않고 액상 에센스처럼 느껴지네요!",80점,2020.06.26
3,할인 엄청하고 싸서 삿는데 냄새진짜 엄마화장품 냄새에 흡수도 잘 안되고 찐득한 제형 ㅠㅠㅠ 여름에 이거 쓰자마자 바로 트러블 올라와써여 ㅋㅋㅋㅋㅋㅋㅋ 발에 바르려고 했는데 그마저도 넘 찐득 ㅠㅠ 발팩할때 써야겟어요 ㅋㅋ 다시 차앤박 앰플로 갑니다.....,20점,2020.06.25
4,"예전에 체험용이 당첨되어 써봤던 폼클렌저인데... 쫀득쫀득 질감과 효과 모두 좋았어서 이번엔 내 돈주고 구매.... 민감성, 기름 윤기(?)가 도는 얼굴에 좋습니다! 제가 써본 것과 성분이 살짝 바뀐 것도 같은데, 클렌저라 크게 다르지는 않을 듯~",80점,2020.06.26
5,"몇년째 사용중인데 피부건조가 많이 좋아졌어요.빅세일할때 겨울대비 미리 쟁겨두었네요. 이번에는 페녹시, 향료 없는거로만 구매했어요. 증정한 앰플도 마음에 들어요. 대박나세요~이 집 앰플이 좋아요~",100점,2020.09.23
6,"몇년째 사용중인데 피부건조가 많이 좋아졌어요.빅세일할때 겨울대비 미리 쟁겨두었네요. 이번에는 페녹시, 향료 없는거로만 구매했어요. 증정한 앰플도 마음에 들어요. 대박나세요~이 집 앰플이 좋아요~",100점,2020.09.23
7,"몇년째 사용중인데 피부건조가 많이 좋아졌어요.빅세일할때 겨울대비 미리 쟁겨두었네요. 이번에는 페녹시, 향료 없는거로만 구매했어요. 증정한 앰플도 마음에 들어요. 대박나세요~이 집 앰플이 좋아요~",100점,2020.09.23
8,"건조한게 좀 덜하고, 민감성임에도 새로운 에센스를 바르고도 별 변화가 없을만큼 자극이 없다는 장점. 피부결도 얼마간 개선되는 느낌. 그닥 오래 사용한게 아니지만 지금까지는 만족스런 상품입니다.",100점,2019.11.12
9,촉촉하고 좋은거같아요.엄마랑 한통씩 나눠쓰니까 더욱좋아요.펄(진주)실 같은게 나오는데 골고루 펴발라주니 부드럽게 스며드네요.약간 반짜거리기도하고요~~오히려 골드세럼은 잘 안스며들어 밤에 한가할때 바르게되네요~암튼 잘 쓸께요,100점,2019.10.08
10,확실히 수부지 피부에 적합하게 어느 정도 수분감은 채워주면서 끈적임이 없는 제품이라서 좋아요~ 저는 한 번만 바르면 가벼워서 토너로 피부결 정리하고 두 번 겹쳐 바르는데 산뜻하니 좋은 것 같아요,100점,2019.08.28
11,배송빠릅니다 받자마자샘플하나뜯어서써봤는데괜찮네요 다만향이거의없어서아쉽습니다 바르고잤는데아침에촉촉하니좋습니다 약간바른느낌때문에ㅡ끈적임보다는약한 한여름엔쓰기가좀그럴거같고지금같은계절에괜찮을것같네요,100점,2020.09.09
12,건성에 민감한 피부라 세라마이드가 많이 함유된 제품을 추천받아 앰플과 함께 구매했어요. 1+1이라 어머니와 함께 나누어 사용하고 있는데 매우 만족합니다:) 선크림만 바르고 나섰는데도 매우 촉촉하죠!,100점,2020.02.03
13,"펩타이드실이 신기해서 구매! 신기한 화장품 너무 좋네요.....^3^ 요건 민감성 피부는 주의해서 써야할 듯. 가족에게 기프트~ 소독제 기대 안했는데, 받아서 기쁩니다~ 감사!!!",80점,2020.06.26
14,"미사용제품입니다. 포장은 잘 되어 아무이상없이 받았는데, 성능은 아직 모르겠어요. 예전에 무난하게 코리아나 제품을 사용해봐서 이번 것도 괜찮은 제품일 것이라 보고 별 4으로 구매결정해보아요.",80점,2019.09.11
15,코리아나화장품 처음써봤는데요 가격도 저렴하고 피부도 전에 보다 많이 촉촉해졌습니다 너무 놀랬습니다 앞으로 계속 쓸겁니다 감사합니다많이파세요,100점,2020.01.12
16,피부 진정효과 뿐만아니라 건조해진 피부를 촉촉하게 해주어 겨울철에 보습으로는 괜찮네요.,100점,2020.11.11
17,무엇을 쓸지몰라서 문의해서 추전해준데로 구입해서 지금 두번사용중인데 첨엔 푸석햇는데 두번째에선 촉촉해영 그리구 트러블이 무지 심하고 각질도 생기는데 안생겨여 이것만쓸거같아여 감사합니다,100점,2019.12.14
18,향이 엄청 고급스럽네요. 과하지 않은 백화점 명품관 향이 납니다. 히알루론샷보다 좋은거 같아요. 가격이 싸서 딜 뜰때마다 쟁겨놓고 스킨처럼 막 바르고 있어요.,100점,2020.03.20
19,한번 쓰니 계속 쓰게 되네요. 스포이드로 더는 방식이라 세균번식 불안이 적고 촉촉함이 비교적 오래 지속되어 피부당김 개선 효과가 있어요.,80점,2020.05.20
20,착한가격에 놀라구매했읍니다 배송또한 총알배송 굿굿굿 할이쿠폰을받아서 정말 저렴하게 잘 구매한것같아요 그리고 마스크팩도주시고 사용후 좋으면 계속구매해서 사용해야겠어요,100점,2021.02.02
21,"후기가 너무 좋아서 성급히 주문했는데, 저한테는 안맞았어요. 유분이 많고 끈적거려요. 출발하기전에 끈적거리냐고 발송중지 문의글 남겼는데 그냥 출발시켜버려서 좀 그랬어요",60점,2020.01.20
22,타 제품 2만원대 용량 코리아나 만원대 용량 .용량 자체도 배가 많은데 저렴해서 정말 좋네요 자렴하다해서 제품 자체가 결코 뒤쳐지지 않네요,100점,2019.11.11
23,가격 저렴하고 1+1이라 구매했어요. 클래징으로 깨끗히 닦았는데도 화장솜으로 묻어나올 정도로 깨끗하게 닦아주고 피지가 확실히 조절에 도움이 되는 것 같아요.,100점,2020.01.18
24,"코리아나 앰플엔 브이샷 앰플 100ml, 펩타이드샷 앰플 100ml 잘 스며들고 촉촉하게 피부를 탱글탱글하게 만들어 줍니다. 추천합니다",100점,2020.01.18
25,전에 30미리짜리 두병 구입한거 다 쓰고 좋아서 이번에 100미리짜리로 두병 구입했어요 사은품으로 주신 클렌징스틱도 써보니 화장 잘 지워지고 너무 좋네요 감사합니다,100점,2019.11.06
26,"3병째 구매했어요.. 샘플도 듬뿍 보내주시고 , 클랜징크림도 보내주시고 넘~넘 감사힙니다. 앰플 좋아서 다른거 안쓰고 스킨대신 쭈욱 씁니다.",100점,2019.08.29
27,저렴한 가격에 잘산것 같아요.요즘같은 환절기에 피부가 예민해질때 별 트러블 없이 잘 맞네요. 만족합니다.,80점,2019.09.25
28,처음 사보는데 펩타이드 써보고 좋아서 믿고 주문했어요. 부모님 드릴거랑 딸이랑 같이 쓰려고 4박스 같이 주문했는데 배송 빠르고 포장도 안전하게 잘 보내 주셨어요.,100점,2020.11.13
29,많이 사서 쟁여 놧어요 스킨 로션은 항상 코리아나 쓰는데 앰플은 처음인데 좋네요 용량 크고 가격 저렴하고 좋아요,100점,2019.11.11
30,코리아나 앰플엔 촉촉하게 앰플 기초 클렌징 선 전품목 할인코리아나 앰플엔 촉촉하게 앰플 기초 클렌징 선 전품목 할인좋아요,100점,2020.06.19
31,펩타이드샷 쓰는 중인데 맘에 들어 건조 계절이 다가와 듬뿍 듬뿍 쓰려고 쟁겨 놓아요 바르면 쫀쫀한 느낌이 좋아요 따라온 팩도 펩타이드네요 ^^,80점,2020.09.11
32,가성비 갑 제품~ 대용량 앰플인데 가격저렴해서 좋네요! 아직 더 써봐야겠지만 피부에 잘 맞아요,100점,2019.07.17
33,하나 구매하고 향도 좋고 촉촉해서 여러개 구매했는데 저한테는 맞지않았는데 트러블이 나서 반품 요청 드렸는데 신속하게 처리해주셨어요,100점,2020.10.23
34,하나 구매하고 향도 좋고 촉촉해서 여러개 구매했는데 저한테는 맞지않았는데 트러블이 나서 반품 요청 드렸는데 신속하게 처리해주셨어요,100점,2020.10.23
35,하나 구매하고 향도 좋고 촉촉해서 여러개 구매했는데 저한테는 맞지않았는데 트러블이 나서 반품 요청 드렸는데 신속하게 처리해주셨어요,100점,2020.10.23
