,reviews,starpoint,date
0,배송 겁나 거부기~ 하지만 제품은 믿고 쓰는건지라 ...근데 요즈음 일본 진짜 싸갸지 바가진데 국민으로써...쫌 찝찝함 우린 왜 피테라를 못만드는건지 ..온통 못만드는거 투성이네 열등감쩌는 ㅎㅎ몇년째 써온건데 가성비는 최고인듯...수분발란스 조절과 각종 주름 기미 잡티도 잡아주는 희안한 피테라. 이젠 나이가 들수룩 안쓰면 피부발란쓰 쓰레기됨 ㅠㅠ 근데 유통기한은 언제까진지 도통 알수가 없ㅇ는 ~,80점,2019.07.20
1,일본에서 배송온거 치고 빠르게 받았네요지난주 화요일에 주문하고 오늘 월요일 받았어요20대 후반에 쭉쓰다가 30대 중반되서 문득 생각나서 다시 써볼까 찾아보는데 지마켓뷰티빅세일쿠폰까지해서 말도안되는 가격에 샀네요 ㅎㅎ 득템!! 너무 싸게사서 정품맞나 싶었는데.. 받지마자 손에 발라봤어여 아시는분은 아시는 그냄새 맞구요 ㅋㅋ이거 쓸때 피부좋다는 말 많이들었었는데 다시 꾸준히 잘 써볼게요 다쓰면 여기서 재구매하려구요,100점,2019.07.08
2,흡수력이 장난아니에요 제가 복합성이라 살짝 가벼운거같긴 하지만 그래도 써보려고 합니다 자극없어서 좋습니다 아 그런데 에센스 냄새는 진짜 .. 휴 ㅎㅎㅎㅎ냄새는 어떻게 방법이 없는걸까요 ㅋㅋ 아 그리고 로션으로 결 정리하는건 정말 좋아여 추천합니다 크림은 바르면서 흡수가 잘 되고 발림성도 좋습니다,100점,2019.11.21
3,"sk2 정말 좋아하는 에센스인데 늘 면세점에서 저렴하게 구입해서 사용했는데, 코로나 때문에 외국에 나갈 일 없어져서 화장품이 다 떨어졌어요.그냥 살려 하니 가격이 장난 아니네요.그 중 저렴한 거 찾아 구입했어요.그런데 케이스가 바꼈는 지 하얀색 상자에 왔네요.설마 짝퉁은 아니겠죠~~기분이 좀 찝찝한데 배송은 빨？？네요.",80점,2020.12.24
4,쓰고나니 확실히 얼굴톤이 밝아졌어요. 여름때 탔던게 돌아온걸 수도 있지만... 쨌든 238000원 할인 -31270원 받아서 206730에 구입했고 포인트 36000점 적립예정이에요. 당시에도 싸게 샀다고 생각했는데 지금.(2/3일) 7% 청구할인+ 포인트 적립 받는게 체감상 더 싸네요. 하나 더 살까... 흠,100점,2020.02.03
5,주말 끼어 5일 만에 받았어요. 엄청 빠르네요. Sk2 제조일자는 맨밑 넘버 중 첫자리가 생산년도고 뒤 세자리가 제조된 날짜예요. 제껌 8335까 18년 335일째 되는 날 만들어졌단 얘기죠. 제조일자도 좋네요. 남편이 쓸거라는게 아쉽지만 ㅜㅜ 남편이 sk2 넘 좋아해요 담에 또 구매하겠습니다,100점,2019.03.05
6,행사로 구매해서 면세가격으로 산것같아요. 샘플도 많이 넣어주시고 이런 프로모션 자주있으면 좋겠어요. 오랜만에 사용해보는데 역시 좋으네요. 에센스는 확실히 오랜만에 바르면 따끔거리는게 역시 신기해요. 여름에 듬뿍듬뿍 꾸준히 사용하려고합니다.,100점,2019.07.19
7,잘받았습니다. 빨리 도착했습니다. 계속 세일이 없는건지 제가 몰랐던건지 구매 못하다가 이번에 세일을 하길래 구매했습니다. 두 세트로 하려다 한 세트만 샀습니다. 세일을 해도 가격은 늘 부담되기는 합니다. 그래도 피부에 맞아서 씁니다.,100점,2019.07.11
8,포인트 적립행사해서 저렴하게 구매했어요 사은품 구성은 예전보다 안좋아졌어요 크림은 안좋은성분이 많아서 안쓰는데... 예전처럼 피테라에센스 용량을 늘려주세요 크림은 바르면 너무 간지러워서.못쓰네요,100점,2019.11.13
9,늘 사용하던거라 주문해서 사용했습니다. 역시 좋습니다. 10년이상 사용하는데 트러블없이 잘 사용중입니다. 손에 덜어 얼굴어 파바박. 7번을 자기전에 합니다. 습관적으로 10년째 하고 있어 더 좋아졌는지 모르겠지만 나빠지지는 않았습니다,100점,2020.04.30
10,"예전에 쓸때 만족도가 높았던지라 다시 사용해보려고 샀어요. 백화점이나 면세점 대비 저렴하게 사서 좋아요. 며칠 쓰고 어떻다 말할 순 없지만, 예전에 쓰면서 피부 좋다는 얘기 좀 들었으니, 이번에도 도움이 되길 기대해봅니다.",100점,2019.05.13
11,15년째 꾸준히 사용 중이에요. 쓸때는 몰라도 안쓰면 바로 느껴져요. 백화점은 너무 비싸고 항상 면세로 구매했는데 어디 나갈수가 없어 막막했는데 빅스마일데이 이용해 쿠폰 적용하니 나름 저렴한 가격에 구매할 수 있네요,100점,2020.05.24
12,피부톤 하얗게 유지하는데에는 제일 좋은 스킨로션 이네요 이름은 에센스 이지만 뭐 액상의 스킨 로션이랑 같은 식으로 사용되니까요 이미 몇년간 사용하고 있습니다 만족해요,100점,2020.08.16
13,물건은 매우 만족스러운데...2만원 상품권 아직 못받았는데...어떤식으로 2만원 상품권이 제공되는지요?제 휴대폰으로 문자로 오나요? Lpoint로 payback 되는지?2만원 상품권은 어떻게 언제 받게 되나요??,100점,2020.05.14
14,상품 품질이 좋습니다. 마음에 들어요! 마음에듭니다 아주마음에 듭ㄴㄱ다 에스케이투 샀습디다 상품ㄷ느좋보 배송도빠르고 아주망ㄷㅁ에듭니다 정말좋네요 백자채울겁니다 마음에듭니다좋아오ㅡ아주좃앙？고맙습니다정말좋네오아즈ㅡ굿,100점,2019.07.03
15,늘 사용하는 에스케이투..할인 많이하고 백화점 쿠폰도 있어서 구매했는데 좀 부끄럽네요.일본상품 생각을 미처못하고 포장도 뜯어서 반품도 못하고...당분간은 사지 않으려구요.상품구성은 오프라인과 비교해 아주싸고 풍성합니다,100점,2019.07.23
16,모바일상품권은안받았는데이건따로주는건지궁금합니다이걸여러가지ㅜ문사싷엉ㆍ느피테라로얼굴을조금바꿔보려구요젊어지면좋겠네요시간은되돌릴수없이ㅡ닊ㆍㄴ요좋은화장품인건맞는데냄새는조그이상하거나는데피테라냄새인듯합ㄴ다,100점,2019.07.21
17,"추가포인트도 받고 저렴하게 잘 구입했다고 생각했는데 롯데특송통관팀이라며 톡이왔어요통관중 관.부과세가 발생되었다고34,150 원 입금하라고요추가비용이 이렇게 많다면 왜 여기서 구입했나 후회가되네요",40점,2020.07.16
18,쓰고 있는 제품입니다 이번에는 11번가 해외직구를 통해서 제품을 저렴하게 구매하게 되었습니다홍콩에서 꼼꼼하게 포장된 상태로 배송되어 왔습니다 1년 양식을 사놓은듯 마음이 든든합니다,100점,2020.07.11
19,울 시엄니 선물~~저렴한 가격에 잘 구매했네요.. 가격대비 효과는 넘 좋길요.. 제가 항상 쓰는 제품이라 좋은줄알고 구매했어요..잘 쓸게요..,100점,2019.05.30
20,피테라에센스 는 스킨대신 사용하는 제품이라 늘쓰고있습니다 좋은데 비싸서 고민입니다 그나마 롯데쇼핑 이 가격이 쪼금 싸서 구매하고있습니다 감사합니다,100점,2020.03.21
21,재재구매 쿠폰써서 아주 저렴하게 구매 재품은 써보면 끊을수없는 촉촉함이 있음 그리고 미세주름도 좀 막아주는듯함 눈가 세주름 마니 완화됨을 느낌,80점,2020.01.14
22,배송 빠르고 포장도 예쁘게 해주셔서 기분 좋게 선물 했습니다.다만 롯데택배 기사님이 사전에 연락없이 문앞에 두고 가셨어요.집에 사람이 아무도 없었는데 완전 황당 하더군요.,100점,2020.05.11
23,요즘 해외도 못나가고 백화점은 환율변동으로 비싸고 ㅠㅠ저렴한 가격에 늘사용하던 에스케이투 사용 좋아요 ㅎㅎ 않쓰면 불안하고 백화점이랑 꽤 가격차이 많이 나요,100점,2021.02.24
24,이벤트 혜택이 좋네요. 용량도 많고 사용감도 좋아서 늘 사용하는 제품인데이번엔 가격뿐만 아니라 다양한 사은품 혜택까지 좋아서 득템한 기분이네요.,100점,2020.06.04
25,성능이야 세상사람 모두 알고있는거구요..빠른배송에 감사드립니다.덕분에 아내생일날을 무사히(?) 보낼수 있었습니다.샘플도 많이 넣어주시고..감사드립니다. 대박나세요.,100점,2020.12.19
26,솔직히 향이 원래쓰던거랑 많이 달라서요.ㅜㅜ가격이 비싸고 통관세까지 따로 입금한지라..상담사가 정품이라고하긴하네요.백화점매장에가서 확인한번해봐야겠어요..!,100점,2020.09.07
27,이벤트로 할인 및 적립의 가격적 혜택이 좋아서 구매 쟁여놔요 며칠 사용안하다가 사용하니 역시 사용해야겠다는 생각이 들더라구요 롯데홈이 최곱니다~~,100점,2020.07.08
28,피테라에센스 구성이 넘 좋네요 상품권도 득템하고쓰다 안쓰면 피부가 칙칙해져서 안쓸수가 없다는..깜짝할인에 포인트할인으로 나름 알뜰구매합니다,100점,2020.05.26
29,"선물 포장 잘되어서 왔고, 제품 뽁뽁이로 엄청 많이 포장해서 안전하게 도착했습니다. 이전에 포장지만 주고 셀프 포장했는데 선물 포장해주니 좋네요",100점,2020.04.23
