,reviews,starpoint,date
0,"이제품을 사용한지 8년정도 된거같아요. 강. 추. 강. 추. 입니다.그러면 더이상 말이 필요 없겠죠??!!! ㅎ ㅎ딸아이태어나고 피부건조때문에 좋다는 제품은 ..,. 별 효과없더라구요.호호바오일 좋다는것은 사용해봐서 알고있었거든요.로션에 섞어바르면 촉촉해요. 크림은 필요도 없어요.많이 건조할때는 오일로만 마사지를 해보세요.피부로 스며들었다는게 느껴져요.그후 로션을 바르시면 담날도 촉촉하구부드러워요.여자분들도 얼굴 당기시는분들 로션에한두방울 떨어뜨려 바르시면 건조함이 .촉촉함으로.더우면 오일로 추우면 얼어요. 제리뽀처럼 굳어있다고 상한거아니예요. 따뜻한곳에 두면 다시 오일로 변합니다.이번에 아는동생에게 선물해줬더니 너무 좋아합니다. 정말 좋다고. ㅎ ㅎ아이 얼굴이 아침에도 촉촉하다고. (돌전아이였어요).요즘 저렴 제품도 많이 나오지만 ㅋ ㅋ전 오래된만큼 이제품이 젤 믿음이 갑니다.",100점,2020.11.15
1,블랙헤드 제거에 호호바오일이 좋다고 하고 네이버에서 이 제품 후기도 보고 구매했습니다. 그런데 오일 바르고 롤링해도.. 물을 발랐지만 유화작용은 없는 제품입니다. 블랙헤드 제거용으로는 구매 의사 있으신 분은 효과 없다는 점 참고 하시면 좋을것 같습니다. 사진은 사용후 찍은건데 블랙헤드는 그대로 입니다. 여드름 피부에는 오일은 무조건 안된다고 합니다. 전 복합성 트러블 피부인데 예전에 아르간오일 발라도 더 많은 트러블이 유발 된다고 느끼지 않아서 트러블 피부도 호호바 오일 괜찬을것 같습니다. 블랙헤드 제거는 효과 없지만 겨울에 보습용으로는 추천 합니다. 로션과 섞어서 바르면 될듯합니다.,60점,2019.11.25
2,평소에도 온몸이 많이 건조한편이지만 겨울엔 더욱 심해지는 1인이예요 특히 얼굴이랑 손끝이 건조해서 크림이랑 섞어서 바르려고 주문했어요 뽁뽁이로 꼼꼼하게 포장해서 보내주셨네요 첨에 받았을땐 날씨가 추워서 내용물이 굳어서 나오지않았는데 실내에 나두니 굳었던게 금방 돌아오네요. 크림에 두세방울 섞어서 얼굴이랑 손끝에 발랐더니 촉촉한 느낌이 오래가네요 그냥 크림만 발랐을땐 금방 스며들어서 건조해졌는데 확실히 오일이랑 같이 바르니 좋아요 기간이 11월까지라 열심히 발라야겠어요~~^^,100점,2020.02.13
3,"크림에 오일 한두방울 섞어 바르는데, 한번 누를 때 양이 너무 많이 나와서 불편해요.펌핑 용기가 한번 누를 때 양이 헤어오일 기준이라 얼굴에 사용할 때는 양조절이 어려워서 낭비가 되네요.꽁꽁 얼어서 배송되었고, 최근제품으로 믿고 유통기한 확인않고 구매했더니, 양은 많은데 비해 유통기한이 10개월 정도 남은거라서 실망했어요.헤어오일과 바디오일도 세개씩이나 있는데다, 10ml 호호바 오일 두개 중 한개가 그대로 남은 상태에서 명절쿠폰 사용한다고 구매했더니, 오래두고 사용할 수 없어서 아쉽네요.사용감은 번들거림이 심한 편은 아니라서 괜찮아 보이네요.",80점,2020.02.04
4,"처음에 제품 받고 나서, 사진에서 처럼 굳어 있는 형태를 보고 불량이 왔나 싶었습니다. 그런데 설명서를 읽어 보니 5도 이하에서는 얼 수 있다고 쓰여 있네요^^;; 구매 목적은 머리카락이 너무 상태가 안좋아 영양 공급 목적으로 샀는데, 바르고 나니 떡 진 모습이라ㅠ 하루 바르고 포기했습니다. 그냥 두기 아까워 검색해 보니 블랙헤드 제거용으로 많이 이용한다길래 저도 시도해 봤습니다. 지금은 블랙헤드 제거용으로 만족하며 사용중입니다. 블랙헤드 제거용으론 강추! 머리 영양제로는 비추입니다.",100점,2020.12.27
5,"극심한 건성피부입니다 좋다는 수분크림 ,나이트크림, 팩 ,오일도 여러가지써봤는데요바를때만 잠깐이고 다시 건조해지고 ㅜㅜ그렇다고 일하면서 건조할때마다 바를수도없고겨울만되면 반 포기했었는데요고요고 오자마자 크림에 잔뜩 섞어서 발랐더니ㅎㅎㅎ 걍 쫘악 스며들면서 아침에도 촉촉하니 안땡기네요 진짜 강추입니다 남편은 얼굴에아들램은 온몸에 발라주네요~~",100점,2019.12.11
6,"건조한 피부에는 오일이 답인거 같아요 오일중에서도 기타성분이 합쳐지지 않은 원액을 선호하는 지라 구입해 봤어요 인조향이 들어가지 않아 거부감 들지도 않고 좋아요 겨울내내 사용했는데 오일이다보니 소량만 쓰게 되어 반정도밖에 못썼어요 스킨케어단계, 파데나 비비에 섞어서 사용하는데 꽤 오래쓸거 같아요 2020년 8월까지로 유통기한도 넉넉하니 잘 보관해 두었다가 올 겨울에도 잘 쓰겠습니다.",100점,2019.06.25
7,"50이 되려하니 환절기에 건조함에 화장도 뜨고유튜브 검색하다 호호바오일 발견구매해 아침,저녁 스킨에 한방울 섞어 바르고있어요번들거림없이 촉촉하고 좋아요친구들에게 권하고있어요좋은건 나눠야 쟈나요피부타입에 맞게 양조절 잘하심 만족할거예요구매강추입구부분 오픈되있어 산화 걱정이 조금 되네요막는 뭔가가 있었으면 좋을듯저는 대충 이렇게 입구부분 막아놓고 씁니다.",100점,2020.10.23
8,"아주 좋아요. 우리아이 피부가 너무 예민해져서 손도 아직도 입에 자주 넣다보니 양쪽 입가가 매일 빨갛게 되있고 건조했는데, 이거 아침저녁으로 바르고 있는데 확실히 좋아졌어요. 덜 빨개지고 촉촉해지고 부드러워요ㅎ 요즘 더 건조한 날씨인데, 더 자주 발라줘야겠어요. 단점. 촉촉함이 이틀정도 가요^^",80점,2020.04.27
9,"호호바오일은 한번도 안써봤는데 후기가 워낙 좋아서 구매했어요.요즘 자고 일어나면 얼굴이 당겨서 스킨 다음에 오일만 발라보기도 하고 크림에 섞어 발라도 봤는데 역시 크림에 섞는게 제일 좋네요.오일만 바르고 난 후 생각보다 기름지지 않아서 만족했고요, 양이 많아서 언니와 함께 써도 오래 쓸 수 있겠어요.현재로서는 다 쓰고 재구매할 생각이 충분하네요.",100점,2019.11.04
