,reviews,starpoint,date
0,"요새 여름이고 피부화장하고 마스크 착용하다 보니 얼굴에 여드름도 많이 나고 화이트헤드도 많이 올라와서 너무 스트레스였거든요~ 인터넷 검색하다가 화이트 제거용으로 좋다고 해서 구매하게 됐습니다. 물기없는 상태에서 바르고 10분정도 문지르면 화이트헤드가 올라온다고 하더라고요. 구매하고 두번 정도 사용 해봤는데 아직은 화이트헤드가 막 올라온다는 느낌은 별로 없는거같아요ㅠ 사용법을 잘못했는지 잘 모르겠지만 기대하고 구매했는데 결과가 별로 없어서 조금 속상했네요ㅠ 요새는 피부가 너무 건조해서 로션 바르고 속당김 잡으려는 용으로 마지막에 발라주고 있습니다! 자고 일어나면 전보다 속당김이 적어지고 피부결 건조해보이는게 좀 완화된 느낌입니다! 너무 많이 바르면 번들거리는 느낌이 심해서 살짝만 발라주고 있어요! 꾸준히 발라서 효과보고 싶네요 :)) 아, 그리고 피부에 원래 아토피가 좀 있어서 자극적이면 심하게 뒤집어지거나 간지러운데 전혀 자극적이거나 뒤집어지진 않았습니다. 구매하실때 참고하세요~~ ㅎㅎ",100점,2020.06.05
1,"가을 겨울이 되면 건조함이 심해지는 복합성 피부입니다. 뺨 쪽에 안면홍조도 있어서 보습에 신경을 쓰지 않으면 오후쯤엔 땡기고 쓰린 느낌에 잔주름도 심해지는 것 같아서 보습에 좋다는 천연 페이스오일을 찾고 찾다가 이 제품을 발견했지요.. 화학첨가물 없고 적당한 유분감으로 보습에 참 좋네요. 자세히 알고 싶으신 분은 디렉터파이 님 언급하신거 인터넷에 많이 나와 있으니 보시면 좋을 듯요^^ 개인적으로 스킨에 2방울, 피지오겔 로션에 2방울 섞어서 쓰는데 딱 좋은 것 같습니다. 그리고 용기입구에 묻어서 불편하니 덜어쓰라는 리뷰들 보고 저도 스포이드 공병에 덜어쓰는데 세상 편하니 좋아요^^ 워낙 양도 많아서 2~3년 넘게 쓸 수 있을 것 같아서 작은 공병에 덜고 남은 제품은 냉장고에 보관하고 있네요 ^^ 세일해서 좋은 가격에 샀네요. 감사합니다~ ^^",100점,2020.02.29
2,호호바 오일 두번째 구매해서 사용중입니다. 저는 호호바 오일을 몰랐는데 엄마께서 피현정 리뷰를 보시고 먼저 알려주셨어요. 민감성 피부라 스킨 로션 다른 지인들로부터 좋은 걸로 추천 받아서 써봐도 어느 날은 괜찮다가도 가끔씩 얼굴이 따갑고 화끈거리듯 빨개지면서 통증이 올라올 때가 있었습니다. 엄마께서 알려주신 이후 약국에서 대용량 식염수를 사두고 작은 용기에 식용수와 호호바오일 몇 방울을 섞어서 직접 스킨을 만들어서 사용중인데 따갑지 않고 좋은 것 같아요. 다만 날이 춥고 바람 세게 부는 날은 피부가 당기기도 하니까 꼭 수분크림이나 영양크림을 보충해서 발라줘야 할 것 같습니다.,100점,2020.03.01
3,비정제 100%여서 구입했습니다. 전 다른 오일류는 잘 안맞는데 섞이거나 정제안된 호호바오일은 잘 맞더군요. 건조해 지지도 않고 촉촉하게 그대로 보습을 잘 막아주는듯하고 부드럽게 피부에 붙는 느낌입니다. 겨울 신랑 몸에도 바디로션 바른후 발라주는데 알러지없이 며칠지나면 촉촉해져 좋더군요 겨울만 되면 다리가 건조해지고 간지러워 했는데 호호바오일 듬뿍 발라주길 며칠했더니 좋아졌어요. 그래서 이번에도 호호바오일 구입했어요 기초화장 제일 마지막단계에 발라줬는데 촉촉하고 부드러웠어요,100점,2020.01.31
4,요즘 호호바오일 ?다고들 하도해서 첨 써 본 호호바오일 입니다. 정말 고개가 끄덕여지는 제품!!! 제가 무슨 광고하는 것 같아요ㅎㅎ 다른 제품은 제가 써 본 적이없어서 모르겠어요 근데 진짜 이 제품 가격 대비 최고예요~~~~ 이렇게 저렴한 제품을 쓰고 만족도 이렇게최고인적은 첨예요 저 화장품 꽤 비싼 것 써요...ㅎ 이것도 아이들 발라주려고 샀었거든요... 아이들 건조한 피부 정말 눈에 띄게 좋아졌구요 지금은 제가 더 많이 애용 하는 제품예요~~머리부터 발끝까지~ 앞으로 쭉 사용하려구요♡♡♡♡♡ 별 다섯개지만 하트다섯개로~~!!,100점,2020.01.10
5,"24개월 아기 피부가 너무 민감성에 건성 아토피도 있어서 아무리 좋다는걸 발라도 금방 부석거려 고민이 많았는데 호호바 오일이 좋다는 얘기를 듣고 한번 사봤습니다. 평소 발라주던 로션에 블렌딩해서 발라주는데 더 촉촉함이 오래가고 덜 건조한 것이 느껴져서 좋더라구요! 오일만 발랐을땐 아이 옷에 스며들어서 빨아도 기름 쩔은내 같은게 남는것 같으니 로션과 블렌드해서 발라주는게 좋을것 같습니다. 한통 다 쓰면 다시 주문할 의향 있고요, 어른들도 건성 부위에 바르면 도움 되는것 같아요",100점,2020.03.27
6,"속건조가 있는 피부라 해바라기씨 오일 사용해봤는데 겨울철에 사용하기 괜찮은거 같이 무게감이 있습니다. 동백오일은 가벼워서 피부에 겉도는 느낌이어서 호호바 오일을 이번에 시험 삼아 시켜봤는데, 다른 스킨, 토너 제품이랑 섞어서 사용해주면 보습력도 높여주고, 피부가 수분을 잘 잡아줍니다. 블랙헤드 제거도 가능하고, 피부를 매끈해지게 하는데 효과가 좋습니다!ㅎㅎ",100점,2020.05.26
7,화해어플보구 랭킹1위라 주문해봤어요.40대들면서 피부가 얇고 민감해졌서 각질제거제품 찾고있었어요.각질제거제품으로 각질제거하면 피부가 열감나고 따까워서화해보니 호호바오일이 각질제거에 좋다하여 사용해봤어여.몇분 롤링하니 알갱이들이 만져지드라구여.오일이라 피부에 무리도 안가고 괜찮은거같아여.다른오일에 비해 쫌 묵직한감은 느껴져요.건성피부에겐 괜찮은데 지성피부들은 무거울꺼같아요.,80점,2019.05.26
8,100%천연오일은 첨이라 사용시 어? 발랐나? 싶었어요. 겉도는게 없어서 오히려 이상하기도했지만 흡수가잘돼서 그런가봐요. 물기있을때 발라야되요. 자꾸 사용하다보니 좋드라구요. 끈적이는것없이 바르고 마르고나면 부드라운것같네요. 좀더 추워지고 건조해지면 바디로션에 섞어바름 더 좋겠어요.블랙헤드나 모공에도 한번씩 롤링씩 깨끗해지는것같아요...,80점,2019.10.13
9,"건성피부인데 로션, 크림과 사용하면 촉촉하니 좋아요. 흡수력도 좋아요. 자기 전에도 수분크림과 함께 사용해도 다음날 아침까지 촉촉한 느낌이에요. 건성피부에게 좋은것 같아요 꾸준히 사용 해도 좋을것 같아요",100점,2020.05.30
