,reviews,starpoint,date
0,"디오디너리 나이아신아마이드 10% + 징크 1% 30ml 정품을 체험단을 통해서 경험하게 되었습니다. 30ml 정품의 가격이 5900원입니다. 요즘 마스크를 매일 쓰고 다니다보니, 피부가 더 예민해지고 트러블이 많아지기도 해서 고민이었는데요, 피지를 조절하고 트러블케어에도 효과적인 제품이라고 해서 제품을 받은 후 바로 사용해 보았습니다. 나이아신아마이드 성분은 피부잡티와 트러블 감소에 효과적이고,비타민 C관련 스킨케어와 함께 사용하면 안된다고 합니다. 나이아신아마이드는 피부잡티를 감소시키고, 피지활동의 균형을 돕지만 여드름 치료제는 아니라고 해요. 이 제품은 여드름용 제품과 함께 사용해도 좋다고 합니다. 이 제품은 알콜프리, 오일프리, 실리콘프리, 글루텐프리 제품입니다. 제품의 성분과 특징에 대해서 충분히 숙지한 후에 사용해 보았습니다. 스포이드 형태라서 양조절이 쉽고 더욱 위생적으로 사용하기 좋더군요. 하루에 2번, 무거운 크림을 사용하기 전 단계에 사용해 보았습니다. 약간 점도가 있는 제형이라서 메이크업을 하기 전에 바르기 보다는 저녁에 잠들기 전에 바르는 것이 더욱 좋더군요. 제 피부에는 잘 맞았고 따갑거나 자극이 없었습니다. 피지조절이 필요한 부분과 잡티가 있는 부분에 중점적으로 바르고 있습니다. 고강도 비타민 포뮬라는 처음 사용해 보았는데, 자극없이 피부에 잘 맞았고,기존에 사용하던 여드름용 더마화장품과 병행해서 사용하고 있습니다. 트러블 피부에 잘 맞는 제품이라고 생각됩니다.",100점,2020.04.30
1,"20대 건성피부 , 기미잡티 O , 여드름X 평소에 피부는 건조한데 기미나 잡티는 많아서 항상 세럼종류를 달고사는 피부타입이에요. 체험에 운좋게 당첨되서 일주일간 꾸준히 써본 솔직한 후기 남깁니다. 일단 제형이 물같은 타입은 아니고 살짝 점성있는 제형이에요. 향은 거의 무향으로 봐도 될거 같고 예민하신분들은 아세톤? 같은 향이 느껴질수도 있겠네요. 얼굴에 발랐을때 붉어진다거나 자극, 두터운 느낌도 없어서 좋았어요. 지성분들은 밤에만 사용하시고 건성분들은 그냥 아침에 발라도 상관없을것 같은 느낌이네요. 제가 워낙 건조한 피부라 아침에 펴발라도 잘 맞았습니다. 아직 일주일밖에 사용을 안해서 모르겠지만 피부결정돈되는 느낌도 들고 흡수력도 좋아 데일리템으로 만족하며 쓰고있어요 무엇보다 가격이 너무 착해서 쟁여놓고 쓰기도 좋을것 같아요. 보통 이런 세럼이 기본으로 2~3만원씩 하다보니까 5900원이라는 가격이 너무 혜자처럼 느껴지네요. 데일리세럼 고민하고 계시는 건성분들께 추천드리고 싶네요.",100점,2020.05.05
2,낼 모레면 50세인데 아직까지 생기는 여드름 때문에 유투버를 찾아 보던 중 이 제품을 알게 되서 바로 주문 했어요 형제들 중에 제가 젤 잘 씻는데 저만 피부에 문제가 많네요워낙 초 민감성이라 잘못 발랐다가 더 나빠질까봐 일단 목에 발라 봤더니 괜찮아서 어제부터 바르기 시작했구요 건조해져서 화장이 다 밀린다는 얘기가 많아 연휴기간 화장 안할 때 열심히 발라서 피부에 적응 시켜 보려구요 사용한지 몇번 안됐지만 이거 바르고 수분크림을 덧발라 줘서인지 딱히 따갑다거나 하는 느낌은 없었구요 손바닥에 덜어서 눈가 제외한 부분에 발라주면 순식간에 흡수되요 미백이나 노화. 피부장벽이 주된 효능이지만 염증에도 좋아서 여드름 진정에도 좋다고 하니 꾸준히 발라보려구요 이것 때문인지 얼굴에서 광채가 나는 것 같기도 해요 일단 한병만 샀는데 가격도 부담 없으니 좋으면 엄마에게도 사드릴까봐요,80점,2020.04.30
3,"많이많이 건조하고 예민한 피부인데 자극이 있다는 후기들이 있어 솔직히 사용전 걱정이 됐는데 따갑다거나 그런 자극 전혀 없이 사용하고 있고. 제품의 향도 특별한 어떤 향이 느껴지지 않아 더욱 마음에 들었음. 사용감은 스포이드로 깔끔하게 똑똑 떨어뜨려 흡수도 잘되는 편이었고 보습력 역시 단독 사용을 한다면 좀 부족하겠지만 수분크림이나 계절에따라 페이스오일, 영양크림으로 덧발라주니 개인적으로는 굳이 단점이라 말할게 없음. 다만, 잡티가 참~많은 피부이고 그 부분에 효과를 많이 기대하고 사용중인데 아직 사용한지 얼마 안된터라 조금 더 사용을 해봐야 좀 더 눈에 띄는 효과가 있지않을까 싶음. 가격대비 제품 성분이나 사용감등 만족스런 제품이라 재구매하여 계속 사용할꺼임~^^",100점,2020.05.05
4,"수분 베이스세럼으로 나이아신아마이드는 미백,잡티와 트러블 감소효과가 있고 징크 항염효과가 있다고 해서 관심이 가지게 되었어요. 비타민C 함께사용하면 안된다 고해서 평소 사용하고 있던 비타민C 에센스를 사용하지 않았어요. 전 저녁때 크림 사용하기 전에 사용했는데 스포이드 형식의 묽은 제형타입으로 흐르지 않아요. 피부 자극 약간 있어 검색해보니 고함량 성분 때문에그런것이 라고 되어 있어 계속 사용했구요 일주일 사용했는데 아직 미백,잡티와 트러블 감소효과는 아직은 모르겠지만 확실히 피부결은 정돈되는 느낌이었어요.",100점,2020.05.10
5,20대 / 민감성 피부처음에 모르고 얼굴 전체에 발랐을 때는 얼굴 피부가 뒤집어졌습니다 ㅠㅠ. 그런데 굉장히 순한 크림에 한 방울씩만 떨어뜨려 쓰니까 효과가 정말 좋았어요. 확실히 지금은 빨갛던 여드름 자국과 홍조가 거짓말처럼 사라졌습니다. 아침에는 바르면 화장이 밀린다는 이야기가 있어 아침에는 바르지 않고 저녁에만 한 방울씩만 사용하고 있습니다. 저에게는 확실히 피부톤 보정과 홍조 완화 등의 효과가 있어서 재구매할 것 같아요.,100점,2020.04.28
6,자극적이지 않고 피부에 바로 흡수되어서 좋습니다 기미 잡티에 효과가 있는 성분들로 이루어져있는 제품이라 꾸준히 발라보고 재구매할 생각이에요 무엇보다도 가격이 너무 착하고 기미 잡티에 효과적인 성분으로만 이루어져 있는 제품이라 믿음도 가고 본질에 충실한 제품이라는 생각이 듭니다 배송 받았을때 박스 테이프나 화장품 용기 감싸는 충전재도 환경을 생각하는 재생용지라서 받고나서 기분이 정말 좋았습니다 좋은 제품 감사합니다,100점,2020.05.01
7,"요즘 건조한 날씨에 바쁘다보니 피부가 유난히도 칙칙하고 붉은기가 많더라구요ㅠ 디오디너리 세럼은 비타민과 미네랄을 고농축한 세럼입니다. 일주일간 자기전에 꾸준히 발라보니, 피지조절이 잘되고, 피부가 맑아지고 정리되는 느낌이였습니다 항상 트러블로 인해 피부가 울긋불긋 했는데요 세럼을 바른 후 많이 개선된게 느껴집니다 가격이 너무나도 저렴한데, 효과가 일주일만 써봐도 느낄정도라 저는 꾸준히 써볼예정이예요 한달 뒤 제 피부가 기대됩니다♡",100점,2020.04.30
8,나이가 들면서 피부도 쳐지고 모공도 점점 넓어져서 걱정이 많았는데 요 제품이 저의 이런 고민들에 도움을 줄수있다고 해서 사용해봤어요. 투명한색의 약간의 점성이 있는 제형이었어요. 크림 바르기 전에 얼굴에 펴 바르는건데 바르는 순간 깜짝 놀랐어요. 재빠르게 피부에 확! 흡수되는것이! 너무 쫀쫀하더라고요.바르는순간 피부결도 매끄러워져서 울퉁불퉁한 피부 요철을 어느정도 커버해주는것 같아요. 꾸준히 사용하면 피부결정돈에 도움이 많이 될듯 합니다^^,100점,2020.05.19
9,"체험단리뷰를 처음 신청했는데 당첨될지 몰랐는데 당청돼서 너무너무 좋았어요 ^^ 체험분을 하루하루 사용해봤어요! 일단 얼굴에 바르니까 촉촉하고 금방 흡수되더라구요 그거에 놀랐어요! 바른다음에 향도 적당하고 촉촉해서 얼굴이 탱탱하고 그뒷날도 맑은 피부를 볼 수 있어서 넘넘 좋았아요! 영양,수분 관리가 필요하신분들 꼭꼭 사용해보세요! 후회안할 템 입니다 ㅎㅎ",100점,2020.05.08
