,reviews,starpoint,date
0,"예전에 갈락토미 에센스+크림썼을때 갑자기 잡티가 사라져서 놀랐던적이있어요 그러다가 딴제품 방황하다 다시 사봤는데 뭔가..예전만 못하네요 지금은 갈락토미 에센스만 쓰고 달팡수분크림이랑 같이 쓰는데 그냥 갈락토미 에센스+갈락토미 크림으로 일관되게 쓰는것이 좋은건지 아님 제 피부가 고새 더 안 좋아진건지 그닥 촉촉하지도않고 잡티가 옅어지는것같다는 느낌도 따로 못 받고있어요. 뭔가 처음과는 좀 달라진 것 같아 ? 스럽기도 하지만 뭐 그렇다고 이 가격에 바른다고 트러블나는것도 아니고 잡티가 막 더 생긴다는 느낌도 못 받고 있어 무난하게 쓰기에는 요만한게 또 없다 싶어요 암튼 요번에는 좀 꾸준하게 써 보려고 해요 성분은 참 순한 것 같아요 귀찮아서 남들한다는3스킨, 5스킨은 커녕 에센스 흡수되기도전에 크림 발라 버리지만;; ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 다음에는 갈락토미 에센스 크림 세트로 꾸준히 관리해보려구요 쓸만한 기초 없다, 다른건 넘 비싸다 싶을땐 마녀공장 요라인이 딱이에요 그냥 푹 푹 찍어 흘러넘치게 발라도 가성비 넘침",100점,2020.02.07
1,"맑은 유형의 에센스입니다~ 50ml라 양이 넉넉하구요 영상을 첨부했는데 일반 에센스보다 묽은편이에요 스포이드로 한번 누르면 딱 한번쓸만큼의 양이 펌핑되어요 묽은만큼 찍어바르기보다 손바닥으로 얼굴전체에 펴바르게되어서 편합니다~ 아침엔 스킨-에센스-가벼운 크림을 바르는 편이고 밤엔 스킨-에센스-제형이 좀 되직한 수분 크림을 발라요 건조할땐 크림2개를 쓰기도합니다 피부가 얇고 복합성이라서 오일리하거나 무거운타입을 좋아하진 않는편이라 이 제품은 꾸준히 쓸것같아요 다만 고보습, 나이트에센스 제형을 좋아하시는분들은 너무 가볍다하실것같아요 나이로만 나누긴 모하지만 20-30대분들 좋아하실것 같아요 샘플까지 넣어주셔서 너무 잘쓰고 있습니다~",100점,2019.12.03
2,믿고쓰는 제품이라 구입했어요 봄이나 가을에는 충분히 보습될만큼 촉촉한 편인데 겨울에는 아무래도 오일이 더 나은거 같아요. 제가 피부가 건조한 편이라 그런지 아무래도 만족감이 조금 덜한 편입니다. 하지만 무향 제품을 찾고 계신 분들에게는 만족할만한 제품입니다. 믿고쓰는 제품이라 구입했어요 봄이나 가을에는 충분히 보습될만큼 촉촉한 편인데 겨울에는 아무래도 오일이 더 나은거 같아요. 제가 피부가 건조한 편이라 그런지 아무래도 만족감이 조금 덜한 편입니다. 하지만 무향 제품을 찾고 계신 분들에게는 만족할만한 제품입니다. 앞으로도 구매할거같아요,100점,2020.01.03
3,"이 제품 정말 최고입니다. 토너든 에센스든 크림이든 피부결좋다는거, 순하다는거 다 써봤는데 이것만한게 없습니다. 괜히 비싸게주고샀는데 피부 따갑고...그다음에는 물처럼 순한거 샀다가 속건성 해결안되서 팔자주름 생기고..그러다 이거 썼는데 신세계였습니다. 바르자마자 오일처럼 건조함이 사라짐 + 그렇다고 오일처럼 무겁거나 번들거리지않음 + 당장 피부가 부드러워짐 진심 완벽하고 신기한 제품입니다. 대용량 에센스나 토너에 비해 비싸긴한데.. 피부 민감하고 건성이면서 크림바르면 기름기 도는....관리하기 어려운 피부가진 저한테는 고마운 제품이에요!",100점,2019.11.14
4,항상 앰플만 써오다가 또 피부가 뒤집히진 않을까..불안한 마음을 가지고ㅠㅠ(복합 민감성 피부입니다...)비피다 락토 앰플을 너무 잘 쓰고 있기에 얘도 주문해봤어요사실 얘나 앰플이나 똑같이 물처럼 흐르는 제형인데막상 발라보면 발림성이나 바른 후 느낌은 다르네요!에센스제품은 흡수시키고 나면 보송한? 엄청 빠르게 흡수된다는 느낌이 들고앰플은 물처럼 생긴게 바르면 쫀득한 느낌이 들어요신기했네요 ㅋㅋㅋ 다행히 아직 피부 뒤집히는 일도 없고 당기는 느낌도 줄어서 ㅎㅎ앰플이랑 같이 쟁여놓는 아이템 될것같아요~~,100점,2019.05.04
5,배송은 빨랐습니다.이전에 샘플키트 사서 써 본적 있었는데 갠적으로 비피다가 훨씬 맘에 들었는데 갈락토미 나이아신 에센스만 세일 상품으로 나와 아쉽지만 구매했네요. 갈락토미 나이아신 에센스가 미백에 효과가 좋다고 입소문이 많이 나있어서 기존에 가지고 있던 비타민C 파우더랑 섞어서 쓰면 효과가 훨씬 좋을 것 같아 같이 쓰고 있는데 지금 한 5~6일? 정도 됐나? 확실히 자잘한 잡티들은 많이 옅어지고 피부톤이 많이 밝아 진 듯 합니다.앞으로 더 써봐야 겠지만 현재까진 꽤ㅈ만족 스럽네요. 잘 받았습니다.,80점,2019.07.13
6,갈락토미 나이아신 에센스는 지금 몇년째사용중이에요~아직쓰던거 남았는데 떨어질까 불안해서 미리시켰어요!!바르면 확실히 얼굴색이 밝아져요쓸땐 몰랐는데 예전에 잠깐 늦께시켜서 한동안 못쓴적이있었는데헐...얼굴색이 칙칙하고 어두워져서 그뒤론 절대 떨어지지않게미리미리 시켜놓는답니다. 근데 예전에는 80ml나왔는데요즘은 50ml로만 나오나봐요 ㅠㅠ 그래도 12ml증정품주시고샘플도챙겨주시고해서 만족만족!!!마녀공장은 성분도 좋아서 믿고사용할수있어요다쓰고 재주문할께요,100점,2020.02.10
7,마녀공장 쓴 후로 토너는 따로 사용하지않고 기초 첫 단계에서 갈락토미세스 에센스 사용하고 있어요 겨울에는 조금 건조해질수 있는데 피부결정돈도 잘되고 자잘한 트러블도 잘 들어가요 갈락토미세스 에센스 말고 크림도 함께 사용해주면 촉촉함도 더해지고 보습도 해주면서 피부톤이 더 밝아지는 느낌입니다,100점,2020.03.08
8,나이아신 나올때마다 무조건주문한아이템인데요 좋다는후기가 많아서 한번 써봐야할거같아서 주문했어요~~~제가 직접 써보니까 괜찮은거같아서 주변지인들한테 추천해드려죠 ^^지인분들 하나 둘 씩 주문해서 쓰고있어요~~써보니까 역시 다들좋다고하네요 ~점점? 주변에 마공팬들이 하나씩늘어가고있네요 ㅋㅋㅋ저만이뻐지면 안돼잖아요 다같이이뻐져야죠 ㅋㅋ비타민세트도너무좋아서 오늘딜떳네요 그거도 역시주문하러~~고고고~~~~^^이상 ?마공 완전사랑한일인의 솔찍한후기입니당♡♡♡,100점,2019.03.16
9,"유튜브 디렉터 파이 영상을 보고 구매를 결정했습니다.물건을 받아보고 휴대를 할 수 있는 샘플을 보고 너무 마음에 들었습이다. 여행도 자주 다니고 운동 끝나고 샤워 후 사용하기도 좋고요, 일단 사용감 너무 마음에 들었습니다. 번들거림 없는 사용감 뒤 촉촉한 보습력 앞으로 꾸준하게 애용 할 곳 같아요... 이정도 퀄리티에 이가격이라면 많은 분들에게 추천하고 싶네요~",100점,2019.05.31
10,전 피부가 완전 악건성이라 관리가 쉽지않아요. 각질이 잘 일어나더라고요.그런데 이상품은 일단 흡수가 너무 잘되는 느낌이랄까?그리고 얼굴당김이 확실히 줄었어요.아무튼 다른것보다 보습력좋고 가격도 너무 착하고 괜찮네요.그리고 판매자님 같이보내주신 히알루론로션 너무너무 앰플보다 더 좋은것같은데 제품이 없어서 못사네요...ㅠㅠ,100점,2019.03.18
11,샘플. 할인까지득템. 신제품샘플 보습 탄력에 피부탄력증가 쫀쫀한젤형태로 피부에 잘스며들어 보습에 너무좋은것같아요. 갈락토미세스 미백에 탁월한 효과가가있어서 사용한지 3년. 피부 트러블도없고 순해서 민감한피부사용에도좋은것 같아요50대중반. 아직은 주름없이. 하얀피부를 유지하는데 갈락토미세스 착한성분들이 피부에도움이 되었어요,100점,2019.12.21
12,속당김 심한 악건성이예요. 나이가 들어서 그런가 가을에 피부가 너무 거칠어졌는데 이제품 쓰면서 속당김이 덜해지고 피부가 부드러워졌어요. 그러나 겨울되니 다시 속당김 생기네요. 그래도 뻣뻣해졌던 피부가 다시 부드러워진 것만으로도 만족하고 계속 쓰고 있습니다. 가격도 싸고 좋아요,100점,2020.11.28
13,속당김 심한 악건성이예요. 나이가 들어서 그런가 가을에 피부가 너무 거칠어졌는데 이제품 쓰면서 속당김이 덜해지고 피부가 부드러워졌어요. 그러나 겨울되니 다시 속당김 생기네요. 그래도 뻣뻣해졌던 피부가 다시 부드러워진 것만으로도 만족하고 계속 쓰고 있습니다. 가격도 싸고 좋아요,100점,2020.11.28
14,"향은 거의 없어요. 오일이라기 보다는 점성있는 스킨느낌이에요. 보습력은 좋은것 같은데 바를때 스킨바르는 느낌이라 에센스같지가 않아서 좀 아쉬워요. 요즘처럼 더운 날씨엔 사용하기 좋은데 건조한 계절엔 사용안할것 같아요. 포장은 꼼꼼하게 와서 좋았구요, 샘플 주신것도 잘 쓰겠습니다.",100점,2020.07.04
15,스킨 같은 제형이라 부드럽게 발립니다. 각질 완화에 도움을 주는 것 같습니다. 다른 기초 사이에 에센스 발라주면 다른 묵직한 에센스나 크림이 더 잘 흡수된달까요. 그래서 기초화장 사이에 해주면 시너지 효과가 납니다. 마녀공장 제품은 다 순하고 세일 행사를 자주 해줘서 좋습니다 ㅎㅎ,100점,2020.05.08
16,먼저 엄청 빠른 배송에 칭찬을...??????저는 피부가 깔끔하지 않아서 에센스나 로션에 관심이 많은데요 마녀공장이 좋다는 얘기는 들었은데 처음 구매해보네요~우선 물같은 제형이구요. 겨울에 사용할때는 로션이나 크림 덧 바르는게 좋을 것 같아요.어제 처음 발라봤는데 꾸준히 사용해보려구요^^,100점,2020.02.05
