,reviews,starpoint,date
0,"겨울 바람이 시작된다 싶다면 항상 CNP 애플로 돌아왔습니다 제 피부는 악건성은 아닌데 눈 꼬리쪽과 볼과 턱이 건조하면 홍조 띄다가 모공이 부각되고화장이 아예 안 먹는 피부가 되어버립니다 프로폴리스 앰플 바르고 자고 일어나면 피부가 촉촉쫀쫀해지다못해 화장품 하나도 모르는 남편이 화장품 바꿨나면서 피부가 엄청 좋네라며 알아차릴 정도예요 사진은 자고 일어나서 세안하고 프로폴리스 미스트 + 앰플만 바르고 찍은거에요 예전에는 무조건 비싸고 명품 브랜드꺼 써야한다는 생각이 많았는데, CNP꺼 사용하고는 나에게 맞는 화장품을 찾아야하는구나를 알게 되었어요 가격대비 효과도 확실하니 또 떨어지면 구매하려고 합니다 아 맞다 그리도 샘플도 두둑히 주셔서 너무 감사했어요",100점,2020.12.10
1,결론 최고예요 정말 여드름 진정되고 홍조도 개선되고 탄력도 생기고 화장도 잘먹게해주고 피부가 확실히 건강해져요 ————— 제가 해외거주중이라 차앤박 프로폴리스 구할수없어서 다른 브랜드 프로폴리스릉 급한대로 사서 발랐는데 ... 그때 차이를 엄청나게 느꼈습니다 여드름 올라오고... 모공속에 피지가 딱딱해지면서 ㅡㅡ 아주. 단단히 박혀지고 .. 그래서 엄마한테 택배로 차앤박프로폴리스 받았는데 진심 차앤박프로폴리스 쓰자마자ㅋㅋ 여드름 진정되고 ㅋㅋㅋㅋ피부가 좋아지는거예요 진짜로 ㅋㅋㅋ 전 진짜 이게 인생템이예요 프로폴리스라고 다 똑같은게 아니예여ㅠㅠㅠ 진짜 차앤박 프로폴리스 강추합니다,100점,2020.09.07
2,"필링세럼과 같이 쓰면 좋다고 해서 패키지 구입했는데요, 2주 좀 못되게 사용해봤고요, 지금은 가끔씩 발라요. 잘 발리는 편이고, 촉촉한 편이며, 농축된 느낌의 세럼기능인 것 같아요. 어떤 화장품이건 한달이상은 써야 효과를 보기때문에 좋다나쁘다 말할 수 없을 듯 싶어요. 다만 유수분밸런스가 깨져서 각질부각이 많이 되는 것 때문에 무자극 필링과 영양커버를 위해 세트로 샀었는데, 2주 정도론 효과가 없어요. 요거 세럼 하나만으론 고보습 고영양 느낌은 좀 부족한 것도 같아요. 양은 생각보다 많아요. 재구매는 안하겠습니다. 구입에 참고하세요~",100점,2020.01.12
3,차앤박 그린 앰플 쓰다가 레드 시리즈가 나와서 써봤는데 그린이 더 나은듯해서 그린으로 다시 돌아왔다가 샘플로 에너지앰플을 썼는데 좋더라고요그린은 속건조타입인 제가 쓰기에 조금 건조 했어요 하지만 계속 쓰면 피부가 속부터 달라지는걸 느끼기에 조금 건조하다 느끼는걸 크림으로 커버하며 썼었는데 에너지앰플이 그린보다 유분기가 좀 더 있는거 같아서 에너지로 갈아탔네요 그린 쓸때 한달정도 뒤에 확실히 피부가 좋아졌거든요에너지 앰플도 그러리라 믿고 열심히 써봐야겠어요,100점,2020.12.21
4,"2주째 쓰고 있는데 너무 좋아요.자기전에 바르고 자니까 아침에 피부가 보들보들 촉촉해짐또 구매할거에요!!~ 기본 10자 이상 작성시 100P 즉시지급 이미지 등록시 100P 즉시 추가지급개당 상품 가격이 5,000원 이하 상품은 적립대상에서 제외되며,리뷰 포인트는 최초 1회 작성시에만 지급됩니다.같은 단어가 반복된 내용은 임의로 삭제되며, 지급된 포인트가 회수될 수 있습니다. 다른 고객님들에게 유용한 상품 리뷰를 작성해주세요.",100점,2020.04.10
5,"받은 정품은 선물로 주고, 저는 동봉해서 보내 주신 샘플만 썼는데, 생각보다 좋았습니다. 에센스나 세럼 단계에 쓰던 것이 다 떨어져서 사용해 봤는데, 재구매 하고 싶긴 하네요. 원래 쓰던 것 보담은 좀 묽어서 약간 흐르긴 하는데 자극 없이 누구에게나 권할 수 있을 듯 합니다. 원래 쓰던 것 한 병이면 이걸 15개에서 20개 정도 살 수 있다는 가성비도 큰 요소이긴 합니다. 가격대비 완전 만족입니다.",100점,2020.03.19
6,"에너지, 그린,레드 프로폴리스앰플+같은구성 크림들이랑 같이온 미스트도 다 써본상품인데 저에겐 이상품이 너무 훌륭한 세트구성이에요특히 처음출시됐던 에너지앰플이 젤 좋아서 재구입한거고피부가 예민한편인데 크림만 저한텐 보습감이 살짝 부족한편이고 앰플,미스트 너무잘맞고 용량대비 구성대비 가격이 매우 훌륭하네요1미리 15장 준다고했는데 20장 보내줬네요 서비스도 짱좋",100점,2020.04.04
7,두개 주문 하였는데 상품의 용량이 차이가 나는 제품입니다 결론은 모든 제품이 진품이 의심되고 그래서 저는 그냥 버렸습니다 구매 준비 하시는 분들은 생각 많이 하시고 주문하시는게 나을듯 싶네요 가격이 저렴하다해서 좋은게 아닌듯 이번에 확실히 느꼈습니다 제품 문의에 글을 여러번 남겼지만 답변은 확인해보고 연락준다고만 하고 전혀 신경쓰지 않는 그런 곳이네요 완전 최악의 판매처입니다,20점,2019.11.29
8,차앤박 비비쓰고있어서 이번엔 앰플과 아이크림도 시켜봤습니다피부가 워낙 예민한편이라 걱정했는데 크게 트러블없고 지금4일째 사용중 입니다 촉촉하고 끈적임없이 흡수잘되니 좋구요 아직 효과는 못봤는데 더써봐야 알것같습니다 좀 더 촉촉한 피부가되길 바라면서~~^^열심히 발라봐야겠어요,80점,2020.12.05
9,영양분 함량이 높아 매우 쫀쫀하고 질감이 좋습니다. 흡수도 잘됩니다. 합리적인 가격도 맘에 들어요! 영양분 함량이 높아 매우 쫀쫀하고 질감이 좋습니다. 흡수도 잘됩니다. 합리적인 가격도 맘에 들어요!영양분 함량이 높아 매우 쫀쫀하고 질감이 좋습니다. 흡수도 잘됩니다. 합리적인 가격도 맘에 들어요!,100점,2020.03.16
10,차앤박 톤업크림쓰다가 혹시나해서 구매했는데 발림성좋고 흡수잘됩니다 거기에 촉촉하기까지해요^^한통다쓰고 두번째구매하는데 요새 티비광고에도 나오더라구요30ml용량 한달쓴거같아요 가격대는 뭐 이정도면 괜찮다구 생각하구요 트러블이 심한피부라 아무거나 못쓰는데 앰플은 믿고 씁니다 추천해요??,100점,2021.02.26
11,최근에 피부 컨디션이 안좋아서 구매했어요~ 프로폴리스가 개선에 좋다길래! 저렴하게 구매한것 같아서 만족하는데- 구매하자마?ㅋㅋㅋㅋ 또할인 ㅠㅠ 같이 사은품으로 온 크림들은 후기 찾아보니까 얼마 없더라구요... 재고처리인가 싶어서 쓰기가 좀 그래요;;;; 크림대신에 앰플 샘플 더주는게 나을거 같아요ㅠ,100점,2020.07.10
12,비싼거 싼거 여러가지 에센스를 써봤지만 이렇게 딱 효과있다고 느낀건 이거 처음이에요! 항상 아침 저녁으로 매일 쓰는 제품이에요. 이거 쓰면 정말 담날 화장이 잘먹어요! 볼은 건조하고 티존은 기름지고 여드름도 많고 하튼 좋지 않은 피부인데 잘 맞아요.. 몇통째인지 지인마다 추천해주고 있습니다,100점,2020.09.27
