,reviews,starpoint,date
0,호호바 오일 처음 사용해보는데 생각보다 좋네요. 피부가 건조한데 겨울이면 더 건조해서 땅기고 가렵거든요. 근데 바디로션이랑 같이 바르니깐 촉촉해서 좋아요. 워낙 건조해서 몇일 더 사용해봐야 효과가 있을것 같아요.,100점,2020.12.01
1,"재구매한 제품임, 량이 비해 가격도 싸고, 활용도 높음, 건조함 가을겨울에 필수템으로 로션, 크림 바를때 추가해서 같이 바름, 선물하기도 좋음, 한달정도 사용한결과, 내용물을 좋으나, 케이스 펌프부분이 새서 교체했음, 현님후기",100점,2019.12.31
2,"요즘 피부 고민이 많아 유튜브에 피부관리 영상을 보다 저도 관리해보려고 여러가지 구매했습니다~스킨,팩,에센스,미스트 여러가지로 활용중입니다배송되던 그 주가 너~무 추워서 오일들이 얼었네요~~^^걱정 됐는데 시간 지나니 다 녹았어요~~~^^",100점,2021.02.28
3,"살짝 얼어서 도착했는데 집안이 따뜻해서 금방 노란액체로 변했어요. 마사지를 해보니 향은 약하게 나고 기름성분은 매우 부드럽고 따뜻한 느낌이 들었어요. 모공이 작아진다는 소리를 듣고 구입했는데 20분간 마사지해보니 별 효과는 없을 곳 같고요, 기냥 클렌징 오일로 써야겠어요.",80점,2020.02.15
4,가격에 비례 양도 많고 유통기한도길고 배송중 흐르지 않게 잠금 키트도채워져 있어 안전하게 잘 받았습니다저녁 세안후 물기가 남은 상태에서바르고 톡톡 두드리니 촉촉하게잘 스며들고 눈에 이물감도 없이만족스럽습니다.,100점,2020.11.20
5,피부가 나이가 40대가 되니 건조하게 바뀌네요.트러블없고 윤기있는피부가 되네요.스킨이나 로션에 섞어서 바르니 발림성도 좋고 속당김도 없어요.,100점,2020.03.26
6,목욕후 전신에 듬뿍 발라도 번들거리지않고 피부에 싹스며서 좋아요펌과 고대기 사용으로 푸석한 머리카락에 헤어 에센스 듬뿍 발라봐도 항상 건조 했는데 호호바 오일 바르고 윤기가 나네요,100점,2021.01.16
7,건조한 계절이라 호호바 오일을 구매했어요. 다른 판매자 분들보다 저렴한 가격에 유기농 호호바 오일을 살 수 있어서 좋았어요. 다음에도 이 가격대에 구매할 수 있기를 ㅎ,60점,2020.09.17
8,피부가 너무 건조해져서 크림으로는 건조함이 감당이 안되서 호호바오일과 피마자오일을 합헤서 사용하려구 구매했어요. 도움이 되길 기대해요.,100점,2020.09.10
9,겨울이면 피부가 건조해서 가렵고 거칠거든요. 바디로션에 오일 섞어서 사용하니 넘 촉촉하고 좋네요. 한통 다 사용하고 재구매했어요.,100점,2020.12.22
10,못살아요ㅎ 기초 마지막단계에 크림에 섞어 바르면 촉촉함과 은은한 광택이 진짜 안써보면 모릅니다. 호호바오일 썼다가 로즈힙도 궁금해서 사봅니다,80점,2021.02.23
11,예전에 사용하다 오랫만에 다시 사용해볼려고 구입했는데 유기농이라 더 좋겠죠 건조한 피부좀 촉촉해지길 바래봅니다,100점,2019.11.29
12,호호바오일모습력이 가장좋은것같아요건성이라서 여름에도 오일을바른답니다 ㅋ항상쓰는거라서 암튼잘쓰고다쓰고 또사러올께요이번엔 쫌비싸지만유기농으로구매합니다 번창하세요,80점,2020.05.23
13,잘도착해서두피관리할려고샀어요머리카랍이얇아지고빠지고해서호호바오일이좋다고해서구매했어요딸과같이쓸려고삿어요날씨탓에고체왔어요따뜻한방에두니사르르녹네요모르고반품할뻔했어요,100점,2021.01.28
