,날짜,평점,리뷰
1,2019.08.24,5점만점에 4점,"잘 산것 같습니다! 
복합성에 큰 트러블과 흉터가많은 민감성피부입니다.
에센스와 토너사이의 그 어딘가입니다
제형이 물이긴 하지만 바르면 약간 끈넉끈넉? 한 느낌이 들게 마릅니다.
그런 느낌 싫으시면 안사는게 좋으실것 같습니다
(사실 저도 흡수 싹 되는걸 바라고 산건데, 약간 남는 느낌이어서 별 한개를 뺍니다)

장점은

1. 순합니다. 큰 자극이 안느껴졌습니다.
2. 에센스나 중간에 세럼같은걸 바르는게 부담스러우신 분들은 토너 후 바로 바르시는걸로 마무리 할 수 잇을 것 같습니다.
3. 보습과는 좀 다른 느낌으로 끈적이는 느낌이 있는데, 아무래도 성분이 착해서 그런 것 같습니다. 잘 흡수되게 만들기 위해 온갖 화학적인 성분을 넣게되는데, 그런게 없는것 아닐까요!


재구매 의사는 50% 입니다.
1. 가격이 저렴하진 않다.
2. 많이는 아니지만 약간 끈적이는 느낌때문에 다음 단계에서 영양을 주는 제품을 바르기가 부담스럽다.
3. 진정의 효과를 아직 못봤다. 턱드름에 좋다고 하는데 이주 넘게 써본 결과 역시 나의 피부는 그냥 스레기다.
4. 사실 토너를 사고싶엇는데, 토너처럼 첫단계에 발랐더니 수분을 주지는 않는다.  토너 후에 발라야 좋은 것 같다."
2,2021.01.30,5점만점에 5점,"➡민감성,홍조,피부장벽얇음,복합성,피부과처방 화장품 주로 사용하는편

💖제형은 물흐르듯 주르륵, 약간의 점도만 있어요. 색깔은 약간 투명한 황토빛?노랑빛?처럼 느껴졌어요. 향은 쑥향이라 호불호가 갈릴 것 같아요 ! 저도 진한 한방향은 싫어하는데 이제품은 꺼려지진 않았어요. 피부에 바르고나서는 향이 그렇게 오래가지는 않는 것 같아요. 그래서 어지러움은 아주살짝 느꼈어요. 용량 160ml 딱 생각하는만큼정도만 오래쓸수 있을 것 같아요. 평소 대용량을 좋아해서 160미리는 작게느껴지지만 에센스는 보통 대용량으로 나오지 않아서 만족해요😁
끈적임은 살짝 있었어요. 부담스럽지 않은 정도였는데 끈적임 전혀 없는 거 좋아하시는 분들은 비추

💖가격은 사악하죠. 꼭 행사할때 사세요. 하지만 사악한만큼 꽤 괜찮은 제품 같아요.

💖강화에서 해풍과 해무를 견뎌 만든 제품이기에 피부에 그만큼 좋운 효과를 줄수도 있다고 느꼈어요. 자극 전혀없었고 피부트러블 진정효과도 있다고 느꼈습니다. 물론 드라마틱하진 않지만 꾸준히 발라본 후 후기를 다시 남기도록 하겠습니다 

💖동물실험 × 동물원료 × 클린한 제조과정의 화장품 ! 클린뷰티 달성

🎀타 에센스.앰플과 비교했을때
비플레인 토리든 하이드라 등과 비교했을때 아임프롬이 조금 덜 묽고, 끈적임도 있어요
아임프롬제품은 수분이 많다고 느껴지진 않았고, 유수분밸런스 맞춰주는 제품과 같이 사용해야해요. 속당김이 있었어요!
단, 타기능성 앰플처럼 진정효과가 있어서 좋았어요. !! 
에센스 잘못 사용하면 피부뒤집어지는데 전혀없었음 ! 

⭕재구매의사있음. 추천!

☑지성분들에게 조금 리치하게 느껴질수도 있지만 부담스럽지않아요 ! 모든피부타입 추천 !"
3,2021.01.29,5점만점에 5점,"❤저극 추천합니다 ❤
노 할인도 구매 의사 있어요.그 정도로 너무 좋아요.
피부 타입이 건성 피부에 예민하고 조금이라도 스트레스 받으면 피부가 엉망인데 요즘 코로나 식구로 마스크 착용을 하다보니 피부가 말도 못하게 뒤집어졌거든요. 그래서 더 스트레스 받고 하니 속상하고 외출하는 것도 싫고 매일매일이 짜증났는데 이 제품을 사용하고 피부가 점점 좋아지는 걸 느꼈어요 정말 거짓말 하나도 안하고 좁쌀 여드름  뾰루지가 싹 없어졌어요 이마에 여드름 압출 압출 흉터 때문에 이마가 제일 스트레스였는데 머그워트 (쑥)  사용 후  이마 압출 후 거뭇거뭇해진 피부가 처음에는 옅어지다가 지금은 완전 사라졌어요. 처음에는 이것 때문이겠어 하고 한 통 다 사용하고 시간 날 때 올영 가서 구매해야지 하고 잊고 있었거든요. 근데 2주 후 
피부 보니 알겠더라고요. 피부에 뾰루지가 올라오고 생각만 해도 속상하고 그때 알았어요. 사용하고 안하고 이렇게 차이가 있구나 처음에는 친구가 피부때문에 속상해하니 이제품 말하면 입아프다며 생일선물로 사줬거든요. 사람마다 다르겠지만 저는 너무 좋았어요. 지인 분들께도 막 좋다고 1도 관계없는 제품을 영업하고 있어요.😆 주변 지인 분들도 사용 후 좋다고 막 말씀해 주실 때마다 흐뭇합니다.
평생 사용하고 싶은 제품이에요. 인생템 을 찾았어요 피부가 예민하다 보니 성분도 보고 리뷰도 많이 보는 편인데 그래도 실패한 제품이 50 % 그런데 이 제품은 돈 하나도 안 아까워요 머그워트 (쑥) 👍👍 모르는 사람 없게 해주세요 ❤
✅보습 
건성 피부에는 건조하다고 느끼실 수 있을 것 같아요.
겉돌고 그런 제품이 아니라 피부에 쌱 스며들어요.
저는 바로 나이트 크림을 발라주거든요 그럼 엄청 촉촉하고 기분이 좋아요.
 ✅향
 개인적인 생각이지만 쑥 찜질방향이 나더라구요.
 쑥 향이 확 나면서 기분이 좋아요
 바르고 나면 바로 향이 없어지니 걱정 안하셔도 되요.
 두말하면 입 아파요 사용해보세요 정말 믿고 사용하는 제품입니다❤❤❤"
4,2021.01.16,5점만점에 5점,"이 제품은... 솔직히 상품 리뷰를 안적고 싶었어요. 
왜냐? 나만 알고 싶은 상품이라서^.^ 
사실 이 상품을 처음 알게 된건 좀 오래전에 일인데, 2020년 코로나 사태로 인해서 마스크가 일상화가 됐잖아요..  2020년 초반에는 마스크가 구하기도 힘들고 구하더라도 가격이 너무 비싸서 인터넷으로 겨우겨우 구입해서 쓰고 그랬던거 같아요.( 중국산 마스크를 구입해서 사용했던게 잘못인듯) 아무튼 얼굴에 여드름 한번 난적 없던 제 피부가.. 마스크 착용으로 급작스레 좁쌀? 여드름 같은 두드러기? 도 아닌것이 얼굴에 많이 났어요.. 부랴부랴 인터넷에 찾다가 다시 이 상품이 좋다는 얘기를 듣고 구입해서 썼어요. 진짜 일주일도 사용 안했는데 바로 효과 볼 수 있었어요. 제 경험담이에요. 진짜로... 

피부 진정 효과 ... 제가 써본 제품 중 최고에요. 
강추강추"
5,2021.01.14,5점만점에 5점,"건성이라서 원래 요런 물제형의 에센스를 
잘 안맞기도 하고 별로 사용을 해본적이 없는데 
요거 쓰고 난뒤로 온 동네방네 다 영업하거 다님요🥰 

제동생이랑 엄마도 이걸로 다 갈아탐 
건성, 민감성인 분들 제발 사세여ㅠㅜ

전 씻고 나온 후에 스킨 대용으로 쓰는 편인데 
솜에 듬뿍 묻혀서 닦아줄때도 있고 

보통은 본품 그대로 피부에 흘려보내서 
손가락으로 피부결따라 흡수시켜주면 
피부에서 저세상 광이 남요😭 

금액이 좀 있는 편이지만 너무 좋아서 
완전 들이붓는 수준으로 듬뿍듬뿍 쓰는데 은근히 오래 씀

건성이신 분들은 유분기많은 크림쓰실텐데 
이걸로 레이어링 몇번 해주면 피부에 부담도 안가고 
겉도는거 없이 촉촉하게 쓰실수 있을듯함♥️"
6,2021.02.01,5점만점에 4점,"예전부터 눈여겨 보던 제품!
일단 쑥추출물 100에 순하고 평도 좋아서 궁금했는데 가격이 좀 세서 망설이다가 샀는데
아직 가격만큼 좋은지는 모르겠지만 제품 자체는 좋은 제품 같아요
일단 유리병이어서 인상적이었고 패키지가 예뻐요
제형이
콧물제형보다는 살짝 묽고 펴발라보면 오일리한 느낌이 들어요 그렇다고 번들거리는 건 아니고
피부에 얇게 오일막이 생기는 기분인데 전 오일리한 거 되게 싫어하는데 그런 느낌은 아니에요 ㅇㅇ 좀 신기
그런데도 흡수력도 좋고ㅇㅇ그렇다고 막 속에서 차오르는 촉촉함이 생기는 건 아니에요~ 덧발라도 그런 느낌은 아니고
막 덧바르기 좋은 가벼운 제형은 아닌고로 ㅇㅇ 적당량을 잘 흡수해주는 걸로!
즉각적인 진정이 되는 건 아닌데 제품 자체는 순해요
사계절 다 쓰기 좋을 것 같고
토너 이후에 에센스 단계에서 바르라던데 전 그냥 퍼스트 에센스로 쓰고 있어요
화장솜에 잘 먹는 제형이라 진정과 보습 둘 다 필요할 때 잘 쓸 것 같아요
아직 장기 효과는 모르겠으나
쑥 잘 맞는 사람과 너무 물제형 아니면서 보습감 채우는 제품 찾는 분들은 마음에 들어하실 것 같아요~
저는 사실 마녀공장 비피다 토너랑 비슷한 느낌인데 효과 면에서는 마공이 좋았어서
최애까지는 안 갈 듯 해요!"
7,2021.01.27,5점만점에 4점,"일단 리뷰를 시작하기에 앞서 저는 수분을 채워주지 않으면 좁쌀 여드름이 많이 올라오는 수분부족 건성 피부를 갖고 있습니다! 게다가 성분이 좋지 않은 걸 쓰면 바로 피부가 반응을 하는 민감성 피부인데요ㅠ 아임프롬 머그워트🌿 에센스가 민감성 피부에 그렇게 좋다고 하길래 가격이 사악😶한데도 구매를 해보았습니다! 

✔제형은 찰랑찰랑 완전 물💧 제형인데요! 막상 피부에 흡수기켜주면 찰랑거리는 물 치고는 쫀쫀하게 보습이 됩니당! 또 개인적으로 성분도 저와는 절 맞는 것 같았도 딱히 트러블도 나지 않아서 무난했습니다! 피부가 막 좋아졌다! 라고 느껴지지는 않았지만, 꾸준히 쓰다보면 피부에도 좋을 것 같다는 생각이 들었어요! 

✔향은 약간 풀?🌱 쑥?🌿 냄새가 나는데 저는 개인적으로 완전 좋았어요!!😊 근데 향은 완전완전 약하게 아주 미세하게 (코를 킁킁거려야 겨우 나는정도?) 나서 향에 민감하신 분들도 딱히 걱정 안해도 될 것 같아용!

✔용기는 플라스틱이 아니어서 친환경적인 느낌이 들어서 좋았습니다! 물론 조금 무거운 감이 없지않아 있었지만 포장박스에서도 그렇고 환경을 생각한 것 같아서 좋았답니다!😊👌 앗 그리고 용기가 갈색인줄 알았는데 에센스 자체의 색깔이 갈색이더라구요! 신기했어욤 ㅎㅎ

❗단점은 가격인데요🤔ㅠ 저는 세일해서 28000원에 구매를 했지만 (사실 28000원도 비싸요ㅠ 크림도 아니고 토너인데🙄ㅠ) 원가는 더더 비싸더라구요.. 가격 때문에 재구매는 고려를 할 것 같아요..ㅜ😭😥 가격 말고는 제품 자체는 훌륭했습니다!😆

사용방법-> 저는 뭔가 닦토로 사용하기엔 너무너무너무 아까워서 흡수시켜주는 용도로 사용하고 있습니다! 개인적으로 토너팩을 하고 싶으시면 이걸로 토너팩을 하기보단(아까우니까ㅠ 적은 용량..oh..) 같은 라인인 머그워트 팩을 차라리 하시는 걸 추천드립니다! 이건 그냥 흡토로만!!"
8,2021.01.23,5점만점에 3점,"구달 어성초 에센스랑 고민하다 어성초 에센스부터 구매해서 잘 사용하다가 2만원 할인쿠폰 하길래 질렀습니다 
결론만 말하자면 구달보단 가벼워서 저는 구달제품이 더 나은거 같아요 
구달어성조제품은 3번정도 흡토 하면 딱히 건조하다는 느낌이 없어 낮에는 그렇게만 바르고 다녔어요 
아임프롬은 3번 바르고 너무 건조해서 다시 5번 더 바르고  그래도 안될거 같아서 그냥 로션 덧발랐어요 

정말 가벼운 물제형을 원하고 홍조같은거 진정을 원한다면 아임프롬! 염증성 트러블이나 좁쌀 여드름 진정이 되는 올인원 에센스를 원하면 구달 선택하면될거 같아요 
(참고로 전 쑥 어성초 둘다 잘맞고 구달 직원 아닙니다!! 가짓수는 아임프롬제품이 더 많습니다!!!)"
9,2021.01.18,5점만점에 5점,"지금 세병째 쓰고 있는 꾸준템이에요 진정에 좋아서 주변에 많이 선물합니당 피부가 평온할 땐 티가 안나지만 조금이라도 예민해질 때 진정 효과가 크다는 것을 느낄 수 있습니당 
등과 가슴쪽에 여드름으로 고민이 많았는데 얼굴에만 쓰라는 법 있나 싶어서 바디에도 사용해봤는데 효과 좋습니다 
확실히 여드름엔 진정과 충분한 유수분 공급으로 장벽을 튼튼하게 해주는 게  가장 효과적인 방법인 듯 합니다 에스트라 로션. 크림과 함께  꾸준히 사용하고 있는데 피부장벽이 튼튼해지는 게 느껴집니다
 여드름 진짜 많았는데 이젠 생리 때 뾰루지 한 두 개 올라오는 정도입니당"
10,2019.09.28,5점만점에 5점,"항상 높은 순위에 있길래 늘 궁금했었는데 저번에 구입해서 써보니까 너무 저한테 잘 맞아서 두 통 째 구입 중이에요
심각한 화장품 유목민이라 한 제품 두 번 사는 건 의례적인 일인데 말이에요!
저는 트러블성 피부에 색소침착 흉터도 심한 피부에요
제품은 얇은 화장솜에 묻혀 토너처럼 한 번 닦아내고 진정이 필요한 부분에 좀 더 올려두는 편이에요
에센스지만 묽어서 그렇게 써도 괜찮더라고요!
며칠 만 사용해도 피부결이 달라지는 게 눈에 보여요
속건조도 잡아줘고 색소침착도 완화돼서 피부가 훨씬 환해보이는 등 진정에 최고에요
심지어 살짝 광이 날 때도 있어요ㅋㅋㅋ
피부 맨날 안 좋았는데 이거 쓰고 맨얼굴도 살짝 자신있어지고 쑥은 처음 써봤는데 저랑 쑥이 잘 맞나 싶어서 다른 제품 살 때도 참고 하려고요!! 아무튼 정말 강추합니다
그냥은 비싸니까 세일할 때 한 번 구입해보세요!!"
