,날짜,평점,리뷰
1,2021.03.04,5점만점에 5점,"세일 할 때마다 쟁여놓고 쓰는 효자상품입니다 ㅋㅋㅋ
겨울철이랑 요즘같은 간절기에 얼굴이 엄청 푸석하고 건조할때 자주 사용하는 제품이에요. 캡슐처럼 낱개포장이기 때문에 건조된 동그란 것(?)을 액체형태의 제형에 섞어서 잘 녹인다금 발라주면 아주 샤샤샥 흡수되는것이... 악건성 시즌에 쓰기 너무 좋은 제품이에요. 전혀 끈적이지더 않고 바로 흡수됩니다. 효과는 진짜 버장하는데요, 가격은 착한 편이 아니라서 ㅠ 저는 세일기간에 왕창 사서 쟁여놓고 사용하다가 다 떨어지기 전에 재구매해서 꾸준히 쓰고 있는 제품이에요. 피부상태 정말 안좋을땐 일종의 응급키트같은 역할을 ㅎㅐ주는 제품입니다 ㅋ"
2,2021.03.04,5점만점에 5점,"20대때에는 수분크림 앰플 요런거 안발랐는데...30대이후부터는 피부가 많이 건조해지더라구요~ 그래서 수분앰플,,크림 요런것들 필수가 되더라구요~ 유투부 보다가 알게된 가격도 착한 웰라쥬 히알루로닉 앰플 일주일에 두어번씩 발라주고 있는데요~~ 겨울에는 이들에 한번꼴로 계속 사용하다보니 피부에 수분이 촉촉 차는 느낌이들어요 ~ 특히 중요한날  웰라쥬 앰플 바르고 자구난 다음날에는 화장도 들뜸없이 엄청 잘 먹어요~~자극없이 엄청 순하고 앰플 요제품 바른날에는 수분크림도 필요 없어요 ~ 수분크림 없이도 피부간 완전 촉촉촉!!!!!!!!!화장품중  제가 가장 애용하는 앰플이랍니다.. 앞으로도 할인행사 뜰때마다 대량구매해서 쓸꺼에요"
3,2021.03.03,5점만점에 5점,"♣총평
마스크팩하기 귀찮은 날엔 이걸로 차곡차곡 쌓아주는데 수분감이 엄청난편이에요 속건조 잡는덴 이만한게 없는거 같아요!!
진짜 수분채워 넣는대엔 마스크 시트보다 웰라쥬 리얼 히알루로닉 바이오 캡슐이거 하나 바르는게 더 좋은거 같아요 마스크팩은 그냥 붙여놓고 일정시간이 지나도 시트지를 그대로 놔두면 오히려 역으로 피부 수분을 가져가는 현상이 있잖아요
ㅠㅠ...

♧끈적임
막 발랐을땐 스며들기 전이라 끈적이는게 좀있었는데 손가락을 사용해 두드려주면 금방 스며들어 촉촉함만 남더라구요 

♣용량 
생각보다 많아서 여러번 발라서 쌓아 올려줘야해요~ 한번에 다바르면 아무래도 손에 흡수되는게 더 많을거 같단 생각이 들더라구요 그래서 조금씩 도포하면서 속부터 꾹꾹 채워준답니다~"
4,2021.03.02,5점만점에 5점,"이거는 거의 30개 가까이 재구매 하고 있는 상품입니다... 특히 저희 어머니가 엄청 좋아하세요. 피부가 엄청 찰떡처럼 쫀쫀해 진다고 말씀하세요
거의 일주일에 2-3번 사용해주는데 피부도 엄청 깨끗해져요. 그리고 피부도 엄청 탱글...? 해지는 기분이에요. 주름 개선에도 효과가 있는거 같아용.
자고 일어났을때 피부 윤택이 좋고 다음 날 화장도 잘 받아요. 어머니께서는 사용하고나서부터 피부가 엄청 좋아진다는 소리를 많이 들었다고 하셨어요.
가격이 비싸서 세일할때 사는 것을 추천드려요! 앞으로도 꾸준히 사용할 예정이에요 완전 추천드려요!!"
5,2021.02.25,5점만점에 5점,"처음엔 사용할줄 몰라서 허둥지둥댔는데 이젠 세일하면 쟁이고싶은 제품ㅇ에요!!!!화장하기전에 요것만 가볍게 하거나 저녁에 자기전에 하고 자도 아침에 피부가 좋아져있어요!!이거 대용량으로 나왓으면 좋겟는데 비슷한게 있긴한데 그래도 이거랑 똑같은지 까지는 몰라서 똑같은 제품 나오길 희망☺️
개별포장으로 열어서 직접 제조?하니까 위생상에서도 그렇게 더 믿음직스럽고 나중에 여행다닐때도 좋을거같아요제품자체눈 자극없이 촉촉하니까 화장이 잘 먹을수밖에 없어효 이 라인에 다른색?인가 있는데 요게 젤 유명하게 젤 좋아용 하나만 세일할때 써보시는거 추천👍"
6,2021.02.17,5점만점에 5점,"재구매 몇번 해보니까 유수분 모두 필요한 악건성보다는 오직 수분!!!!!! 충전 만을 필요로 하는 모든 피부타입이 맞을거같아요 민감성도 오케이
수분만 만땅이라 밀림없어요
캡슐에 솔루션 부으면 바로 액상으로 변해서 
저는 토너 이후에 바르고 크림으로 마무리 해줘요

현재 바이오더마 에센스로션, 차앤박 프로폴리스 앰플, 보타닉힐보 판테놀 크림 이렇게 잘 쓰고 있어서 딱히 이제품을 필요로 하는 피부상태가 아니지만 약속 전날에 쓰고 있어요 ㅋㅋ

계절 상관없이 피부 컨디션이 별로다 싶을때 언제든 사용해도 될거같고 즉각적으로 피부 컨디션이 올라와요
단점은 비싼 가격 하나예요"
7,2021.02.15,5점만점에 4점,할인하길래 배송비 맞추려고 구매했어요! 어떻게 사용하는건지 상자에 자세히 적혀있지않아서 처음에는 당황했어요 ㅎㅎ 워낙 좋다는 소문을 들어서 많이 기대했는데 저는 지복합성이라서 그런지 와 엄청 촉촉하다! 이런 느낌은 아니었지만 자극없이 순하게 발려서 괜찮은것 같아요! 원데이 키트말고 대용량으로도 나왔던데 꾸준히 사용하면 피부가 더 건강해질것 같은 느낌이에요!! 중요한 날이나 화장이 잘 안먹는 날 원데이키트로 촉촉하게 가꿔준 뒤에 바르면 화장이 정말 잘 먹을것 같아요~ 요즘같은 환절기에 바르기 딱 좋은 앰플인것 같습니다! 특히 건성인 분들에게 추천드려요 ^_^
8,2021.02.15,5점만점에 3점,"제 피부타입은 건성입니다. 리뷰 보실 때 참고해주세요😊
(맨마지막 사진은 캡슐과 앰플을 섞은 단계에요! 이 점도 참고해주요)

이 제품은 2월 초쯤...? 날이 아주아주 건조한 날 저녁에 사용했어요! 다음날에 중요한 약속이 있었는데 그 전 날 저녁에 사용하고 나면 피부가 촉촉하게 즉각적으로 효과가 나타난다고 하더라구요! 

캡슐 하나로 빠른 수분효과를 느낄 수 있다고해서 사용해봤는데 사실 저는 잘 모르겠어요...^^ 고농축, 저농축 히알루론산이 가득 들어가있어서 효과도 빠르고 오래 지속된다고해서 잔뜩 기대한 게 문제였을까요,, 캡슐에 앰플을 섞어서 피부에 발랐을 때는 촉촉했는데 뭐랄까요 마무리가 너무 가볍달까요..? 처음에는흡수시키고나서 유분감이 어느정도 느껴지네 싶었는데 시간 지나니까 그냥 다른 스킨케어 바른 거 하고 차이점을 잘 모르겠더라구요...

방부제 안 들어가있는 점은 맘에 들었지만 그렇기에 빨리 사용하셔야 될 것 같구 저처럼 많이 건성이시면 저는 이 제품 콜라겐 라인 추천드려요! 지성이신 분들은 여름말고 겨울에 사용하셔도 괜찮을 것 같구요!"
9,2021.02.15,5점만점에 5점,"저는 건성피부라서 항상 세안 후 스킨-앰플-수분크림을 발라줘요 그런데 이렇게 발라도 건조한 날들이 꽤 있더라구요 그래서 유튜브, 화해 등등을 찾아보다가 히알루론산이 보습에 좋다는 것을 알게 되고 올리브영을 찾다가 이 제품을 구매 했어요! 앰플도 있지만 원데이 키트가 더 좋다고 해서 샀는데 좋았어요!

장점
1. 뛰어난 보습력
스킨을 바르고 이걸 바르고 수분크림을 바르면 피부가 촉촉해져서 화장이 엄청 잘 먹더라구요 너무 촉촉해서 혹시 밀릴까봐 걱정 했는데 전혀 밀리지도 않았구요
2.충분한 양
한 번 쓰기에는 너무 충분할 만큼 양이 많아요 그래서 저는 하나로 아침, 저녁 나누어서 발라요!
3.순함
제가 민감성 피부라서 뭐 하나만 잘못 발라도 뾰루지가 나는데 이거는 뾰루지는 커녕 오히려 피부가 좋아지는 느낌이랄까요?

단점은 딱히 없어요!

이번에는 별로 안 사서 금방 썼는데 곧 재구매 하려구요! 저처럼 건성이신분들은 꼭 사세요! 망설임은 배송만 늦출뿐이에요"
10,2021.02.23,5점만점에 5점,"추천 받아서 구매 후 써본 이후로 저도 주변에 추천하고있는 제품입니다! 저녁에 바르고 자면 다음날 화장이 잘 먹더라구요.

일박여행을 갈 때 주로 챙겨가서 쓰는데 저처럼 이렇게 사용하면 스킨케어 간단하게 할 수 있어서 좋아요!

보습도 진정도 좋으니 행사 시에 쟁이세요!!!"
