,0
0,2021.02.23
1,2021.01.10
2,2020.09.21
3,2020.06.20
4,2020.06.19
5,2020.06.13
6,2020.06.24
7,2020.06.24
8,2020.06.22
9,2020.06.21
10,2020.06.14
11,2020.06.13
12,2020.06.13
13,2020.06.13
14,2020.06.13
15,2020.06.13
16,2020.06.12
17,2020.06.12
18,2020.06.04
19,2020.09.17
20,2020.09.13
21,2020.06.28
22,2020.06.16
23,2021.02.23
24,2021.01.28
25,2021.01.14
26,2020.12.02
27,2020.06.27
28,2020.06.24
29,2020.06.21
30,2020.06.19
31,2020.06.14
32,2020.06.14
33,2020.06.13
34,2020.06.13
35,2020.06.13
36,2020.06.12
37,2020.06.12
38,2020.06.12
39,2020.06.12
40,2021.02.11
41,2021.01.23
42,2020.09.18
43,2020.07.23
44,2020.07.20
45,2020.06.27
46,2020.06.22
47,2020.06.18
48,2020.06.16
49,2020.06.15
50,2020.06.15
51,2020.06.13
52,2020.06.12
53,2020.06.12
54,2020.06.05
55,2021.02.19
56,2020.12.13
57,2020.10.03
58,2020.06.25
59,2020.06.15
60,2020.06.12
61,2020.06.02
62,2021.01.22
63,2021.01.05
64,2020.10.13
65,2020.10.11
66,2020.09.24
67,2020.09.10
68,2020.06.24
69,2020.06.22
70,2020.06.18
71,2020.06.17
72,2020.06.13
73,2020.06.12
74,2020.06.12
75,2020.06.08
76,2020.06.04
77,2020.05.30
78,2021.02.05
79,2021.01.28
80,2021.01.24
81,2021.01.16
82,2020.12.14
83,2020.11.25
84,2020.10.24
85,2020.08.28
86,2020.08.22
87,2020.06.29
88,2020.06.28
89,2020.06.24
90,2020.06.18
91,2020.06.15
92,2020.06.10
93,2020.06.07
94,2020.06.03
95,2020.06.02
96,2021.03.02
97,2021.02.12
98,2020.12.30
99,2020.09.26
