,0
0,2021.03.02
1,2021.02.14
2,2021.01.03
3,2020.12.12
4,2021.03.03
5,2021.03.02
6,2021.02.27
7,2021.02.26
8,2021.02.22
9,2021.02.21
10,2020.12.30
11,2020.10.06
12,2020.12.31
13,2020.04.14
14,2021.03.04
15,2021.02.23
16,2021.02.21
17,2021.02.09
18,2021.01.06
19,2020.11.23
20,2020.05.09
21,2020.04.29
22,2020.04.23
23,2020.04.20
24,2020.04.17
25,2020.04.15
26,2021.02.20
27,2020.12.24
28,2020.12.23
29,2020.12.13
30,2020.10.18
31,2020.10.06
32,2020.07.13
33,2020.04.27
34,2021.03.01
35,2021.02.24
36,2021.02.20
37,2021.02.19
38,2021.01.30
39,2020.12.22
40,2020.12.12
41,2020.12.11
42,2020.12.05
43,2020.10.30
44,2020.10.22
45,2020.10.19
46,2020.08.19
47,2020.06.19
48,2020.06.09
49,2020.05.30
50,2020.05.03
51,2020.04.27
52,2020.04.16
53,2021.02.18
54,2020.12.05
55,2020.10.21
56,2020.09.29
57,2020.09.25
58,2020.07.20
59,2020.07.09
60,2020.06.21
61,2020.06.20
62,2020.06.08
63,2020.05.28
64,2020.05.21
65,2020.05.10
66,2020.05.03
67,2020.04.28
68,2020.04.24
69,2020.04.22
70,2020.04.20
71,2020.04.17
72,2020.04.14
73,2020.04.14
74,2020.04.06
75,2021.02.26
76,2021.02.20
77,2021.02.17
78,2021.02.02
79,2021.01.11
80,2021.01.03
81,2020.12.23
82,2020.12.14
83,2020.12.13
84,2020.10.21
85,2020.10.13
86,2020.10.04
87,2020.09.23
88,2020.07.29
89,2020.07.02
90,2020.06.16
91,2020.06.15
92,2020.06.08
93,2020.06.03
94,2020.05.29
95,2020.05.29
96,2020.05.14
97,2020.04.26
98,2021.03.04
99,2021.02.28
100,2020.10.03
101,2020.09.26
102,2020.09.26
103,2020.09.25
104,2020.09.19
105,2020.09.16
106,2020.09.08
107,2020.09.05
108,2020.09.04
109,2020.08.22
110,2020.08.19
111,2020.07.07
112,2020.06.18
113,2020.06.12
114,2020.06.07
115,2020.05.31
116,2020.05.17
117,2020.05.16
118,2020.04.24
119,2020.04.15
120,2020.12.03
121,2020.12.01
122,2020.11.26
123,2020.11.15
124,2020.11.04
125,2020.10.27
126,2020.09.03
127,2020.09.03
128,2020.08.23
129,2020.08.20
130,2020.08.17
131,2020.08.16
132,2020.07.23
133,2020.07.17
134,2020.07.13
135,2020.07.10
136,2020.07.06
137,2020.07.06
138,2020.06.30
139,2020.06.26
140,2020.06.25
141,2020.06.24
142,2020.06.23
143,2020.06.21
144,2020.06.18
145,2020.06.14
146,2020.06.12
147,2020.06.11
148,2020.06.10
149,2020.06.09
150,2020.06.09
151,2020.06.06
152,2020.05.29
153,2020.05.10
154,2020.05.05
155,2020.05.03
156,2020.05.02
157,2020.04.28
158,2020.04.22
159,2020.04.20
160,2020.04.19
161,2020.04.17
162,2020.04.17
163,2020.04.12
164,2020.04.11
165,2020.04.06
166,2020.04.03
167,2020.04.03
168,2020.10.22
169,2020.06.30
170,2020.05.22
171,2020.05.15
172,2020.05.12
173,2020.05.08
174,2020.05.07
175,2020.05.06
176,2020.04.29
177,2020.04.24
178,2020.04.20
179,2020.04.18
180,2020.04.17
181,2020.04.16
182,2020.04.16
183,2020.04.14
184,2020.04.14
185,2020.04.09
186,2020.10.22
187,2020.09.01
188,2020.07.04
189,2020.06.27
190,2020.06.26
191,2020.06.25
192,2020.06.23
193,2020.06.21
194,2020.06.21
195,2020.06.20
196,2020.06.19
197,2020.06.15
198,2020.06.15
199,2020.06.15
