,0
0,2020.12.03
1,2021.02.12
2,2020.10.05
3,2020.06.07
4,2020.11.29
5,2020.11.09
6,2020.10.27
7,2021.02.02
8,2020.09.25
9,2020.08.25
10,2020.02.22
11,2021.02.06
12,2021.02.01
13,2021.01.26
14,2021.01.07
15,2020.11.03
16,2020.10.25
17,2020.09.24
18,2020.08.27
19,2020.08.21
20,2021.01.27
21,2021.01.14
22,2021.01.05
23,2020.10.31
24,2020.10.24
25,2020.10.05
26,2020.09.23
27,2020.09.18
28,2020.09.09
29,2020.08.30
30,2020.08.20
31,2020.08.17
32,2020.08.13
33,2020.07.28
34,2020.07.18
35,2020.07.14
36,2020.07.10
37,2020.07.06
38,2020.06.27
39,2020.06.26
40,2020.06.16
41,2020.06.12
42,2020.04.07
43,2020.03.27
44,2020.02.17
45,2020.02.17
46,2021.01.02
47,2020.12.11
48,2020.11.18
49,2020.11.08
50,2020.11.04
51,2020.11.04
52,2020.10.17
53,2020.10.07
54,2020.10.07
55,2020.10.05
56,2020.10.03
57,2020.09.29
58,2020.09.27
59,2020.09.27
60,2020.09.21
61,2020.09.08
62,2020.09.08
63,2020.09.08
64,2020.09.04
65,2020.09.02
66,2020.08.07
67,2020.07.26
68,2020.07.09
69,2020.07.03
70,2020.06.22
71,2020.06.13
72,2020.06.08
73,2020.05.29
74,2020.05.02
75,2020.04.20
76,2020.04.02
77,2020.03.31
78,2020.03.24
79,2020.03.02
80,2020.02.13
81,2021.03.02
82,2021.02.25
83,2021.02.18
84,2021.01.10
85,2021.01.01
86,2020.12.17
87,2020.12.05
88,2020.11.30
89,2020.11.22
90,2020.11.17
91,2020.11.05
92,2020.10.31
93,2020.10.29
94,2020.10.16
95,2020.10.09
96,2020.10.07
97,2020.10.05
98,2020.09.04
99,2020.09.02
100,2020.03.10
101,2020.02.26
102,2020.11.30
103,2020.11.20
104,2020.11.17
105,2020.11.08
106,2020.11.08
107,2020.11.03
108,2020.09.03
109,2020.08.31
110,2020.08.29
111,2020.08.28
112,2020.08.27
113,2020.08.27
114,2020.08.27
115,2020.08.24
116,2020.08.22
117,2020.08.19
118,2020.08.18
119,2020.08.15
120,2020.08.14
121,2020.08.13
122,2020.08.12
123,2020.08.08
124,2020.08.05
125,2020.08.02
126,2020.07.26
127,2020.07.25
128,2020.07.22
129,2020.07.20
130,2020.07.17
131,2020.07.16
132,2020.07.15
133,2020.07.11
134,2020.07.06
135,2020.07.05
136,2020.07.03
137,2020.06.29
138,2020.06.27
139,2020.06.23
140,2020.04.27
141,2020.04.27
142,2020.04.20
143,2020.04.02
144,2020.03.31
145,2020.03.10
146,2020.03.08
147,2020.03.04
148,2020.02.25
149,2020.11.09
150,2020.08.03
151,2020.05.09
152,2020.05.06
153,2020.04.25
154,2020.04.24
155,2020.04.23
156,2020.04.13
157,2020.04.08
158,2020.04.03
159,2020.02.25
160,2020.02.07
161,2020.07.13
162,2020.07.15
163,2020.07.04
164,2020.02.08
165,2020.07.06
166,2020.07.06
167,2020.07.04
168,2020.07.02
169,2020.07.01
170,2020.06.29
171,2020.06.27
172,2020.06.22
173,2020.06.16
174,2020.06.16
175,2020.06.14
176,2020.06.12
177,2020.06.11
178,2020.06.09
179,2020.06.08
180,2020.06.08
181,2020.06.08
182,2020.06.08
183,2020.06.06
184,2020.06.01
185,2020.05.24
186,2020.05.24
187,2020.05.20
188,2020.05.19
189,2020.05.04
190,2020.05.01
191,2020.04.25
192,2020.04.23
193,2020.04.19
194,2020.04.18
195,2020.04.18
196,2020.04.15
197,2020.04.04
198,2020.03.29
199,2020.03.26
