,0
0,2021.02.20
1,2019.08.24
2,2021.01.30
3,2021.01.29
4,2021.01.16
5,2021.01.14
6,2021.02.01
7,2021.01.27
8,2021.01.23
9,2021.01.18
10,2019.09.28
11,2019.05.13
12,2021.01.27
13,2021.01.24
14,2021.01.23
15,2021.01.22
16,2021.01.22
17,2021.01.18
18,2021.01.18
19,2020.12.21
20,2020.11.22
21,2020.10.21
22,2020.03.25
23,2019.05.01
24,2021.02.23
25,2021.02.18
26,2021.01.17
27,2020.12.05
28,2020.12.04
29,2020.12.01
30,2020.11.15
31,2020.10.17
32,2020.10.14
33,2020.09.29
34,2020.09.28
35,2020.09.24
36,2020.09.23
37,2020.08.13
38,2020.06.04
39,2020.06.03
40,2020.06.01
41,2020.04.02
42,2020.04.02
43,2020.03.27
44,2020.02.27
45,2020.02.20
46,2020.01.30
47,2019.12.18
48,2019.10.14
49,2019.09.30
50,2019.09.09
51,2019.09.06
52,2019.07.17
53,2019.06.06
54,2019.04.27
55,2019.04.19
56,2021.03.04
57,2021.02.24
58,2021.02.05
59,2021.02.02
60,2021.01.28
61,2021.01.20
62,2021.01.16
63,2021.01.14
64,2021.01.13
65,2020.12.21
66,2020.12.07
67,2020.12.06
68,2020.11.26
69,2020.11.26
70,2020.11.24
71,2020.11.12
72,2020.09.27
73,2020.09.24
74,2020.09.22
75,2020.08.31
76,2020.08.28
77,2020.08.17
78,2020.06.30
79,2020.06.10
80,2020.05.31
81,2020.05.28
82,2020.05.09
83,2020.04.10
84,2020.04.09
85,2020.04.03
86,2020.03.25
87,2020.03.20
88,2020.03.07
89,2020.03.03
90,2020.02.22
91,2020.01.16
92,2020.01.14
93,2020.01.13
94,2020.01.12
95,2020.01.11
96,2020.01.11
97,2020.01.05
98,2019.12.16
99,2019.11.30
100,2021.02.14
101,2021.02.13
102,2021.02.08
103,2021.02.05
104,2021.02.02
105,2021.01.22
106,2021.01.15
107,2020.12.20
108,2020.12.18
109,2020.12.18
110,2020.12.10
111,2020.12.10
112,2020.12.08
113,2020.12.06
114,2020.12.05
115,2020.12.03
116,2020.11.22
117,2020.11.15
118,2020.11.15
119,2020.11.13
120,2020.11.12
121,2020.11.12
122,2020.11.11
123,2020.10.09
124,2020.10.07
125,2020.09.30
126,2020.09.28
127,2020.09.26
128,2020.09.25
129,2020.09.25
130,2020.09.25
131,2020.09.24
132,2020.09.23
133,2020.09.17
134,2020.09.08
135,2020.08.31
136,2020.08.07
137,2020.07.27
138,2020.07.19
139,2020.07.12
140,2020.07.10
141,2020.07.03
142,2020.06.22
143,2020.06.18
144,2020.06.14
145,2020.06.10
146,2020.06.08
147,2020.06.08
148,2020.06.05
149,2020.06.04
150,2020.06.04
151,2020.06.02
152,2020.05.29
153,2020.05.12
154,2020.04.10
155,2020.04.09
156,2020.04.09
157,2020.04.07
158,2020.04.06
159,2020.04.01
160,2020.04.01
161,2020.03.31
162,2020.03.29
163,2020.03.29
164,2020.03.10
165,2020.03.04
