,0
0,2021.03.04
1,2021.03.04
2,2021.03.04
3,2021.03.03
4,2021.03.02
5,2021.02.25
6,2021.02.17
7,2021.02.15
8,2021.02.15
9,2021.02.15
10,2021.02.23
11,2021.02.20
12,2020.12.10
13,2020.10.07
14,2020.06.11
15,2020.06.09
16,2021.02.23
17,2021.02.19
18,2021.02.18
19,2021.02.17
20,2021.02.17
21,2021.02.12
22,2021.02.11
23,2021.02.10
24,2021.02.08
25,2021.02.06
26,2021.01.17
27,2020.09.03
28,2020.08.06
29,2020.06.27
30,2020.06.10
31,2020.06.10
32,2020.05.03
33,2020.05.03
34,2020.04.27
35,2020.04.26
36,2021.01.28
37,2021.01.25
38,2021.01.25
39,2021.01.24
40,2021.01.22
41,2021.01.21
42,2021.01.19
43,2021.01.17
44,2021.01.13
45,2021.01.13
46,2021.01.10
47,2021.01.08
48,2021.01.03
49,2020.12.25
50,2020.12.25
51,2020.12.17
52,2020.12.08
53,2020.12.07
54,2020.12.06
55,2020.12.06
56,2020.06.02
57,2020.06.01
58,2020.05.29
59,2020.05.15
60,2020.05.05
61,2020.05.03
62,2020.05.01
63,2020.05.01
64,2020.04.29
65,2020.04.28
66,2020.04.21
67,2021.03.03
68,2021.03.02
69,2021.02.06
70,2021.01.02
71,2020.12.07
72,2020.12.06
73,2020.11.24
74,2020.11.07
75,2020.10.17
76,2020.10.08
77,2020.10.07
78,2020.10.02
79,2020.09.26
80,2020.09.16
81,2020.08.07
82,2020.06.18
83,2020.06.06
84,2020.06.03
85,2020.05.11
86,2020.04.24
87,2020.04.23
88,2020.04.23
89,2020.04.23
90,2020.04.23
91,2020.04.22
92,2020.04.22
93,2020.04.21
94,2020.04.21
95,2020.04.21
96,2021.02.28
97,2021.02.28
98,2021.02.28
99,2021.02.24
100,2020.12.20
101,2020.12.15
102,2020.12.12
103,2020.12.10
104,2020.12.06
105,2020.12.02
106,2020.12.01
107,2020.11.28
108,2020.11.04
109,2020.10.25
110,2020.09.29
111,2020.09.17
112,2020.09.14
113,2020.09.12
114,2020.08.17
115,2020.08.07
116,2020.08.05
117,2020.07.28
118,2020.07.26
119,2020.07.18
120,2020.07.15
121,2020.07.14
122,2020.07.02
123,2020.06.28
124,2020.06.24
125,2020.06.24
126,2020.06.20
127,2020.06.20
128,2020.06.12
129,2020.06.11
130,2020.06.09
131,2020.06.07
132,2020.06.04
133,2020.06.04
134,2020.06.03
135,2020.06.02
136,2020.06.01
137,2020.06.01
138,2020.06.01
139,2020.05.30
140,2020.05.30
141,2020.05.29
142,2020.05.29
143,2020.05.28
144,2020.05.28
145,2020.05.28
146,2020.05.28
147,2020.05.26
148,2020.05.26
149,2020.05.23
150,2020.05.21
151,2020.05.21
152,2020.05.20
153,2020.05.19
154,2020.05.19
155,2020.05.17
156,2020.05.17
157,2020.05.16
158,2020.05.14
159,2020.05.13
160,2020.05.11
161,2020.05.10
162,2020.05.09
163,2020.05.07
164,2020.05.03
165,2020.05.02
166,2020.05.01
167,2020.05.01
168,2020.04.29
169,2020.04.27
170,2020.04.24
171,2020.04.23
172,2021.03.04
173,2021.03.03
174,2021.03.02
175,2021.02.28
176,2021.02.25
177,2021.02.25
178,2021.02.25
179,2021.02.22
180,2021.02.15
181,2021.02.14
182,2021.02.13
183,2021.02.10
184,2021.02.09
185,2021.02.09
186,2021.02.08
187,2021.02.07
188,2021.02.07
189,2021.02.07
190,2021.02.05
191,2021.02.04
192,2021.02.04
193,2021.02.03
194,2021.02.01
195,2021.01.28
196,2021.01.27
197,2021.01.26
198,2021.01.22
199,2021.01.12
200,2021.01.10
201,2021.01.09
202,2021.01.08
203,2021.01.06
204,2021.01.05
205,2021.01.05
206,2021.01.04
207,2021.01.02
208,2021.01.01
209,2020.12.14
210,2020.12.12
211,2020.12.09
212,2020.12.05
213,2020.12.05
214,2020.12.04
215,2020.12.04
216,2020.12.01
217,2020.11.28
218,2020.11.26
219,2020.11.26
220,2020.11.24
221,2020.11.24
222,2020.11.20
223,2020.11.13
224,2020.11.09
225,2020.10.29
226,2020.10.11
227,2020.10.11
228,2020.09.28
229,2020.09.28
230,2020.09.24
231,2020.09.23
232,2020.09.06
233,2020.08.25
234,2020.08.21
235,2020.08.14
236,2020.08.03
237,2020.07.13
238,2020.07.09
239,2020.07.08
240,2020.07.07
241,2020.07.05
242,2020.07.04
243,2020.07.04
244,2020.06.29
245,2020.06.25
246,2020.06.18
247,2020.06.14
248,2020.06.14
249,2020.06.13
250,2020.06.09
251,2020.06.09
252,2020.06.08
253,2020.06.03
254,2020.06.02
255,2020.06.01
256,2020.05.31
257,2020.05.29
258,2020.05.29
259,2020.05.28
260,2020.05.27
261,2020.05.26
262,2020.05.25
263,2020.05.23
264,2020.05.23
265,2020.05.20
266,2020.05.19
267,2020.05.19
268,2020.05.18
269,2020.05.18
270,2020.05.17
271,2020.05.16
272,2020.05.16
273,2020.05.14
274,2020.05.13
275,2020.05.12
276,2020.05.12
277,2020.05.11
278,2020.05.08
279,2020.05.06
280,2020.04.29
281,2020.04.28
282,2020.04.27
283,2020.04.27
284,2020.04.24
285,2020.04.23
286,2020.04.23
287,2020.04.22
288,2020.04.22
289,2020.04.22
290,2020.04.22
291,2020.04.21
292,2020.04.21
293,2021.03.03
294,2021.03.01
295,2021.02.27
296,2021.02.21
297,2021.02.15
298,2021.02.11
299,2021.02.06
300,2021.02.06
301,2021.02.05
302,2021.02.03
303,2021.02.01
304,2021.01.30
305,2021.01.29
306,2021.01.27
307,2021.01.26
308,2021.01.25
309,2021.01.23
310,2021.01.23
311,2021.01.22
312,2021.01.22
313,2021.01.22
314,2021.01.20
315,2021.01.20
316,2021.01.18
317,2021.01.18
318,2021.01.18
319,2021.01.17
320,2021.01.17
321,2021.01.16
322,2021.01.16
323,2021.01.14
324,2021.01.12
325,2021.01.10
326,2021.01.09
327,2021.01.05
328,2021.01.04
329,2021.01.04
330,2021.01.03
331,2020.12.22
332,2020.12.19
333,2020.12.18
334,2020.12.17
335,2020.12.17
336,2020.12.14
337,2020.12.13
338,2020.12.10
339,2020.12.10
340,2020.12.09
341,2020.12.09
342,2020.12.07
343,2020.12.06
344,2020.12.06
345,2020.12.05
346,2020.12.05
347,2020.12.04
348,2020.12.01
349,2020.11.30
350,2020.11.26
351,2020.11.25
352,2020.11.16
353,2020.11.07
354,2020.11.05
355,2020.10.28
356,2020.10.26
357,2020.10.16
358,2020.10.08
359,2020.10.01
360,2020.09.25
361,2020.09.20
362,2020.09.18
363,2020.09.08
364,2020.09.08
365,2020.08.21
366,2020.08.20
367,2020.08.15
368,2020.08.12
369,2020.08.09
370,2020.08.06
371,2020.08.04
372,2020.08.01
373,2020.08.01
374,2020.07.29
375,2020.07.28
376,2020.07.19
377,2020.07.15
378,2020.07.15
379,2020.07.13
380,2020.07.07
381,2020.07.02
382,2020.07.02
383,2020.06.30
384,2020.06.27
385,2020.06.24
386,2020.06.23
387,2020.06.19
388,2020.06.18
389,2020.06.18
390,2020.06.11
391,2020.06.10
392,2020.06.10
393,2020.06.08
394,2020.06.08
395,2020.06.06
396,2020.06.06
397,2020.06.05
398,2020.06.05
399,2020.06.04
400,2020.06.04
401,2020.06.03
402,2020.06.03
403,2020.06.03
404,2020.06.03
405,2020.06.02
406,2020.06.01
407,2020.06.01
408,2020.05.31
409,2020.05.29
410,2020.05.29
411,2020.05.29
412,2020.05.27
413,2020.05.27
414,2020.05.25
415,2020.05.25
416,2020.05.25
417,2020.05.24
418,2020.05.24
419,2020.05.24
420,2020.05.21
421,2020.05.21
422,2020.05.21
