,0
0,2021.01.12
1,2021.02.15
2,2021.02.11
3,2021.02.08
4,2021.02.01
5,2021.01.17
6,2021.01.15
7,2021.01.14
8,2021.01.14
9,2021.01.14
10,2021.02.21
11,2021.02.21
12,2021.02.17
13,2021.02.05
14,2021.02.04
15,2021.02.03
16,2021.02.03
17,2021.02.03
18,2021.02.03
19,2021.01.31
20,2021.01.30
21,2021.01.29
22,2021.01.28
23,2021.01.28
24,2021.01.27
25,2021.01.27
26,2021.01.25
27,2021.01.24
28,2021.01.24
29,2021.01.24
30,2021.01.23
31,2021.01.22
32,2021.01.22
33,2021.01.21
34,2021.01.21
35,2021.01.20
36,2021.01.20
37,2021.01.20
38,2021.01.18
39,2021.01.18
40,2021.01.18
41,2021.01.18
42,2021.01.18
43,2021.01.17
44,2021.01.17
45,2021.01.15
46,2021.01.14
47,2021.01.14
48,2021.01.13
49,2021.01.12
50,2021.01.12
51,2021.01.11
52,2021.01.11
53,2021.01.10
54,2021.01.07
55,2021.01.07
56,2021.01.06
57,2021.01.03
58,2021.01.02
59,2021.02.06
60,2021.02.05
61,2021.02.05
62,2021.02.01
63,2021.01.26
64,2021.01.25
65,2021.01.16
66,2021.01.13
67,2021.01.12
68,2021.01.11
69,2021.01.11
70,2021.01.11
71,2021.01.09
72,2021.01.08
73,2021.01.08
74,2021.01.07
75,2021.01.06
76,2021.01.06
77,2021.02.19
78,2021.02.13
79,2021.02.11
80,2021.02.10
81,2021.02.06
82,2021.02.06
83,2021.02.06
84,2021.02.05
85,2021.02.05
86,2021.02.03
87,2021.02.01
88,2021.01.29
89,2021.01.22
90,2021.01.06
91,2021.01.05
92,2021.03.03
93,2021.02.28
94,2021.02.27
95,2021.02.24
96,2021.02.23
97,2021.02.17
98,2021.02.17
99,2021.02.16
100,2021.02.28
101,2021.02.24
102,2021.02.22
103,2021.02.17
104,2021.02.14
105,2021.02.11
106,2021.02.11
107,2021.02.10
108,2021.02.09
109,2021.02.09
110,2021.02.08
111,2021.02.07
