,0
0,2021.03.03
1,2021.02.13
2,2021.02.10
3,2021.01.28
4,2021.01.09
5,2021.01.05
6,2021.01.04
7,2020.11.17
8,2020.11.07
9,2020.12.04
10,2021.01.13
11,2020.10.27
12,2020.08.25
13,2020.06.10
14,2020.06.04
15,2021.02.27
16,2021.02.10
17,2021.01.29
18,2021.01.24
19,2021.01.21
20,2021.01.16
21,2021.01.14
22,2021.01.14
23,2021.01.12
24,2021.01.08
25,2021.01.06
26,2021.01.05
27,2020.12.18
28,2020.11.14
29,2020.10.26
30,2020.09.28
31,2021.03.02
32,2021.02.10
33,2020.12.21
34,2020.12.12
35,2020.12.03
36,2020.11.16
37,2020.11.04
38,2020.09.28
39,2020.09.28
40,2020.09.27
41,2020.09.02
42,2020.07.16
43,2021.03.04
44,2021.03.04
45,2021.03.03
46,2021.03.01
47,2021.02.25
48,2021.02.23
49,2021.02.23
50,2021.02.22
51,2021.02.19
52,2021.02.16
53,2021.02.11
54,2021.02.08
55,2021.02.05
56,2021.01.29
57,2021.01.23
58,2021.01.17
59,2021.01.15
60,2021.01.13
61,2021.01.11
62,2020.12.27
63,2020.12.16
64,2020.12.16
65,2020.11.12
66,2020.10.16
67,2020.09.22
68,2020.09.18
69,2020.07.25
70,2020.07.05
71,2020.06.01
72,2021.03.04
73,2021.02.25
74,2021.02.03
75,2021.01.31
76,2021.01.27
77,2021.01.26
78,2021.01.25
79,2021.01.21
80,2021.01.20
81,2021.01.18
82,2021.01.18
83,2021.01.16
84,2021.01.16
85,2021.01.14
86,2021.01.12
87,2021.01.12
88,2021.01.11
89,2021.01.11
90,2021.01.07
91,2021.01.07
92,2021.01.06
93,2021.01.05
94,2021.01.02
95,2020.12.30
96,2020.12.28
97,2020.12.10
98,2020.12.06
99,2020.12.03
100,2021.01.04
101,2021.01.04
102,2020.12.29
103,2020.12.28
104,2020.11.30
105,2020.11.26
106,2020.11.26
107,2020.11.23
108,2020.11.16
109,2020.11.16
110,2020.11.15
111,2020.11.10
112,2020.11.08
113,2020.11.07
114,2020.11.05
115,2020.11.02
116,2020.10.31
117,2020.10.28
118,2020.10.24
119,2020.10.22
120,2020.10.19
121,2020.10.13
122,2020.10.12
123,2020.09.30
124,2020.09.23
125,2020.09.10
126,2020.09.04
127,2020.08.21
128,2020.08.19
129,2020.08.17
130,2020.08.02
131,2020.07.19
132,2020.07.11
133,2020.07.07
134,2020.07.01
135,2020.06.29
136,2020.06.26
137,2020.06.20
138,2020.06.09
139,2020.06.08
140,2021.03.04
141,2021.03.03
142,2021.02.26
143,2021.02.26
144,2021.02.25
145,2021.02.12
146,2021.02.12
147,2021.02.09
148,2021.02.08
149,2021.02.07
150,2021.02.06
151,2021.02.01
152,2021.01.27
153,2021.01.26
154,2021.01.25
155,2021.01.24
156,2021.01.18
157,2021.01.15
158,2021.01.11
159,2021.01.08
160,2021.01.04
161,2021.01.01
162,2020.12.30
163,2020.12.29
164,2020.12.28
165,2020.12.28
166,2020.12.25
167,2020.12.20
168,2020.12.19
169,2020.12.19
170,2020.12.18
171,2020.12.17
172,2020.12.16
173,2020.12.16
174,2020.12.14
175,2020.12.11
176,2020.12.09
177,2020.12.09
178,2020.12.08
179,2020.12.06
180,2020.12.06
181,2020.12.04
182,2020.12.04
183,2020.12.03
184,2020.12.02
185,2020.12.01
186,2020.11.30
187,2020.11.29
188,2020.11.29
189,2020.11.17
190,2020.11.16
191,2020.11.13
192,2020.11.11
193,2020.11.10
194,2020.11.04
