,0
0,5점만점에 5점
1,5점만점에 5점
2,5점만점에 3점
3,5점만점에 5점
4,5점만점에 4점
5,5점만점에 4점
6,5점만점에 4점
7,5점만점에 5점
8,5점만점에 5점
9,5점만점에 5점
10,5점만점에 5점
11,5점만점에 5점
12,5점만점에 4점
13,5점만점에 3점
14,5점만점에 5점
15,5점만점에 5점
16,5점만점에 5점
17,5점만점에 5점
18,5점만점에 5점
19,5점만점에 5점
20,5점만점에 5점
21,5점만점에 5점
22,5점만점에 5점
23,5점만점에 5점
24,5점만점에 5점
25,5점만점에 5점
26,5점만점에 3점
27,5점만점에 5점
28,5점만점에 4점
29,5점만점에 5점
30,5점만점에 4점
31,5점만점에 5점
32,5점만점에 5점
33,5점만점에 5점
34,5점만점에 4점
35,5점만점에 5점
36,5점만점에 4점
37,5점만점에 5점
38,5점만점에 5점
39,5점만점에 5점
40,5점만점에 4점
41,5점만점에 5점
42,5점만점에 5점
43,5점만점에 5점
44,5점만점에 3점
45,5점만점에 5점
46,5점만점에 5점
47,5점만점에 5점
48,5점만점에 5점
49,5점만점에 5점
50,5점만점에 5점
51,5점만점에 5점
52,5점만점에 5점
53,5점만점에 5점
54,5점만점에 5점
55,5점만점에 5점
56,5점만점에 5점
57,5점만점에 5점
58,5점만점에 5점
59,5점만점에 5점
60,5점만점에 5점
61,5점만점에 5점
62,5점만점에 5점
63,5점만점에 5점
64,5점만점에 5점
65,5점만점에 5점
66,5점만점에 5점
67,5점만점에 5점
68,5점만점에 5점
69,5점만점에 4점
70,5점만점에 4점
71,5점만점에 5점
72,5점만점에 4점
73,5점만점에 3점
74,5점만점에 5점
75,5점만점에 5점
76,5점만점에 5점
77,5점만점에 5점
78,5점만점에 5점
79,5점만점에 5점
80,5점만점에 5점
81,5점만점에 5점
82,5점만점에 5점
83,5점만점에 4점
84,5점만점에 5점
85,5점만점에 5점
86,5점만점에 3점
87,5점만점에 2점
88,5점만점에 4점
89,5점만점에 5점
90,5점만점에 5점
91,5점만점에 5점
92,5점만점에 5점
93,5점만점에 5점
94,5점만점에 5점
95,5점만점에 5점
96,5점만점에 4점
97,5점만점에 4점
98,5점만점에 3점
99,5점만점에 5점
