,0
0,5점만점에 5점
1,5점만점에 5점
2,5점만점에 5점
3,5점만점에 5점
4,5점만점에 5점
5,5점만점에 5점
6,5점만점에 5점
7,5점만점에 5점
8,5점만점에 5점
9,5점만점에 5점
10,5점만점에 4점
11,5점만점에 5점
12,5점만점에 5점
13,5점만점에 3점
14,5점만점에 5점
15,5점만점에 5점
16,5점만점에 5점
17,5점만점에 5점
18,5점만점에 5점
19,5점만점에 5점
20,5점만점에 4점
21,5점만점에 4점
22,5점만점에 4점
23,5점만점에 4점
24,5점만점에 4점
25,5점만점에 5점
26,5점만점에 4점
27,5점만점에 5점
28,5점만점에 5점
29,5점만점에 5점
30,5점만점에 4점
31,5점만점에 5점
32,5점만점에 4점
33,5점만점에 4점
34,5점만점에 4점
35,5점만점에 5점
36,5점만점에 5점
37,5점만점에 4점
38,5점만점에 5점
39,5점만점에 1점
40,5점만점에 5점
41,5점만점에 5점
42,5점만점에 5점
43,5점만점에 5점
44,5점만점에 5점
45,5점만점에 5점
46,5점만점에 5점
47,5점만점에 5점
48,5점만점에 5점
49,5점만점에 5점
50,5점만점에 5점
51,5점만점에 5점
52,5점만점에 5점
53,5점만점에 5점
54,5점만점에 4점
55,5점만점에 5점
56,5점만점에 5점
57,5점만점에 5점
58,5점만점에 5점
59,5점만점에 5점
60,5점만점에 3점
61,5점만점에 5점
62,5점만점에 4점
63,5점만점에 4점
64,5점만점에 5점
65,5점만점에 5점
66,5점만점에 4점
67,5점만점에 5점
68,5점만점에 5점
69,5점만점에 5점
70,5점만점에 5점
71,5점만점에 5점
72,5점만점에 5점
73,5점만점에 5점
74,5점만점에 5점
75,5점만점에 5점
76,5점만점에 5점
77,5점만점에 5점
78,5점만점에 5점
79,5점만점에 5점
80,5점만점에 5점
81,5점만점에 5점
82,5점만점에 5점
83,5점만점에 5점
84,5점만점에 5점
85,5점만점에 5점
86,5점만점에 5점
87,5점만점에 5점
88,5점만점에 5점
89,5점만점에 5점
90,5점만점에 4점
91,5점만점에 4점
92,5점만점에 4점
93,5점만점에 5점
94,5점만점에 5점
95,5점만점에 5점
96,5점만점에 5점
97,5점만점에 4점
98,5점만점에 4점
99,5점만점에 4점
100,5점만점에 5점
101,5점만점에 5점
102,5점만점에 5점
103,5점만점에 4점
104,5점만점에 5점
105,5점만점에 4점
106,5점만점에 5점
107,5점만점에 5점
108,5점만점에 5점
109,5점만점에 5점
110,5점만점에 5점
111,5점만점에 5점
112,5점만점에 4점
113,5점만점에 5점
114,5점만점에 5점
115,5점만점에 5점
116,5점만점에 4점
117,5점만점에 3점
118,5점만점에 5점
119,5점만점에 5점
120,5점만점에 5점
121,5점만점에 5점
122,5점만점에 3점
123,5점만점에 5점
124,5점만점에 5점
125,5점만점에 5점
126,5점만점에 5점
127,5점만점에 5점
128,5점만점에 5점
129,5점만점에 5점
130,5점만점에 5점
131,5점만점에 5점
132,5점만점에 5점
133,5점만점에 5점
134,5점만점에 5점
135,5점만점에 4점
136,5점만점에 3점
137,5점만점에 5점
138,5점만점에 4점
139,5점만점에 5점
140,5점만점에 5점
141,5점만점에 5점
142,5점만점에 4점
143,5점만점에 3점
144,5점만점에 3점
145,5점만점에 5점
146,5점만점에 5점
147,5점만점에 5점
148,5점만점에 5점
149,5점만점에 5점
150,5점만점에 5점
151,5점만점에 5점
152,5점만점에 1점
153,5점만점에 3점
154,5점만점에 3점
155,5점만점에 4점
156,5점만점에 5점
157,5점만점에 5점
158,5점만점에 5점
159,5점만점에 5점
160,5점만점에 2점
161,5점만점에 5점
162,5점만점에 5점
163,5점만점에 5점
164,5점만점에 5점
165,5점만점에 5점
166,5점만점에 4점
167,5점만점에 5점
168,5점만점에 4점
169,5점만점에 4점
170,5점만점에 4점
171,5점만점에 5점
172,5점만점에 4점
173,5점만점에 5점
174,5점만점에 4점
175,5점만점에 4점
176,5점만점에 5점
177,5점만점에 4점
178,5점만점에 4점
179,5점만점에 5점
180,5점만점에 5점
181,5점만점에 5점
182,5점만점에 5점
183,5점만점에 5점
184,5점만점에 5점
185,5점만점에 5점
186,5점만점에 4점
187,5점만점에 5점
188,5점만점에 5점
189,5점만점에 5점
190,5점만점에 5점
191,5점만점에 5점
192,5점만점에 4점
193,5점만점에 3점
194,5점만점에 4점
195,5점만점에 5점
196,5점만점에 5점
197,5점만점에 5점
198,5점만점에 5점
199,5점만점에 5점
