,0
0,5점만점에 5점
1,5점만점에 5점
2,5점만점에 5점
3,5점만점에 5점
4,5점만점에 5점
5,5점만점에 5점
6,5점만점에 3점
7,5점만점에 5점
8,5점만점에 5점
9,5점만점에 5점
10,5점만점에 5점
11,5점만점에 5점
12,5점만점에 5점
13,5점만점에 5점
14,5점만점에 1점
15,5점만점에 5점
16,5점만점에 5점
17,5점만점에 5점
18,5점만점에 5점
19,5점만점에 5점
20,5점만점에 4점
21,5점만점에 5점
22,5점만점에 5점
23,5점만점에 5점
24,5점만점에 5점
25,5점만점에 5점
26,5점만점에 4점
27,5점만점에 5점
28,5점만점에 4점
29,5점만점에 4점
30,5점만점에 4점
31,5점만점에 5점
32,5점만점에 5점
33,5점만점에 4점
34,5점만점에 5점
35,5점만점에 5점
36,5점만점에 5점
37,5점만점에 5점
38,5점만점에 5점
39,5점만점에 4점
40,5점만점에 5점
41,5점만점에 5점
42,5점만점에 5점
43,5점만점에 5점
44,5점만점에 5점
45,5점만점에 5점
46,5점만점에 5점
47,5점만점에 5점
48,5점만점에 5점
49,5점만점에 5점
50,5점만점에 5점
51,5점만점에 5점
52,5점만점에 5점
53,5점만점에 5점
54,5점만점에 5점
55,5점만점에 5점
56,5점만점에 4점
57,5점만점에 5점
58,5점만점에 5점
59,5점만점에 5점
60,5점만점에 5점
61,5점만점에 5점
62,5점만점에 5점
63,5점만점에 5점
64,5점만점에 5점
65,5점만점에 5점
66,5점만점에 5점
67,5점만점에 5점
68,5점만점에 5점
69,5점만점에 5점
70,5점만점에 5점
71,5점만점에 5점
72,5점만점에 5점
73,5점만점에 5점
74,5점만점에 5점
75,5점만점에 5점
76,5점만점에 5점
77,5점만점에 5점
78,5점만점에 5점
79,5점만점에 4점
80,5점만점에 3점
81,5점만점에 5점
82,5점만점에 5점
83,5점만점에 5점
84,5점만점에 5점
85,5점만점에 5점
86,5점만점에 3점
87,5점만점에 5점
88,5점만점에 4점
89,5점만점에 4점
90,5점만점에 5점
91,5점만점에 5점
92,5점만점에 5점
93,5점만점에 5점
94,5점만점에 5점
95,5점만점에 5점
96,5점만점에 5점
97,5점만점에 5점
98,5점만점에 5점
99,5점만점에 4점
100,5점만점에 5점
101,5점만점에 5점
102,5점만점에 5점
103,5점만점에 4점
104,5점만점에 5점
105,5점만점에 5점
106,5점만점에 5점
107,5점만점에 3점
108,5점만점에 5점
109,5점만점에 5점
110,5점만점에 4점
111,5점만점에 5점
112,5점만점에 4점
113,5점만점에 5점
114,5점만점에 5점
115,5점만점에 5점
116,5점만점에 5점
117,5점만점에 5점
118,5점만점에 5점
119,5점만점에 4점
120,5점만점에 5점
121,5점만점에 5점
122,5점만점에 5점
123,5점만점에 5점
124,5점만점에 5점
125,5점만점에 5점
126,5점만점에 5점
127,5점만점에 5점
128,5점만점에 5점
129,5점만점에 5점
130,5점만점에 4점
131,5점만점에 5점
132,5점만점에 5점
133,5점만점에 5점
134,5점만점에 5점
135,5점만점에 5점
136,5점만점에 5점
137,5점만점에 5점
138,5점만점에 5점
139,5점만점에 5점
140,5점만점에 5점
141,5점만점에 5점
142,5점만점에 5점
143,5점만점에 5점
144,5점만점에 5점
145,5점만점에 4점
146,5점만점에 5점
147,5점만점에 5점
148,5점만점에 5점
149,5점만점에 5점
150,5점만점에 5점
151,5점만점에 5점
152,5점만점에 5점
153,5점만점에 5점
154,5점만점에 5점
155,5점만점에 5점
156,5점만점에 5점
157,5점만점에 5점
158,5점만점에 5점
159,5점만점에 5점
160,5점만점에 5점
161,5점만점에 5점
162,5점만점에 5점
163,5점만점에 5점
164,5점만점에 5점
165,5점만점에 5점
166,5점만점에 5점
167,5점만점에 5점
168,5점만점에 5점
169,5점만점에 5점
170,5점만점에 4점
171,5점만점에 5점
172,5점만점에 5점
173,5점만점에 5점
174,5점만점에 5점
175,5점만점에 5점
176,5점만점에 5점
177,5점만점에 5점
178,5점만점에 5점
179,5점만점에 5점
180,5점만점에 5점
181,5점만점에 5점
182,5점만점에 5점
183,5점만점에 4점
184,5점만점에 4점
185,5점만점에 4점
186,5점만점에 5점
187,5점만점에 5점
188,5점만점에 4점
189,5점만점에 5점
190,5점만점에 5점
191,5점만점에 5점
192,5점만점에 5점
193,5점만점에 5점
194,5점만점에 5점
195,5점만점에 5점
196,5점만점에 5점
197,5점만점에 5점
198,5점만점에 5점
199,5점만점에 4점
200,5점만점에 5점
201,5점만점에 4점
202,5점만점에 5점
203,5점만점에 4점
204,5점만점에 5점
205,5점만점에 5점
206,5점만점에 5점
207,5점만점에 5점
208,5점만점에 5점
209,5점만점에 4점
210,5점만점에 5점
211,5점만점에 3점
212,5점만점에 5점
213,5점만점에 5점
214,5점만점에 5점
215,5점만점에 5점
216,5점만점에 5점
217,5점만점에 5점
218,5점만점에 5점
219,5점만점에 3점
220,5점만점에 5점
221,5점만점에 5점
222,5점만점에 5점
223,5점만점에 5점
224,5점만점에 5점
225,5점만점에 5점
226,5점만점에 5점
227,5점만점에 4점
228,5점만점에 5점
229,5점만점에 5점
230,5점만점에 5점
231,5점만점에 5점
232,5점만점에 5점
233,5점만점에 5점
234,5점만점에 5점
235,5점만점에 4점
236,5점만점에 5점
237,5점만점에 5점
238,5점만점에 5점
239,5점만점에 5점
240,5점만점에 5점
241,5점만점에 5점
242,5점만점에 5점
243,5점만점에 5점
244,5점만점에 4점
245,5점만점에 4점
246,5점만점에 4점
247,5점만점에 5점
248,5점만점에 5점
249,5점만점에 5점
250,5점만점에 5점
251,5점만점에 4점
252,5점만점에 5점
253,5점만점에 5점
254,5점만점에 5점
255,5점만점에 3점
256,5점만점에 5점
257,5점만점에 5점
258,5점만점에 5점
259,5점만점에 5점
260,5점만점에 5점
261,5점만점에 5점
262,5점만점에 5점
263,5점만점에 5점
264,5점만점에 4점
265,5점만점에 5점
266,5점만점에 5점
267,5점만점에 5점
268,5점만점에 5점
269,5점만점에 5점
270,5점만점에 5점
271,5점만점에 5점
272,5점만점에 5점
273,5점만점에 5점
274,5점만점에 4점
275,5점만점에 5점
276,5점만점에 5점
277,5점만점에 5점
278,5점만점에 5점
279,5점만점에 5점
280,5점만점에 4점
281,5점만점에 5점
282,5점만점에 5점
283,5점만점에 5점
284,5점만점에 5점
285,5점만점에 5점
286,5점만점에 5점
287,5점만점에 5점
288,5점만점에 5점
289,5점만점에 5점
290,5점만점에 5점
291,5점만점에 4점
292,5점만점에 5점
293,5점만점에 5점
294,5점만점에 5점
295,5점만점에 4점
296,5점만점에 5점
297,5점만점에 5점
298,5점만점에 5점
299,5점만점에 5점
