,0
0,5점만점에 5점
1,5점만점에 5점
2,5점만점에 4점
3,5점만점에 5점
4,5점만점에 4점
5,5점만점에 5점
6,5점만점에 5점
7,5점만점에 5점
8,5점만점에 4점
9,5점만점에 4점
10,5점만점에 5점
11,5점만점에 1점
12,5점만점에 4점
13,5점만점에 4점
14,5점만점에 5점
15,5점만점에 5점
16,5점만점에 5점
17,5점만점에 4점
18,5점만점에 4점
19,5점만점에 5점
20,5점만점에 4점
21,5점만점에 5점
22,5점만점에 3점
23,5점만점에 5점
24,5점만점에 5점
25,5점만점에 5점
26,5점만점에 5점
27,5점만점에 5점
28,5점만점에 5점
29,5점만점에 5점
30,5점만점에 5점
31,5점만점에 4점
32,5점만점에 5점
33,5점만점에 5점
34,5점만점에 5점
35,5점만점에 5점
36,5점만점에 5점
37,5점만점에 5점
38,5점만점에 4점
39,5점만점에 5점
40,5점만점에 5점
41,5점만점에 5점
42,5점만점에 5점
43,5점만점에 5점
44,5점만점에 5점
45,5점만점에 4점
46,5점만점에 5점
47,5점만점에 5점
48,5점만점에 4점
49,5점만점에 5점
50,5점만점에 5점
51,5점만점에 5점
52,5점만점에 4점
53,5점만점에 5점
54,5점만점에 5점
55,5점만점에 4점
56,5점만점에 5점
57,5점만점에 3점
58,5점만점에 4점
59,5점만점에 5점
60,5점만점에 5점
61,5점만점에 3점
62,5점만점에 5점
63,5점만점에 5점
64,5점만점에 5점
65,5점만점에 5점
66,5점만점에 5점
67,5점만점에 5점
68,5점만점에 5점
69,5점만점에 5점
70,5점만점에 5점
71,5점만점에 5점
72,5점만점에 5점
73,5점만점에 5점
74,5점만점에 4점
75,5점만점에 5점
76,5점만점에 4점
77,5점만점에 5점
78,5점만점에 5점
79,5점만점에 5점
80,5점만점에 5점
81,5점만점에 3점
82,5점만점에 5점
83,5점만점에 5점
84,5점만점에 5점
85,5점만점에 5점
86,5점만점에 4점
87,5점만점에 5점
88,5점만점에 5점
89,5점만점에 5점
90,5점만점에 5점
91,5점만점에 4점
92,5점만점에 5점
93,5점만점에 5점
94,5점만점에 5점
95,5점만점에 5점
96,5점만점에 5점
97,5점만점에 4점
98,5점만점에 5점
99,5점만점에 5점
100,5점만점에 5점
101,5점만점에 4점
102,5점만점에 5점
103,5점만점에 5점
104,5점만점에 5점
105,5점만점에 5점
106,5점만점에 4점
107,5점만점에 5점
108,5점만점에 5점
109,5점만점에 5점
110,5점만점에 5점
111,5점만점에 5점
112,5점만점에 5점
113,5점만점에 5점
114,5점만점에 5점
115,5점만점에 4점
116,5점만점에 5점
117,5점만점에 5점
118,5점만점에 4점
119,5점만점에 4점
120,5점만점에 5점
121,5점만점에 5점
122,5점만점에 5점
123,5점만점에 5점
124,5점만점에 5점
125,5점만점에 5점
126,5점만점에 4점
127,5점만점에 5점
128,5점만점에 3점
129,5점만점에 5점
130,5점만점에 5점
131,5점만점에 4점
132,5점만점에 5점
133,5점만점에 5점
134,5점만점에 5점
135,5점만점에 5점
136,5점만점에 5점
137,5점만점에 5점
138,5점만점에 4점
139,5점만점에 5점
140,5점만점에 5점
141,5점만점에 5점
142,5점만점에 5점
143,5점만점에 5점
144,5점만점에 5점
145,5점만점에 4점
146,5점만점에 5점
147,5점만점에 5점
148,5점만점에 5점
149,5점만점에 5점
150,5점만점에 3점
151,5점만점에 4점
152,5점만점에 5점
153,5점만점에 5점
154,5점만점에 4점
155,5점만점에 2점
156,5점만점에 5점
157,5점만점에 5점
158,5점만점에 5점
159,5점만점에 5점
160,5점만점에 5점
161,5점만점에 3점
162,5점만점에 5점
163,5점만점에 5점
164,5점만점에 5점
165,5점만점에 5점
166,5점만점에 5점
167,5점만점에 5점
168,5점만점에 5점
169,5점만점에 4점
170,5점만점에 5점
171,5점만점에 5점
172,5점만점에 5점
173,5점만점에 5점
174,5점만점에 5점
175,5점만점에 5점
176,5점만점에 4점
177,5점만점에 5점
178,5점만점에 5점
179,5점만점에 5점
180,5점만점에 5점
181,5점만점에 4점
182,5점만점에 5점
183,5점만점에 5점
184,5점만점에 5점
185,5점만점에 5점
186,5점만점에 4점
187,5점만점에 5점
188,5점만점에 5점
189,5점만점에 5점
190,5점만점에 5점
191,5점만점에 5점
192,5점만점에 4점
193,5점만점에 5점
194,5점만점에 5점
195,5점만점에 4점
196,5점만점에 5점
197,5점만점에 5점
198,5점만점에 5점
199,5점만점에 4점
200,5점만점에 5점
201,5점만점에 4점
202,5점만점에 5점
203,5점만점에 5점
204,5점만점에 5점
205,5점만점에 4점
206,5점만점에 5점
207,5점만점에 5점
208,5점만점에 3점
209,5점만점에 5점
210,5점만점에 5점
211,5점만점에 5점
212,5점만점에 5점
213,5점만점에 5점
214,5점만점에 5점
215,5점만점에 4점
216,5점만점에 5점
217,5점만점에 5점
218,5점만점에 5점
219,5점만점에 5점
220,5점만점에 4점
221,5점만점에 4점
222,5점만점에 5점
223,5점만점에 5점
224,5점만점에 5점
225,5점만점에 5점
226,5점만점에 5점
227,5점만점에 5점
228,5점만점에 5점
229,5점만점에 5점
230,5점만점에 5점
231,5점만점에 5점
232,5점만점에 5점
233,5점만점에 5점
234,5점만점에 5점
235,5점만점에 4점
236,5점만점에 5점
237,5점만점에 5점
238,5점만점에 5점
239,5점만점에 4점
240,5점만점에 5점
241,5점만점에 5점
242,5점만점에 5점
243,5점만점에 5점
244,5점만점에 5점
245,5점만점에 5점
246,5점만점에 5점
247,5점만점에 5점
248,5점만점에 5점
249,5점만점에 4점
250,5점만점에 5점
251,5점만점에 5점
252,5점만점에 5점
253,5점만점에 3점
254,5점만점에 5점
255,5점만점에 5점
256,5점만점에 5점
257,5점만점에 4점
258,5점만점에 5점
259,5점만점에 5점
260,5점만점에 5점
261,5점만점에 5점
262,5점만점에 4점
263,5점만점에 5점
264,5점만점에 5점
265,5점만점에 3점
266,5점만점에 4점
267,5점만점에 5점
268,5점만점에 5점
269,5점만점에 5점
270,5점만점에 5점
271,5점만점에 5점
272,5점만점에 5점
273,5점만점에 5점
274,5점만점에 5점
275,5점만점에 3점
276,5점만점에 3점
277,5점만점에 5점
278,5점만점에 5점
279,5점만점에 5점
280,5점만점에 1점
281,5점만점에 4점
282,5점만점에 5점
283,5점만점에 5점
284,5점만점에 5점
285,5점만점에 5점
286,5점만점에 5점
287,5점만점에 5점
288,5점만점에 5점
289,5점만점에 4점
290,5점만점에 5점
291,5점만점에 5점
292,5점만점에 5점
293,5점만점에 5점
294,5점만점에 4점
295,5점만점에 4점
296,5점만점에 5점
297,5점만점에 5점
298,5점만점에 5점
299,5점만점에 5점
300,5점만점에 5점
301,5점만점에 5점
302,5점만점에 4점
303,5점만점에 5점
304,5점만점에 5점
305,5점만점에 5점
306,5점만점에 5점
307,5점만점에 4점
308,5점만점에 5점
309,5점만점에 5점
310,5점만점에 5점
311,5점만점에 5점
312,5점만점에 5점
313,5점만점에 2점
314,5점만점에 5점
315,5점만점에 5점
316,5점만점에 5점
317,5점만점에 5점
318,5점만점에 4점
319,5점만점에 5점
320,5점만점에 5점
321,5점만점에 5점
322,5점만점에 5점
323,5점만점에 4점
324,5점만점에 5점
325,5점만점에 4점
326,5점만점에 5점
327,5점만점에 3점
328,5점만점에 4점
329,5점만점에 5점
330,5점만점에 5점
331,5점만점에 5점
332,5점만점에 5점
333,5점만점에 5점
334,5점만점에 5점
335,5점만점에 5점
336,5점만점에 5점
337,5점만점에 5점
338,5점만점에 5점
339,5점만점에 4점
340,5점만점에 5점
341,5점만점에 5점
342,5점만점에 5점
343,5점만점에 4점
344,5점만점에 5점
345,5점만점에 5점
346,5점만점에 5점
347,5점만점에 5점
348,5점만점에 5점
349,5점만점에 5점
350,5점만점에 4점
351,5점만점에 5점
352,5점만점에 3점
353,5점만점에 4점
354,5점만점에 5점
355,5점만점에 4점
356,5점만점에 5점
357,5점만점에 4점
358,5점만점에 5점
359,5점만점에 5점
360,5점만점에 5점
361,5점만점에 4점
362,5점만점에 5점
363,5점만점에 5점
364,5점만점에 4점
365,5점만점에 5점
366,5점만점에 4점
367,5점만점에 4점
368,5점만점에 5점
369,5점만점에 5점
370,5점만점에 5점
371,5점만점에 5점
372,5점만점에 5점
373,5점만점에 3점
374,5점만점에 5점
375,5점만점에 4점
376,5점만점에 5점
377,5점만점에 5점
378,5점만점에 3점
379,5점만점에 5점
380,5점만점에 5점
381,5점만점에 5점
382,5점만점에 5점
383,5점만점에 5점
384,5점만점에 4점
385,5점만점에 5점
386,5점만점에 5점
387,5점만점에 3점
388,5점만점에 5점
389,5점만점에 4점
390,5점만점에 5점
391,5점만점에 5점
392,5점만점에 5점
393,5점만점에 1점
394,5점만점에 5점
395,5점만점에 5점
396,5점만점에 5점
397,5점만점에 5점
398,5점만점에 5점
399,5점만점에 3점
400,5점만점에 5점
401,5점만점에 5점
402,5점만점에 5점
403,5점만점에 5점
404,5점만점에 5점
405,5점만점에 4점
406,5점만점에 4점
407,5점만점에 5점
408,5점만점에 5점
409,5점만점에 5점
410,5점만점에 5점
411,5점만점에 4점
412,5점만점에 5점
413,5점만점에 4점
414,5점만점에 5점
415,5점만점에 5점
416,5점만점에 3점
417,5점만점에 2점
418,5점만점에 5점
419,5점만점에 4점
420,5점만점에 5점
421,5점만점에 5점
422,5점만점에 5점
423,5점만점에 5점
424,5점만점에 5점
425,5점만점에 4점
426,5점만점에 5점
427,5점만점에 5점
428,5점만점에 4점
429,5점만점에 5점
430,5점만점에 5점
431,5점만점에 5점
432,5점만점에 5점
433,5점만점에 4점
434,5점만점에 4점
435,5점만점에 5점
436,5점만점에 5점
437,5점만점에 5점
438,5점만점에 5점
439,5점만점에 5점
440,5점만점에 5점
441,5점만점에 3점
442,5점만점에 4점
443,5점만점에 5점
444,5점만점에 5점
445,5점만점에 4점
446,5점만점에 5점
447,5점만점에 4점
448,5점만점에 5점
449,5점만점에 4점
450,5점만점에 5점
451,5점만점에 5점
452,5점만점에 5점
453,5점만점에 5점
454,5점만점에 5점
455,5점만점에 5점
456,5점만점에 4점
457,5점만점에 5점
458,5점만점에 5점
459,5점만점에 3점
460,5점만점에 5점
461,5점만점에 4점
462,5점만점에 5점
463,5점만점에 4점
464,5점만점에 5점
465,5점만점에 5점
466,5점만점에 4점
467,5점만점에 5점
468,5점만점에 5점
469,5점만점에 5점
470,5점만점에 5점
471,5점만점에 5점
472,5점만점에 5점
473,5점만점에 4점
474,5점만점에 5점
475,5점만점에 5점
476,5점만점에 5점
477,5점만점에 5점
478,5점만점에 5점
479,5점만점에 5점
480,5점만점에 4점
481,5점만점에 5점
482,5점만점에 4점
483,5점만점에 5점
484,5점만점에 5점
485,5점만점에 5점
486,5점만점에 4점
487,5점만점에 5점
488,5점만점에 4점
489,5점만점에 4점
490,5점만점에 4점
491,5점만점에 5점
492,5점만점에 5점
493,5점만점에 5점
494,5점만점에 5점
495,5점만점에 5점
496,5점만점에 5점
497,5점만점에 5점
498,5점만점에 4점
499,5점만점에 5점
500,5점만점에 5점
501,5점만점에 4점
502,5점만점에 5점
503,5점만점에 5점
504,5점만점에 5점
505,5점만점에 5점
506,5점만점에 5점
507,5점만점에 5점
508,5점만점에 5점
509,5점만점에 5점
510,5점만점에 5점
511,5점만점에 5점
512,5점만점에 5점
513,5점만점에 4점
514,5점만점에 5점
515,5점만점에 5점
516,5점만점에 5점
517,5점만점에 5점
518,5점만점에 4점
519,5점만점에 5점
520,5점만점에 5점
521,5점만점에 5점
522,5점만점에 5점
523,5점만점에 4점
524,5점만점에 4점
525,5점만점에 5점
526,5점만점에 5점
527,5점만점에 5점
528,5점만점에 5점
529,5점만점에 4점
530,5점만점에 5점
531,5점만점에 4점
532,5점만점에 5점
533,5점만점에 5점
534,5점만점에 3점
535,5점만점에 5점
536,5점만점에 5점
537,5점만점에 3점
538,5점만점에 5점
539,5점만점에 5점
540,5점만점에 5점
541,5점만점에 5점
542,5점만점에 5점
543,5점만점에 5점
544,5점만점에 5점
545,5점만점에 5점
546,5점만점에 4점
547,5점만점에 5점
548,5점만점에 3점
549,5점만점에 5점
550,5점만점에 5점
551,5점만점에 5점
552,5점만점에 1점
553,5점만점에 5점
554,5점만점에 4점
555,5점만점에 4점
556,5점만점에 5점
557,5점만점에 5점
558,5점만점에 5점
559,5점만점에 2점
560,5점만점에 4점
561,5점만점에 5점
562,5점만점에 5점
563,5점만점에 5점
564,5점만점에 4점
565,5점만점에 5점
566,5점만점에 5점
567,5점만점에 4점
568,5점만점에 5점
569,5점만점에 5점
570,5점만점에 4점
571,5점만점에 5점
572,5점만점에 5점
573,5점만점에 4점
574,5점만점에 4점
575,5점만점에 5점
576,5점만점에 3점
577,5점만점에 5점
578,5점만점에 5점
579,5점만점에 4점
580,5점만점에 5점
581,5점만점에 4점
582,5점만점에 5점
583,5점만점에 4점
584,5점만점에 5점
585,5점만점에 5점
586,5점만점에 5점
587,5점만점에 4점
588,5점만점에 5점
589,5점만점에 5점
590,5점만점에 5점
591,5점만점에 5점
592,5점만점에 5점
593,5점만점에 4점
594,5점만점에 5점
595,5점만점에 5점
596,5점만점에 5점
597,5점만점에 5점
598,5점만점에 5점
599,5점만점에 5점
600,5점만점에 5점
601,5점만점에 5점
602,5점만점에 5점
603,5점만점에 4점
604,5점만점에 5점
605,5점만점에 5점
606,5점만점에 3점
607,5점만점에 5점
608,5점만점에 3점
609,5점만점에 5점
610,5점만점에 4점
611,5점만점에 5점
612,5점만점에 5점
613,5점만점에 5점
614,5점만점에 5점
615,5점만점에 5점
616,5점만점에 4점
617,5점만점에 5점
618,5점만점에 5점
619,5점만점에 5점
620,5점만점에 1점
621,5점만점에 4점
622,5점만점에 5점
623,5점만점에 5점
624,5점만점에 5점
625,5점만점에 5점
626,5점만점에 5점
627,5점만점에 5점
628,5점만점에 5점
629,5점만점에 5점
630,5점만점에 5점
631,5점만점에 5점
632,5점만점에 3점
633,5점만점에 5점
634,5점만점에 5점
635,5점만점에 5점
636,5점만점에 5점
637,5점만점에 5점
638,5점만점에 5점
639,5점만점에 4점
640,5점만점에 2점
641,5점만점에 5점
642,5점만점에 5점
643,5점만점에 5점
644,5점만점에 5점
645,5점만점에 4점
646,5점만점에 5점
647,5점만점에 5점
648,5점만점에 5점
649,5점만점에 4점
650,5점만점에 4점
651,5점만점에 1점
652,5점만점에 5점
653,5점만점에 5점
654,5점만점에 5점
655,5점만점에 4점
656,5점만점에 4점
657,5점만점에 5점
658,5점만점에 5점
659,5점만점에 4점
660,5점만점에 4점
661,5점만점에 5점
662,5점만점에 5점
663,5점만점에 4점
664,5점만점에 4점
665,5점만점에 3점
666,5점만점에 5점
667,5점만점에 5점
668,5점만점에 5점
669,5점만점에 4점
670,5점만점에 5점
671,5점만점에 5점
672,5점만점에 5점
673,5점만점에 5점
674,5점만점에 5점
675,5점만점에 5점
676,5점만점에 5점
677,5점만점에 5점
678,5점만점에 5점
679,5점만점에 5점
680,5점만점에 5점
681,5점만점에 5점
682,5점만점에 5점
683,5점만점에 5점
684,5점만점에 5점
685,5점만점에 4점
686,5점만점에 5점
687,5점만점에 5점
688,5점만점에 5점
689,5점만점에 5점
690,5점만점에 4점
691,5점만점에 5점
692,5점만점에 5점
