,0
0,"올리브영 체험단으로 처음 이용후 지금 5통째입니다. 악건성인 피부라 속건조 잡는 제품을 찾기 힘들었는데 이제품 이용후 속건조가 많이 개선되어 이제품만 꾸준히 이용중입니다. 사계절 무난히 이용할수 있는 제품이고 건성 피부나 속건조 개선히 이용하기 좋은 제품입니다. 스포이드 형태로 필요만큼만 피부에 덜어 문지르면서 바르는게 제일 효과적이고 화정솜에 스킨을 적셔 닦아낸후 해당제품을 2~3번 레이어링해서 바르면 피부 건조함이 많이 덜합니다. 화장솜보다는 손으로 발라 두드려 흡수시키는게 좋고, 보습감이 매우 좋은 에센스이기는 하나 피부가 많이 건조할시에는 크림도 추가적으로 바르면 더욱 촉촉함이 오래 유지됩니다."
1,"*피부타입은 민감한 수부지에요!
속건조 잘 잡아주는 에센스로 유명하길래 사봤는데
발림성이 그냥 물 토너 같아요! 그리고 흡수도 빠르고 촵촵 먹인 다음에 피부는 약간 쫀득?하게 되어서 너무너무 좋아요~~
한번으로는 부족해서 두번 정도 먹여주는데 그럼 피부가 수분이
차오르는 느낌이 들어서 너무 좋더라구요! 
먼저 닥터자르트 바이옴에센스로 수분 충전해준 다음에 닥터자르트 세라마이딘 리퀴드 써주면 유수분밸런스가 잘 맞는거 같아서 두개를 같이 쓰게 되더라구요!
일단 이 제품은 4계절 내내 잘 쓸거같아요! 여름에는 단독으로 사용하고 환절기때는 보습제품과 함께 써주면 딱 알맞아서 너무 좋네요!
저는 개인적으로 향은 괜찮았어요! 그냥 발효식품 향?? 못쓸정도의 향이 아니라서 더 좋아요! 오히려 기초제품에 꽃향나고 그러는걸 싫어하기 때문에 개인적으로 더 만족스러웠어요! 이게 바르고 계속 나는게 아니라서 다른제품 바르면 바로 향이 사라져요!!
저는 이제품 재 구매 할거같아요~ 속건조 잘 잡아주는거 같아서 만족해요"
2,"살까말까 고민하다가 가격 때문에 다시 내려놓기를 반복하고 유투브를 보고 구매결정하고 약 몇달 간 사용해본 리얼리뷰입니다!!! 

처음에 받아보았을 때 주사기 같은 거랑 같이 와서 너무 신기했어요! 그리고 그냥 입구에 대고 쏘기만 하면 되는 거라 어렵지도 않고요! 재밌어요!!ㅋㅌㅋㅋㅋ 

제형은 주르륵 흐르는 제형이에요! 에센스라고 해서 묵직한 제형을 기대했었는데 주르륵 토너? 느낌이 날정도로 엄청 묽은 제형입니다! 처음에는 바르기 힘들었는데(얼굴에 올리자마자 주르륵 흘러서ㅠ) 몇번 하다보면 익숙해져서 괜찮은 거 같아요! 오히려 묽은 제형이라 피부에 흡수도 잘 되는 느낌이 들어서 저는 오히려 만족스러웠던 제형이에요! 또 수분보충에 있어서는 완벽한 에센스가 아니었나 싶네요 ㅎㅎ

그리고 좋았던 점은 바르고 흡수시켜주면 물 제형인데도 피부가 쫜쫜해져요! 그래서 메이크업전에 바르면 파데 정말 잘먹어요! 수분보충도 해주면서 유분기가 또 아예 없는 건 아닌 듯해서 사용감은 너무 만족스러웠어요!

그런데! 단점은,,, 저는 처음에 사용할 때 좀 피부가 따가웠어요ㅠ 제가 좁쌀여드름도 많고 민감성 피부인데 너무 따가워서 깜짝놀랐어요ㅜ 그래도 비싼 돈주고 산 거니까 참고 쓰고있긴한데 코주변 같은데는 여전히 따갑네요ㅠ 그리고 냄새!!ㅜ 이건 닥터자르트에서 개선을 해주었으면 좋겠어요.. 리뷰에서 다들 냄새가 별로다, 심지어는 상한 삶은 감자 냄새가 난다고 하던 분도 있었는데.. 정확해요.. 진짜 삶은 감자 상한냄새가.. 나요ㅜ 유산균이 함유 돼서 그런가 냄새가 구리구리 해요ㅜㅠ 저는 냄새에는 별로 민감한 편이 아닌데도 불구하고 처음에 바를 땐 역하게 느껴졌어요ㅠ  

개인적으로 피부가 따갑게 느껴졌던 것과 냄새 그리고 가격 때문에 저는 재구매를 할 것 같지는 않아요!ㅜ 피부가 저처럼 민감하신 분 그리고 냄새에 민감하신 분들은 꼭! 테스트 해보시고 구매하는 걸 추천해드립니다!"
3,"건조함은 느끼지만 티존 유분은 뿜뿜하고요
민감해서 좁쌀이 자주 올라오는 피부입니다

물같은 제형의 속보습 채우기 좋은 에센스에요 제형은 가볍고 흡수가 매우 빠른데 반에 보습감은 묵직합니다 그점이 매우 좋았어요 한여름이라 특히 화장 전 기초가 고민이었거든요 건조하다고 무겁에 올리면 화장이 너무 빨리 무너지고 그렇다고 가볍에 올리면 하얗게 뜨고요 스포이드를 클릭하면 딱 챱챱챱 하기 좋은 양이 떨어지는데요 두세번 레이어링 해서 찹찹 해주면 빠르게 흡수되어 속은 촉촉 겉은 가벼운 피부를 만들어줍니다 저처럼 건조한 피부가 아니라면 요즘 같은 날씨에는 이제품 레이어링 해서 속보습 잡고 크림으로 바로 가서 기초 마무리 하셔도 될거같고 저는 세럼이랑 크림을 더해주는데 이제품 추가하고 아침기초 사용량을 많이 줄일수 있었어요 

사실 바이옴에센스가 처음 출시되었을때 대용량 샘플을 받아 사용했었는데요 여러면에서 마음에 들었지만 결정적으로 향?냄세? 때문에 구매로 이어지진 않았거든요 개인 차이가 있겠지만 제가 느끼기엔 오래된 삶은 감자같은 냄세가 났어요ㅠ ㅠ 그 냄세가 꽤 강하게 느껴지기도 했고요 근데 이번에 체험단으로 받은 제품은 그부분이 개선이 된건지 아님 샷을 추가해서 그런건지 분명 같은 향이 느껴지는데 잠깐 스쳐갈뿐 거슬리지 않더라고요 정말 큰 진입장벽이었는데 개선?된점 너무 좋았습니다

피부톤 개선은 일이주 써보고 논할 문제는 아닌거 같고요 피부에 겉도는것 없이 촤악 흡수되는 속보습 에센스 찾으신다면 강추합니다 보이지는 않지만 단순 보습이 아닌 피부에 유익한 균을 제공해서 피부를 더 건강하게 한다니까 든든하기도 하고요"
4,"☑️완전 워터리한 제형
(평소에 콧물제형 에센스를 좋아해서 아쉬웠고 
사용해 본 제품 중 DMCK 아크앰플과 제형 가장 유사)
퍼스트에센스처럼 사용하는게 나을듯

☑️향은 대놓고 맡으면 불호지만 실제로 얼굴에 발랐을 때
크게 거슬리는 정도는 아니였음

☑️물물한 제형이라서 수분감이 아쉬울 것 같았지만
생각보다 촉촉하고 산뜻하게 마무리되는 편
(단, 건성은 부족하기 때문에 앰플, 크림으로 보충 필수)

☑️미백효과는 일주일만에 효과를 보진 못했음

☑️보통 화이트닝, 브라이트닝 제품은 자극적인 경우가 많은데
이 제품은 정말정말 순해서 자극이 1도 없었음

☑️평소 쓰던 스포이드랑 달라서 어색한 감이 있긴 하지만
케이스에 신경 쓴 티가 많이 났음

전체적으로 순하고 나쁘진 않았지만
가격대비 그렇다 할 효과가 없어서 아쉬웠습니다"
5,"✔️올영체험단 20기
#닥터자르트 바이옴 에센스

✔️피부타입
복합성 (피지 모공 블랙헤드 고민점)

✔️제품 특징
수분바이옴+프리바이오틱스+3가지 히알루론산
=피부톤 개선/수분/보습
+
바이옴 블루 샷(미백 샷)

다양한 임상 실험 완료!!

☑️전체적인 후기
전체적으로 지 복합성 분들에게 추천드려요!
(중건성 분들에겐 약간 건조하실수도 있어요!)
닥터자르트제품은 진짜 유명하죠? 
그 만큼 비싸기도 하고 효과도 좋고! 직접 써보니 더 좋으네요! 
피부톤 개선에 얼마나 효과가 있을지 기대가 됩니다! 우선 수분 보습에선 만족했어요!!

☑️상세 리뷰

➡️향/제형👍🏻👍🏻👍🏻
향은 코코넛향이 나는데 저는 개인적으로 코코넛 향을 안 좋아해서..ㅎ (약간의 호불호는 있을듯 해요!)
제형은 흐르는 물제형이고 가볍습니다!

➡️수분감👍🏻👍🏻👍🏻👍🏻
수분감은 넘치는데 끈적이지 않아서 저는 좋았어요! 속수분 겉수분 다 채워주는것 같아요!!

❗️단!❗️
중 건성 분들에겐 약간 건조하실수 있습니다

➡️발림/흡수/마무리감(잔여감)👍🏻👍🏻👍🏻👍🏻👍🏻
물처럼 흐르는 제형이라서 빠르게 흡수되고 발림성도 좋아요! 잔여감이 없어서 지 복합성 분들에겐 더 좋은듯 합니다!!

➡️저극/민감👍🏻👍🏻👍🏻👍🏻👍🏻
화해 어플에서 확인 가능 하신데!
알레르기 유발 성분 + 20가지 주의성분 무 첨가!!
그만큼 안전한 성분과 더불어 자극적이지 않은 순한 제품이에요!!


👎🏻아쉬운 점
1.코코넛 향의 제품(호불호 갈림)
2.블루샷 용기 불편"
6,"처음 개봉할때 주사기 뭐지 .. 당황 ㅋ
에센스랑 엠플 기획이라 따로 나온거였구여
뭔가 수분 전문 화장품 느낌 파박 들었어요

제형은 수분감 있는 살짝 콧물제형인데
무겁진 않아요
흡수도 몇번 톡톡 하면 바로 흡수됩니다

성분 너무 착해요
전 애들이 아직 어려서 
항상 화장품 성분부터 확인하거든요
성분부분에서도 합격

냉장고에 넣었다 바르면 
피부를 타이트하게 잡아주는거 같고
낮에 열로 지친 피부에 휴식을 주는거 같아 좋구
화장솜에 촉촉하게 해서 붙여주면 수분팩 효과도 있어요

기미가 좀 있는데 미백은 확실히는 아직 못느꼈어요
피부톤이 약간 밝아지는 느낌은 있습니다"
7,제형이 무겁지도 않고 그렇다고 완전 묽지도 않아서 사계절 내내 바르기 좋아요 수분감이 좋아요 그런데 앰플같이 쫀득쫀득한 느낌은 아니라서 참고하세요 저는 개인적으로 너무 쫀득하면 먼지도 달라붙고 되려 자극이 느껴지는 피부라 제 피부엔 적당한 농도였어서 좋았어요 주사기 앞부분을 똑 따서 제품에 넣어준 후 흔들어서 사용하시면 되요 스포이드가 펌프식(버튼을 한번 누르기만 하면 액이 올라옴) 이어서 액을 일정한 양으로 빨아올려줘요 가끔 스포이드 사용 원리때문에 때론 액이 적게 또는 잘 안올라와서 불편할 때가 있는데 이 점을 잘 보완해줬네요 향이 안좋다는 평이 많은데 사실 좋은 향은 아니고 제가 느끼기엔 우유비린내 같았어요 그렇다고 향료가 첨가된게 좋은게 아니라서 저는 향을 크게 비중두지 않는 타입이라 괜찮았어요 올 여름 이 제품으로 잘 버틸 것 같아요 :)
8,"🌀수분 고농축이 가볍게 내 피부에 싸악~!🌀
일주일동안 닦토을 한 뒤에 이마, 양쪽볼에 한방울씩 흘려서 사용해 보았어요! 
처음에는 세럼인데 그냥 물처럼 흘러내리길래 당황했지만, 
피부에 얹는 순간 오! 했던 제품입니다. 
발라서 흡수 시켜주니 코르셋처럼 내 피부를 쏴악하고 
수분성분 하나하나가 채워주는 기분이에요!! 
그렇다고 마무리 감이 리치하지도 않고, 바른 후 끈적이지도 않아 너무 만족했습니다👍🏻👍🏻

✔️용기 (⭐️⭐️⭐️) :  처음에 어떻게 여는지 몰라 해맷어요....    위에가 스포이드 형식이라 누르면 되는줄 알았는데 그냥 일반적으로 여는 방식이였습니다.

✔️향기(⭐️⭐️) : 이 제품의 단점을 찾자면 저는 개인적으로 냄새네요...완전 못쓸 향기는 아니지만 호불호가 있는 향기인거 같습니다. 약간 곡물의 꿉꿉한 향?이 나요...바이옴 라인 전체가 그런거같아요ㅠㅠ 

✔️제형(⭐️⭐️⭐️⭐️⭐️) : 개인적으로 끈적 끈적하게 피부에 계속 남아있는걸 별로 선호 하지않는데, 이 제품은 물처럼 싸악 스며드는 제품이라 바른 후에도 끈적이지않고, 다음 제품을 사용하기에 아주 좋았습니다. 

✔️추천피부(건성/복합성/지성) 모든 분이 사용가능한 제품이에요. 물론 극건성이신 분들은 싹 스며드는 쫀쫀한 마무리감에 건조하다고 느끼실 수 있지만, 속안을 수분으로 채워주는 제품이라 여름에 사용하기에는 더할 나위 없을거같아요😊

🌀🌀🌀🌀🌀이상 올영체험단 후기였습니다."
9,"전 수부지로 주름이 생겨 고생중인 피부입니다!

제형&발림성⭐️⭐️⭐️⭐️⭐️
흐르는 워터제형이에요! 그래서 흘러내리기전에 얼굴에서 빠르게 챱챱 해줘야해요 개인적으로 발림성도 좋고 흡수도 빨라서 화장이 안말림!!

수분감&유분감⭐️⭐️⭐️⭐️
전 개인적으로 유분감이 조금 있으면 좋겠는데 파워 지성이신분들이 좋아하실것같아요! 유분감 거의 없다 보시면 될 것 같아용!
수분감은 적당해요 위에 수분크림 한번 더 바르긴 하지만 두번 레이어링 하고 있는데 진정효과도 어느정도 있는것 같고 !
유분감이 너무 없어서 별하나 뺏어용 

 향⭐️⭐️⭐️⭐️⭐️
발효성분때문에 발효향이 난다고 하는데 전 목욕탕 가면 우유로 맛사지할때 나는 그 우유비릿한 (?)향 나서 너무 좋던데!!!
이거 향 왜 싫어하는지 전 이해못하겠슴ㅋㅋㅋㅋ바를때마다 뭔가 맛사지 하는 느낌나서 너무 좋음ㅋㅋㅋㅋㅋㅋ별백개 ㅋㅋㅋㅋ

미백효과⭐️⭐️⭐️⭐️
같이 들어있는 앰플이 미백에 좋은 성분이라고 하더라구요! 스킨을 갈릭토미세스 성분이 있는걸 사용중이긴 하지만 정말 많이 밝아졌어요 !!!! (최근 장벽이 무너져서 최악인 상태였어서 더 느끼는 것일 수도..)

진정&장벽강화⭐️⭐️⭐️⭐️⭐️
최근까지 제 피부가 건성인줄 알고 제품 잘 못 쓰다가 얼굴에 트러블 폭탄 맞았다가 화장품 다이어트 하면서 진정시키는 와중에 당첨되서 써보는중인데 1주일만에 피부가 많이 진정되고 결도 좋아지는 중입니다!"
