,0
0,"제 피부가 수부지 타입인 걸 알고 나서는 속건성에 좋은 제품을 열심히 찾아보던 중에 알게 되었어요. 토리든 수분 세럼 사용하다가 이 제품도 사게 됐는데 꽤 만족하는 제품입니다ㅎㅎ

먼저 제형은 약간 점도 있는 묽은 제형이에요. 토리든 보다는 훨씬 투명하고 점도가 조금 더 있어요.

두 번째로 흡수도 꽤나 잘 돼요. 첨에 바르고 난 뒤에는 약간 끈적하길래 약간 실망했는데 이내 금방 흡수 되더라구요. 그래서 뒤에 다른 제품 발라도 밀림 없어 좋았어요 :)

세 번째로 수분감이에요. 세럼 사용하기 전에는 세안 후 조금만 있어도 얼굴이 번들번들거렸는데 요 제품 사용하고 나서 토리든 제품 썼을 때 처럼 확실히 피부가 꽤 뽀송해졌어요ㅎㅎ

가격대비 괜찮은 제품이라 저같은 수부지나 복합성 피부에 좋을 것 같아요ㅎㅎ 주변 사람들에게도 추천해주고 싶을 정도ㅎㅎ 다음에 또 재구매 하도록 할게요!ㅎㅎ"
1,"❤️민감/건성이의 인생 앰플❤️
✔️쫀쫀한 수분감!
✔️다른 히알루로산  제품은 안맞았는데 더랩바이블랑두 사랑해요🥰
✔️하루종일 촉촉해요
✨팁 : 앰플 한번으로도 부드럽고 촉촉하지만 건성인 저에게는 충분하지 않아요 3번 얼굴을 챱챱 두드려가며 흡수시켜주면 팩 한것 같은 촉촉함을 느끼실 수 있을거에요🙊❤️

🙋🏻‍♀️이런 분들께 추천드려요
👉🏻하다라보처럼 촉촉! 쫀쫀! 을 느껴보고 싶으신 분
👉🏻순한 수분 앰플이 필요하신 분
👉🏻속건성 잡고싶으신 분

🙅🏻‍♀️이런 분들은 비추천해요
👉🏻얼굴이 끈적한게 싫으신 분
👉🏻가격에 비해 양이 많은게 좋으신 분

✨참고로 패드는 그냥 그랬어요..ㅋㅋ 여행갈 때 토너 대신 하나 챙겨가면 좋을 것 같아요~"
2,"너무 건조해서 이 제품이 너무 좋아보이길래 
처음 사서 써봤는데 너무 잘 썼어요~
그 때 쓰고 다 써서 기존 있던 앰플로 다시 쓰는데 역시나 너무 건조하고... 성에 안 차서 다시 재주문했네요

그냥 물 제형이 아닌 (반?🤣)콧물제형으로 쫀쫀한 게 제일 만족스러워요 제 피부는 그냥 물 흐르듯 한 제형은 기분탓일지 모르겠는데 건조하더라구요... 

이거로 다시 갈아타서 바르니까 확실히 다시 피부가 쫀쫀해지는게 느껴져요 ㅎㅎ
토너도 있는데 토너는 닦토로 쓰는데 여기 제품은 다 좋은 것 같아요 ~ 
아! 패드도 써봤네요 ㅎㅎ 전 근데 앰플이 제일 좋은 것 같다는 ㅎㅎㅎ"
3,"히알루론산이 피부에 얼마나 도움이되는지 모르는 사람 없으시죠 ? 이 제품은 히알루론산을 전면으로 내세워 선보인데다 유명유튜버님이 착한 성분 앰플로 손꼽아주신 제품이라 저또한 믿고 구매 했는데용 ~~ ෆෆ

피부타입 👉 건성타입으로 날씨가 점점 추워지니 얼굴이 갈수록 더 당기고 갈라지는 탓에 속건조부터 잡자! 생각하고 써보게 되었답니다. ㅎㅎ

보습감 👉 도포후 톡톡 두드려주었을때 빠르게 흡수되며 피부 속부터 수분감이 차오르는게 느껴졌어요 ! 무엇보다 고농축에 종결 앰플이라 소량만으로도 피부 생기를 충전하기엔 딱 좋은것 같아용 ㅎㅎ

자극정도 👉 유해 성분 X, 자극 없이 필요한것만 보충이 되는것 같다고 할까요 ? 수분=히알루론산인데 무려 만ppm이나 들었고 식품의약품안전처인 GMP인증까지 받은 EWG 그린처방이라 그런지 자극은 전혀 느끼지 못했답니다 !

재구매 👉 건성 피부라 환절기엔 아무래도 보습 케어가 가장 중요하다고 생각을 하는 1인인데용 ! 이 앰플을 사용해보니 수분을 촘촘하게 채워주면서 피부 각질은 잠재워주고 탄력까지 더해주니 다 쓰게 된다면 충분히 재구매 할 의사가 생기는 그럼 제품 같아용 ㅎㅎ 한가지 팁을 드리자면 제형 자체가 묽은 제형이라 가볍게 발리며 쫀쫀하게 마무리가 되지만 약간의 끈적임이 남기 때문에 아침보단 저녁에 사용하는걸 추천할게용 !"
4,"겨울,환절기에 사용하기 너무나도 좋은 제품인것 같아요!!
속건조, 피부 열, 홍조가 매우 심한편이라 항상 저 셋으로 인해 고통받으며 살아왔어요🥲🥲 그래서 앵간한 스킨케어 제품들에 만족감을 잘 못느끼는 편이고, 이것저것 매우 많이 사용해본 편인데 이 제품.. 정말 제가 사용해본 수많은 제품들중 다섯손가락 안에 꼽히는 제품력이에요!!
✔️우선 향은 거의 무향에 가깝습니다
✔️쫀쫀한 수분감이 피부에 듬뿍 쌓여요🤭
✔️보습력 대비 꽤나 빠른 흡수력을 자랑합니다 !!
✔️비록 고작 사용한지 이틀째이긴 하지만, 아직 트러블이나 뾰루지등 피부에 자극이 1도 없어요 !!
✔️과대포장 없는 작은 사이즈로, 휴대성이 매우 용이합니다
바이블랑두에 같은 라인의 토너패드랑 사용했을때 더 큰 시너지효과를 느낄 수 있었어요!
너무너무 만족스러운 제품입니다😆"
5,"건조한 계절에 하루종일 마스크 쓰고 히터 쐬는 환경에 노출이 많이 되다보니, 크림을 발라도 속건조가 심해져서 보습에 치중해보려고 샀어요. 피부 깊숙히 전달되는 저분자 히알루론산 성분 때문인지 바르면 즉각적인 촉촉함 뿐 아니라 보습감이 오래 지속돼요. 30대가 되고나니 잔주름도 표정 많이 지어지는 부위에 좀 보이고. 나비부위 주변으로 모공도 넓어지고. 마스크 닿는 부분은 더욱 예민해지고 탄력감이 떨어지는 것 같아요. 기능성 성분에는 알러지가 있는터라 노화는 수분감을 보충해주면 충분히 핸들링이 된다는데, 이 제품은 부드럽게 발리면서 빨리 흡수되는 수분감이 좋아 다 쓰면 재구매의사도 있어요☻"
6,"*** 겨울에 꼭 찾는 수분 가득한 앰플~~
 1. 보습력 : 지인짜 보습 최고예요^^ 건복합성인 저에게 딱 좋은 보습이 느껴졌어요~
 2. 발림성 : 촉촉하게 잘 발립니다!
 3. 흡수력 : 흡수가 나름 빠른 편이고 마무리감은 끈적임이 있긴 합니다. 하지만 저는 수분감이 너무 마음에 들어 4통 이상 사용한 제품이에요~
(끈적임 싫어하시는 분들께는 비추천드려요 ㅠㅠ)
 4. 스킹케어 루틴 : 저는 이 히알로론산 토너, 앰플, 크림을 사용합니다! 겉도는 것 없으면서도 속건조가 느껴지지 않아 더 좋더라고요~ 건성 분들이나 건복합성이신 분들께 추천드려요^^"
7,"요즘 많이 건조해져서 수분감이 있는 앰플이나 에센스를 찾고있었는데 디렉터파이의 유튭채널을 보다가 수분감앰플에서 
1위한 이 앰플을 사야겠다고 마음먹어서 구매하였습니다.
*일주일간 사용하면서 장점/단점을 적어봤습니다*

🤍피부타입: 건성/볼 외곽과 턱 부분에 여드름 있음
🤍제형: 점성이 있으며 콧물같은 제형
🤍성분: 자극없이 순한성분. 
사용하면서 여드름이 다시 올라오거나 붉어지는것이 없었음
🤍향기: 무향에 가까움
🤍크기: 사진에 첨부한것처럼 립스틱 크기정도 됨.
🤍사용감: 적당한 양을 도포해주고 둥글게 흡수시켜주면 
속건조는 잡아주고 피부는 맨들맨들해짐. 다만 너무 많은 양을 도포할 경우 밀릴 가능성이 많음.

😊 -향기가 무향에 가까워서 향기에 예민한 분들도 부담없이사용가능
-흡수를 다 하고 나서 끈적거림없이 산뜻하게 마무리되서 끈적거림이 싫으신 분들이 사용해 봐도좋을거 같아요
-성분이 순해서 민감성 피부에도 추천해요

🤔 -제품의 용기가 불투명해 남은 양을 파악하기가어려움
-점성이 있다보니 얼굴에 도포하고 두드려서 흡수시킬때 
얼굴에 자극이 될 수 있어요
-얼굴에 흡수가 미흡하면 다음단계에서 밀릴 가능성이높아요

❤총평
수분감 또는 속건조를 잡는 앰플을 찾고 있다면 이 제품을 
추천드릴게요!! 순한성분에 비교적 빠른 흡수감을 갖고있고
속건조도 확실하게 잡아주고 2번 레이어링 해서 발라주면 
수분감이 팡팡! 한게 건조한걸 못 느끼겠더라구요ㅎㅎ
저는 다음에도 재구매의사 무조건 있습니다☺"
8,"요즘 피부가 너~무 심하게 건조해서 좋다는 보습제품들을
브랜드별로 종류별로 여러 개 사서 사용해보고 있는데요.
그 중에 하나가 이 제품이었어요!

이 제품은 이 브랜드 스킨 사용해 만족스럽게 사용한 적이 있기도 하고, 후기도 좋길래 구매해봤어요.
이 제품 우선 성분이 너무 순해서 마음에 들었어요.

순한 성분만큼이나 피부 자극도 안 느껴져서 좋았구요.
발림성도 좋았고 흡수도 잘 되었어요.
보습력도 좋은 편이긴 한데, 
제가 지금 워낙 피부가 건조하고 속당김을 잘 느끼는 편이라,
이 제품만 바르기에는 좀 부족했어요.
수분크림도 같이 발라줘야 할 것 같아요.

향도 거의 무향이고 성분도 순하고
어느 하나 모난 점 없는 착한 수분앰플이에요.

건성인 분들이 겨울에 쓰기엔 조금 부족할 것 같고,
저는 재구매 하게 된다면 여름에 다시 생각해보려구요!"
9,"모두가 좋다고 해서 호기심에 구매했다가
너~무 좋아서 행사하길래 두 개 더 구매했네요^^
화장품 광고카피는 거의 믿지 않는 편인데
이건 정말 카피 그대로 속부터 수분을 채워주네요
감동했습니다ㅠㅠ
30년간 유목생활을 끝내게 되었어요..
다른 제품들 사용할 땐 주 2회 이상
일반 필링젤은 먹히지도 않고
스크럽 제품을 사용해야만 피부가 맨들맨들해졌는데
(심각한 수부지입니다.. 각질제거 안 하면 트러블이 올라오는..ㅜㅜ)
이거 사용 후 스크럽을 2주  1회 할까 말까 하네요
각질이 거의 올라오지 않아요
이 가격에 이런 제품을 만들어 주시다니 감사합니다~~"
10,"속건조에 추천 받아서 구매했어요. 전에도 환절기에 사용했었는데 가볍게 토너로 정리하고 천천히 두세번 레이어 해서 바르면 건조함 잡히고 좋아요. 마무리감이 끈적이는 감이 있어서 그런 느낌 싫으시면 다른 제품 쓰시는거 추천드리고, 개인적으로는 그런 느낌이 더 흡수 된거 같고 좋아서 사용해요. 히알루론산 특유 느낌인거 같기도 하네요. 한번만 넉넉히 얹어줘도 쫀쫀한 마무리가 되서 만족해요. 많이 건조하거나 마스크 때문에 홍조가 좀 올라온다 싶으면 두어번 얹어서 사용해요. 그리고 크림으로 얇게 레이어 하고 자면 아침까지 건조함 없이 촉촉해요."
11,이제품 전문가 추천한 어느 글보고 사보고 싶었는데 이번에 세일도하고 필링 패드도 준다고 해서 사봤어요. 30밀리 용량으로 미니미 하네요. 건성피부라서 수분이 항상 부족한데 속당김이 신기하게 없네요. 토너로 닦고 앰플만 바르고 메이크업 시작해도 촉촉하게 잘먹어요. 저녁엔 수분크림 한번더 발라주면 자는동안 속으로 쏘옥 흡수되는 느낌이에요. 딱 건성피부인 제가 찾던 수분앰플 세럼입니다.
12,"장점
1. 메이크업 하기 전에 기초로 사용하기 좋다.
2. 세일가 16000원은 저렴한 편인 것 같다. 거기에다 패드까지 무료 증정하니, 굉장히 살만한 가격이다.
3. 트러블 나지 않고 순하게 사용하기 좋다.
4. 화장할 때 밀리지 않게 적당히 촉촉함.

단점
1. 바른 직후에는 수분감이 충만하나, 촉촉한 게 얼마 가지 않는다.
2. 양이 너무 적다. 제품을 실제로 보니 생각보다 굉장히 작았다...
3. 용기 디자인이 좀 유치하다. 좀 더 예쁘고 세련되게 바꾸면 좋을 것 같다.


얼른 대용량이 나왔으면 좋겠어요. 재구매 의사 있습니다!!"
13,"오 이거는 디파1위템이고 5500원딜로 구매했는데
앰플이 엄청 쫀득하고 히알루론산 있다하는만큼 수분감을 잡아주는 순한 앰플이란 느낌이 빡옴
앰플치고 가격도 좋고 성분도 좋고
왠지 샘플로 들어있는 패드도 엄청 좋을뻴!
ㅡㅡㅡㅡㅡㅡ
수정
아...이거 때처럼 밀려나옴.. 아침에 쓰면 절대안됌..
근데 그렇다고  엄청 촉촉하지도않음 ㅠ 바를때 느낌은 진짜 최고였는데...별하나 더 깎음 ㅜ"
14,"결론부터 말씀드리자만 추천드립니다!!

 저는 평소에 귀찮아서 수분크림이나 로션만 바르던 사람인데.. 아무래도 기존에 쓰던 제품들이 저에겐 겉에서만 미끈거리고 뭔가 피부에는 착 흡수가 안되는 느낌이라 앰플을 구매해봐야겠다는 생각이 들어서 구매하게됐어요.
 제가 원하던 느낌은 피부가 번들거리지 않고 피부 속까지 쫀쫀해서 바르고 나면 손이 찹 달라붙게 되는 수분감이었고, 번들거림이 없는 제품을 원했어요.
 근데 이 제품이 그런 저의 니즈를 잘 충족시켜줬네요! 가격도 세지 않으면서, 양 볼에 한 방울씩 떨어뜨리고 펴발라주면 쫀쫀한 피부가 돼요. 화장도 잘 먹구요, 다 흡수되고 나면 과한 쫀쫀함이나 번들거림은 싹 없어져요. 다 쓰고 나면 재구매 의향도 있슴다 :)"
15,"일단 정말 자극없이 순하고요, 바르기 시작한지 며칠만에 #속당김 이 모두 잡혔습니다!! 다소 아쉬운건 양이 적다는 점인데 애초에 조금만 발라도 보습효과가 있어서 저는 조금씩 바르고 위에 다른 크림을 발랐어요!! 쓰자마자 속당김이 잡히는 효과가 바로 나타나고 너무 좋았어요!! 재구매 의사 확실합니다! 쟁여두고 사용하고 싶은정도에요!! 저처럼 무거운 제품은 부담스럽고 잘 안바르게 되는데 속당김이 있고 건성인 피부에 추천드려요!! 그리고 #흡수 가 몇번 두드리면 금방돼서 바로 화장하기에도 편했어요!! 따로 위에 다른 제품 바르지않아도 충분히 촉촉했고 위에 피부화장했을때 들뜸현상도 없었습니다-!!"
16,겨울이여서 얼굴이 많이 건조해진 것 같아서 앰플을 하나 구매해보았습니다. 디렉터파이님의 추천을 받아서 순하다는 더랩 바이블랑두 브핸드의 올리고 히알루론산 앰플 기획세트 (패드 증정) 을 구매했네요. 때 마침 세일도 하고 있어서 저렴하게 구매한 것 같아요. 근데 받아보니 30ml라 확실히 병이 작고 양도 적은 것 같네요. 패드는 아직 안써봤는데 패드보다는 앰플 자체의 평이 더 좋더라고요. 앰플은 그냥 무난합니다. 사용후에 약간의 끈적임이 남아있지만 거슬릴 정도는 아니고요 또 잘 흡수되어 그런건지 엄청 물이 찰랑찰랑 하듯이 촉촉한 느낌도 아니네요 그렇지만 순한 것 같긴 해요 더 써볼게요
17,"두번째 구매입니다 처음에 한통 다 쓰긴 썼는데, 바로 흡수되어서 바른듯 안바른듯하여 다른걸로 갈아탔다가 피부 다 뒤집어져서.. 다시 이걸로 바꿨어요 😂😂
마침 세일하고 있어서 구매했는데 이걸로 계속 정착할거같아요❤️"
18,"피부가 엄청 예민하고 건서이면서도 티존 부위에 유분이 많아 좁쌀이 잘 올라오는 피부입니다
그래서 화장품을 최대한 간소하게 써서 항상 스킨이랑 크림만 바르다가 얼굴에 너무 영양을 안 주는것 같아
순하다고 햐서 한번 사서 써봤는데
트러블이 없어서 좋네요
그리고 촉촉한 느낌보단 촘촘한?느낌??
유분없이 바로 스며 들어거 피부에 보호막이 씌어지는 느낌이예요
그래서 아주 맘에 들어서 당분간 이 아이러 정착 예정입니다
저처럼 유분기가 있고 예민 피부인 분들 추천해요!!"
19,"진짜 너무 좋아요!
저번 겨울 타사이트 추첨제에서 당첨되어 처음 사용해봤는데 겨울철 히터 바람에도 건조해지는게 훨씬 덜하고 속보습이 진짜 좋더라구요!!
진짜 보습감이 너무 좋고 제품 바르기 전 기초단계에서 충분히 흡수시키지 않고 바르게 되면 제형이 합쳐져서 끈적이는감이 없지 않아 있지만 그 끈적임을 이기고 계속 두드려서 흡수시켜주면 바로 괜찮아지더라구요ㅎㅎ
진짜 사용하면 할수록 제품 바르지 않고 있어도 피부에서 광이 나고 피부 결이 좋아지더라구요! 
가장 아쉬운 점은 용기인데요,,,ㅠㅠ 용기가 투명하지 않아 남은 용량을 확인할 수 없는 점이 가장 아쉬운 것 같아요..ㅠㅠㅠ 
그리고 가격도 30ml용량에 조금 나가는 것 같지만 확실히 효과가 있고 성분이 좋아서 세일하게 되면 용서가 됩니당ㅎㅎ
다음에도 재구매할거에요ㅎㅎ"
20,"데일리로 사용하기 좋아요
저렴한 가격에 잘 구매했어요
바르고 나서 쫀득거리는 느낌은 나지만 평소 사용했던 셀리맥스 노니앰플보다는 조금 덜 한 느낌이었어요"
