,0
0,밥값이랑 화장품은 아끼지 말자 주의라서 한번 쓸때마다 아낌없이 사용하는 사람인데 1회 사용했더니 반통을 쓰고 하루만에 7ml 한통을 다 써버렸어요..  저한테는 4일치네요ㅠ 4일만에 효과가 나오지는 않으니까... 어디에 어떻게 좋은지는 잘 모르겠지만 이런 비슷한 제품들이 상당히 끈적거리는데 이 제품은 끈적 거리지 않았고 피부에 막을 씌운다는 느낌이 아니라 피부안으로 스며들어간다는 느낌이예요  굳이 막 흡수되라고 두드리지 않아도 되서 상당히 마음에 들었어요 이런 제형이면 사계절 내내 사용해도 부담이 없을거같아요 비용은 부담스럽겠지만...  향은 모라고 설명해야 될지 모르겠는데 몬가 나무 껍질향 같아요  저같이 화장품 퍽퍽 쓰는 사람이면 올영보다는 많이 주는 홈쇼핑에서 구매하세요..
1,"마데카크림을 너무 좋아서 앰플을 발견하고 서둘러 주문하였어요!!
흡수력 좋고 바른 후에 바로 크림으로 넘어갑니다
그래도 전혀 밀림도 없고 더욱 촉촉해지고 피부에 영양이 풍부해지는 것 같아요^^
다음날 피부가 촉촉하게 유지되서 꾸준히 바르고있어요^^"
2,"💯마데카 멜라캡쳐 앰플_솔직후기🤚🏻

🐼사용30일차_1일, 10일 차이가 크게 나는데, 30일차부터는 사진으로 비교해 보면 조금씩 피부톤 개선이 되는 것 같아 앰플 4개입 재구매 하였습니다. 꾸준히 써 봐야 겠어요. 

⭐️총평⭐️
기미, 주근깨 엷어지고 피부톤도 밝아져서 좋습니다. 사용후 더 나빠지지 않아서 좋아요. 
#마데카 멜라캡쳐 앰플 70ml x 2 구매후기 사진첨부 합니다."
3,"오 이거 정말 미백과 잡티 개선에 효과가 있어요
제가 여드름이 이번에 심하게 나서 진정과 흉터 개선 목적으로 샀거든요
사용한지 일주일쯤 되나 확실히 진정에 효과가 있는건 당연했고 흉터도 빨리 없어지더라고요
완전히 사라진건 아니지만 붉은기를 옅게 만들어줘요
향이 좀 강한데 얼굴에 약재 냄새라 해야하나 그 병풀의 강한 알싸함? 그런게 나요
양은 정말 작은..가격이 사악..
사진에 손등의 왼쪽에 있는게 앰플이에요
희뿌연 색상에 흘러내리는 타입이에요
오른쪽은 같은 라인에 크림인데 둘이 같이 쓰면 시너지 효과 있어요"
4,동국제약 센텔리안 제품은 워낙유명해서 알고있었는데 다른브랜드 미백제품쓰다가 이번에 새로 구입해봤어요 한병정도 다쓴상태고 아직은 효과가 확연히 나타나진않은데 더 써보려구요!! 향은 맡아보고 구입하는걸 추천드려요
5,피부 진정에도 좋았구요 꾸준히 한달간 사용해 본 결과  완전히 미백이 된건 아니지만 피부 톤이 밝아졌고 옅은 잡티는 희미해진 것 같네요. 오래 쓰게 용량이 커졌으면  좋겠습니다
6,마데카 믿고 샀습니다! 진짜 기미가 생겨버려서... 조금이라도 옅게 만들어 보려고 샀습니다. 선크림도 열심히 바르고 기미 부위 집중 케어해서 톤 개선 해봐야겠어용! 생각했던 거보단 양이 적지 않아서 기미 부위 위주로는 집중 케어 잘할 수 있을 거 같아요!
7,계속 사용 중인데 아직 효과는 잘 모르겠어요. 양이 매우 작아서 금방 다 씁니다. 이유를 찾진 못했는데 이렇게 작은 병을 여러개로 나누어 패키징한 이유가 분명히 있겠죠..?
8,임신 출산 반복으로 기미가 올라와서 구입했어요~ 기미가 옅어진게 눈에 보여서  만족합니다. 그래서 마지막까지 꾸준히 써보려고 합니다^^
9,사용한지 며칠안됏지만 흡수도잘되고 바르고나면 피부에서 광이나요ㅎ 아침에 일어나서 세수할때 피부가 너무 매끈해서기분까지 좋아요 그래서 이벤트할때  앰플 두박스 더 주문했어요
