,0
0,"-
가격때문에 오랫동안 장바구니에만 넣어놓다가
마스크팩 써보고 드라마틱한 진정효과를 봐서
이거뭐지 하면서 아묻따 구매버튼을 눌렀습니다

한 일주일 정도 사용했을 때도 이거뭐지 싶어서
한달이상, 내용물의 60%가량을 사용했는데
솔직히 아직까지도 마스크팩만큼의 임팩트는 없었어요

살짝 미끄덩한 느낌이 있게 발리는데 흡수될 때
기가막히게 촉촉하고 부드러워요
다만, 수분감은 에센스이기 때문에 세럼, 로션, 크림 등으로 더 채워줘야 합니다. 이 제품만으론 부족해요

진짜 순하긴 해서 얼굴 예민할 때 발라도 자극이 없긴한데
그냥 딱 거기까지 인 것 같아요
순하고 촉촉한 에센스?
피부에 탁월하게 좋다는 느낌을 받았다면
딱히 가격에 대해 신경쓰지 않았을테지만
제가 느낀 사용감과 효과에 비해선 비싸다는 느낌입니다
오특에 뜨지 않는 이상 재구매는 잘 모르겠어요"
1,"*효과
제가 진정에센스로 꾸준히 사용중인 제품으로, 뾰루지가 올라왔을때 화장솜에 톡톡 뭍혀서 문제 부위에 10분정도 올려놓으면 눈에 띄게 가라앉아있는 모습을 볼수있었어요! 아직까지 진정에센스 종류로는 이것을 원픽으로 사용중일 정도로 저한테는 잘맞습니다. 향도 건강한 느낌에 무겁지않아 거부감이 없고, 잔향이 많이 남지않아서 거슬리지않았어요! 
또한 정말 가벼워서 4계절용 진정에센스로 사용합니다. 대신 진정용 말고 다른 용도로 쓰기엔 다른 기초와 함께 사용해야할거같아요!

*자극
진정에센스로 사용하고있어서 자극이 있을거라곤 생각을 못했었는데, 피부가 예민하게 올라왔던 날이나, 상처가 있을때 바르면 바른 순간엔 여느 화장품처럼 일반적으로 느껴지는 따끔거림과 싸함은 있었어요. 

*가격
정말 안타까운게 가격면인거같아요. 유리병이라서 그런가 겉보기보다 양이 적은 느낌이에요. 비슷한 크기의 플라스틱통에 들어있는 토너나 에센스보다 빠르게 줄어드는게 보입니다. 그래서 양 대비 가격이 너무 아쉬워요. 

*특이점
유리병이기도 하고 큰편이기도 해서, 다른 빈병에 덜어서 여행용으로 사용하기 애매했는데 이번에 기획으로 미니사이즈가 나와서 개인적으로 너무 만족했어요! 여행을 키트로 가지고 다니기 너무 좋습니다! 개인적인 소망으론 기획으로 다른 용량의 사이즈들도 많아졌으면 좋겠습니다!"
2,"피부가 한동안 좋다가 요즘 바빠서 마스크를 장시간 오래착용하다보니 마스크존이 난리가 났었어요 피부가 민감한편이라 순한제품들만 사용하긴 했었는데 얼굴에 갑자기 트러블이 올라와서 기존에 쓰던 토너를 사용하기엔 순간겁이 났어요 일단 진정을 시켜보자 뭘 구매하지 하다가 예전부터 눈여겨 보던 아임프롬 초록색병이 진정에 좋다는게 생각나서 급하게 구매했어요 피그에센스 피그팩 허니마스크 다 잘 사용중이라서 아임프롬이 좋다는건 이미 알고는 있었어요 흐르는 제형인데 아예 물정도의 흐르는제형은 아니예요 발르면 약간 미끌거리는데 흡수력은 생각보다 빨랐어요 건조하기도 했어요
스킨대용으로 여러번 덧발르고 팩으로도 꾸준히 일주일 넘게 사용해봤는데 그다음날 큰 트러블들이 점점 가라앉더니 이제는 다 들어가고 없네요 왜 몇통씩 비우는지 알것같아요 구매한걸 너무너무 만족합니다 아임프롬이랑 잘맞나봐요😊"
3,"지금 피부가 심각하게 뒤집어져서
평생 쓸 어성초와 쑥성분 화장품은 다 써본 상태입니다.

할인해서 저렴하고 유명한 제품이어서 한번 사봤습니다.

저는 주로 진정을 시킬때 1/2화장솜에 묻혀서 그 부위만 팩을 해주는 편이에요.

화장솜팩 해주기전에 얇게 한번 발라줬는데 에센스라 그런지 약간 끈적이는 느낌이네요.

근데 스킨팩을 해주고 나서 좀 지나니까 보송하게 다 흡수되고 신기합니다 또 스킨팩을 하지않은 쪽은 어느정도 남아있어요. 

발림성도 좋고 적당한 밀도를 가지고 있어서 금방 날아가지않아서 

건성인 저에게 겨울+간절기인 시점에 스킨으로 쓰기 좋을 것 같아요. 잘 산 것 같습니다."
4,지성피부 가진 분들은 꼭 이거 사세요 스킨솜으로 하면 좋지만 저는 그냥 깨끗이 씻고 물 톡톡 닦고 손으로 두번 바릅니다 진짜 엄청엄청 좋아요 마스크때문에 울긋불긋했던게 이제품 바르면 완전 급속진정은 아니지만 진정은 됩니다 좋아요 마스크쓰는 이시국에 화장은 안하지만 아마 이 토너덕에 화장 잘먹을거 같다! 는 생각이 듭니당 잘쓸게요
5,"💚건성피부 아무 제품이나 사용하면 다음날 피부 뒤집어짐.
볼 부분이 특히 예민해서 자주 붉어짐

✅ 구매이유
처음 이제품을 알게된게 친구가 생일 선물로 피그 부스팅(무화과) 머그워트(쑥)을  극찬하면서 두 제품을 선물해줬어요.
워낙 피부가 예민해서 걱정반 기대반 이였어요. 근데 사용해보니 와  너무 좋더라고요. 피부에  겉도는 느낌 하나 없이 쌱 흡수 되고 울긋불긋 했던 피부가 진정되는걸 느꼈어요.
자주 피부에 열이 올르고 붉어진 피부에 강추합니다.

✅향
은은한 쑥 향~ 굳이 표현하자면 쑥 찜질방 향기나요~♡
개인적으로 너무 좋아하는 향기라 넘넘 좋아요.
바르고 나면 향이 사라지니 부담없이 사용 가능합니다.

✅ 피부자극&트러블
코로나19로 마스크를 착용하다보니 볼쪽에 계속 트러블이 생겨서 스트레스 받았는데 이제품 사용후 가라 앉더라고요.
끈적거리고 피부에 겉도는 제품을 싫어하는데 이제품은 끈적임 없이 겉도는 느낌없이 쌱 흡수도 잘 되고 피부에 자극없어요. 끈적인 에센스가 아니라  물 같은 산뜻한 제형이에요.

✅수분
건성피부 분들은 수분감을 원하시면 다른 제품 추천드립니다.
건성피부라서 그런지  조금 당기는 느낌은 있어요.
근데 바로 나이트 크림이나 촉촉한 크림으로 마무리해주시면 좋아요 저는 너무 만족하면서 사용하고 있습니다.

✅피그 부스팅 (무화과) 머그워트 (쑥)
개인적으로 무화과 보단 쑥이 더더 좋았어요.
자극없고 피부진정  잘 되고 끈적임 없이 산뜻한 제형이라서 아침에 시간 없을때는 토너처럼 사용해도 굿굿 완전 강추합니다."
6,"진정에 좋다는 쑥 화장품 찾아보다가 구매했어요!

진정에 효과 있었어요!
줄줄 흐르는 제형이에요.
향은 은은한 쑥향이라 저는 개인적으로 좋아요😊

그런데 저는 에센스보다는 머그워트에센스팩을 구매하는게 나을것 같더라구요:)
화장솜에 듬뿍적셔 마스크팩으로 하루 사용했더니 샘플 반병을 쓰더라구요 ㅋㅋㅋ 
다음번엔 그냥 마스크팩 구매하러 갑니당:)"
7,"- 진정용 쑥 에센스
 좁쌀 여드름이 났을 때 여러번 덧발라주니까 조금씩 진정이 되는 것이 느껴졌어요. 지금은 마스크와 크림을 바꾸면서 여드름이 너무 심해졌는데... 이렇게 큰 여드름은 눈에 띄게 가라앉혀주지는 못했어요. 하지만 전에 이 제품을 쓸 때는 피부가 뒤집어진 적이 없었고, 나쁘지 않게 상태를 유지시켜주는 것 같아요.

- 은은한 쑥 향
 얼굴에 바르는 기초에 향이 강하면 거부감이 드는 편인데, 은근한 정도로만 쑥향이 나서 거북하지 않았어요. 향이 나서 쑥 관련 제품이구나 하고 생각할 수 있는 정도예요.

- 산뜻한 제형
 묵직하고 끈적한 느낌이 아니고 토너에 가까운 물 에센스예요. 지성피부라서 너무 무거운 제형은 갑갑해서 싫어하는데 여러 번 덧발라도 답답하지 않아요.
 무색은 아니고, 옅은 쑥색이 돌아요.

- 비건제품
 환경 문제가 대두되면서 비건제품이라는 것도 큰 이점이라고 생각해요.

- 가격
 할인 없는 가격은 조금 부담이 되지만, 올리브영에서 유명한 제품이라서 그런가 할인을 꽤 하더라구요. 그 때 사면 합리적인 가격대에 구매할 수 있었어요.

 저는 세 병 째 재구매이고, 계속 재구매 의사가 있어요. 무난하고 좋아요."
8,"예전부터 사고 싶었던 제품인데.. 이번에 세일 기간에 거의 40% 할인 들어가서 샀어요~~ 

일단 너무 좋아요 !! 

팩으로 사용해도 좋고 미스트 대신에 사용해도 좋고 

*** 피부 트러블 진정 + 열감 해수에 도움 되는 에센스구요 

***향은 은은한 쑥향이 나는데.. ( 향이 예매하신분들은 매장에서 테스트 해보시는게 좋을거같아요) 

***** 처음에는 촉촉한 느낌 있는데 전혀 끈적 느낌 없구 흡수 너무 너무 잘 되서 계속 바르고 싶어요 ㅋㅋ 피부속에 성분 채워주는 느낌이 바로 느끼고

**** 피부 예민하고 피부 성분이 필요할때 이거 강추천 드려요 !!
 피부 진정 시켜주는거 확실히 볼수 있구요 끈적 없으면서 피부속 촉촉~~~ 

너무 좋아요!! S2"
9,"아임프롬 제품은 몇 통 째 쓰는지도 모르겠을 정도로 많이 쓰고 있어요! 진정에 좋아해서 사 봤는데 아주 드라마틱하게 효과가 있기 보다는 비교적 데일리 진정 케어 및 보습에 좋은 에센스라고 생각해요!
그래도 용량이 많아서 데일리 에센스로 쓰기도 하고 가끔은 2분의 1 화장솜 같은 것에 적셔서 얼굴에 긴급 진정 팩으로 간단하게 사용하곤 합니다! 아니면 마찬가지로 솜에 적셔서 스킨 닦토 대용으로 쓰고, 한번 더 에센스처럼 흡수 시켜주는 것도 보습력도 채워주면서 좋더라구요~!
 제형은 완전 물처럼 묽기보다는 약간의 점성이 느껴져요! 하지만 무덥지는 않은 제형이라서 피부타입에 상관없이 골고루 추천해 드릴 수 있을 것 같네요! 
 또한 저도 얼굴에 안맞는 제품을 쓰면 바로 피부에 뾰루지가 나거나 뒤집히는 예민한 피부인데 아임프롬 머그워트 쑥 에센스는 그런적이 한번도 없어서 안심하고 써요! 다음에는 머그워트 팩도 구매해서 써 보고 싶네요! 만약 진정보다 보습을 더 찾으시는 분은 무화과 라인도 추천드려요!"
