,0
0,사진 보시면 이 제품이 다른 제품에 비해 농도가 좀 있는 편이예요 ㅎㅎ 비교 하려고 같은 원데이 키드에 진정제품 사진을 넣었어요 ㅎㅎ향은 무슨 향인지 모를정도로 무향에 가깝게 느껴졌구요~ 금가루라고 해야하나요? 그런 입자 들이 보여지긴 하는거 같아요 ~ 탄력에 좋은 콜라겐 성분이라 그런거 같아요 ㅎㅎ쫀쫀해지는 느낌은 이 제품이 아무래도 콜라겐 성분이라 최고구용 ㅎ 히얄루론산 캡슐 때문에 수분감도 촉촉하기도 하구옹 ㅎㅎ남자친구는 탄력도 좋고 진정도 좋고 간편하데여 ㅎㅎ 여러개 바르는거 싫어하기도 하고 가지고 다니기에도 간편하데영 ㅎㅎ국민템이라 진짜 많이들 이용하세요 ㅎㅎ 세일 기간엔 늦게가면 없어요 제품이 다 나가고 그래서 매장을 여러군대 돈 적도 있을 정도로 제고도 빨리 나가는 편이예요 ㅎㅎ 콜라겐 성분이라 젊은 층은 많이들 사용 안하지만 20대 후반 부터는 꾸준히 챙겨 주고 있는거 같아요 ㅎㅎ 그래서 피부가 쳐진다는 느낌은 덜 한거 같아요 ㅎㅎ 가격대가 부담스러우신 분들도 계실텐데 세일 기간에 쟁여 두시면 좀 부담이 안되실 것 같아요 ㅎㅎ
1,"수분라인이랑 함께 꾸준히 구매해서 사용중인 제품이에요. 우선은 낱개포장으로 되어있어서 그때그때 프레시한(?) 상태의 제품을 사용하는 느낌이랄까 비싼 값을 하는 것 같기도 하고 ㅋㅋ 건조된 상태의 고체캡슐을 액체캡슐에 넣고 잘 섞어주먄 고체 캡슐이 바로 녹습니다. (여태까지 거체에 액체를 부어썼는데 반대로 하는게 더 편하다는걸 최근에 깨달았네요...ㅋㅋ) 앰플 제형에는 근가루로 보이는 성분이 있는데 잘은 모르지만 피부에 암청난 영양분을 공급해줄거란 확신이 듭니닼ㅋ 두가지를 섞은 제형도 많이 끈적이지 않아 가볍게 톡톡 두드리며 발라주면 순식간에 흡수되기때문에 끈적이는거 싫어하는 저에게는 너무 만족스러운 제형인데요, 약간의 건조함은 느껴지긴 합니다. 
피부가 지쳤을때 응급키트처럼 그때그때 톡 까서 사용하면 에스테틱관리받는 느낌도 들고 피부에 생기도 조금 도는 것 같고 저는 나름 효과도 좋은 것 같아요!"
2,"한번씩 아이들 일찍자는날이 피부관리해주는 날이라 오늘을 웰라쥬 제품으로 신경써봤어요

끈적임👍 웰라쥬 원데이 화이트닝 제품 저번에 사용했다가 너무 끈적임이 오래가서 좀 아쉬웠거든요 이 제품은 끈적임이 없어서 너무 좋았어요

제형&흡수👍제형은 쫀쫀? 약간 올리고당느낌?쭉 실처럼 따라와요 흡수는 고영양?제품치고 빠른편이에요 흡수되면 끈적임 없이 마무리되요

사용 후 느낌👉 오랜만에 사용해봤는데 살짝 제 피부하고 안맞아요 전에는 꿀피부되더니 요즘 피부가 예민해져서 그런가 사용하고 턱쪽이 간지럽더라구요 

제가 화장품 안맞으면 턱쪽 피부가 간지럽고 붉게올라오는데 
이번에 사용하고 아쉬움이 남아서 별은 1개뺐어요ㅠㅠ"
3,웰라쥬 제품들은 약간 알약같이? 생겨서 구매자느호기심을 불러이르키는 것 같아요 콜라겐 비타민 시카 캐어등 다양한 라인들이 나오기땨문에 그때 그때 현재의 피부 상황에 맞게 골라서 사용 해볼 수 있어서 편리합니다 그리고 제품의 포장이 작기때문에 여행갈때 휴대성이 편리해요 고농축 앰플 답게 빠른 흡수력을 자랑하면서 사용하기 좋습니다 제품은 알약? 같이 생긴 동그란 녹아서 없어지는 모양의 공같은거랑 앰플을 섞어서 사용 하게 되어있는데요 처음에는 사용법이 약간 헷갈려는데 금방 적응 되었습니다 콜라겐은 나이들면서 자꾸 빠져나간다고 하니 웰라쥬 제품으로 꾸준히 관리 해야겠습니다
4,"매번 파란색 히알루론산(?) 그거만 구매햇엇다가
세일하길래 이거 주문해봣어요 
골드가 들어가면 뭔가 좋아보이고 이제 슬슬 주름이 
보이기 시작하는거 같아서 안티에이징 화장품을 담게 되더라구요 
팩은 핝번씩 쓰긴 쓰지만 뭔가 귀찮은데 이 앰플은 바르는 팩같은 느낌으로 사용하고 잇어요
확실히 보습감좋고 저는 민감한 편인데 이화장품은 
트러블도 안나고 따가운느낌이 없어서 좋아요 
그래서 계속 구매하는듯. 다만 바른 후에 크림을 무조건 발라야합니다
그래서 크림까지발라서 피부가 촉촉한건지 앰플덕인지 뭔지 헷갈리기도 해요 
세일한다면 재구매의사잇어요"
5,"세일할 때 마다 열심히 쟁여두고 응급처치용로 꾸준히 사용중인 제품입니다. 고체 제형에 에센스 제형을 섞어서 바르는 제품인데요, 처음에 바를땐 약간 미끄덩(?)거리는 것 같은 느낌이 드는데 톡톡톡 잘 두들겨주면서 흡수시키면 쫀쫀하게 올라붙으면서 쏙 흡수되는게 느껴집니다.ㅋ 효과는 진짜 좋은데 가격이 점 임ㅅ는 편이어서 매일은 사용 멋한다는게 좀 슬프지만... 얼마전에 홈쇼핑에서 수분라인도 패키지로 묶어서 파는걸 보니 이제 많은 사람이들에게 효과는 입증된거깉아요 ㅋㅋ 저도 이제는 떨어지지 않게 미리미리 쟁여두고 사영하는 애정하는 제품입니다.ㅋ"
6,"웰라쥬 상품은 올영체험단 선정 되었늘 때 우연히 사용해보고 흡수력과 보습감에 놀라서 ㅋㅋ 그 후로 쭈욱 사용하고 있어요. 저는 주로 해당 엠플 라인을 사용하는데요, 정말 피부가 푸석하고 쳐지는 느낌이 든다~싶을 때 하나 톡 까서 두 제형을 섞어서 얼굴에 톡톡톡 발라주면 쫙 흡수되면서 금새 피부장벽이 쫀쫀하지는걸 눈으로도 확인할 수 있을 정도예요. 제형도 많이 무겁지 않아서 부담없이 여러겹으로 톡톡톡 두드려가면서 발라주면 다음 날 화장할때 피부가 확 달라지는게 느껴질 정도입니다. 정말 만족하는 제품잉데 가격이 약간 부담스러운거 빼고는 완벽한것 같습니당 ㅋ"
7,예전에 올영체험단으로 웰라쥬 골드콜라겐 앰플과 세트로 구성되어있던 엠플을 우연히 사용해보고 홀랑 반해서 지금까지 사용중이에요. 피부 컨디션이 좋지 않을때 하나 탁 까서 잘 두드려주면서 흡수시키면 다음날 화장할때 차이가 느껴질 정도로 효과가 좋은 제품입니다. 우선 묽은 제형이지만 바르면 쫀쫀하게 착 달라붙어요. 양도 넉넉한 편이어서 소분 용기에 덜어서 두번에 걸쳐 나눠사용해도 될 정도예요. 아쉬운점은 가격이 좀 나가서 매일 쓰기는 힘들기도 하고 ㅠ 항상 세일 기간을 노리는 편이에요. 특히 반값세일기간!! 매장엔 항상 매진이어서 온라인몰을 주로 이용해서 구매하는 편이에요.
8,"금이 워낙 피부에 좋고 피부를 맑게 해주니까 구매했어요 이전에 썼을때는 끈적인다는 느낌이 강했는데 이번에는 그다지 끈적인다는 느낌을 받지는 못했어요 그렇다고 아예 끈적이지 않는건 아닌데 계절적인 탓도 있고 피부가 노화된 탓도 있어서 그런지... 처음 썼을때보단 확실히 이번에 다시 써보니까 좋네요 다음 날 일어나서 보니까 피부가 맑아진게 느껴져요  다만 건조해요 크림을 많이 발랐는데도 건조해요 그 제품인랑 맞는 크림을 같이 바르면 효과가 훨씬 좋을거같아요  계절적으로 가을 쯤, 그리고 나이는 30대 이상, 한번만 아니라 쭈욱 쓰는게 이 제품의 효과를 느낄거같아요"
9,"내가 대체 이걸 왜 이제서야 알게 된건지..
한번 사용 해봤을때도 이거 대체 뭐야..? 할 정도로 좋았어요
제가 복합성인데 계절 변화에 되게 예민한 피부입니다
하필 환절기라 피부 건조해지고 있는 시기에 딱 이 제품을 저렴하게 만나다니!!
냉장고에 한 30초? 정도 놔두고 동그란거 들어있는 곳에 앰플을 쭉짜서 제일 작은 손가락으로 휘저은 후에 조금씩 덜어서 발라줬어요
흡수를 시켜주면서 발라서인지 흡수도 잘되고 겉돌지 않았어요
흡수가 잘안되면 여드름이나 뾰루지가 나기 쉬운 피부인데 여드름과 뾰루지 안났구요 피부에 살짝 광이 돌아서 피부가 촉촉해보였어요
아침에 바르면 좀 부담스러우려나 싶었지만 아침에도 부담스럽지않았어요 오히려 흡수가 잘되지만 보습력은 좋아서인지 화장도 잘먹었어요
아 크림은 라운드랩 자작나무 수분크림 발라줬어요 웰라쥬 앰플 쓰고 라운드랩 크림 쓰니까 이거 은근 궁합 괜찮더라구요
곧 겨울이니까 지성분들도 겨울에 쓰기 좋을거 같아요 비싸서 많이는 못 쓰고ㅠ 세일 할때 열심히 쟁여놓는게 답입니다ㅠㅠ"
10,반값 세일할때 종류별로 구매해서 써보고 싶어서 샀어요. 원데이키트라서 제값주고 세일안하면 솔직히 부담스러운 가격이긴합니다. 그래도 한번 쓰기에는 워낙 에센스 양도 많고 하루 제대로 스페셜관리하는 기분이 나요. 중요한 날 전에 맘먹고 얘 꺼내서 발라주고 피부관리해주고 하룻밤 자면 쫀쫀탄력 영양케어라는 느낌에 걸맞게 기분 나는 느낌? 물같은 제형인줄 알았는데 약간 점성이 있는 제형이에요. 에센스같아서 바르기도 편하고 좀 더 고영양 흡수도 챱챱 잘되게 해주구요. 인기많고 잘나가는 이유를 살짝은 알것 같아요. 마스크팩말고 색다르게 고영양으로 관리하고싶을때 추천합니다.
11,매번 매장 구경할 때마다 구매해 사용해보고 싶었던 제품인데 마침 세일 하길래 냉큼 집어왔습니다. 일회용이라 너무 편했고 제형도 쫀쫀하고 촉촉하고 피부에 착 감기는 느낌이었어요. 토너로 피부결만 정리하고 쓱쓱 앰플과 캡슐 섞어 발라 흡수시켜주니 피부에 광이 엄청 돌아 피부가 확 좋아진 느낌이 들었어요^^ 엄마께도 사 드렸는데 촉촉하고 한 번에 피부 확 좋아지는 느낌이라고 완전 좋아하셔서 다음 매장 방문할때도 조금 더 쟁여볼 계획입니다. 일회용이기도 하고 캡슐에 섞어 바르는 앰플 형태라 처음엔 사용 방법이 흥미로워 관심을 가지게 됐었어요. 아주 좋은 호기심이었다고 생각됩니다. 재구매 의사 완전 있어용~
12,"엄청난 가격에 놀라서 못쓴 제품 반값 세일할때 구매했네요
금이 눈에 보이니까 아들이 자기 달라고 ㅋㅋ
손에도 발라줬어요ㅎㅎ
이거 바르고 자면 뭔가  피부 호강하는 느낌적인 느낌이 있어요
아침까지 촉촉해요
중요한 일정이 있는 전날밤 추천해요"
13,일회용 키트로 되어있어 일단 위생적이고 휴대하기가 좋아요 여행갈때 에센스나 앰플 킅거 챙겨가면 짐인데 ㅠㅠ 이건 휴대하기도 작고 쓰고 버리고 오면 그만이니 여행용으로 이만한게 없어요 그리고 위생적이여서 좋아요!! 다만 히알루론산이랑 앰플을 잘 섞어줘야되는데 잘 안녹는것 같아용 그럴땐 손 비벼서 따뜻하게 해서 손가락을 문지르면 진짜 빠르게 녹아용!! 그러고 얼굴 전체 바르고 흡수시키고 떠 손ㅂㅏ닥으로 지그시 눌러 흡수 시켜주면 흡수 짱짱 빠르고 쫀쫀해져용 그러곤 로션 크림으로 마무리하면 좋ㅇㅏ요!! 영영감있게 쫀쫀해져용 데일리로 사용하기 좋지만 가격이 세일할때 추천
14,면접처럼 중요한 전날에 사용하는 제품으로 유명하길래 관심이 있었는데 마침 행사하길래 종류별로 구매를 해 사용해봤어요. 저는 피부가 지복합성으로 T존은 지성이고 볼이나 턱은 건성인데 이 제품을 사용하니 확실히 보습감이 채워지고 뭔가 쫀쫀해지는 기분이 들어요ㅎㅎ 히알루로닉 웰라쥬키트과는 다르게 확실히 보습감이 더 있지만 수분을 채워주기보다는 수분+유분을 같이 채워주면서 탄력감을 주는 느낌이라서 이 제품을 사용할때는 먼저 수분앰플을 사용하고 이걸 사용하는것도 괜찮은거 같아요 ㅎㅎ 왜 다들 추천하는지 사용하니 이해가 되네요 가격이 좀 높아서 매일 사용은 못하지만 행사할때 많이 구매해둘려구요
15,"웰라쥬는 사랑이쥬  🥺🥺
바르고 나면 좀 탱탱한 기분이 없지 않아 있네요 
20대부터 챙겨야한다는 콜라겐 
다른 제품보단 웰라쥬를 좀 더 선호해요
간편하고 하고나면 적당하게 스며 들고 좋아요
너무 많이 바르면 안스며 드는거 같으니까
적당하게 발라주는게 좋은거같아요 
한번에 조금씩 나눠서 바르면
흡수는 잘되는거 같아요
저는 웰라쥬 지인분께 추천 해야겠어요~~
가격대가 조금 있어서 부담이긴 하지만
행사할때 사는편이에요ㅠㅠ 
가끔 너무 안좋을때 사용하기에..
평상시는 그냥 스킨로션 사용하는데ㅠㅠ
그래도 수분감은 좋은거 같네유 ㅎㅎㅎㅎ"
16,하루 마무리 할 때 마사지 하면서 바를 앰플이 필요해서 샀어요. 발림성 좋고 피부자극 없이 쓸 수 있어요 한번만으로는 드라마틱한 효과가 없겠지만 수분감도 꽤 만족스럽습니다.
17,한 번 사용 가능한 원데이 키트에요!! 캡슐안에 에센스를 짜서 그걸 브얼굴에 발라주는데 일단...자극이 없어서 좋았습니다. 피부가 되게 민감한 피부인데 그런 제 피부에 아무런 이상이 없었어요!! 흡수가 잘되어서 바로 베이스를 바를 수 있어서 좋았습니다
