,0
0,"차앤박 프로폴리스 앰플 많이 유명한 제품이지요. 
 저는 벌써 몇십병째 사용하고 있답니다. 복합성 
 피부이지만 요 앰플은 사용해도 개기름이 거의 
끼지 않고요, 번들거림없이 피부에 흡수도 잘 됩니다. 그래서 여름철 빼고는 거의 모든 계절에 사용중이지요. 그래서 그런지 빨리 쓰는 경향이 없지않아 있어서 35ml보다 더 큰 대용량 버전이 나왔으면 하는 바램이 있답니다. 피부 좋아보인다는 말 듣고 싶으시면 차앤박 프로폴리스 앰플을  듬뿍 바르고 위에 차앤박  프로폴리스 쿠션을 같이 사용해보세요. 찰떡 피부처럼 보여질거에요. 꼭 해보세요."
1,"이 제품은 저희 업마가 항상 주문하십니다.
면세점 사이트에 보면 코로나 전에 여행 많이 하던시절이 보면 맨날 이제품이 판매 일등이었어서 도대체 이게 뭐가 좋다고 1등이지? 했었네요 
우선 피부타입은 복합성에 수입화장품을 주로썼았는데 이 제품은 운동 끝나고 여러개 바르기 뭣하고 딱 이거 한개만 바르고 집에와서 크림을 바릅니다.
앰플 형태로 한 개만 발라도 영양을 잘 줄것 같아서 그렇게 하는데 장말 운동 후 스킨 로션 바르는이
이거 하나 바르면 피부에 생기도 돌고 좋은것 같아요 
여유가 된다면 크림도 같이 구매해서 집에 오면 크림을 바르고 자보고싶네요"
2,"너무 좋아하는 앰플.. 건조해지는 가을 겨울에 이 앰플먼저 찾는데 가격이 사악해서 세일만 기다리는...ㅠㅠ
용량도 더 대용량이 있었으면 ㅠㅠ 
매일 쓰고 싶은데 너무 비싸서 가을겨울 너무 건조해서 피부 찢어질 것 같을때+세일할때 삽니다ㅠㅠ
흡수도 잘되고, 자극도 없고
겉만 번지르르한 촉촉함이 아니고 속이 꽉찬 촉촉함이에요!"
3,"엄마가 계속 사용중이셔서 주문했어요.
엄마는 건성이라 사계절 내내 사용하시고. 저는 복합성이라 가을겨울에만 사용하고 있어요.
복합성이나 지성에게는 여름엔 좀 무겁게 느껴져요.
콧물제형이고. 바르면 흡수가 빠르고 피부가 쫀쫀해지면서 광이 나요. 속건조도 잡아줘서 촉촉합니다.
향이 무향은 아니고 독한것도 아니고 프로폴리스 특유의 그냄새가 나요. 호불호 있을 수 있습니다.
붉은기 잡아주는 효과도 있는것 같고 진정효과도 잏어요. 근데 여드름 있는 분은 뮤제너가 더 좋을 것 같아요. 
이제품은 앞으로도 계속 사용 할 것 같네요^^"
4,차앤박 프로폴리스는 세일하면 무조건 쟁여놔야하는... 가격이 비싸지만 그만큼 너무 좋아요. 피부 깊은 곳부터 영양이 쫙 채워지면서 쫀쫀해지는 느낌이 들어서 넘 좋더라구요. 재구매 3개째 하다가 오랜만에 다시 사봤는데 트러블이 좀 나고 건조하던 피부가 훨씬 좋아졌어요ㅠㅠ 대용량 많이 나와주세요
5,"어느샌가부터 늘 쓰던 제품이 되어버렸어요:)
저녁루틴에서 스킨 다음으로 바르는데 건성인 제가 쓰기에
건조하지않고 좋아요.
타 제품 중에는 바르면 금방 땡기는 제품도 있었는데
이 제품은 그런거없이 촉촉하게 스며들어서 마음에 들어요.

제품이 끈적이는 것도 아니고 적당한 점성에 앰플 느낌이어서
제형도 마음에 들구요.
사계절 내내 사용하기 좋은 제품이예요.
1년 넘게 꾸준히 사용 중인데 그래서인지 몰라도 
피부가 탄탄해지는 것 같은 느낌도 있구요.

저는 코스알엑스 녹색패드하고 사용할 때도 있는데
촉촉히 흡수되는 것 같아서 좋습니다:)
그리고 리얼베리어 모이스트크림을 발라주면 좋더라구요.
저녁루틴에선 그렇게 사용하고 아침엔 좀 더 라이트하게
발라주는 편이구요.

어느 피부타입에 써도 만족할 사용감을 느끼실 수 있을것같아요.
저희 신랑이 복합성, 약간 지성에 가까운 느낌인데
사용해봤는데 크게 기름이 더 올라오거나 그러진 않은것 같아요. 앰플이나 에센스 찾으시는 분들은 프로폴리스앰플 해보셔도 좋을것같아요"
6,"샘플로받아서 사용해봤는데 좋은거같아서 비싼가격에도..! 한번 용기내서 구매해봤는데 막상 사용하니까 딱히 어떤 효과가 없어서 아직 반밖에 사용못하고 남겨둔 상태입니다ㅠ 일단 흡수력,발림성은 너무 좋아요. 밀리는거없이 산뜻하면서도 건조하진 않은?? 근데 제가 트러블이 약간 있는 피부라 트러블이 난 곳에 사용하면 왠지 더 안좋은거같아서 계속 사용을 못하고 있고 요즘 겨울되서 건조함에 한번 사용해봤는데 또 건조함을 엄청 채워주는 그런 느낌도 아니라서 이제품이 어떤 점이 좋은지 모르겠어요. 딱히 뭐 때문에 이제품을 써야할지.. 재구매은 안할거같습니다. 원래부터 피부가 좋으신 건성분들이시면 물광처럼 사용하시기에도 좋고 잘 맞으실거같은데 트러블피부나 지성피부에는 맞지않을거같아요."
7,"처음에는 막이 씌워지는 기분이라 화장 뜰까봐 걱정했는데...오히려 화장이 잘 되더라고요~ 저는 워낙 건성이라 4계절 내내 사용 중이고, 어머니는 가을 겨울만 사용하세요. 다른 프로폴리스 제품보다 촉촉함이 오래가는 거 같아요~"
8,"제가 사용해보고 좋아서 엄마 선물해드렸는데 좋다고 하셔서 꾸준히 사용중이세요.
심한 건성인데 이거 사용하고 괜찮다고 하시네요.
비슷한 다른 프로폴리스 앰플 사드린적도 있는데 그건 물 같다고 하시더라구요.
저는 복합성인데 여름빼고 나머지 계절엔 다 잘맞았고 여름엔 너무 끈적여 별로였어요.
민감성이라 트러블도 잘올라오는데 전혀 그런거 없고 잘맞았습니다."
9,"피부가 푸석푸석하고 생기없고 건조하고 안색이 어두워서 뭘 사용해야할까 고민하다가 차앤박 프로폴리스 에너지엠플이 좋다고하고 올리브영에서 맨날 베스트상품이라길래 작은용량으로 사용해서 써봤어요 그런데 남편과 나눠서 2주정도 사용하니 다 사용하더라구요 그래서 좋길래 대용량으로 구매했습니다 
일단 느낌은 피부가 튼튼해지는 느낌이 들고 화장 후 시간이 지나서 건조해질때쯤 덜건조해지는느낌을 받았어요
이건 화장전 앰플을 써서가 아니라 꾸준히 사용해서..!
만족스러워욤 사세욤"
10,"꾸준히 쓰고 잇어요~촉촉하고 트러블 안나고 너무 조아요
가격이 부담이지만 세일할때 쟁여야 해요~~근데 용량이 작아서 금방 쓴다는 ㅠㅠ"
11,흡수되기 까지는 쫜득하다가 흡수 다되면 보들보들하니 수분채워지는 느낌이에요. 민감성 피부인데 다행히 트러블 없이 잘 맞네요. 만족합니다!
12,꾸준히 쓰고 있구요. 선물용으로도 많이 사고 있어요. 앰플 중에서 효과 좋은 앰플 같아요. 수분 크림과 함께 쓰면 속건조가 해결되어서 증말 좋아요.
13,매장에서 테스트해보고 구입해서 꾸준하게 잘 쓰고 있는 제품입니다. 텅텅 비워서 재구매했어요
14,"얼마전에 품절떠서 재입고 되길 기다렷다가 구매햇는데 제조일자 19년10월이네요ㅋㅋㅋㅋㅋ
차앤박 심하네요ㅋㅋㅋㅋㅋㅋㅋㅋ
쓰는데 문제는 없겠지만 조롱당한거 같고 기분이 좋지만은 않네요?
어떻게 1년전에 만들어논 재고가 버젓이 있는데
품절이라고 할수가 있는지? 
최근에 받아보신분들 제조일자 꼭 확인해보세요."
15,"앰플 피부에 자극도 없도 보습에 좋은둣요 
제 피부에 잘 맞아서 잘 사용하고 있습니다"
16,"다 쓰면 또 사서 계속 꾸준히 쓰는 ㅍ제품이에요
진정 보습 다 좋아요"
17,벌써 3통째 쓰고있어요 진심 끈적임 없고 미친광 기름진 광이아니에요 끈적임 싫어하는 저에게 딱
18,속건조를 잘 잡아주는 것 같아요. 겨울에 쓰기 좋아요
19,겨울에는 무조건 이 앰플만 씁니다 완전 촉촉해요
20,"저의 정착템입니당
용량 대비 가격이 사악하지만 올영 세일 때마다 줍줍하고 있어요~
스포이드 형태라 위생적으로 쓸 수 있지만, 다써갈
때쯤엔 좀 헤프기도 해요."
21,겨울에 참 좋은 에센스에요! 겨울마다 구매하게 되네요 촉촉해요
22,저는 차앤박 프로폴리스 앰플 바르고 피부결 좋다는 얘기를 많이 들었어요. 피부가 윤기있다고 화장품 뭐 쓰냐고 그래서 차앤박 프로폴리스 앰플 추천! 효과가 좋은 만큼 가격대가 좀 있지만 세일할때마다 쟁여놓고 수시로 사용중이네요. 넘 좋아요! 세일 자주 해 주세요.
23,친구 추천으로 구매했어요. 사용해보고 싶던 제품이에요. 사용해보니 촉촉하고 흡수가 잘 되는거 같아요. 날씨가 추워지고 건조해서 보습이 있는 이 제품이 딱 사용하기 좋은거같아요. 맘에 들어요!!
