,0
0,"화장품 성분을 꼼꼼히 살피는 구매자는 아니지만, 하필이면 최근 피이지 성분에 대한 기사를 접한 후라 해당 성분이 눈에 띄더라구요
프로폴리스 등 좋은 성분을 믿고 구매했던지라 피이지-8 성분이 함유되어 있다는 점이 조금 아쉬워요

< 피이지-8 성분에 대해 검색한 내용>
화장품 속 성분이 진피층까지 침투하도록 돕고 피부를 부드럽게 하는 역할을 한다
그래서 유화제나 계면활성제로 많이 쓰이며 세정력과 발림성에도 크게 기여한다
PEG뒤에 붙어 있는 숫자가 분자량을 뜻하며 수가 적어질수록 피부흡수율이 높아지기 때문에 PEG-100보다는 PEG-8성분이 피부에 더 잘 흡수가 되고, 흡수가 잘되는 분자량을 가진 PEG성분은 주로 크림류에 많이 사용되고 있다
해당 성분은 미국 비영리 환경시민단체에서 측정한 성분안전도 척도에 따라 3~6등급 사이의 보통 수준으로 확인이 되었으나, 최근 연구를 통해 알려진 사실들에는 피부의 수분손실률을 높이거나 피부자극을 유발하여 트러블 등의 부작용이 발생할 수 있다는 점이 밝혀져 사용기간 및 사용법 등에 유의가 필요하다

물론, 후기도 좋고 저 또한 자극이 생기거나 하지 않고 발림성, 사용감 등 맘에 들어 구매한 용량을 다 쓸 계획입니다
다만, 제 피부가 점점 민감성 피부로 바뀌는데다가 알레르기증상도 몇 번 경험해 본지라 장기간 사용을 할 땐 주의가 필요할 것 같아 기재해 보았어요"
1,"타사의 프로폴리스 엠플을 구매할 때 후기마다 차앤박 프로폴리스 엠플 이야기가 적혀있어서 그때 처음 이 제품을 알게됐어요.
진짜 유명한 제품인가보다 하고 한번쯤 사보고 싶다고 생각하다가 가격이 비싸서 쉽게 사지 못했었거든요.
📍근데 제 값주고 사도 하나도 아깝지 않을 것 같아요ㅎㅎ.
바를 때 빨리 다 쓰고 다른 거 사고 싶다는 생각이 들었던 제품들도 있는데 이건 쓸 때마다 기분이 좋아요.
✏️코xx엑스의 프로폴리스 엠플이랑 비교하자면 차앤박 제품이 더 되직한 제형이에요.
그래서 저는 되게 만족했어요. 여름이 되기 전까지 건조한 겨울, 봄에 사용하기에 좋을 것 같아요.
✏️지성이신 분들은 토너 다음단계로 여름에 이거 하나만 발라도 될 것 같아요😺
✏️제형 자체가 조금 되직하다보니 한두방울로는 얼굴 전체를 도포할 수 없더라고요. 그래서 저는 양쪽볼에 2방울씩 최소 4방울은 올리고 얼굴에 발라줘요. 4방울 올리면 살짝 아쉬운듯이 얼굴 전체에 발라지더라고요.
✏️바른 후에 마무리감은 쫀쫀해요. 유분감이나 부감감이 느껴지지는 않고 그냥 속건조를 확실하게 잡아주는 느낌이라고 하는 게 맞는 것 같아요🙆🏻"
2,"겨울 보습,진정,꿀광의 끝판왕~~~!!!

매년 겨울은 이 제품으로 보내는 것 같아요!!ㅎㅎ
악건성에 민감한 피부라 어떠한 보습 좋다는 앰플을 발라도 금새 건조해지는 피부인데요.
차앤박 프로폴리스 앰플 2번 레이어링 해주면 정말이지 속건조 잡는데 최고랍니다!!! 속피부는 물론 겉으로 보이는
피부는 기름 광이 아닌 피부 좋아보이는 사람들한테서 나는 듯한 그런 빛이 나요 ㅎㅎㅎ
저는 너~~무 건조해서 여름 제외하고 앰플을 사용 하는데요. 차앤박 프로폴리스는 건성이신 분들은 저처럼 여름 제외하고 내내 사용하시는거 추천합니다.
앰플 구입하면서 차앤박 액티브 프로폴리스 크림도
같이 구매했는데요. 완전 찰떡궁합이에요.
두 제품 같이 바르면 당기지 않아요.
그리고, 앰플은 2번 바르시는거 꼭 추천합니다^^
아까워도 1번 발랐을때보다 느껴지는 보습감은 2배가 넘어요.ㅎㅎㅎ"
3,한달 지난 후기를 올려봐요~ 볼쪽은 건조한 편인데 처음 발랐을때는 피부가 건조하고 예민해져 있는 상태라서 그런지 따갑게 느껴졌어요~ 계속 바르다보니 따가운건 사라지더라구요~ 수분감이 충분할거라고 느껴져서 구매를 한건데 보호막이 생긴다는 느낌보다는 시간이 지나니까 건조해 진다는 느낌이 들더라구요~ 아무래도 앰플 후에 수분크림까지 덧발라주지 않으면 충분한 수분감을 느끼기는 어려운것 같아요~제가 겨울철에 극심하게 건조해지는 피부라서 그럴수도 있을것 같아요~ 사람마다 피부 타입이 다르니 건조하신 분들은 이제품으로 만족하기는 힘들듯 합니다~
4,"🐝🍯01월 08일에 구매 후 재구매 후기🐝🍯

8일에 구매해서 딱 이주정도 사용해봤는데 너무 좋아서 대용량 기획 저렴하게 나왔을때 꼭 추가로 구매해놔야겠다 싶어서 할인기간 끝나기 전에 재구매했어요!

그때는 그냥 쫀쫀해지는 피부에 만족만 한 정도였는데,
피부가 완전 뒤집어졌던 상태였는데 속보습 채워주면서 피부결도 진짜 많이 좋아졌고 좁쌀들도 전부 들어가서 말 그대로 꿀피부가 됐어요!🍯🍯
프로폴리스가 항염 항균 효과가 있다고 하던데 정말인것같아요 ㅎㅎ 저는 ✔️복합성 피분데 그렇게 무겁다고 느껴지지도 않아서
✅토너-앰플-수분크림✅순으로 사용하구있구요
저희엄마는 ✔️건성피부라 ✅토너-앰플-무거운 탄력크림✅순으로 이 앰플 사용중인데 엄마도 겨울인데 하나도 피부가 건조하지않다며 앰플 세일할때 쟁여놓자고하셔서 재구매했습니다!💛

정말 피부타입에 관계없이 프로폴리스성분에 거부반응만 없으신 분이시라면 꼭 한번 사용해보시길 ⭐️강추!!⭐️드릴게요ㅠㅠ🐝🐝
사진에 피부는 차앤박에서 나온 문나이트팩과 앰플을 함께 사용해봤는데 요 팩이랑 앰플 함께 사용하는 꿀조합도 추천드립니당 ㅎㅎ 아침에 피부가 부들부들하고 매끄러워져요!🍯

딱 한가지 아쉬운 점이라면 2주썼는데 거의 반정도 사용한게 제가 복합성 피부라 많이 사용하지두 않고 저녁에만 발라주는데 15ml를 한달이면 다 쓸것같아요ㅠㅠ앞으로도 이런 대용량기획, 세일 많이 해주세요ㅠㅠ!

여름에는 그냥 가볍게 토너랑 가벼운 로션정도만 발라주는편이라 
앞으로 여름까지는 꾸준히 사용할것같아요!
인생템 찾아서 너무 좋습니당😍"
5,고영양앰플인데도 다른 앰플과 달리  끈적임없이 덜하고 완전 피부에 영양을주는 느낌이에요~피부에 광도  나는듯 하구요~다음날 아침에 다른제품을  사용할때보다 더 촉촉하고 탱탱한게 느껴 지더라구요~~단품으로 구매해 쓸때는  곰방 달아졌는데 최초 구성인 대용량기획으로  구매해 사용하니 오래쓸 있어 든든한 기분이네요!!!.갠적으로  원래 프로폴리스랑 홍삼  성분이 들어간 제품은  피부에  잘  맞지 않는데 cnp프로폴리스앰플은  피부에 전혀 트러블은 커녕 자극도  없드라구요~요즘같이 건조한 날에 아침 저녁으로 꾸준히 사용하니 얼굴에 생기가 도는 느낌 입니다.
6,"새해가 되면 차앤박 프로폴리스 에너지 앰플 사기 가장 좋은 때가돼요. 항상 요맘때 특별 기획에 세일까지 하더라구요. 올영 너무 감사합니다 ㅎㅎ
요 앰플 좋은건 두말하면 잔소리죠~
저처럼 메마른 건성 피부에게 촉촉함와 윤기 영양 모두 주는 앰플이에요. 
가격이 사악해서 맘은 아프지만 쓰면서 정말 좋다는 느낌을 팍팍 받아요. 
30+15+5*3 미리 라는 핵이득 용량을 이 가격에 구매할수 있어 안살수가 없었고요. 
세안 후 토너나 토너패드로 피부결 정리를 한번 하고요
요 제품 톡톡 떨어뜨려 두드려주면 이것만으로 영양 다했다 싶어요. 그래도 저는 같은 라인의 프로폴리스크림까지 발라주는데요. 정말 얼굴이 쫀쫀해져요. 환상의 궁합이에요. 이 제품 바르면 확실히 피부에 건강한 윤기가 돌아 피부 좋아보인다는 말을 자주 들어요. 
좋은 제품 대용량으로 잘 구매했네요~👍"
7,"올영에서 에센스하면 차앤박 프로폴리스 에너지 앰플이
좋다고 많이 들었는데 왜 유명한지 알 것 같아요.
2주 정도 사용해보고 후기를 올릴까 했는데 ⭐️바르고 다음날 피부가 부들거리는걸 느끼고⭐️후기 써요.

✔️피부타입 : 지복합성

✔️기존에는 파란병 에센스를 사용했는데 그게 쫀쫀하면서도 머리카락도 붙고 약간 마무리감이 끈적여서 아쉬웠는데, 차앤박 앰플은 수분감이 느껴지면서 쫀쫀하게 채워주면서 흡수도 잘되고 끈적이지 않아서 좋아요! 

✔️대용량에다가 샘플도 들어있고, 상품 구성이 정말 좋아서 설 다가오는데 지인 선물로 준비하려구요ㅎㅎ"
8,"이번에 차앤박 프로폴리스 앰플이 대박구성으로 나와서 보자마자 구입했네요^^ 프로폴리스 앰플 중에서는 차앤박이 단연 으뜸인 것 같아요.. 

1) 제형 : 쫀득쫀득한 편이라,, 저는 앰플은 그래도 쫀득쫀득해야 된다고 생각합니다. 피부에 촵촵 닿으면서 바로 흡수가 되서 영양감 충분히 느껴집니다. 

2) 향 : 향은 무난해서 바르는데 거부감이 없어요. 

3) 용량 : 총 60미리가 구성되어 있는데 15미리짜리 미니어쳐는 외부 숙박 시 너무 좋을 것 같아요. 

4) 효과 : 단기간 드라마틱한 효과는 없지만 차츰차츰 주름 이 아주 미세하게 흐려지는 느낌이 있네요,"
9,"알레르기나 유해 성분이 하나도 함유되어 있지 않은 순하고 보습력 좋은 프로폴리스 앰플입니다. 지금 5통째 사용중이고, 가격대비 성능이 좋아서 계속 쓰고 있어요. 지금 팔고 있는 제품 구성이 싸서 3개 쟁여놨구요. 조만간 친구 생일인데 이거 선물해주려고 해요.
속 당김이 심한 건성 피부인 제가, 겨울철마다 페이스 오일로 겨우 수분감을 유지하던 제가! 이 제품을 만난 이후 페이스 오일을 쓰지 않아요. 그 정도면 정말 보습력 인정해줘야 합니다. 향도 부답스럽지 않게 은은하고, 쫀쫀하게 탄력 케어도 가능해 꾸준히 써볼 것을 추천합니다. 타사 제품에 비해 프로폴리스 성분이 많이 들어있어서 여드름 나는 것을 막아준다고 해요."
