,0
0,이번 겨울에 마스크 때문에 난리인건지 피부가 가렵고 발진인지 습진인지 모르겠지만 계속 피부가 난리고 속은 너무 건조해서 걱정이 많았는데 역시 코스알엑스 만나니 어느정도 해결이 되었습니다. 일단 이 라인이 속 건조 잡는데 정말 좋은 것 같습니다. 피부 안쪽까지 스며드는 느낌이 또 너무 보습 강조하다가 무거워지면 겉도는 느낌인데 그런거 없이 깔끔하면서 적당히 촉촉한 제형이라 정말 만족하면서 사용하고 있습니다. 저는 시카라인도 사용해봤는데 앞으로 시카는 여름에 프로폴리스는 겨울에 사용할 예정입니다. 정말 추천하고 유목민분들 다들 세일 때 한번씩 사용해보세용
1,"(3분의 1정도 쓰고나서 쓰는 후기)
프로폴리스 성분이 들어간건 처음이라 고민하다가 사봤어요!! 너무 유명하기도 하고,, 저번에 샘플로 받은 코스알엑스 팩이 너무너무 좋았어서 믿고 사봤는데 저한테 잘 맞네요!! 지복합성 피부인데 아침에는 무조건 건조해서 당겼어요 그러나 이걸 밤에 발라주고 자니 안당기고 촉촉~해요!! 바를땐 끈끈해서 흡수 되는건가 싶은데 금방 흡수됩니다 아주 좋습니다. 얘 바르고 위에 수분크림 얹으면 끄떡없쥬~~ 하루하루 줄어드는 앰플을 보며 마음이 아파요,, 제발 줄어들지 말아줘 하면서 얼굴에 챱챱 흡수시켜주고 있네욬ㅋㅋ 두개세트 왜 없어진거에요ㅠ 다시 팔아주세요ㅜ"
2,프로폴리스 함유 에센스를 써보고 싶지만 끈적임이 두려우신 지복합성 피부에 추천드려요. 😊 라이트여서인지 타 브랜드 프로폴리스 제품들보다 훨씬 산뜻하고 피부에 부담스럽지 않아서 다음 단계 올리는데 전혀 밀리거나 끈덕이지 않아 좋았어요. 개복치 민감성 피부에도 트러블 유발 전혀 없었지만 사용 초반에 피부 장벽이 무너져있었을 때는 살짝 열감이 느껴졌어요. 사용할수록 피부가 건강해지는 느낌이 들어요. 지성이신 분들은 가을겨울에 만족스럽게 사용하실 수 있을 것 같고 건성이신 분들은 봄여름 정도에 좋을 것 같아요. 저는 요즘(12-1월) 건성이 되버려서 단독으로는 보습력이 아쉬워 묽은 에센스(웰라쥬 블루솔루션)와 같이 써주니 훨씬 좋았어요.
3,"벌써 3통째 쓰고있는 제품이에요! 뭔가 화장대 한쪽에 있어야 마음이 편해지는 그런 제품입니다! 
딱 이제품을 처음 봤을땐 보습력 엄청 좋고 찐뜩한? 그런 제형일 거라고 생각했는데 아니에요. 보습력있으면서 크게 끈적임은 없는 편입니다! 사실 이 제품을 추천하고ㅠ싶은 가장 큰이유는 피부진정이였어요. 전혀 기대하지 않았던 부분인데 입주변 트러블이 전부 진정된걸 보고 반했습니다♡♡
비슷한 제품중에 차앤박 프로폴리스 앰플이 있는데 둘 다 써본 입장에서 저는 코스알엑스 앰플을 더 추천 드리고 싶네요. 화해에 찾아보면 아시겠지만 코스알엑스가 더 성분도 좋고 가성비도 좋습니다! 하지만 쫀쫀한?? 그런느낌을 선호하시는 분들은 차앤박이 더 좋을거같아요! 
근데 작년에도 이 기획으로 구매했었는데 뭔가 토너 용량이 10ml줄은거같아요.. 그게 조금 아쉽네요... 하지만 올영에서 구매한게 본품 용량은 젤 커서 또 구매할거같아요!"
4,"✅ 주르륵 흐르지만 어느 정도 점성이 있는 제형의 앰플입니다!!
✅ 꿀 원료가 들어있어서? 그런 것인지는 모르겠지만 사용감은 좀 아쉬웠어요. 바르고 나면 수분감이 채워지기는 하는데 겉 부분이 끈적한 막이 생기는 느낌이었습니다.. (🍯그 꿀을 먹다가 테이블에 흘리고 났는데 물수건으로 안 닦고 그대로 뒀더니 살짝 굳어서 끈덕한 그런 느낌 아시나요....) 근데 화장 잘먹을 것 같은 그런 쫀쫀한 느낌을 좋아하시는 분들은 괜찮을 수도 있어요! but, 위에 크림 덮으면 괜춘해져요!!
✅ 한 번에서 두번만 레이어드해도 수분감이 좋았어요! 저는 그 이상으로 너무 많이 바르면 그 끈덕한 부분이 화장할 때 밀리는 기분이라서 최대 두번 정도 레이어드 해줍니다! (호불호 있을 듯)
✅ 재구매템인데 지난 번에 썼을 때 스포이드로 마지막 남은 부분을 짜낼 수가 없어서 손바닥에 툭툭 쳐서 꺼내야했어요.... 통이 너무 귀엽긴 한데 마지막까지 깨끗하게 쓸 수 없어서 힘들었습니다.
✅ 피부 진정은 잘 모르겠고 수분감이 좋아요~

💖유튜버 시드니님 추천으로 알게 되었는데 재구매까지 한 제품이에요!! 무난추천템입니다"
5,"후기가 좋아서 구매해봤어요
코스알엑스 토너패드였나 그거 트러블 없이 잘 썼어서
거부감없이 구매했습니당
사실 테스트 한번 해보려고 매장갔다가 코로나땜시
테스트불가여서 걍 후기들 믿고 샀어요
원래 세럼 두개들은거 사고싶었는데 제가갔던 매장엔 토너랑 같이 들은거 밖에 없드라고용
어차피 토너도 써보고 싶엇어서 잘됐다했쥬
마스크때문인가 턱쪽에 요즘 트러블이 갑자기.올라와서 스트레스였는데 요고 바르고나서는 안나네유
질감은 많이 묽지 않아요 
손등에 짜서 기울여도 막 흐르지 않는 정도구요
발랐을때 흡수가 빨라서 안바른느낌이 아니구
어느정도 살짝 끈적이다 조금있으면 끈적임은 사라지고
은은하게 광택도 나네요
저는 바른느낌 나는 제품을 좋아해서 딱좋아요
유분이 많은것도 아니고 세럼까지만 발라도 얼굴 땡기지 않아요 저는 워낙 유분기도는 피부타입이라 그렇고 건성분들은 많이 땡길수도 있을거같아요
그리고 같이 들어있는 토너도 막 물같은 제형이 아니고 에센스토너느낌?토너도 써보니 좋으네유 구매각입니다 ㅋㅋㅋ
지금까지는 트러블없이 잘쓰고있아요
손이 잘가네용 ㅎㅎ 같은라인으로 싹 구매해보고싶네요"
6,"피부트러블자국땜에 케어가필요해서 알아보던중 미백엔 비타민c가최곤거같아 비타민파우더를구매햇는데 비타민파우저랑 궁합좋은게 프로폴리스라해서 어떤제품 구매할까 검색해봣어요
사실 그전엔 차앤박제품만썻었는데 조금지겨워서 바꿔보고싶었거든요 그러다 유연히 유툽에서 코스알엑스프로폴리스앰플을 인생템으로 꼽은분들이 많더라구요 사실 코스알엑스제품은 패드만사용했었는데 그렇게 좋은인상은 받지못해서 살까말까고민하다가 성분표보고구매해봤어요 유해성분 0이더라구요 ㅎㅎ 그리고성분이심플해서마음에들았어요 기획으로 40미리에 토너도 들어잇어서 한번써보고좋으면 라인싹 바꾸려구요"
7,"요즘 제일 잘 쓰고 있는 기초라인 ㅜㅜ

원래 차앤박 프로폴리스 앰플 쓰다가
가격이 저렴하길래 우선 30ml짜리 사봤는데
너무너무 좋아서 떨어지기 전에 다시 구매했음

같은 라인 토너랑 같이 썼을 때 궁합이 좋고
두세번 레이어링 해서 발라주면 굳이 로션, 크림없이도
베이스가 쫀쫀하게 잘먹고 건조하지도 않음

솔직히 앰플치고 가격이 넘 저렴해서 
과연 좋을까 싶었는데 재구매 할 정도로 존좋

원래 앰플만 10가지 넘게 쌓아놓고 돌려가면서 쓰는데
재구매한 몇 안되는 앰플.. 요즘은 이것만 쓴다😭

구매하기전에 차앤박과의 비교리뷰가 있을까 했는데
찾기가 쉽지 않아서 주관적으로 비교해보면,

-점도: 코스알엑스 > 차앤박
-흡수력: 코스알엑스 < 차앤박
-보습감 :코스알엑스 = 차앤박
-끈적임: 코스알엑스 < 차앤박 
-향: 코스알엑스 < 차앤박
-가격 : 코스알엑스 < 차앤박

=>코스알엑스 제품이 더 쫀쫀해서 흡수는 더디고
보습감은 비슷하고 끈적임은 조금 덜함 
향은 화학약품 향이 나서 약간 불호지만 가격이 저렴"
8,"모낭염에 좋다고 해서 한 번 구입해 봤어요 
그런데 확실히 좁쌀같은 뾰루지에는 좋더라구요 
추워져서 무거운 모습크림을 바르고 마스크 쓰면 볼 부분에 작은 좁쌀들이 많이 올라왔었는데 이거 바르고 나서 가라앉더라구요
스킨케어는 토너로 결 정리 알로에 젤 얇게 발라서 흡수 시킨다음 토리* 앰플 바르고 다시 알로에 젤 발라서 흡수 시키고 이 앰플 바르고 가벼운 시카크림으로 마무리 하면 마스크 써도 안 올라와요
저녁에는 마지막 단계에서 무거운 보습크림으로 바꿔 발라주고 있고 시간 없을 경우 타 앰플 생략 알로에 젤 한번 생략 한 다음 좀 무거운 크림을 얇게 바르고 있어요 
바르고 나면 엄청 끈적이기는 하지만 크림 바르고 나면 끈적임은 어느정도 사라지기 때문에 불편한 건 없어요 
안 그래도 큰 여드름들 잘 올라오는 피부인데 마스크 때문에 작은 좁쌀들 까지 올라와서 짜증 났다 이 앰플로 평화를 찾았습니다"
9,"사용 한달 정도 한것같습니다
일단 가격대비 용량은 많은 느낌은 아니었어요 그래도 앰플이라는거 감안 하에 구매했습니다
용기는 일반적인 앰플 용기로 스포이드 형태입니다. 한번 눌러주면 적당량 머금어 바르기 괜찮았어요
피부에 드라마틱한 변화는 없습니다. 하지만 사용하고 나서 보습감이 유지되고, 제가 유독 U존이 건조하고 까칠한데 조금   완화되는걸 느꼈습니다. 다만 흡수가 빠르진않아서 양 조절을 잘못하면 T존부분이 조금 답답한 느낌이 있었습니다.
향은 예민한편임에도 불구하고 불편하지 않았습니다. 완전히 무향은 아니지만 거의 나지 않습니다"
