,review,point,date,ingre,token_review
0,괜찮은거 같더니 조금 쓰니까 막 간지럽고 붉어지더라고요그래서 사용 중단했더니 나아졌어요성분이 저랑은 안맞나봐요 유투브만 보고 바로 사면 안될듯 ㅠㅠ,2,2018-06-04,히알루론산,"['괜찮은', '거', '같더니', '조금', '쓰니까', '막', '간지럽고', '붉어지더라고요', '그래서', '사용', '중단', '했더니', '나아졌어요', '성분', '이', '저', '랑은', '안', '맞나', '봐요', '유투브', '만', '보고', '바로', '사면', '안될듯']"
1,저렴한 가격에 잘 샀습니다!,4,2018-06-11,히알루론산,"['저렴한', '가격', '에', '잘', '샀습니다']"
2,입소문 듣고 좋대서 샀는데 촉촉하고 좋네요ㅋㅋ 가성비 꿀템인듯해요,5,2018-06-19,히알루론산,"['입', '소문', '듣고', '좋', '대서', '샀는데', '촉촉하고', '좋네', '요가', '성비', '꿀템', '인', '듯해', '요']"
3,베송도 빠르도 저렴하게 구매했어요,3,2018-06-20,히알루론산,"['베', '송도', '빠르도', '저렴하게', '구매', '했어요']"
4,3통째입니다~~~~~,5,2018-06-22,히알루론산,"['통째', '입니다']"
5,기분은 좋네요~~ㅎㅎ 효과있길바라며 앞으로 계속 사용 할 수 있었음 좋겠네요~,3,2018-08-08,히알루론산,"['기분', '은', '좋네요', '효과', '있길', '바라며', '앞', '으로', '계속', '사용', '할수있었음', '좋겠네요']"
6,그나마 샘플이 와서 좋네요 ...효과있길 바라며...,3,2018-08-08,히알루론산,"['그나마', '샘플', '이', '와서', '좋네요', '효과', '있길', '바라며']"
7,행사 벌써 끝났나봐요. 행사때 사길 잘한것 같네요.잘 쓸께요~~^^,5,2018-08-08,히알루론산,"['행사', '벌써', '끝났나', '봐요', '행사', '때', '사길잘', '한', '것', '같네요', '잘쓸께요']"
8,"Very good product. I used it at night and the next day, my skin feels great, mosturizing and firm. Highly recommend for people who have troubled skin.",4,2018-08-08,히알루론산,[]
9,사은품 마니주고 본품 용량도 만족해요,5,2018-08-08,히알루론산,"['사은', '품', '마니주', '고본', '품', '용량', '도', '만족해요']"
10,좋아요. 좋아요. 좋아요,5,2018-08-09,히알루론산,"['좋아요', '좋아요', '좋아요']"
11,"자주 쓰는 상품인데, 이번에 너무 싸게 사서 좋았어요. 사은품도 좋았고요~^^",5,2018-08-09,히알루론산,"['자주', '쓰는', '상품', '인데', '이번', '에', '너무', '싸게', '사서', '좋았어요', '사은', '품도', '좋았고요']"
12,너무너무좋아요 짱이요,5,2018-08-14,히알루론산,"['너무', '너무', '좋아요', '짱', '이요']"
