,review,point,date
0,"재구매하며 사용중인데
각질없이 매끈한 피부로 유지되는거 같아요~",5,21.02.14.
1,계속 쓰고 있는데 펌프형 대용량이 나와서 너무 편하네요.,5,21.02.03.
2,지인한테 좋다는 추천을 받아서 구매하게 되었는데 포장도 되게 꼼꼼히 해주시고 감사해요~~ 오늘부터 열심히 발라보도록 하겠습니다’,5,20.12.29.
3,발효제품이나 얼굴에 촉촉하게 흡수가 빠르고 건조함이 덜 했어용,5,21.01.02.
4,초반엔 효과가 확 느껴졌는데 계속 쓰다보니 무난한거같아용,3,21.01.03.
5,믿고 쓰는 제품!! 피부가 맑아지기를 기대합니당!,5,20.12.29.
6,"두번째 주문입니다
사은품 핸드크림3개, 쌤플4개
좋으네요",5,21.01.01.
7,벌써 네번째 사용이에요 피부결 정리에 너무좋아요~가격대비 너무 좋아요~,4,20.12.10.
8,이틀차라 확연한 변화는 아직이지만 사용감이 좋아요,5,20.11.25.
9,항상 믿고 쓰는 제품입니다. 행사시 연락 주시면 고맙겠습니다.,5,20.12.08.
10,좋아요 피부도 환해지는 느낌이고 여드름도 없어진 것 같아요!!,5,20.11.15.
11,늘 착한가격에 몇년째 구매중입니다 감사해요,5,20.11.17.
12,오랜만에 재구매하러 왔습니다! 좋아요 ㅎㅎㅎ,5,20.11.15.
13,항상 쓰는 제품입니다.  대용량이라 가성비 좋은 에센스라 좋아요. 많이 파세요~^^,5,20.10.31.
14,몇년째 쓰고 있는데 아주 만족합니다,5,20.11.10.
15,항상 사용하는 제품입니다. 촉촉한 느낌이 너무 좋네요~,5,20.10.30.
16,저렴한 가격에 잘 쓰고 있습니다,5,20.11.24.
17,계속 사용중 입니다  이번엔  알림푸시 신청했어요  신뢰감이  갑니다 ~,5,20.11.15.
18,첨으로 대용량으로 사봤어요. 밤마다 듬뿍 바름ㅎ,4,20.10.08.
19,"10통째 쓰는중입니다
이거 없으면 이제 절대 안돼요ㅠㅠ",5,20.10.29.
20,"재구매하며 사용중인데
각질없이 매끈한 피부로 유지되는거 같아요~",5,21.02.14.
21,계속 쓰고 있는데 펌프형 대용량이 나와서 너무 편하네요.,5,21.02.03.
22,지인한테 좋다는 추천을 받아서 구매하게 되었는데 포장도 되게 꼼꼼히 해주시고 감사해요~~ 오늘부터 열심히 발라보도록 하겠습니다’,5,20.12.29.
23,발효제품이나 얼굴에 촉촉하게 흡수가 빠르고 건조함이 덜 했어용,5,21.01.02.
24,초반엔 효과가 확 느껴졌는데 계속 쓰다보니 무난한거같아용,3,21.01.03.
25,믿고 쓰는 제품!! 피부가 맑아지기를 기대합니당!,5,20.12.29.
26,"두번째 주문입니다
사은품 핸드크림3개, 쌤플4개
좋으네요",5,21.01.01.
27,벌써 네번째 사용이에요 피부결 정리에 너무좋아요~가격대비 너무 좋아요~,4,20.12.10.
28,이틀차라 확연한 변화는 아직이지만 사용감이 좋아요,5,20.11.25.
29,항상 믿고 쓰는 제품입니다. 행사시 연락 주시면 고맙겠습니다.,5,20.12.08.
30,좋아요 피부도 환해지는 느낌이고 여드름도 없어진 것 같아요!!,5,20.11.15.
31,늘 착한가격에 몇년째 구매중입니다 감사해요,5,20.11.17.
32,오랜만에 재구매하러 왔습니다! 좋아요 ㅎㅎㅎ,5,20.11.15.
33,항상 쓰는 제품입니다.  대용량이라 가성비 좋은 에센스라 좋아요. 많이 파세요~^^,5,20.10.31.
34,몇년째 쓰고 있는데 아주 만족합니다,5,20.11.10.
35,항상 사용하는 제품입니다. 촉촉한 느낌이 너무 좋네요~,5,20.10.30.
36,저렴한 가격에 잘 쓰고 있습니다,5,20.11.24.
37,계속 사용중 입니다  이번엔  알림푸시 신청했어요  신뢰감이  갑니다 ~,5,20.11.15.
38,첨으로 대용량으로 사봤어요. 밤마다 듬뿍 바름ㅎ,4,20.10.08.
39,"10통째 쓰는중입니다
이거 없으면 이제 절대 안돼요ㅠㅠ",5,20.10.29.
40,벌써 세번째 쓰네요~개인차가 있겠지만 저한테는 너무 잘 맞아요~이거 쓴 이후로 피부 좋아졌다는 말 많이 들어요~,4,20.10.13.
41,"계속 쓰고있는 제품이예요
넘 좋아유 6통째 쓰는중",5,20.10.21.
42,에이지인텐트리먼트 너무 좋아요,5,20.10.23.
