,0
0,21.02.14.
1,21.02.03.
2,20.12.29.
3,21.01.02.
4,21.01.03.
5,20.12.29.
6,21.01.01.
7,20.12.10.
8,20.11.25.
9,20.12.08.
10,20.11.15.
11,20.11.17.
12,20.11.15.
13,20.10.31.
14,20.11.10.
15,20.10.30.
16,20.11.24.
17,20.11.15.
18,20.10.08.
19,20.10.29.
20,21.02.14.
21,21.02.03.
22,20.12.29.
23,21.01.02.
24,21.01.03.
25,20.12.29.
26,21.01.01.
27,20.12.10.
28,20.11.25.
29,20.12.08.
30,20.11.15.
31,20.11.17.
32,20.11.15.
33,20.10.31.
34,20.11.10.
35,20.10.30.
36,20.11.24.
37,20.11.15.
38,20.10.08.
39,20.10.29.
40,20.10.13.
41,20.10.21.
42,20.10.23.
43,20.10.09.
44,20.10.05.
45,20.09.16.
46,20.09.05.
47,20.10.04.
48,20.09.04.
49,20.09.20.
50,20.08.20.
51,20.09.12.
52,20.07.16.
53,20.08.21.
54,20.08.25.
55,20.09.03.
56,20.09.03.
57,20.08.26.
58,20.07.17.
59,20.07.27.
60,20.07.31.
61,20.07.04.
62,20.08.15.
63,20.08.10.
64,20.07.19.
65,20.07.18.
66,20.06.23.
67,20.07.06.
68,20.06.18.
69,20.07.16.
70,20.06.23.
71,20.06.23.
72,20.07.05.
73,20.07.07.
74,20.06.17.
75,20.07.03.
76,20.07.03.
77,20.07.03.
78,20.05.18.
79,20.05.07.
80,20.06.08.
81,20.05.25.
82,20.05.13.
83,20.06.11.
84,20.06.13.
85,20.05.02.
86,20.04.23.
87,20.05.04.
88,20.03.25.
89,20.04.15.
90,20.04.12.
91,20.04.12.
92,20.03.15.
93,20.03.17.
94,20.04.05.
95,20.03.19.
96,20.03.31.
97,20.04.03.
98,20.03.23.
99,20.04.02.
100,20.03.26.
101,20.04.03.
102,20.03.05.
103,20.03.14.
104,20.03.06.
105,20.02.17.
106,20.04.10.
107,20.03.09.
108,20.03.02.
109,20.03.11.
110,20.01.30.
111,20.03.02.
112,20.03.09.
113,20.02.12.
114,20.02.18.
115,20.02.21.
116,20.02.08.
117,20.02.07.
118,20.01.17.
119,20.02.03.
120,20.01.12.
121,20.02.12.
122,20.01.25.
123,20.02.06.
124,20.02.05.
125,20.01.16.
126,19.12.26.
127,20.01.08.
128,20.01.12.
129,20.01.28.
130,20.01.26.
131,20.01.26.
132,20.01.20.
133,20.01.11.
134,20.02.17.
135,20.01.12.
136,19.12.30.
137,19.12.23.
138,19.12.14.
139,19.12.25.
140,19.12.20.
141,19.11.27.
142,19.12.15.
143,19.12.01.
144,19.12.10.
145,19.11.25.
146,19.12.14.
147,19.12.12.
148,19.11.11.
149,19.12.12.
150,19.11.24.
151,19.12.09.
152,19.12.10.
153,19.11.13.
154,19.11.18.
155,19.11.05.
156,19.10.30.
157,19.10.19.
158,19.10.14.
159,19.10.17.
160,19.09.27.
161,19.10.25.
162,19.09.26.
163,19.10.15.
164,19.10.15.
165,19.10.09.
166,19.10.09.
167,19.10.07.
168,19.10.05.
169,19.09.26.
170,19.10.03.
171,19.10.02.
172,19.09.25.
173,19.09.28.
174,19.09.19.
175,19.09.19.
176,19.09.13.
177,19.08.16.
178,19.07.15.
179,19.08.11.
180,19.08.06.
181,19.08.27.
182,19.07.02.
183,19.06.17.
184,19.05.22.
185,19.05.16.
186,19.06.13.
187,19.05.25.
188,19.06.13.
189,19.05.17.
190,19.05.23.
191,19.05.23.
192,19.04.07.
193,19.05.05.
194,19.05.13.
195,19.05.16.
196,19.05.10.
197,19.05.10.
198,19.04.03.
199,19.05.09.
200,19.04.07.
201,19.05.06.
202,19.04.09.
203,19.04.30.
204,19.04.13.
205,19.04.08.
206,19.04.30.
207,19.04.07.
208,19.04.24.
209,19.04.21.
210,19.04.10.
211,19.04.05.
212,19.03.16.
213,19.04.08.
214,19.02.23.
215,19.04.03.
216,19.03.30.
217,19.03.27.
218,19.03.29.
219,19.03.10.
220,19.03.12.
221,19.03.13.
222,19.02.24.
223,19.02.28.
224,19.03.04.
225,19.03.04.
226,19.03.06.
227,19.02.26.
228,19.02.27.
229,19.03.02.
230,19.02.23.
231,19.03.02.
232,19.02.24.
233,19.02.24.
234,19.02.07.
235,19.02.09.
236,19.02.13.
237,19.02.14.
238,19.02.01.
239,19.02.02.
240,19.03.12.
241,19.03.13.
242,19.02.24.
243,19.02.28.
244,19.03.04.
245,19.03.04.
246,19.03.06.
247,19.02.26.
248,19.02.27.
249,19.03.02.
250,19.02.23.
251,19.03.02.
252,19.02.24.
253,19.02.24.
254,19.02.07.
255,19.02.09.
256,19.02.13.
257,19.02.14.
258,19.02.01.
259,19.02.02.
260,19.01.23.
261,19.01.14.
262,19.01.07.
263,19.01.24.
264,19.01.23.
265,19.01.13.
266,19.01.16.
267,19.01.14.
268,19.01.12.
269,19.01.12.
270,19.01.07.
271,19.01.06.
272,18.12.03.
273,18.12.24.
274,18.12.25.
275,18.12.26.
276,18.11.28.
277,18.11.22.
278,18.12.15.
279,18.12.15.
280,18.12.03.
281,18.12.04.
282,18.11.22.
283,18.11.28.
284,18.12.06.
285,18.12.07.
286,18.11.19.
287,18.11.30.
288,18.10.21.
289,18.11.27.
290,18.11.26.
291,18.11.19.
292,18.10.22.
293,18.11.05.
294,18.11.15.
295,18.11.10.
296,18.11.19.
297,18.11.20.
298,18.11.14.
299,18.11.07.
300,18.11.12.
301,18.11.15.
302,18.10.28.
303,18.11.14.
304,18.11.10.
305,18.11.09.
306,18.11.09.
307,18.11.09.
308,18.10.29.
309,18.10.25.
310,18.11.02.
311,18.10.24.
312,18.10.31.
313,18.10.15.
314,18.09.13.
315,18.10.23.
316,18.10.28.
317,18.10.22.
318,18.10.27.
319,18.10.31.
320,18.10.25.
321,18.10.22.
322,18.10.07.
323,18.11.13.
324,18.10.21.
325,18.10.07.
326,18.10.11.
327,18.09.22.
328,18.10.08.
329,18.09.22.
330,18.10.10.
331,18.10.08.
332,18.10.03.
333,18.09.21.
334,18.09.12.
335,18.09.30.
336,18.09.16.
337,18.09.13.
338,18.09.20.
339,18.09.08.
340,18.09.18.
341,18.09.17.
342,18.10.10.
343,18.08.28.
344,18.10.07.
345,18.09.14.
346,18.08.25.
347,18.09.12.
348,18.09.03.
349,18.10.09.
350,18.09.12.
351,18.08.22.
352,18.09.07.
353,18.09.03.
354,18.09.06.
355,18.08.14.
356,18.08.07.
357,18.08.28.
358,18.08.04.
359,18.08.22.
360,18.08.26.
361,18.08.26.
362,18.09.14.
363,18.08.02.
364,18.09.10.
365,18.08.04.
366,18.07.19.
367,18.08.18.
368,18.07.20.
369,18.08.14.
370,18.08.09.
371,18.08.09.
372,18.08.13.
373,18.07.22.
374,18.07.20.
375,18.07.31.
376,18.08.02.
377,18.07.25.
378,18.07.26.
379,18.07.03.
380,18.08.05.
381,18.07.14.
382,18.08.25.
383,18.08.04.
384,18.08.04.
385,18.08.01.
386,18.07.25.
387,18.07.28.
388,18.08.03.
389,18.07.07.
390,18.07.05.
391,18.07.22.
392,18.07.25.
393,18.07.22.
394,18.07.08.
395,18.07.20.
396,18.06.14.
397,18.07.26.
398,18.07.08.
399,18.07.03.
400,18.07.18.
401,18.07.17.
402,18.06.29.
403,18.06.26.
404,18.06.26.
405,18.07.07.
406,18.06.27.
407,18.06.25.
408,18.06.23.
409,18.07.09.
410,18.07.01.
411,18.07.04.
412,18.07.04.
413,18.07.02.
414,18.07.19.
415,18.07.19.
416,18.06.25.
417,18.06.11.
418,18.06.27.
419,18.06.12.
420,18.06.07.
421,18.06.25.
422,18.06.14.
423,18.06.25.
424,18.06.10.
425,18.05.31.
426,18.06.21.
427,18.05.26.
428,18.06.19.
429,18.06.18.
430,18.06.03.
431,18.06.17.
432,18.05.30.
433,18.06.12.
434,18.06.11.
435,18.06.10.
436,18.05.29.
437,18.06.10.
438,18.05.24.
439,18.06.03.
440,18.06.01.
441,18.05.29.
442,18.05.31.
443,18.05.15.
444,18.05.11.
445,18.05.26.
446,18.04.22.
447,18.05.25.
448,18.05.30.
449,18.05.20.
450,18.05.24.
451,18.05.23.
452,18.04.21.
453,18.05.10.
454,18.05.05.
455,18.05.25.
456,18.05.10.
457,18.03.26.
458,18.05.15.
459,18.05.04.
460,18.06.01.
461,18.05.29.
462,18.05.31.
463,18.05.15.
464,18.05.11.
465,18.05.26.
466,18.04.22.
467,18.05.25.
468,18.05.30.
469,18.05.20.
470,18.05.24.
471,18.05.23.
472,18.04.21.
473,18.05.10.
474,18.05.05.
475,18.05.25.
476,18.05.10.
477,18.03.26.
478,18.05.15.
479,18.05.04.
480,18.05.22.
481,18.05.07.
482,18.05.17.
483,18.06.10.
484,18.04.30.
485,18.04.23.
486,18.05.15.
487,18.05.17.
488,18.05.12.
489,18.04.30.
490,18.04.28.
491,18.05.10.
492,18.04.25.
493,18.05.15.
494,18.05.08.
495,18.05.14.
496,18.04.25.
497,18.05.13.
498,18.05.13.
499,18.04.23.
500,18.05.08.
501,18.05.04.
502,18.04.19.
503,18.05.08.
504,18.05.10.
505,18.05.04.
506,18.04.21.
507,18.05.10.
508,18.04.13.
509,18.04.24.
510,18.04.11.
511,18.05.09.
512,18.04.21.
513,18.04.19.
514,18.03.30.
515,18.04.16.
516,18.04.29.
517,18.05.02.
518,18.04.09.
519,18.04.05.
520,18.05.29.
521,18.04.19.
522,18.04.12.
523,18.04.29.
524,18.04.12.
525,18.04.09.
526,18.04.03.
527,18.03.22.
528,18.04.10.
529,18.04.19.
530,18.04.24.
531,18.04.28.
532,18.04.22.
533,18.04.08.
534,18.04.19.
535,18.04.16.
536,18.04.06.
537,18.04.23.
538,18.04.25.
539,18.04.25.
540,18.04.25.
541,18.04.24.
542,18.04.22.
543,18.04.06.
544,18.04.03.
545,18.04.22.
546,18.03.08.
547,18.03.26.
548,18.04.18.
549,18.04.20.
550,18.04.20.
551,18.03.12.
552,18.04.19.
553,18.04.21.
554,18.03.27.
555,18.04.10.
556,18.03.31.
557,18.03.29.
558,18.04.20.
559,18.03.25.
560,18.04.01.
561,18.04.16.
562,18.04.17.
563,18.04.03.
564,18.03.16.
565,18.04.10.
566,18.04.10.
567,18.03.25.
568,18.03.12.
569,18.03.21.
570,18.04.21.
571,18.04.13.
572,18.04.11.
573,18.04.08.
574,18.04.03.
575,18.04.01.
576,18.04.07.
577,18.04.10.
578,18.04.09.
579,18.04.10.
580,18.03.20.
581,18.03.16.
582,18.03.21.
583,18.03.24.
584,18.04.09.
585,18.04.04.
586,18.03.30.
587,18.03.24.
588,18.03.20.
589,18.04.07.
590,18.04.09.
591,18.03.16.
592,18.04.05.
593,18.04.04.
594,18.04.01.
595,18.03.18.
596,18.03.18.
597,18.03.29.
598,18.02.27.
599,18.04.05.
600,18.03.20.
601,18.03.17.
602,18.04.02.
603,18.04.09.
604,18.03.08.
605,18.03.22.
606,18.03.19.
607,18.03.29.
608,18.04.06.
609,18.04.01.
610,18.03.07.
611,18.03.26.
612,18.03.27.
613,18.04.25.
614,18.03.30.
615,18.01.27.
616,18.03.28.
617,18.03.29.
618,18.03.29.
619,18.03.20.
620,18.03.25.
621,18.03.25.
622,18.03.07.
623,18.03.24.
624,18.03.06.
625,18.03.21.
626,18.03.13.
627,18.03.21.
628,18.03.12.
629,18.03.21.
630,18.03.20.
631,18.03.25.
632,18.03.02.
633,18.03.24.
634,18.03.18.
635,18.03.22.
636,18.03.12.
637,18.03.21.
638,18.03.17.
639,18.03.25.
640,18.02.28.
641,18.03.01.
642,18.03.03.
643,18.03.14.
644,18.03.19.
645,18.03.18.
646,18.03.20.
647,18.03.24.
648,18.03.19.
649,18.03.12.
650,18.03.18.
651,18.03.15.
652,18.03.18.
653,18.03.18.
654,18.03.18.
655,18.03.12.
656,18.03.16.
657,18.03.15.
658,18.01.27.
659,18.03.16.
660,18.02.27.
661,18.03.16.
662,18.03.10.
663,18.02.27.
664,18.03.08.
665,18.03.07.
666,18.02.26.
667,18.03.12.
668,18.03.13.
669,18.02.28.
670,18.03.03.
671,18.03.06.
672,18.03.10.
673,18.03.15.
674,18.02.21.
675,18.03.09.
676,18.03.09.
677,18.03.04.
678,18.03.07.
679,18.02.12.
680,18.02.27.
681,18.03.16.
682,18.03.10.
683,18.02.27.
684,18.03.08.
685,18.03.07.
686,18.02.26.
687,18.03.12.
688,18.03.13.
689,18.02.28.
690,18.03.03.
691,18.03.06.
692,18.03.10.
693,18.03.15.
694,18.02.21.
695,18.03.09.
696,18.03.09.
697,18.03.04.
698,18.03.07.
699,18.02.12.
700,18.03.02.
701,18.01.31.
702,18.03.04.
703,18.03.05.
704,18.02.13.
705,18.03.31.
706,18.02.27.
707,18.03.01.
708,18.02.18.
709,18.03.29.
710,18.03.29.
711,18.02.07.
712,18.01.14.
713,18.03.02.
714,18.02.12.
715,18.02.26.
716,18.02.28.
717,18.03.02.
718,18.02.14.
719,18.02.24.
720,18.03.06.
721,18.02.25.
722,18.02.28.
723,18.02.23.
724,18.02.26.
725,18.02.26.
726,18.02.25.
727,18.03.17.
728,18.02.16.
729,18.01.15.
730,18.02.27.
731,18.02.07.
732,18.01.26.
733,18.01.30.
734,18.02.03.
735,18.02.21.
736,18.01.20.
737,18.02.13.
738,18.02.13.
739,18.02.12.
740,18.01.16.
741,18.02.02.
742,18.01.28.
743,18.01.23.
744,18.03.03.
745,18.01.23.
746,18.01.27.
747,18.02.03.
748,18.02.07.
749,18.01.23.
750,18.01.11.
751,18.01.17.
752,18.01.31.
753,18.01.13.
754,18.01.15.
755,18.01.21.
756,18.02.06.
757,18.03.06.
758,18.03.06.
759,18.03.06.
760,18.03.01.
761,18.02.05.
762,18.02.04.
763,18.01.18.
764,18.01.13.
765,18.01.17.
766,18.01.27.
767,18.01.16.
768,18.01.08.
769,18.01.14.
770,18.01.15.
771,18.01.15.
772,18.01.15.
773,18.01.17.
774,18.01.14.
775,18.01.15.
776,18.01.18.
777,18.01.10.
778,18.01.19.
779,18.01.30.
780,18.01.15.
781,18.01.09.
782,18.01.18.
783,18.01.09.
784,18.01.26.
785,18.01.14.
786,18.01.18.
787,18.01.10.
788,18.01.13.
789,18.01.28.
790,18.02.18.
791,18.01.14.
792,18.01.17.
793,18.01.14.
794,18.02.16.
795,18.01.11.
796,18.01.20.
797,18.01.21.
798,18.02.13.
799,18.01.15.
800,18.01.23.
801,18.01.14.
802,18.01.23.
803,18.01.16.
804,18.01.19.
805,18.01.19.
806,18.01.13.
807,18.01.20.
808,18.01.11.
809,18.01.08.
810,18.02.13.
811,18.01.22.
812,18.01.14.
813,18.01.18.
814,18.01.14.
815,18.01.16.
816,18.02.10.
817,18.01.21.
818,18.01.14.
819,18.01.06.
820,17.12.29.
821,18.01.16.
822,18.02.13.
823,18.01.18.
824,18.01.11.
825,18.01.17.
826,18.01.09.
827,18.01.18.
828,18.01.15.
829,17.12.30.
830,18.01.17.
831,17.12.25.
832,18.01.14.
833,18.01.15.
834,18.01.15.
835,18.01.12.
836,18.01.14.
837,18.01.15.
838,18.01.14.
839,18.01.10.
840,18.01.12.
841,17.12.29.
842,18.01.12.
843,18.01.11.
844,18.01.13.
845,18.01.15.
846,18.01.15.
847,18.01.12.
848,18.01.13.
849,18.01.13.
850,18.01.11.
851,18.01.14.
852,18.01.14.
853,18.01.14.
854,18.01.12.
855,18.01.15.
856,18.01.13.
857,17.12.24.
858,17.12.24.
859,18.01.11.
860,18.01.14.
861,18.01.14.
862,18.01.11.
863,18.01.11.
864,17.12.21.
865,18.01.10.
866,17.12.23.
867,18.01.11.
868,18.01.15.
869,17.12.27.
870,18.01.01.
871,18.01.01.
872,18.01.10.
873,18.01.11.
874,17.12.12.
875,18.01.23.
876,17.12.22.
877,18.01.27.
878,17.11.19.
879,18.01.27.
880,17.12.20.
881,17.11.19.
882,17.12.10.
883,17.12.26.
884,17.12.23.
885,18.01.23.
886,17.12.24.
887,17.12.24.
888,17.12.23.
889,17.12.21.
890,17.12.27.
891,17.12.23.
892,17.12.23.
893,17.12.02.
894,17.12.22.
895,17.11.22.
896,18.01.15.
897,18.01.09.
898,17.12.16.
899,18.01.06.
900,17.12.20.
901,17.11.19.
902,17.12.10.
903,17.12.26.
904,17.12.23.
905,18.01.23.
906,17.12.24.
907,17.12.24.
908,17.12.23.
909,17.12.21.
910,17.12.27.
911,17.12.23.
912,17.12.23.
913,17.12.02.
914,17.12.22.
915,17.11.22.
916,18.01.15.
917,18.01.09.
918,17.12.16.
919,18.01.06.
920,17.12.31.
921,17.12.12.
922,17.11.16.
923,17.12.12.
924,17.12.10.
925,17.12.31.
926,17.11.14.
927,17.11.16.
928,17.11.16.
929,17.11.13.
930,17.12.24.
931,17.11.17.
932,17.11.12.
933,17.11.07.
934,17.12.02.
935,17.11.12.
936,17.11.04.
937,17.11.11.
938,17.11.07.
939,17.11.28.
940,17.11.05.
941,17.12.01.
942,17.11.07.
943,17.11.24.
944,17.11.10.
945,17.11.11.
946,17.11.09.
947,17.11.07.
948,17.11.06.
949,17.11.08.
950,17.11.07.
951,17.11.04.
952,17.11.17.
953,17.11.04.
954,17.11.12.
955,17.11.04.
956,17.11.12.
957,17.11.05.
958,17.11.17.
959,17.11.10.
960,17.11.18.
961,17.11.08.
962,17.11.15.
963,17.10.25.
964,17.11.08.
965,17.11.16.
966,17.11.14.
967,17.11.12.
968,17.11.13.
969,17.11.15.
970,17.11.07.
971,17.11.14.
972,17.11.04.
973,17.11.04.
974,17.11.08.
975,17.10.29.
976,17.11.07.
977,17.11.10.
978,17.10.29.
979,17.11.12.
980,17.11.07.
981,17.11.08.
982,17.11.08.
983,17.11.11.
984,17.11.09.
985,17.11.04.
986,17.10.14.
987,17.11.07.
988,17.11.08.
989,17.11.07.
990,17.11.06.
991,17.11.09.
992,17.10.29.
993,17.11.08.
994,17.11.07.
995,17.11.10.
996,17.11.04.
997,17.11.05.
998,17.11.04.
999,17.11.06.
1000,17.11.04.
1001,17.11.04.
1002,17.11.03.
1003,17.11.04.
1004,17.11.06.
1005,17.11.03.
1006,17.10.12.
1007,17.11.04.
1008,17.11.07.
1009,17.11.05.
1010,17.10.31.
1011,17.10.21.
1012,17.10.18.
1013,17.10.18.
1014,17.10.14.
1015,17.10.13.
1016,17.10.18.
1017,17.09.26.
1018,17.10.15.
1019,17.10.14.
1020,17.10.13.
1021,17.10.16.
1022,17.10.12.
1023,17.11.04.
1024,17.11.04.
1025,17.09.19.
1026,17.09.20.
1027,17.10.29.
1028,17.09.16.
1029,17.10.04.
1030,17.09.13.
1031,17.09.30.
1032,17.09.26.
1033,17.09.16.
1034,17.09.01.
1035,17.09.24.
1036,17.09.04.
1037,17.09.03.
1038,17.10.17.
1039,17.09.05.
1040,17.09.17.
1041,17.10.15.
1042,17.10.14.
1043,17.09.25.
1044,17.09.20.
1045,17.09.08.
1046,17.09.16.
1047,17.09.02.
1048,17.09.17.
1049,17.08.22.
1050,17.09.08.
1051,17.09.09.
1052,17.09.10.
1053,17.09.03.
1054,17.09.09.
1055,17.09.01.
1056,17.09.03.
1057,17.09.05.
1058,17.09.05.
1059,17.09.08.
1060,17.09.05.
1061,17.09.03.
1062,17.09.06.
1063,17.09.01.
1064,17.09.10.
1065,17.09.05.
1066,17.09.04.
1067,17.09.03.
1068,17.09.03.
1069,17.09.06.
1070,17.09.01.
1071,17.08.08.
1072,17.09.09.
1073,17.08.12.
1074,17.09.25.
1075,17.09.02.
1076,17.08.27.
1077,17.08.31.
1078,17.08.08.
1079,17.07.13.
1080,17.07.25.
1081,17.08.24.
1082,17.07.25.
1083,17.07.25.
1084,17.07.26.
1085,17.07.31.
1086,17.07.16.
1087,17.07.17.
1088,17.07.20.
1089,17.07.24.
1090,17.07.14.
1091,17.07.22.
1092,17.07.16.
1093,17.08.12.
1094,17.08.01.
1095,17.08.02.
1096,17.07.19.
1097,17.07.27.
1098,17.07.22.
1099,17.08.05.
1100,17.08.08.
1101,17.07.17.
1102,17.07.22.
1103,17.07.16.
1104,17.07.22.
1105,17.07.15.
1106,17.07.15.
1107,17.07.14.
1108,17.07.13.
1109,17.07.17.
1110,17.07.14.
1111,17.07.16.
1112,17.07.13.
1113,17.07.23.
1114,17.07.12.
1115,17.07.15.
1116,17.07.23.
1117,17.07.22.
1118,17.07.16.
1119,17.07.14.
1120,17.08.08.
1121,17.07.17.
1122,17.07.22.
1123,17.07.16.
1124,17.07.22.
1125,17.07.15.
1126,17.07.15.
1127,17.07.14.
1128,17.07.13.
1129,17.07.17.
1130,17.07.14.
1131,17.07.16.
1132,17.07.13.
1133,17.07.23.
1134,17.07.12.
1135,17.07.15.
1136,17.07.23.
1137,17.07.22.
1138,17.07.16.
1139,17.07.14.
1140,17.07.17.
1141,17.07.25.
1142,17.07.17.
1143,17.07.23.
1144,17.07.12.
1145,17.07.16.
1146,17.07.14.
1147,17.07.13.
1148,17.07.13.
1149,17.07.21.
1150,17.07.17.
1151,17.07.12.
1152,17.07.17.
1153,17.07.17.
1154,17.07.26.
1155,17.07.16.
1156,17.07.21.
1157,17.07.17.
1158,17.07.15.
1159,17.07.13.
1160,17.07.14.
1161,17.07.22.
1162,17.07.16.
1163,17.07.24.
1164,17.07.16.
1165,17.07.12.
1166,17.07.19.
1167,17.07.16.
1168,17.07.16.
1169,17.07.17.
1170,17.07.16.
1171,17.07.16.
1172,17.07.17.
1173,17.07.18.
1174,17.07.13.
1175,17.07.20.
1176,17.07.13.
1177,17.07.17.
1178,17.07.13.
1179,17.07.16.
1180,17.07.07.
1181,17.07.17.
1182,17.07.17.
1183,17.07.12.
1184,17.07.19.
1185,17.07.17.
1186,17.07.19.
1187,17.07.13.
1188,17.07.18.
1189,17.07.12.
1190,17.07.19.
1191,17.07.18.
1192,17.07.17.
1193,17.07.17.
1194,17.07.17.
1195,17.07.12.
1196,17.07.16.
1197,17.07.12.
1198,17.07.17.
1199,17.07.17.
1200,17.07.17.
1201,17.07.16.
1202,17.07.14.
1203,17.07.14.
1204,17.07.14.
1205,17.07.16.
1206,17.07.16.
1207,17.07.15.
1208,17.07.15.
1209,17.07.13.
1210,17.07.13.
1211,17.07.22.
1212,17.07.13.
1213,17.07.16.
1214,17.07.14.
1215,17.07.14.
1216,17.07.13.
1217,17.07.15.
1218,17.07.12.
1219,17.07.14.
1220,17.07.15.
1221,17.07.18.
1222,17.07.16.
1223,17.07.13.
1224,17.07.12.
1225,17.07.13.
1226,17.07.17.
1227,17.07.12.
1228,17.07.12.
1229,17.07.11.
1230,17.07.13.
1231,17.07.14.
1232,17.07.13.
1233,17.07.13.
1234,17.07.11.
1235,17.07.15.
1236,17.07.16.
1237,17.06.02.
1238,17.07.12.
1239,17.07.12.
1240,17.06.07.
1241,17.05.05.
1242,17.05.05.
1243,17.04.17.
1244,17.04.25.
1245,17.05.05.
1246,17.05.05.
1247,17.05.05.
1248,17.04.22.
1249,17.04.27.
1250,17.04.24.
1251,17.04.18.
1252,17.04.22.
1253,17.04.13.
1254,17.04.25.
1255,17.04.27.
1256,17.04.22.
1257,17.04.24.
1258,17.04.13.
1259,17.04.25.
1260,17.04.24.
1261,17.04.17.
1262,17.03.28.
1263,17.03.28.
1264,17.03.28.
1265,17.03.22.
1266,17.02.03.
1267,17.03.13.
1268,17.02.03.
1269,17.03.13.
1270,17.03.13.
1271,17.03.15.
1272,17.03.14.
1273,17.03.14.
1274,17.03.07.
1275,17.03.01.
1276,17.02.03.
1277,17.02.20.
1278,17.02.08.
1279,17.02.08.
1280,17.02.23.
1281,17.02.23.
1282,17.02.21.
1283,17.02.21.
1284,17.02.21.
1285,17.02.08.
1286,17.02.03.
1287,17.02.08.
1288,17.02.07.
1289,17.02.08.
1290,17.02.02.
1291,16.12.14.
1292,17.01.02.
1293,17.01.07.
1294,17.01.02.
1295,17.01.02.
1296,17.01.17.
1297,17.01.17.
1298,16.12.25.
1299,16.12.25.
1300,17.01.04.
1301,17.01.07.
1302,16.12.22.
1303,16.12.29.
1304,16.12.07.
1305,16.12.12.
1306,16.12.14.
1307,16.11.28.
1308,16.12.16.
1309,16.12.13.
1310,16.10.21.
1311,16.10.10.
1312,16.12.07.
1313,16.11.13.
