,0
0,20.11.12.
1,20.11.26.
2,21.02.03.
3,21.01.06.
4,20.11.23.
5,20.08.20.
6,21.01.21.
7,20.11.25.
8,20.10.19.
9,20.09.20.
10,20.07.24.
11,21.01.12.
12,20.11.26.
13,21.01.21.
14,21.01.23.
15,20.04.24.
16,20.04.09.
17,20.12.09.
18,20.12.31.
19,20.08.04.
20,20.09.24.
21,20.07.27.
22,20.03.20.
23,20.09.13.
24,20.08.08.
25,20.11.29.
26,20.09.26.
27,20.11.10.
28,20.09.03.
29,20.09.24.
30,20.10.07.
31,20.08.04.
32,20.11.25.
33,20.10.20.
34,20.08.07.
35,20.10.23.
36,20.03.31.
37,20.09.07.
38,20.09.10.
39,20.08.27.
40,20.09.21.
41,20.11.03.
42,20.09.06.
43,20.07.06.
44,20.08.25.
45,20.06.08.
46,20.09.08.
47,20.08.31.
48,20.06.29.
49,20.07.17.
50,20.09.21.
51,19.11.14.
52,20.05.19.
53,20.03.09.
54,19.12.19.
55,20.01.03.
56,19.11.25.
57,19.02.15.
58,19.08.03.
59,19.05.31.
60,19.03.28.
61,19.10.23.
62,20.07.01.
63,19.11.11.
64,19.03.30.
65,19.07.17.
66,19.03.08.
67,19.04.02.
68,19.03.21.
69,19.06.17.
70,19.04.11.
71,19.04.04.
72,19.03.16.
73,18.11.10.
74,19.07.19.
75,19.07.03.
76,18.12.26.
77,19.03.23.
78,19.03.28.
79,18.11.27.
80,19.04.10.
81,18.12.17.
82,18.12.18.
83,18.08.08.
84,18.11.08.
85,18.09.16.
86,19.04.08.
87,21.02.05.
88,20.10.27.
89,21.01.06.
90,21.01.13.
91,20.11.16.
92,21.03.06.
93,20.11.11.
94,20.11.08.
95,21.03.02.
96,21.03.05.
97,21.02.21.
98,20.10.29.
99,21.02.25.
100,21.02.26.
101,21.03.01.
102,21.03.05.
103,21.03.08.
104,21.02.25.
105,21.02.18.
106,20.10.21.
107,21.01.28.
108,21.02.28.
109,21.02.07.
110,21.03.07.
111,21.02.17.
112,21.02.09.
113,21.03.07.
114,20.12.27.
115,21.01.14.
116,21.02.18.
117,21.02.06.
118,21.02.08.
119,21.01.30.
120,21.01.21.
121,21.02.20.
122,21.01.16.
123,21.02.17.
124,21.01.30.
125,21.01.31.
126,21.02.05.
127,21.02.05.
128,21.01.30.
129,21.02.07.
130,21.02.18.
131,21.01.30.
132,20.10.11.
133,21.01.20.
134,21.02.07.
135,21.02.09.
136,21.02.09.
137,21.02.04.
138,21.01.18.
139,21.02.01.
140,21.01.28.
141,21.01.27.
142,21.01.24.
143,21.02.07.
144,21.02.06.
145,21.01.23.
146,20.12.20.
147,21.02.03.
