,0
0,20.04.03.
1,21.01.08.
2,21.01.09.
3,20.05.16.
4,20.05.16.
5,20.09.21.
6,20.10.09.
7,20.12.15.
8,21.01.03.
9,20.12.21.
10,20.05.21.
11,20.07.28.
12,20.11.25.
13,21.01.16.
14,20.09.25.
15,21.01.11.
16,20.08.17.
17,20.12.02.
18,20.12.15.
19,20.02.11.
20,20.06.11.
21,20.02.14.
22,20.04.19.
23,20.05.15.
24,20.03.20.
25,20.03.05.
26,20.01.16.
27,20.05.21.
28,20.03.13.
29,20.05.21.
30,19.11.19.
31,20.03.26.
32,20.03.20.
33,19.10.26.
34,21.03.04.
35,20.06.06.
36,21.01.17.
37,21.03.08.
38,21.02.17.
39,21.02.17.
40,20.07.23.
41,21.02.17.
42,21.03.09.
43,21.03.04.
44,21.02.25.
45,21.02.22.
46,21.02.26.
47,20.10.12.
48,21.02.15.
49,21.01.18.
50,21.01.27.
51,21.02.07.
52,20.09.18.
53,21.01.30.
54,21.01.06.
55,21.01.17.
56,21.01.23.
57,21.01.22.
58,20.12.11.
59,21.01.21.
60,21.01.10.
61,20.08.27.
62,21.01.08.
63,21.01.05.
64,20.12.30.
65,21.01.12.
66,20.12.23.
67,21.01.01.
68,21.01.10.
69,20.12.20.
70,21.01.02.
71,20.12.14.
72,21.01.08.
73,20.09.05.
74,20.12.01.
75,20.12.17.
76,21.02.27.
77,21.02.16.
78,20.12.11.
79,20.12.14.
80,20.12.09.
81,20.12.04.
82,20.11.30.
83,20.12.15.
84,20.12.10.
85,20.12.09.
86,20.12.04.
87,20.11.26.
88,20.12.14.
89,20.12.16.
90,20.11.30.
91,20.12.06.
92,20.12.06.
93,20.10.29.
94,20.11.20.
95,20.11.24.
96,20.11.22.
97,21.02.24.
98,20.11.24.
99,20.11.22.
100,20.11.17.
101,20.11.15.
102,20.11.21.
103,21.03.07.
104,20.11.20.
105,20.11.15.
106,20.11.09.
107,20.11.22.
108,20.11.24.
109,20.10.19.
110,21.02.14.
111,20.11.06.
112,21.03.08.
113,21.02.20.
114,21.03.01.
115,21.02.23.
116,21.03.02.
117,21.03.07.
118,20.03.24.
119,20.11.14.
120,21.02.26.
121,20.10.21.
122,20.10.22.
123,20.11.07.
124,20.10.22.
125,21.02.12.
126,21.02.05.
127,21.02.20.
128,20.10.14.
129,20.10.07.
130,21.02.14.
131,21.01.21.
132,21.01.19.
133,21.02.05.
134,20.10.02.
135,21.02.11.
136,21.02.18.
137,20.11.02.
138,20.10.31.
139,20.10.17.
140,20.10.20.
141,20.10.28.
142,20.10.16.
143,20.10.18.
144,20.06.20.
145,20.10.14.
146,20.10.05.
147,21.02.19.
148,20.10.21.
149,21.02.03.
150,20.10.21.
151,21.02.04.
152,20.10.17.
153,21.02.02.
154,21.01.04.
155,21.01.21.
156,21.01.23.
157,20.10.07.
158,20.10.01.
159,21.01.27.
160,20.10.10.
161,20.10.07.
162,20.10.10.
163,21.01.08.
164,21.01.23.
165,21.02.03.
166,21.01.17.
167,21.01.14.
168,20.12.31.
169,21.01.18.
170,20.09.23.
171,20.09.13.
172,20.12.28.
173,20.09.28.
174,20.09.27.
175,20.09.19.
176,20.09.24.
177,21.01.17.
178,20.09.26.
179,20.09.19.
180,21.01.20.
181,21.01.21.
182,21.01.07.
183,20.09.12.
184,21.01.18.
185,20.09.27.
186,20.08.28.
187,20.05.27.
188,20.09.11.
189,20.09.08.
190,20.09.09.
191,20.12.28.
192,20.09.17.
193,20.09.28.
194,20.09.14.
195,20.09.16.
196,20.12.21.
197,20.08.30.
198,20.12.22.
199,20.09.16.
200,20.06.03.
201,20.05.29.
202,20.05.17.
203,20.09.15.
204,20.06.05.
205,20.05.07.
206,20.05.25.
207,20.06.01.
208,20.05.18.
209,20.05.31.
210,20.05.24.
211,20.06.03.
212,20.09.26.
213,20.09.23.
214,20.09.18.
215,20.06.01.
216,20.09.27.
217,20.06.05.
218,20.09.25.
219,20.05.29.
220,20.04.21.
221,20.09.08.
222,20.08.25.
223,20.05.12.
224,20.05.21.
225,20.09.11.
226,20.05.12.
227,20.10.12.
228,20.05.21.
229,20.05.13.
230,20.05.21.
231,20.05.21.
232,20.05.18.
233,20.05.05.
234,20.09.07.
235,20.09.03.
236,20.05.13.
