,0
0,"1. 배송: 2일 오후 12시에 결재 후 3일 오후5시에 받앗으니 하루만에 총알 배송 모두 뽁뽁이 싸서 안전하게 받았습니다.

2. 가격: 1개 제품대비 가격은 저렴한데, 배송비 붙는게 별로네요.
어차피 미백제품은 한번에 안되는걸 알기에 6개정도 무료배송으로 한번에 구매하자 생각했어요.

3. 제품: 나이아신 10%가 이거말고 또다른제품이 있지만 끈적임이 심하다고 하여 이걸로 구매했는데, 한방울만 눈밑 다크서클에 발라서 그런가 끈적임은 없었어요. 제 피부에는 자극도 없었고 작은 열감도 없네요. 그런가 생각들었어요
다음에는 2방울로 늘려보려고 해요 ㅎ
색은 정말 연한 ㅋㅋ (폰을 바꿔야해요 ㅠ화질이 영~ㅎㅎㅎ)
제형은 천천히 흐르는 제형, 보통 수분앰플처럼요.

4. 용기: 보통 앰플은 거의 다쓰면 아래부분이 스포이드에 안닿아서 거꾸로 놓는 불편함이 있는데... 5천원대에 튜브 형태지만 입구를 스포이드형으로 만들어서 넘 편해요. (사진)
왜 30미리로 만들었을까 생각해봤는데 용기가 크면 변질이 될것 같아서 개봉했으면 빨리 쓰라고 하지 않았을까 생각이 되요.

5. 유효기간: 22년 8.24일까지 (사진)

6. 불편,주의할점: 짤때 힘조절이 필요해요 ㅋㅋ 보통 핸드크림 쭉 짜듯이 하면....정말 쭉 나올지도 몰라요 ㅎㅎ 살짝 스포이드로 액이 내려오는걸 확인하면서 1방울 2방울 이렇게 세는게 좋을듯요 ㅋㅋ

7. 기타: 한번밖에 안써서 드라마틱한 미백은 보지 못했고 ㅎㅎ 꾸준히 한달간 쓰고 리뷰하겠습니"
1,"제가 무딘편이라 향은 잘 모르겠고 색깔이 너무 이뻐요
흡수 진짜 잘되고 첫사용이라 수분크림이랑 섞어발라서 단점은 잘 모르겠는데
윤기가 나더라구요 ㅋㅋ 이제껏 제 피부에선 볼수없었던... ㅜㅜ 감동받았어요

========================= 리뷰수정합니다
어제 저녁에 받아서 필링 리퀴드 쓰고 쓰던거 쓰고
자극이 강하다고 해서 이거랑 수분크림 쓰던거 섞어쓰고
아침에 토너쓰고 이거쓰고 쓰던거쓰고 했어요
와.. 근데 이거 꼭사세요 꼭써보세요 대박이네요 진짜!!
여러분들 눈을위해 피부사진은 못보여드리지만
3시면 없어졌던 화장이 떡지지도 않고 살아있고 ??
수분은 왜 또 개선된거죠??
이젠 광이나요?? 이거뭐죠? 왜케좋아여??
왜 저만 이제까지 몰라서 못썼던거죠??
피부관리실에서 열배넘게주고 산 세럼 앰플보다 더 좋아요
리즈너뷰티 덕후될래요 세트로 전부 주문했는데
오늘 집에가서 쓰던거 정리하고 리즈너뷰티꺼로 전체 갈아엎을래요
이건 진짜 대박입니다 꼭쓰세요!!!!!"
2,"각질제거제랑 같이 구매했습니다. 무엇보다 가격이 괜찮아서 같이사도 부담이 안된다는 점이 너무 좋네요. 이전에 타브랜드 나이아신아마이드 제품 구매하고싶었능데 그 당시 구하기도 어려웠고 품절이라 포기했었서든요. 그런데 리즈너뷰티는 이렇게 네이버페이 쇼핑으로도 구매할 수 있어서 좋습니다.
아무튼 각질제거제랑 이 제품 같이 써서 효과봤다는 분 후기 보고 주문했어요.
일단 처음이라 설명서대로 다른 제품 알로에젤이랑 섞어써봤는데 둘다 묽어서 그런지 잘 안섞이더래요..하하...내일은 설명댜로 크림이랑 섞어 써봐야겠어요. ㅛ었음 좋겠습니다!"
3,나이아신 아마이드 효과가 만능연고인줄은 알고 있었지만 10퍼센트짜리로 직접 써보니까 너무 좋아요.. 과잉피지 잡아주지 미백효과 진짜 좋고 촉촉하면서도 흡수가빨라요! 민감성인데 저는 잘 맞았어요! 피지과다해서 트러블이 나는 피부인데 피지컨트롤이 잘돼서 많이 트러블이 잠잔해졌고 얼굴 컨디션도 너무 좋아요 엄마도 50대신대 같이 썼는데 너무 만족하십니다. 피부에 맞으면 고함량 제품을 써서 고민을 해결하는 방법이 정말 좋다는 걸 이번에 느꼈습니다. 하나 샀는데도 이 가격에 양도 너무 많고 이번엔 배송비 맞추려고 여러개 구매하려고요. 리즈너뷰티 너무너무 감사하고 앞으로도 이렇게 깔끔하고 새로운 담백한 제품 부탁할게요!!
4,"포장 상품 모두 만족해요~
발림성 좋구요
촉촉해요
발랐을땐 끈적거림이있는데
흡수되면 촉촉 보들해져요~!
저는 따갑지 않더라구요
그래서 섞어서 안쓰고 그냥 바로 발라줬어요~

제형이 묽어서
두세방울로 넓은면적을 바를수 있더라구요
물처럼 묽지는 않아요"
5,"정말 꾸준하게 쓰시면서 피부결이나 피부 개선을 원하신다면 추천하고 싶어요.
드라마틱한 효과를 기대하고 구매하진 마세요.
첫 주문하고 두개째 쓰고 있는데 그동안 썼던 에센스중 최고 사용하기 좋은 용기라고 감히 단언하고 싶어요.
에센스 자체 성분도 착하고 발랐는때 알러지도 없고 사용후 촉촉합니다.
저의 경우 다른 분과 다르게 효과는 크게 없었어요. 더 쓰면 나타나려나요. ㅜ.,ㅜ
그런데 사용하면 할 수록 피부결이 정돈된 느낌이고 이걸 쓰고 나서 . 재품 저체엔 그런 효과가 있는거 같진 않은데 저에게 아주 잘 맞아서 그런건지 .
이래저래 정착할 예정입니다."
6,"제 피부는 건성이에요.

아주 만족하는 제품이에요.

물제형 이에요.
약간의 분홍빛을 띠어요.
향 걱정은 하지 않아도 돼요.

처음에는 앰플까지 바른 후 발랐는데요.
적응 후에는 스킨 바로 다음 단계에 에센스랑 같이 발라요.
라즈너뷰티 다른 물제형 제품들과 마찬가지로 알코올이 들어가지 않아서 좋아요.

이 제품과 다른 기능성 제품을 병행하는데요.
. 예전에는 관리를 거의 안해서 대비효과도 있겠지만 그래도 트러블 없이 피부에 순하게 사용할 수 있는 건강한 제품이란 점에서 아주 만족해요.
현재 라즈너뷰티 안 써본 다른 제품과 함께 이 제품 2통 더 구입했어요.(기대중)

부담없이 바를 수 있는 기능성 제품!
산뜻한 스킨느낌의 제품!
추천해요."
7,제 피부결이 좋아진 데에는 이게 일등공신이 맞습니다. 갑자기 좋아진 원인을 찾으려고 딴건 다 이전것을 쓰고 이것만 바꿔봤거든요. 기존에 쓰던 아이소이 세럼에 섞어쓰면 제일 좋지만 세럼다써서 걍 로션에 섞어바르는데 이거덕에 피지조절이 되나봅니다. 매끈해진다는걸 체감했어요. 저 원래 요철도 좀 나고 항상 국소적으로 피지가 차서 턱이나 에플존이 조금 울퉁불퉁한 피부였는데 약간 거짓말 보태서 도자기..^^.. 비슷해졌어요. 그렇다고 건조하지도 않ㄴㅔ요. 가격도 저렴하고ㅠㅠ제피부에 앞으로 비타민b는 이걸로만 충족시키면서 바를거에요 최고최고!! 그리고 친언니한테 소개시켰어요 감사합니다 번창하세요
8,"한달동안 다써봤는데 확실히 이거 쓰고나서 자고 일어나면 피부가 밝아져 있네요. 저한텐 그렇게 자극적이지도 않았고 기능은 확실해서 좋았어요. 굿굿
다만 물제형이라서 바르기가 좀 힘든게, 얼굴에 한방울 떨어트려도 곧바로 주르륵 아래로 흘러버러 바르기가 애매합니다. 점성이 약간만 있어도 좋을거 같아요.
그거 빼고는 가성비면에서도 다 만족합니다 굿굿"
9,"속건조가 잡히고 피부가 환해보인다는 말을 자주 듣습니다 굿 리즈너뷰티 아하바하와 함께 사용했기 때문에 더 시너지가 났을거라고 생각합니다
주로 다른 크림과 섞어바르는데 이거 바르면 피부가 손바닥에 쫀쫀하게 붙어요 이유는 모르지만 히알루론산이랑 비슷한 느낌? 흡수성이 좋아서 겉도는거 없어요. 가격도 저렴해서 손이나 바디제품에서 섞어 발라요. 퍽퍽쓰고 재구매할 의사 있어요"
