,0
0,21.03.04.
1,21.03.08.
2,21.03.04.
3,21.02.26.
4,21.02.17.
5,21.03.09.
6,21.01.08.
7,21.02.17.
8,21.02.14.
9,21.02.22.
10,21.02.25.
11,21.02.16.
12,21.02.17.
13,21.02.12.
14,21.03.07.
15,21.01.09.
16,21.02.27.
17,21.03.08.
18,21.03.07.
19,21.02.24.
20,21.03.04.
21,21.03.08.
22,21.03.04.
23,21.02.26.
24,21.02.17.
25,21.03.09.
26,21.01.08.
27,21.02.17.
28,21.02.14.
29,21.02.22.
30,21.02.25.
31,21.02.16.
32,21.02.17.
33,21.02.12.
34,21.03.07.
35,21.01.09.
36,21.02.27.
37,21.03.08.
38,21.03.07.
39,21.02.24.
40,21.01.03.
41,21.03.02.
42,21.01.16.
43,21.02.23.
44,21.03.01.
45,20.12.21.
46,21.02.16.
47,21.01.21.
48,21.01.27.
49,21.01.18.
50,21.02.12.
51,21.01.11.
52,21.01.22.
53,21.01.17.
54,21.02.14.
55,21.02.07.
56,21.02.20.
57,21.02.26.
58,20.12.15.
59,21.02.02.
60,21.02.05.
61,21.01.30.
62,21.02.20.
63,21.02.18.
64,21.02.15.
65,20.12.30.
66,21.02.11.
67,21.01.06.
68,21.02.19.
69,21.01.19.
70,21.01.23.
71,21.01.18.
72,21.01.21.
73,21.01.10.
74,21.02.04.
75,21.01.21.
76,21.02.05.
77,21.01.17.
78,21.01.12.
79,21.02.03.
80,21.02.03.
81,21.01.23.
82,20.12.15.
83,21.01.08.
84,21.01.27.
85,21.01.10.
86,21.01.01.
87,21.01.05.
88,21.01.08.
89,20.12.23.
90,20.12.02.
91,21.01.21.
92,21.01.20.
93,20.12.11.
94,21.01.23.
95,21.01.02.
96,20.12.17.
97,21.01.17.
98,20.11.25.
99,21.01.17.
100,20.12.14.
101,21.01.10.
102,20.12.31.
103,20.12.28.
104,21.01.08.
105,21.01.14.
106,21.01.04.
107,20.12.20.
108,20.12.28.
109,20.11.26.
110,20.12.15.
111,20.12.04.
112,20.12.14.
113,20.12.14.
114,21.01.07.
115,20.12.11.
116,20.12.16.
117,21.01.02.
118,20.12.10.
119,20.12.14.
120,21.01.01.
121,20.12.28.
122,20.12.09.
123,20.12.11.
124,20.12.28.
125,20.12.09.
126,20.12.09.
127,20.12.28.
128,20.12.12.
129,20.12.04.
130,20.12.22.
131,20.12.06.
132,20.12.28.
133,20.12.21.
134,20.12.06.
135,20.12.01.
136,20.11.30.
137,20.11.20.
138,20.12.22.
139,20.11.24.
140,20.12.12.
141,20.11.30.
142,20.11.22.
143,20.12.19.
144,20.11.24.
145,20.11.21.
146,20.12.11.
147,21.01.18.
148,20.10.09.
149,20.11.09.
150,20.10.29.
151,20.11.22.
152,20.12.11.
153,20.12.06.
154,20.11.20.
155,20.12.09.
156,20.11.24.
157,20.11.22.
158,20.11.29.
159,20.11.17.
160,20.11.15.
161,20.11.15.
162,20.12.05.
163,20.11.23.
164,20.12.05.
165,20.11.14.
166,20.11.06.
167,20.09.21.
168,20.11.07.
169,20.11.26.
170,20.11.23.
171,20.10.19.
172,20.10.22.
173,20.10.12.
174,20.10.21.
175,20.10.17.
176,20.11.20.
177,20.11.28.
178,20.10.12.
179,20.10.31.
180,20.11.20.
181,20.11.27.
182,20.10.22.
183,20.11.25.
184,20.11.12.
185,20.10.28.
186,20.11.22.
187,20.10.20.
188,20.11.22.
189,20.11.02.
190,20.10.07.
191,20.11.07.
192,20.10.02.
193,20.10.18.
194,20.11.12.
195,20.11.09.
196,20.10.14.
197,20.10.16.
198,20.10.16.
199,20.10.14.
200,20.11.12.
201,20.10.21.
202,20.09.18.
203,20.11.04.
204,20.11.12.
205,20.11.07.
206,20.10.21.
207,20.09.25.
208,20.11.11.
209,20.10.31.
210,20.11.05.
211,20.10.27.
212,20.10.07.
