,0
0,재구매했어요!! 생각보다 오래 사용하기도 하고 이리저리 섞어 쓰거나 바디에도 사용하기 편리해요~ 촉촉하면서 흡수도 빠르고 트러블도 나지 않아서 잘 사용중이에요ㅎㅎ 유통기한도 넉넉하고 포장도 깔끔해요
1,자극감 없어서 일단 만족해요. 한달동안 한통 다쓰고 두통째 써요. 전 넉넉히 발라도 괜찮더라구요. 효과는..아직.. 잘모르겠지만 좋은거 같아요!!!! 재구매 또 할거예요^^
2,트러블케어가 되는지는 모르겠지만 촉촉하고 양많아서 좋습니다!
3,배송빠르고 촉촉해요 물제형이라 끈적이지않고 좋아요
4,엄청 촉촉해진다는 느낌은 없는데 사용하고 여드름이 안나요. 근데 흉터에는 효과 없는듯 합니다. 가격은 착해서 대량구매함
5,꾸준히 쓰던거라 좋아요~
6,"제가 무딘편이라 향은 잘 모르겠고 색깔이 너무 이뻐요 
흡수 진짜 잘되고 첫사용이라 수분크림이랑 섞어발라서 단점은 잘 모르겠는데 
윤기가 나더라구요 ㅋㅋ 이제껏 제 피부에선 볼수없었던... ㅜㅜ 감동받았어요

========================= 리뷰수정합니다
어제 저녁에 받아서 필링 리퀴드 쓰고 쓰던거 쓰고
자극이 강하다고 해서 이거랑 수분크림 쓰던거 섞어쓰고 
아침에 토너쓰고 이거쓰고 쓰던거쓰고 했어요 
와.. 근데 이거 꼭사세요 꼭써보세요 대박이네요 진짜!! 
여러분들 눈을위해 피부사진은 못보여드리지만 
3시면 없어졌던 화장이 떡지지도 않고 살아있고 모공이 왜작아져요??
수분은 왜 또 개선된거죠?? 
이젠 광이나요?? 이거뭐죠? 왜케좋아여??
왜 저만 이제까지 몰라서  못썼던거죠?? 
피부관리실에서 열배넘게주고 산 세럼 앰플보다 더 좋아요
리즈너뷰티 덕후될래요 세트로 전부 주문했는데
오늘 집에가서 쓰던거 정리하고 리즈너뷰티꺼로 전체 갈아엎을래요
이건 진짜 대박입니다 꼭쓰세요!!!!!"
7,여드름은 확실히 안나는데 흉터에는 효과 없어요. 근데 가격이 착해서 대량구매했습니다.
8,"각질제거제를 구매하면서 좋다길래 같이 샀는데 각질제거제보다 훨씬 저에겐 잘 맞았습니다.
이 상품의 주요 성분이 제 피부에 잘 맞기도 했고 무엇보다 피부가 건강해지는 느낌?을 받았던 것 같아요."
9,"미백엔 효과가 있지만
단독사용으로는 피부가 좀 당기는 감이 있어요"
10,첨 써보는데 너무 맘에 들어요
11,리뉴얼 공지는 안 올라오고 기다리기 애매해서 그냥 6개 샀어요 ㅠ 물 같은 제형이 싫지만 고함량에 가격이 괜찮아서 리즈너만 씁니다. 좋은 제품 싸게 판매해주셔서 감사할 따름이기는 합니다ㅎㅎ 리뉴얼 되는 제품은 MSM 앰플 정도의 점도를 가진 제품이길 바라요!
12,피부환해지고 결이 좋아지는것을 느껴 대량구매했어요!
13,"한통 다 써서 재구매했습니다. 초기때는 끈적거려서 별로였지만 제형이 바뀌고 난뒤 사용할때 살짝 불편한점은 있지만 산뜻해져서 만족했는데 다시 점도있는 제형으로 변경될 예정이라하니 걱정이 되네요.

유분기가 많은 피부들도 고려하여 너무 끈적거리나 무거워지지는 않기를 바래봅니다.."
14,흔적이 생각보다 빨리 옅어져요 넘 좋아서 3개 쟁여둠
