,review,point,date
0,"에센스 유목민에서 믿고 쓰는 코스알엑스에서 나온 에센스 사용시작 정착하게됬어요
행사하면 쟁여두는 아이템 추천합니다
가격면에서도 크게 부담없고 용량 30은 조금 적음 개개인 마다 다르겠지만 두달안되서 한통 다씀 유통기한 23년까지 넉넉한거 보니 갇 생산품 주심 용기 가볍고 스포이드 성능 굿 바닥이 살짝 볼록한지 끝가지 다써져요 성분은 민감성이 쓰기에도 보시다시피 순하고 발림성이 특히 좋아요 수분감 충만하고 유분끼는 조금 있는편 지성은 단독으로 사용하면 좋을것 같고 저 같은 건성운 후에 크림도 사용 사용하면 충분 특히 패드와 궁합 굿 밀리지는 않아소 아침에 화장하기 전에도 사용 좋아요 냄새는 크게 느껴지지 않는 향 딱 제 취향 호불호타지 않아요!",평점5,20.04.22.
1,"1+1으로 작년 겨울에 왕창 구매했던 프로폴리스 덕후녀입니당ㅎㅎ 이번 봄 이벤트로 또 1 +1 하길래 얼른 또 구매해버렸어요ㅠㅠ 나의 사랑 프로폴리스 이런 이벤트 자주 자주 해주셨으면 좋겠어요^^
그럼 이번에도 리뷰 남겨 볼게요!!
저는 수분부족지성 피부입니다 말 그대로 수분이 너무너무 부족해서 지성피부임에도 불구하고 세수하고 나오면 건조한 날씨에는 피부 당겨짐이 느껴질 정도입니다 제가 프로폴리스를 만나게 된것도 속수분을 어떻게하면 채울 수 있을까 해서 알게 된거거든요ㅜㅜ 프로폴리스 제품 덕에 요즘 같은 건조한 날씨에도 끄덕없이 피부가 촉촉하게 유지하고 있답니다 출근 전 항상 풀메이크업을 하는데 화장 전에 프로폴리스로 수분 장전하구 화장하면 화장도 촉촉하게 잘 먹더라구요
그리구 조금 부끄럽지만 저만의 작은 팁인데요!! 저는 가드름과 등드름도 조금씩 있는데 샤워 후에 가슴이랑 등쪽에조 한번 쭈욱 손에 펌핑해서 바르면 촉촉하구 좋더라구요 솔직히 가슴과 등쪽에는 바디크림으로 바르기엔 저같은 지성인들은 조금 무겁다고 느끼고 또 트러블 날까바 선뜻 바르기 무섭자나요ㅜㅜ 그래서 저는 이 프르폴리스 애용하고 또 애용하고 있습니다ㅎㅎ
그래서 그런지 30ml용량을 금방금방 쓰더라구요ㅠ
원뿔원 기회 놓치지 않고 또 쟁여 놓았습니다
아직도 면 정말 한 번만 써보셨으면 좋겠어요 물론 사람마다 피부타입은 다르지만 ^^
제 주변에서도 한 번만 사용하는 분은 없을거라구들 하더라구요
얼른 코스알엑스 측에서 바람이 있습니당~",평점5,20.03.29.
2,"(저는 특히 가을겨울 유수분밸런스가 깨지면 뾰루지도 나고 작은좁쌀에 속건조 피부화장 들뜸 심한 민감피부예요 앰플이 묽거어서도 안되고 두터운제형은 얼굴에 유분기가 심해져 뾰루지 생성에다 보습,수분이 채워지질 않으면 안되는 피부라 비싸고 좋다는 앰플들 써보아도 100% 만족을 못했다가 우연히 즐겨보던 유투버 시드니님 영상에 자주보이던 앰플을 반신반의로 구매하게 됬습니다!)

코스알엑스 프로폴리스 앰플
- 묽지도 꾸덕하지도 않는데 바르자 마자 피부가 편안하고 부담스럽지않게(?) 유수분 채워주는 느낌 바를수록 쫀쫀한 느낌 밤에 바르고 꾸준히 쓰면 써보려구요

토너
- 민감건조라 촉촉하고 토너 역시 피부가 편안한 느낌을 좋아해요 이제품이 딱 그런 제품이였어요 제형은 물과 콧물(?)
사용은 코스알엑스 핌플패드 집에있어서 패드로 닦아낸후 토너는 화장솜을 사용해, 한번 닦아내고 흡수, 저는 손에덜어 3번 흡수 시킵니다

크림
-크림 또한 완벽 뭔가 할까요 가을겨울철 딱이고 가볍지않으면서 매끄럽게 흡수되고 마무리로 잘잡아주는 밤에 앰플 크림 듬뿍 바르고 자도 트러블 안나고 오히려 잠잠해지면서 편안하니 이래서 프로폴리스 제품 쓰는구나..! 했어요

저는 세가지 토너 앰플 크림 전부 마음에 들어서 꼬옥 재구매 할거구요 유투버 시드니님을 통해 좋은 브랜드제품 알게되어서 너무 좋고 앞으로도 좋은 제품 많이 선보여주세요 ♥",평점5,19.12.11.
3,"후기보니 건성에 추천한다고 해서 구입해봤습니다.

겨울이라 쫀쫀한 스킨이나 오일을 많이쓰는데
이거 물건이네요!!

스포이드로 짤때는 콧물처럼 쫀득하게 흘러내리고
바를때는 오일리한 느낌이 들고,
바르고나선 끈적함이 전혀 안 느껴지고
뽀송하게 흡수됩니다. .",평점5,21.01.09.
4,"우선 저는 한달 사용 해보고 꼭 후기를 남겨보고 싶어서 그 전 일반 리뷰를 놓쳐버렸네요^^;;
제 피부타입은 여름엔 지성이구 겨울에는 수부지(수분부족지성)입니다. 가끔 트러블도 나고 모공도 있는 편이에요.
오래전부터 타사 프로폴리스 앰플을 사용하다가 다른 곳도 없을까 하고 찾아보다가 코스알엑스 프로폴리스에 대해 알게 되었습니다~ 그래서 이번 프로폴리스 리뉴얼되기 전 제품도 꾸준히 사용하구 있었어요ㅎㅎ 그런데 이번에 리뉴얼도되고 용량도 증량!! 원뿔원 기회까지!! 있어서 구매하게되었어요!!
제가 리뉴얼 제품을 한달 정도 사용해
ㅎㅎ 계절에 따라 피부타입이 다르지만 . 또 리뉴얼 제품이 뭔가 더 그 전 제품보다 더 양도 많아져서 더 오랜 기간 사용할 수 있더라구요. 제가 지금 전 라인을 프로폴리스 제품으로 사용하구 있는데 다 바르고 나면 얼굴에 정말 꿀 바른것 마냥 너무너무 촉촉합니다ㅎㅎ그래서 계속 만져보게되더라구요ㅋㅋㅋ
아쉬운 점이있다면 저는 30ml도 한달이면 다쓰게되서 용량을 50ml정도로 대용량도 만들어주셨으면 하는 작은 바람이 있습니다^^ 그래도 혹시나 피부타입이 워낙다르기 때문에 사용하기전에 이마나 볼 가장자리에 한번 발라보시고 이상없을 시 사용해보셨으면해요.
저는 앞으로도 계속 구매해서 사용할 예정입니다ㅎ 프로폴리스 앰플 넘나 사랑이에요♡♡♡♡♡♡♡♡♡",평점5,19.11.29.
5,리뷰 좋아서 망설임없이 구매 했어요. 받자마자 발랐는데 스포이드에서 짤땐 꿀같은 느낌이라 끈적하겠다 생각했는데 펴바르니 아주 묽은 수분크림 바르는 느낌이랄까 아니 그냥 물같은 느낌이었어요. 바로 다 스며들어서 끈적임 전혀없고 아주 산뜻합니다. 끈적이는거 딱 싫어하는 제게 딱맞는 엠플이네요. 아주아주 잘 바를꺼 같아요. 강추입니다. 사은품도 예쁘게 포장해서 주시고 너무 감사하네요. 잘쓰고 한달후기 남길께요.,평점5,21.01.08.
6,코스알엑스 유명해서 많이 들어는 봤지만 사용해본 제품은 없었는데요 1+1이벤트로 한번 사보고 지금 써본지 약 일주일 경과했습니다 피부상태는 건성이었는데 마스크쓰고난 후 입.턱주변으로 트러블 달고산지 1년째입니다 그래서 트러블전용으로 화장품사면 너무 건조하고 생각보다 트러블케어도 안돼서 일년간 피부과에 들인돈도 만만찮은데요 혹시나 싶은맘에 세럼써보고 일단 새로 트러블이 올라오다가도 다시 가라앉더라구요 그리고 건조한것도 많이 좋아졌어요 2개쓰면 다시재구매하려구요,평점5,21.01.17.
7,"역시는 역시네요😊 코스알엑스 프로폴리스 앰플 정말 맘에 쏙 들어요! 오랜 해외 생활로 피부가 늘 푸석푸석하고 속 당김이 심한 와중에 시드니님 강력 추천으로 한국 오자마자 믿고 구매했어요. 비싼 *솝, *엘, *k2 등 여러 에센스 사용해봤지만 정착 못했었어요. 앞으로 그럴 필요 없을 것 같네요. 가격, 퀄리티, 효과 모두 만족스러운 이 제품 계속 사용하려고 합니다!

사용한 지 겨우 이삼일밖에 안됐는데 속건성 꽉 잡아주고 얼굴에 윤광이 차올라요. 하루 종일 촉촉해요. 주변에서 며칠 새 피부가 맑아졌다고 많이들 얘기해주네요. . 제형은 쫀쫀하고 피부에 착 감기는 느낌이라고 할까요? 하지만 절대 끈적거리지 않아요. 화장해도 밀림 현상 전혀 없고, 오히려 자연스럽게 물광 피부가 연출되더라고요.

저는 함께 구매한 원스텝 패드로 피부 결 정돈 겸 이중 세안하고, 프로폴리스 토너로 수분 채워 준 다음, 마사지하듯이 요 앰플 흡수시켜주고 있어요. 겨울철 피부 고민 안 해도 될 듯해요:) 특히 요즘 같은 날씨에 딱이에요!

가격 착한 제품 감사해요 코스알엑스! 앞으로 자주 이용할게요 💓",평점5,19.10.21.
8,"저는 기초제품 하나라도 잘 못 사용하게 되면 피부가 뒤집어지고 트러블이 나는 피부를 가졌습니다 ㅠㅠ 그래서 저는 저에게 안맞는 성분이 들어있는지 없는지 정말 꼼꼼히 살펴보며 제품 하나를 구매하는데에도 심혈을 기울입니다
하지만 코스알엑스 프로폴리스 앰플을 만나후로는 그런 걱정과 고민없이 몇통을 비웠는지 셀수 없을정도로 몇년째 트러블 없이 정말 잘 사용하고 있습니다!!
피부가 예민하신분들 한번 구매해서 사용해보세요!! 정말 좋아요!!😍",평점5,21.02.14.
9,"- 피부타입: 건복합성/민감성/지루성피부염

1.보습
보습은 뭐 당연히 좋습니다.
프로폴리스 토너랑 에센스 둘다 쓰는데
에센스는 그렇다쳐도 무슨 토너가 정제수보다 프로폴리스추출물이 더 많은건지 .....❤️

토너는 콧물제형인데 이게 끈적거리는게아니라
미끄덩
참고로 저는 5겹솜에 토너로 팩해주는데 진짜 짱

에센스는 끈적거림이 있으나 광이나도 오일처럼 트러블날것같은 광은 아니에요!
타브랜드꺼도 다 사용해보았는데 차앤박보다 살짝 묽고 스킨푸드보다 되직한 느낌
환절기되면 이친구부터 사고봅니다
요즘 제 피부가 엄청 보들보들한데 보습이 빵빵하니까
그런가봐요
세수할때마다 놀랍니다 ㅋㅋㅋ왜케 보드랍지하며

2.기능성
프로폴리스가 재생 향균 면역 항산화 이런 기능이 많은 아이인데 저처럼 피부장벽이 심하게 무너진 사람한테 좋은것같아요.
프로폴리스라인쓰고 광명찾았어요

특히 .....
막 덧발라도 피부에 큰 무리가 없습니다.
전 복합성피부고 좁쌀이나 간간히 화농성나는데
프로폴리스는 끈적여도 전혀 트러블유발 없어요
오히려 트러블 가라앉게 해주는 아이


3.기타
프로폴리스라인은 저랑 비슷한 피부타입의 친구에게도
소개해서
올해 겨울은 프로폴리스 토너까지 함께해서 너무 행복해요.
아 아무래도 수부지나 수분이 부족한경우에는 프로폴리스로 막 덧발라도 요.
수분앰플이나 수분으로 된 스킨을 챱챱 발라준뒤에 프로폴리스 때려박으면

유명한화장품 써도
다 자극적인 핵 민감성피부를 안고사는 저에게 진짜 요만한 효도템도 없네요
할인할때 또 쟁이러와야겠어요",평점5,19.11.17.
