,review,point,date,ingre
0,트루케어 에이씨 진정 앰플 일단 트루케어 비타민 씨 20 앰플 쓰면서 따끔하고 약간 얼굴에 자극이 되어서 비타민 바르고 진정용으로 바르긴 하는데요... 너무 물 재질이라 그런지 ㅜㅜ 몇번쓰면 순삭입니다 아주아주 가볍습니다,4,2021-03-01,히알루론산
1,여드름은 진정시키고 피부를 윤기있게 해준다,5,2021-02-28,히알루론산
2,"트러블 생겼을때 투루케어 진정앰플 바르고 자면 다음날 좀 진정이 돼는것같아요. 저한테 잘맞는거같아 요즘은 아침, 저녁 계속 사용중이에요~ 자주 써서 금방 줄어드네요~ 대용량으로 나왔음 좋겠습니다!!",5,2021-02-27,히알루론산
3,갑자기 눈가에 주름이 잘 생기고 건조함을 느끼기 시작해서 샘플 받은거 써보고 괜찮아서 본품 구매했어요. 자극없이 잘 스며들고 아침까지 탱탱하고 매끈한 느낌이 지속됩니다.,4,2021-02-27,히알루론산
4,좋아요 트러블도 들어가는것같고 액체도 수분이 팡팡해서 흡수도잘되구 촉촉하고 맨들맨들해지는걱 같아요! 다만 양이좀 적고 가격이좀나간다는것만빼면 아주 좋습니당 :),5,2021-02-26,히알루론산
5,트루케어라인 사용하고 트러블도 줄어들고 피부가 좋아져서 계속사용중이예요,5,2021-02-25,히알루론산
6,물같은 제형이 효과가 있겠나 했는데 정말 촉촉하네요. 다 발라도 뭔가 허전했었는데 진한 세럼 바르기 전에 바르면 좋아요.,5,2021-02-25,히알루론산
7,괜찮았어요. 좀 더 써봐야겠지만 아직 트러블은 없습니다,5,2021-02-25,히알루론산
8,트루케어 비타민 앰플 쓰고 너무 좋아서 1진정도 사봤오요,5,2021-02-25,히알루론산
9,피부가 여드름때문에 예민해졌을때 듬뿍 바르면 진정되는데 도움이 되는듯. 여드름 자체를 진정시켜주는 효과가 있는건 아니지만 피부가 전체적으로 붉게 뒤집어졌을때 듬뿍 바르고 자면 다음날 좀 촉촉하고 진정된 느낌이 든다. 용량이 많지않아 금방 쓴다.,5,2021-02-25,히알루론산
10,"정말로 트루 ,, 퓨어 그자체 ㅎㅎ 저는 제피부가 지성인데 또 민감하고 향 이상한거 쓰면 간지럽고 아주 난리도 아니어서 앰플중에 뭔가 마구 첨가된 것이 아닌 걸 찾고 있던 중에 트루케어 라인을 알게되었어요..! 토너 후 사용했고 정말 깔-끔해서 너무 좋습니다 ㅠㅠ 계절이나 환경에따라 지성도 되었다가 수부지도 되었다가 하는 분들은 사계절 사용 가능 앰플인 것 같아요 .. 패키징도 넘 큐티 ㅠㅠㅠ별을 하나 뺀이유는 아무래도 진정이어서 드라마틱한 효과은 없어서 뺐디만, 정말 기본에 충실한 제품은 확실합니다~",4,2021-02-23,히알루론산
11,"피부트러블 때문에 매장에서 추천받아 써보는데, 무척 맘에 듭니다. 시카밤은 꾸준히 하는데도 약간 부족했던 부분이 보완되나봐요. 마스크와 면도때문에 이 제품도 꾸준템이 될거 같아요.",5,2021-02-22,히알루론산
