,review,point,date,ingre
0,광고가 많이 나오길래 혹해서 주문했습니다. 추가로 샘플도 많이 들어있어서 좋구요. 원래 에이솝 세럼같이 쫀쫀하면서 흡수되는 세럼을 좋아하는데요. 이 세럼은 나이트 용인 것 같아서 저녁에 스킨로션 다음으로 바르고 있습니다. 우유빛깔의 성분입니다.,4,2021-03-03,나이아신아마이드
1,그린티 세럼 사용해보니 너무 좋더라구요. 이번에 블랙티 앰플 새로 업그레이드 된 제품 나왔다고해서 체험 이벤트 신청해 봤습니다. 역시나 소문대로 세안후 바로 바르니 촉촉하고 건조함 당김도 없고 좋아요. 욕실에 두고 사용중입니다.,5,2021-03-03,나이아신아마이드
2,부드럽게 발리고 마무리가 산뜻해서 좋았어요! 가벼운데 촉촉한 느낌이에요. 그리고 향이 상쾌하고 좋아요,5,2021-03-03,나이아신아마이드
3,새로나온 제품이고 세일도 하고 있길래 구매해보았습니다~ 마침 에센스 사야되는 타이밍이어서 요 아이로 선택했어요~! 평도 좋더라구요~ 손등에 한방울 발라봤는데 흡수력 무엇..? 끈적임1도 없고 금방 흡수되어버렸어요ㅋㅋ! 좋습니당,5,2021-03-03,나이아신아마이드
4,쫀득하니 흡수도 빠르고 좋아요~~~~,5,2021-03-02,나이아신아마이드
5,촉촉함이 남다르네요 크림도 너무좋아요,5,2021-03-02,나이아신아마이드
6,저는 쫀쫀한 세럼을 좋아하는 편인데 이니스프리 그린티 씨드 세럼은 그 기대를 저버리지 않네요. 기초화장후 세럼을 바르면 피부가 한껏 촉촉해져서 탄력이 생기는 것 같습니다. 앞으로도 이 제품을 쓰고 싶고 가격또한 괜찮아서 참 좋습니다.,5,2021-03-02,나이아신아마이드
7,할인할 때 하나 더 샀어요. 작은 사이즈 또 주니 넘넘 좋네요.ㅎㅎ 일단 바르고 자면 트러블 같은 것도 안 생기도 너무 촉촉해져요. 주름 개선에도 효과가 있는 것 같아요. 2~3통 쓴 것 같은데 미간에 있던 주름이 옅어지는 느낌이네요.,5,2021-03-02,나이아신아마이드
8,끈적임없이 피부에 밀착되고 오랫동안 촉촉하게 유지되네요. 건강한 피부가 되는듯 해요,5,2021-03-02,나이아신아마이드
9,좋아요 ㅎㅎ 괜찮아요 ㅎㅎ 좋아요 괜찮아요 좋아용 좋네요 괜찮아요 ㅎㅎ 좋아요 괜찮아요 좋아용 좋네요 괜찮아요 ㅎㅎ 좋아요 괜찮아요 좋아용 좋네요 괜찮아요 ㅎㅎ 좋아요 괜찮아요 좋아용 좋네요 괜찮아요 ㅎㅎ 좋아요 괜찮아요 좋아용 좋네요 괜찮아요 ㅎㅎ 좋아요 괜찮아요 좋아용,5,2021-03-02,나이아신아마이드
10,이니스프리 블랙티 세럼 제품이 유명하길래 일단 체험상품으로 구매했어요 피부가 예민하고 건성이라서 선택을 잘못하면 트러블이 일어날 수 있어서 일단 샘플 제품으로 체험해 봤는데 너무 촉촉하고 보들보들 하니 사용감이 좋아서 정품으로 구매했어요,4,2021-03-02,나이아신아마이드
11,저녁에 바를 당시에는 그냥 촉촉하고 발림성 좋네 하고 말았는데 자다가 무심결에 얼굴을 쓸어보니 놀랄정도로 촉촉 쫀쫀한 느낌이 나요. 홍차성분이 그렇게 좋은건지? 암튼 원래 리뷰 잘 안쓰는데 적립금 받아서 하나 더 살려고 씁니당ㅎ,5,2021-03-02,나이아신아마이드
12,배송 빠르게 잘 받아서 사용 중입니다 근방다쓸거 같아요~~용량이 너무 작네요~~ 신한카드행사해서 저렴하게 구입했는데 행사 또해주세요 금방 다 쓰고 또 구입해야할것 같네요 몇일 써본결과는 피부가 보들보들해지는 느낌이 들어요,5,2021-03-02,나이아신아마이드
13,배송은 빨라서 너무 좋은데 택배열어보고 나서 너무 실망했어요 본품인데도 용량이 너무 작아요 30미리;;;샘플인 줄 알았네요 카드행사로 좀 싸게사진했지만 가격대비 용량이 작아요ㅜㅜ 바르니 끈적이지 않고 잘 흡수되니 좋네요,4,2021-03-02,나이아신아마이드
14,"한달반만에 또 구입했어요. 그동안 앰플 써봐도 금액이 높은 것에 비해 그닥 효과좋은지 모르겠어서 안썼는데, 세일때 한번 사서 써봤는데 역대급이예요. 발림성 너무 좋고, 바르고 나면 피부 촉촉함도 역대급이예요. 앰플치고는 가격도 저렴해서 아침 저녁으로 계속 바르니 한달 딱 쓰네요! 하지만 앞으로도 계속 구매 의사 백프로예요!",5,2021-03-02,나이아신아마이드
15,"샘플 참여해서 써보고 너무 좋아서 본품쓰고 이제는 대용량까지,,,,, 회복력이 장난 아닙니다 ㅜㅜㅜ 환절기 잘 사용하고 잇어요 크림하구 곁들여 사용하면 금상첨화..!! ㅎㅎㅎ 쟁임템 될거 같아요 동생한테도 영업햇네요ㅠㅠ 대용량 좋아용",5,2021-03-02,나이아신아마이드
16,"이니스프리 제품 잘 뽑네요. 기능이 잘 들어있으면서도 순한듯하게 잘 맞아요. 바르고 자고나면 쫀쫀함이 장난아니네요. 얼굴에 안 맞으면 화끈거리는데, 그런거 없이 잘 스며들어요. 안 맞을까봐 걱정했는데 그럴 필요가 없네요. 받고 매일 쓰니 금방 바닥보여요. 크기도 작아서 들고 다니기 좋은데,본품 사서 채워서 들고 다녀야겠네요.",5,2021-03-02,나이아신아마이드
17,체험 샘플기획도있어좋아요 엄마랑 나눠써보고 좋으면 재구매하겠습니다 기획세트 기대해요,5,2021-03-02,나이아신아마이드
18,앰플이란 난생 처음 써보는 시대에 뒤떨어진 여자입니당 ㅋㅋㅋㅋ 얼굴은 하도 여러개 많이 쳐발쳐발해봐서 잘 못느끼겠지만 이 앰플이 얼마나 좋은건지 알게된 결정적인 계기는 매일 밤 손에 (손피부도 꼭 챙기세요!! ^^) 바르고 잤더니 정말 일주일도 안돼서 칙칙했던 피부색도 좀 더 하얗고 그리고 무엇보다 손이 무슨 아기 엉덩이 같아요 ㅋㅋㅋㅋㅋㅋㅋㅋ 완전 보송보송 부드러워졌어요,5,2021-03-02,나이아신아마이드
19,자기전에 바르고 자면 아침까지 부드러운 느낌,5,2021-03-02,나이아신아마이드
20,블랙티 앰플만 3개째 피부가 예민한데 트러블 올라오지도 않고 보습과 진정이 잘됩니다,5,2021-03-02,나이아신아마이드
21,드라마틱한 변화를 기대했다가 응!?!? 뭐 그닥...이라고 생각했는데... 그게 아니었어요!!! 이거 바르고 잔 다음날 안 바르고 잔 다음날 달라요... 피부가..;;;; 한두번 귀찮아서 안 발랐다가 다음날 피부 컨디션의 차이를 느끼니까 이제 꼭꼭 바릅니다~,5,2021-03-02,나이아신아마이드
22,한병을 다 써보니 너무 좋아요. 너무 묽지 않은 제형이라 촉촉하면서도 보습이 최고입니다. 겨울동안 앰플만으로도 피부 당김없이 매끈하고 촉촉하게 보습을 유지할수 있었어요. 완전 만족합니다. 위생적으로 사용할수있어 편해요.,5,2021-03-02,나이아신아마이드
23,배송비만 내고 앰플 본품 1/3 용량을 체험해 볼 수 있는 기회여서 너무 좋았다. 매일 저녁에 꾸준히 사용해보니 앰플이 겉돌지않고 싹 스며들어서 사용감이 좋았다. 넉넉한 양으로 오랜기간 테스트해보니 제품이 생각보다 너무 괜찮아서 본품을 사고싶은 생각까지 든다.,5,2021-03-02,나이아신아마이드
24,한병 다 써서 재구매했어요ㅎㅎ 엄청 드라마틱한 효과는 없으나 트러블 없구 덜 건조해서 행사가에 잘 샀습니다~ 양이 금방 줄어드는게 단점이네요ㅜ,4,2021-03-02,나이아신아마이드
25,"향, 제형 모두 다 좋구 무엇보다도 피부에 잘 스며들어서 산뜻합니다! 수부지 타입인데 잘 맞는것 같아요!",5,2021-03-02,나이아신아마이드
26,촉촉하고 건조하지 않아서 좋습니다~^^,5,2021-03-02,나이아신아마이드
27,건조한 얼굴에 스포이드로 쭉 앰플 짜서 흐르게하니 촉촉함이 엄청 느껴지더라고요. 요즘 자기전에 꼭 앰플 바르고 자는데 아침에 일어나면 덜 건조한 것 같아 좋더라고요. 쭉 사용해보려고요.,5,2021-03-02,나이아신아마이드
28,항상 쓰는 제품입니다 성인여드름성 트러블피부에 산뜻한 사용감이 좋아요,5,2021-03-02,나이아신아마이드
29,진짜 한번 바르고도 피부가 부들부들 달라지길래 재구매했습니다.,5,2021-03-02,나이아신아마이드
30,촉촉합니다 세트구성도 완전 마음에 들어오,5,2021-03-02,나이아신아마이드
31,늘 사용하는 제품인데 할인행사까지햐서 좋아요~,5,2021-03-02,나이아신아마이드
32,부드러운 발림과 피부속 촉촉함이 좋아요.,4,2021-03-01,나이아신아마이드
33,"나잇세럼, 크림으로 쓰고 있는데 보습력 최고입니다. 은은하게 블랙티 향이 나요.",5,2021-03-01,나이아신아마이드
34,건조하던 얼굴이 촉촉해졌습니다 만족합니다 추천합니다,5,2021-03-01,나이아신아마이드
35,빠르게 흡수되고 기름진것을 걱정했는데 생각외로 많이 기름도 안 지는거 같아요,5,2021-03-02,나이아신아마이드
36,매일 저녁마다 바르고 있어요. 다음날에 가볍게 물세안만 하구요~ 얼굴 피부가 많이 환해졌어요. 진득거림 없이 촉촉해서 자기전에 발라도 이불이나 배개에 붙지않아 편하게 잘수있고 자는 동안 피부결이 개선되는거 같아 매일 아침 출근전에 컨디션이 좋았어요.,5,2021-03-02,나이아신아마이드
37,겨울이라 건조했었는데 앰플을 쓰면서 많이 좋아졌어요!ㅎㅎ 스포이드 방식이라 필요한 만큼 덜어 쓸수있어서 위생적으로도 좋은거 같아요!! 저는 1차로 한번 바르고 흡수시킨후에 한번 더 바르는데 피부결도 좋아지고 완전 추천합니당!,5,2021-03-02,나이아신아마이드
38,조그만게 스포이드로 되있어 편하고 촉촉하고 부드럽고 흡수잘되서 좋아요,5,2021-03-02,나이아신아마이드
39,촉촉하고 텍스쳐도 좋아요 ! 후기보고 샀는데 괜찮습니다!,4,2021-03-01,나이아신아마이드
40,처음에 이벤트할때 샘플로써봤눈데 넘 촉촉해서 샀어요 수분감 쩝니다,5,2021-03-01,나이아신아마이드
41,샘플 써보고 좋아서 본품 구매했는데 너무나 만족이요. 피부결도 매끄러워지고 환해졌어요!,5,2021-03-01,나이아신아마이드
42,체험이벤트로 구매했습니다. 용량은 체험용이라 작고 아주 귀여워요. 스포이드 형태라 사용하기 편하고 위생적이고 너무 주르륵 흐르지 않아서 좋더라구요. 발라보니 촉촉하고 순한게 느껴지네요. 체험분 다 사용하고 나면 재구매의사 있어요.,5,2021-03-01,나이아신아마이드
43,블랙티 앰플 사용하고 만족스러워 스페셜 세트 1차 때 구입하고 명절 때 2차 구입해서 선물하고 또다시 3차에 구입했습니다. 이니스프리 내에선 가격대가 좀 있지만 타 제품에 비하면 품질이 좋아요. 스페셜 세트로 구입해서 사용하면 좋을 것 같아요.,5,2021-03-01,나이아신아마이드
44,겨울에 마스크에 피부가 넘 안좋아져서 고민이었는데 넘 좋은 제품을 만났어요 쫀득하니 겨울에 피부지키기에 딱이에요 겨울내내 쓰면 완전 좋을 것 같아요!!!,5,2021-03-01,나이아신아마이드
45,앰플을 사용해본적이 없어서 기대를 많이 했습니다. 역시나 이니스프리ㅋ 향도 좋고 잘 스며들어서. 체험 이벤트 통해서 쓴게 양이 적어 너무 아쉬웠습니다. 다음 세일 기간를 기다렸다가 구입 노려봐야겠어요. 좋은 제품 많이 만들어주셔서 감사해요,4,2021-03-01,나이아신아마이드
46,좋아요 쫀쫀하면서 부담스럽지 않아서 넘 좋아요,5,2021-03-01,나이아신아마이드
47,"글로우 틴트 립밤 3호 복숭아 보습은 물론이거니와, 색이 더하니, 립스틱을 바르지 않아서 너무 좋네요~~ 입술에 생명을 더하니, 얼굴에 생기도 생기고, 지인분들이 어디꺼 쓰냐고 자꾸 물어보네요~ 보습력 지속력 더할꺼 없이 가성비 갑 제품입니다~ 굿굿굿",5,2021-03-01,나이아신아마이드
