,review,point,date,ingre,token_review
0,너무 좋아서 세일기간에 쟁이려고 구입했어요!,4,2018-07-11,머그워트,"['너무', '좋아서', '세', '일기', '간', '에', '쟁', '이', '려고', '구입', '했어요']"
1,타 유명브랜드보다 싼데 제조사가 같아서 결국성분은 똑같을거같네여 ㅋㅋ싸게 잘삿어여,5,2018-07-11,머그워트,"['타', '유명', '브랜드', '보다', '싼데', '제', '조사', '가', '같아서', '결국', '성분', '은', '똑같을거', '같네여', '싸게잘', '삿', '어', '여']"
2,진짜 쑥향이 나요. 촉촉합니다.,4,2018-07-16,머그워트,"['진짜', '쑥향', '이나', '요', '촉촉합니다']"
3,구매해봤어요 쑥100%이니 여자한테 좋을 것 같아용~,5,2018-07-16,머그워트,"['구매', '해봤어요', '쑥', '이니', '여자', '한테', '좋을것', '같아용']"
4,Great experience as always,5,2018-07-24,머그워트,[]
5,트러블없이 빠르게 흡수되서 여름에 써도 무난하네요,4,2018-07-24,머그워트,"['트러블', '없이', '빠르게', '흡수', '되서', '여름', '에', '써도', '무난', '하네요']"
6,임블리 에센스사려다 이거샀어요! 좋은효과가 있었음 좋겠네요??,4,2018-07-25,머그워트,"['임블리', '에센스', '사려', '다', '이', '거', '샀어요', '좋은', '효과', '가', '있었음', '좋겠네요']"
7,"우연히 알게된 에센스인데, 저한테 이렇게 잘맞을지 몰랐어요.. 세수하고나서 딴거 안쓰고 이것만 쓰고있는데 확실히 트러블이 줄긴 줄었어요 . 한병 다 쓰고 재구매할듯 싶어요~~",5,2018-07-25,머그워트,"['우연히', '알', '게', '된', '에센스', '인데', '저', '한테', '이렇게', '잘맞을지', '몰랐어요', '세수', '하고', '나서', '딴거안', '쓰고이것만', '쓰고있는데', '확실히', '트러블', '이', '줄긴', '줄었어요', '한', '병', '다', '쓰고', '재구매', '할듯', '싶어요']"
8,올리브영 할인에 쿠폰까지 사용해서 정말 저렴하게 구매했습니다. 저는 오프라인 매장에서 테스트 해보고 구매해서 향이나 사용감에 대해 어느정도 알고 있었습니다. 향 같은 경우는 손에 테스트 했을 때는 쑥향이 엄청 심하다고 느꼈는데 얼굴에 사용해보니 생각보다 향이 정말 강하지 않아서 괜찮았습니다. 점성이 있는 제형으로 흡수는 빠른편이에요. 저는 지성피부인데 스킨과 이제품만으로는 건조해서 가벼운 크림이나 좀더 묵직한 에센스와 함께 사용하고 있습니다.,5,2018-07-31,머그워트,"['올리브영', '할인', '에', '쿠폰', '까지', '사', '용해', '서', '정말', '저렴하게', '구매', '했습니다', '저', '는', '오프라인', '매장', '에서', '테스트', '해보고구', '매해', '서향', '이나', '사용', '감', '에', '대해', '어느', '정도', '알고있었습니다', '향', '같은', '경우', '는', '손', '에', '테스트', '했을', '때', '는', '쑥향', '이', '엄청', '심하다고', '느꼈는데', '얼굴', '에', '사용', '해보니', '생각', '보다', '향', '이', '정말', '강하지', '않아서', '괜찮았습니다', '점성', '이', '있는', '제', '형', '으로', '흡수', '는', '빠른', '편이', '에요', '저', '는', '지성', '피부', '인데', '스킨', '과', '이', '제품', '만으로는', '건조해서', '가벼운', '크림', '이나', '좀더', '묵직한', '에센스', '와', '함께', '사용', '하고', '있습니다']"
9,쑥향도 은은하구 넘 좋으네요,5,2018-08-10,머그워트,"['쑥향', '도', '은은하구', '넘', '좋으네요']"
10,마스크팩도 써보고싶어서샘플 준다길래 한번 같이 써볼까해서구매했는데 안주네요??그래서 여기서 구매했는데..뭐죠?;;; 증정 이벤트 끝났음 사진이라도 바꿔야하는거 아닌가요?기분나쁘네요.,1,2018-08-31,머그워트,"['마스크', '팩', '도', '써', '보고싶어서', '샘플', '준다길래', '한번', '같이', '써', '볼까', '해서', '구매', '했는데', '안주', '네', '요', '그래서', '여기', '서', '구매', '했는데', '뭐', '죠', '증정', '이벤트', '끝났음', '사진', '이라도', '바꿔', '야하는거', '아닌가요', '기분', '나쁘네요']"
11,쿠폰이랑 skt 할인까지 받고 저렴하게 구매했고배송도 빨랐어요다만 아직까지도 머그워트 마스크 30g 증정한다고 되어있는데증정품은 안 왔네요증정품 안 보낼거면 왜 이미지는 저걸로 올려놨는지 모르겠네요구매하는 사람들 착오없게 이미지 바꾸세요,2,2018-08-31,머그워트,"['쿠폰', '이랑', '할인', '까지', '받고', '저렴하게', '구매', '했고', '배송', '도', '빨랐어요', '다만', '아직', '까지도', '머그', '워트', '마스크', '증정', '한', '다', '고', '되어있는데', '증정', '품은안', '왔네요', '증정', '품안', '보낼거면', '왜', '이미지', '는', '저걸', '로', '올려놨는지', '모르겠네요', '구매', '하', '는', '사람', '들', '착오', '없게', '이미지', '바꾸세요']"
