,review,point,date,ingre,token_review
0,광고가 많이 나오길래 혹해서 주문했습니다. 추가로 샘플도 많이 들어있어서 좋구요. 원래 에이솝 세럼같이 쫀쫀하면서 흡수되는 세럼을 좋아하는데요. 이 세럼은 나이트 용인 것 같아서 저녁에 스킨로션 다음으로 바르고 있습니다. 우유빛깔의 성분입니다.,4,2021-03-03,나이아신아마이드,"['광고', '가', '많이', '나오길래', '혹', '해서', '주문', '했습니다', '추가', '로', '샘플', '도', '많이', '들어있어서', '좋구요', '원래', '에', '이솝', '세', '럼', '같이', '쫀쫀', '하면서', '흡수', '되는', '세', '럼', '을', '좋아하는데요', '이', '세', '럼', '은', '나이트', '용인', '것', '같아서', '저녁', '에', '스킨로션', '다음', '으로', '바르고', '있습니다', '우유', '빛깔', '의', '성분', '입니다']"
1,그린티 세럼 사용해보니 너무 좋더라구요. 이번에 블랙티 앰플 새로 업그레이드 된 제품 나왔다고해서 체험 이벤트 신청해 봤습니다. 역시나 소문대로 세안후 바로 바르니 촉촉하고 건조함 당김도 없고 좋아요. 욕실에 두고 사용중입니다.,5,2021-03-03,나이아신아마이드,"['그린티', '세', '럼', '용', '해보니', '너무', '좋더라구요', '이번', '에', '블랙', '티', '앰플', '새로', '업그레이드', '된', '제품', '나왔다고', '해서', '이벤트', '신청', '해', '봤습니다', '역시', '나', '소문', '대로', '세안', '후', '바로', '바르니', '촉촉하고', '건조함', '당김도', '없고', '좋아요', '욕실', '에', '두고', '용', '중', '입니다']"
2,부드럽게 발리고 마무리가 산뜻해서 좋았어요! 가벼운데 촉촉한 느낌이에요. 그리고 향이 상쾌하고 좋아요,5,2021-03-03,나이아신아마이드,"['부드럽게', '발리', '고', '마무리', '가', '산뜻해서', '좋았어요', '가벼운데', '촉촉한', '느낌', '이에요', '그리고', '향', '이', '상쾌하고', '좋아요']"
3,새로나온 제품이고 세일도 하고 있길래 구매해보았습니다~ 마침 에센스 사야되는 타이밍이어서 요 아이로 선택했어요~! 평도 좋더라구요~ 손등에 한방울 발라봤는데 흡수력 무엇..? 끈적임1도 없고 금방 흡수되어버렸어요ㅋㅋ! 좋습니당,5,2021-03-03,나이아신아마이드,"['새로', '나온', '제품', '이고', '세', '일도', '하고', '있길래', '구매', '해보았습니다', '마침', '에센스', '야', '되는', '타이밍', '이어서', '요', '아이', '로', '선택', '했어요', '평', '도', '좋더라구요', '손등', '에', '한', '방울', '발라', '봤는데', '흡수', '력', '무엇', '끈', '적임', '도', '없고', '금방', '흡수', '되어', '버렸어요', '좋', '습', '니당']"
4,쫀득하니 흡수도 빠르고 좋아요~~~~,5,2021-03-02,나이아신아마이드,"['쫀득하', '니', '흡수', '도', '빠르고', '좋아요']"
5,촉촉함이 남다르네요 크림도 너무좋아요,5,2021-03-02,나이아신아마이드,"['촉촉함이', '남다르네요', '크림', '도', '너무', '좋아요']"
6,저는 쫀쫀한 세럼을 좋아하는 편인데 이니스프리 그린티 씨드 세럼은 그 기대를 저버리지 않네요. 기초화장후 세럼을 바르면 피부가 한껏 촉촉해져서 탄력이 생기는 것 같습니다. 앞으로도 이 제품을 쓰고 싶고 가격또한 괜찮아서 참 좋습니다.,5,2021-03-02,나이아신아마이드,"['저', '는', '쫀쫀', '한', '세', '럼', '을', '좋아하는', '편', '인데', '이니스프리', '그린티', '씨드', '세', '럼', '은', '그', '기대', '를', '저', '버리지', '않네요', '기초', '화장', '후', '세', '럼', '을', '바르면', '피부', '가', '한껏', '촉촉해져서', '탄력', '이', '생기는', '것', '같습니다', '앞', '으로도', '이', '제품', '을', '쓰고', '싶고', '가격', '또한', '괜찮아서', '참', '좋습니다']"
7,할인할 때 하나 더 샀어요. 작은 사이즈 또 주니 넘넘 좋네요.ㅎㅎ 일단 바르고 자면 트러블 같은 것도 안 생기도 너무 촉촉해져요. 주름 개선에도 효과가 있는 것 같아요. 2~3통 쓴 것 같은데 미간에 있던 주름이 옅어지는 느낌이네요.,5,2021-03-02,나이아신아마이드,"['할인', '할', '때', '하나', '더', '샀어요', '작은', '이즈', '또', '주니', '넘', '넘', '좋네요', '일', '바르고', '자면', '트러블', '같은', '것', '도', '안', '생기', '도', '너무', '촉촉해져요', '주름', '개선', '에도', '효과', '가', '있는', '것', '같아요', '통', '쓴', '것', '같은데', '미', '간', '에', '있던', '주름', '이', '옅어지는', '느낌이네요']"
8,끈적임없이 피부에 밀착되고 오랫동안 촉촉하게 유지되네요. 건강한 피부가 되는듯 해요,5,2021-03-02,나이아신아마이드,"['끈', '적임', '없이', '피부', '에', '밀착', '되고', '오랫동안', '촉촉하게', '유지', '되네요', '건강한', '피부', '가', '되는듯', '해', '요']"
9,좋아요 ㅎㅎ 괜찮아요 ㅎㅎ 좋아요 괜찮아요 좋아용 좋네요 괜찮아요 ㅎㅎ 좋아요 괜찮아요 좋아용 좋네요 괜찮아요 ㅎㅎ 좋아요 괜찮아요 좋아용 좋네요 괜찮아요 ㅎㅎ 좋아요 괜찮아요 좋아용 좋네요 괜찮아요 ㅎㅎ 좋아요 괜찮아요 좋아용 좋네요 괜찮아요 ㅎㅎ 좋아요 괜찮아요 좋아용,5,2021-03-02,나이아신아마이드,"['좋아요', '괜찮아요', '좋아요', '괜찮아요', '좋아용', '좋네요', '괜찮아요', '좋아요', '괜찮아요', '좋아용', '좋네요', '괜찮아요', '좋아요', '괜찮아요', '좋아용', '좋네요', '괜찮아요', '좋아요', '괜찮아요', '좋아용', '좋네요', '괜찮아요', '좋아요', '괜찮아요', '좋아용', '좋네요', '괜찮아요', '좋아요', '괜찮아요', '좋아용']"
