,review,point,date,ingre,token_review
0,Good,5,2016-01-28,프로폴리스,[]
1,항상 영양크림만 발랐는데~ 이거랑 같이 바르니까~ 더 보습이 잘 되는 거 같아요~,5,2016-01-29,프로폴리스,"['항상', '영양', '크림', '만', '발랐는', '데이', '거', '랑', '같이', '바르니까', '더', '보습', '이', '잘', '되는거', '같아요']"
2,ㅂㅌㅅyeufsusududifdudys7eeuduificviudiidifififudfiifjjfkjfiideurijtjf,5,2016-01-30,프로폴리스,[]
3,잘받았어요.쿠폰 적용해서 착한 가격에 잘구입했네요. 잘쓸께요. 많이 파시고 번창하세요.,4,2016-01-30,프로폴리스,"['잘', '받았어요', '쿠폰', '적', '용해서', '착한', '가격', '에', '잘', '구입', '했네요', '잘쓸께요', '많이', '파시', '고', '번창', '하세요']"
4,좋아요,5,2016-02-01,프로폴리스,['좋아요']
5,제 피부가 예민한 편이라 화장품이나 폼클렌징을 피부에 맞지 않은 것으로 바꾸면 바로 트러블이 나거든요.... 특히 화이트닝제품은 쓰기도 어렵구요...ㅠ.ㅠ 근데 이 제품은 진정되는데 정말 효과가 있고 좋더라구요~,5,2016-02-02,프로폴리스,"['제', '피부', '가', '예민', '한편', '이라', '화장품', '이나', '폼', '클', '렌징', '을', '피부', '에', '맞지', '않은것으로', '바꾸면', '바로', '트러블', '이나', '거든요', '특히', '화이트', '닝', '제품', '은', '쓰기', '도', '어렵구요', '근', '데이', '제품', '은', '진정', '되는데', '정말', '효과', '가', '있고', '좋더라구요']"
6,수고수고하세요,3,2016-02-04,프로폴리스,"['수', '고수', '고', '하세요']"
7,수고하세요,3,2016-02-04,프로폴리스,"['수고', '하세요']"
8,"anc,avkhvnlshvm,znvlsnwjyhmenfkhvjs.vjlfvhlw.vjslv;.ws",3,2016-02-05,프로폴리스,[]
9,"처음 써보는데, 좋을것 같아요.",5,2016-02-12,프로폴리스,"['처음', '써', '보는데', '좋을것', '같아요']"
10,처음 써보는데 좋은것 같아요.,5,2016-02-12,프로폴리스,"['처음', '써', '보는데', '좋은', '것', '같아요']"
