,review,point,date,ingre,token_review
0,"3통째 재구매입니다
✨진정
이 제품의 진정력은 무엇보다 스킨팩을 할 때 빛을 발하는 것 같아요🌷 여드름을 짜고 난 후나 진정이 필요해서 스킨팩을 하고 나면 그 전보다 나아진 것을 느낄 수 있었습니다!
✨좁쌀 여드름
사실 좁쌀 여드름에 좋다는 걸 듣고 구매한 제품입니다😮 좁쌀 여드름은 사실 각질제거와 수분 공급이 필수라 함께 병행해야 효과가 큰 것 같아요! 이 제품만으로 모든 좁쌀을 없앨 순 없지만 분명 도움이 됩니다! 저도 효과는 보았지만 좁쌀 박멸!! 이정도는 아니었어요😖
✨사용법
솜으로 사용해보고 손으로도 사용해본 결과, 손으로 바르는 게 더 나은 것 같아요🌷솜으로 사용하면 생각보다 피부에 무리가 가는 것 같더라구요..ㅠ 오히려 손으로 사용한 뒤에 좁쌀 여드름이 더 준 것 같아요!! 스킨팩 할 경우에만 솜 사용!! 합니다💓
✨재구매
솔직히 비싼 건 사실이에요 ㅠㅠㅠ 세일할 때만 삽니다.. 세일 자주해주세요~~!!! 다 쓰면 재구매 할 거예욤",5,2021-03-04,머그워트,"['통째', '재구매', '입니다진', '정이', '제품', '의', '진정', '력', '은', '무엇', '보다', '스킨', '팩', '을', '할', '때', '빛', '을', '발', '하는', '것', '같아요', '여드름', '을', '짜고', '난', '후', '나', '진정', '이', '필요해서', '스킨', '팩', '을', '하고', '나면', '그', '보다', '나아진', '것', '을', '느낄', '수', '있었습니다', '좁쌀', '여드름', '실', '좁쌀', '여드름', '에', '좋다는', '걸', '듣고', '구매', '한', '제품', '입니다', '좁쌀', '여드름', '은', '실', '각질', '제거', '와', '수분', '공급', '이', '필수', '라', '함께', '병행', '해야', '효과', '가', '큰', '것', '같아요', '이', '제품', '만으로', '모든', '좁쌀', '을', '없앨', '순', '없지만', '분명', '도움', '이', '됩니다', '저', '도', '효과', '는', '보았지만', '좁쌀', '박멸', '이', '정도', '는', '아니었어요', '용법', '솜', '으로', '용', '해보고', '손', '으로도', '용', '해본', '결과', '손', '으로', '바르는', '게', '더', '나은', '것', '같아요', '솜', '으로', '용하면', '생각', '보다', '피부', '에', '무리', '가', '가는', '것', '같더라구요', '오히려', '손', '으로', '용한', '뒤', '에', '좁쌀', '여드름', '이', '더', '준', '것', '같아요', '스킨', '팩', '할', '경우', '에만', '솜', '용', '합니다', '재구매', '솔직히', '비싼', '건', '실', '이에요', '세', '일', '할', '때', '만', '삽니다', '세', '일', '자주', '해주세요', '다', '쓰면', '재구매', '할', '거예욤']"
1,진정템을 찾다가 베스트셀러이길래 주문해 보았어요,5,2021-03-04,머그워트,"['진정', '템', '을', '찾다가', '베스트셀러', '이길래', '주문', '해', '보았어요']"
2,"예전부터 사고 싶었던 제품인데.. 이번에 세일 기간에 거의 40% 할인 들어가서 샀어요~~ 

일단 너무 좋아요 !! 

팩으로 사용해도 좋고 미스트 대신에 사용해도 좋고 

*** 피부 트러블 진정 + 열감 해수에 도움 되는 에센스구요 

***향은 은은한 쑥향이 나는데.. ( 향이 예매하신분들은 매장에서 테스트 해보시는게 좋을거같아요) 

***** 처음에는 촉촉한 느낌 있는데 전혀 끈적 느낌 없구 흡수 너무 너무 잘 되서 계속 바르고 싶어요 ㅋㅋ 피부속에 성분 채워주는 느낌이 바로 느끼고

**** 피부 예민하고 피부 성분이 필요할때 이거 강추천 드려요 !!
 피부 진정 시켜주는거 확실히 볼수 있구요 끈적 없으면서 피부속 촉촉~~~ 

너무 좋아요!! S2",5,2021-03-04,머그워트,"['예', '부터', '고', '싶었던', '제품', '인데', '이번', '에', '세', '일', '기간', '에', '거의', '할인', '들어가서', '샀어요', '일', '너무', '좋아요', '팩', '으로', '용해도', '좋고', '미스트', '대신', '에', '용해도', '좋고', '피부', '트러블', '진정', '열', '감', '해수', '에', '도움', '되는', '에센스', '구', '요', '향', '은', '은은한', '쑥향', '이', '나는데', '향', '이', '예매', '하', '신분', '들', '은', '매장', '에서', '테스트', '해보시는게', '좋을거', '같아요', '처음', '에는', '촉촉한', '느낌', '있는데', '혀', '끈', '적', '느낌', '없구', '흡수', '너무', '너무', '잘', '되서', '계속', '바르고', '싶어요', '피부', '속', '에', '성분', '채워주는', '느낌', '이', '바로', '느끼고', '피부', '예민하고', '피부', '성분', '이', '필요할', '때', '이', '거', '강', '추천', '드려요', '피부', '진정', '시켜주는거', '확실히', '볼수', '있구요', '끈', '적', '없으면서', '피부', '속', '촉촉', '너무', '좋아요']"
3,"제가 매일매일 쓰고있는제품이예요
항상 토너처럼 화장솜에 묻혀서 사용하고있는데 하고나면 피부가 되게 쫀득해지고 진정되는 느낌이어서 너무 즇았어요

날씨 건조하거나 트러블올라왔을때 사용하면 좋을거같아요",5,2021-03-03,머그워트,"['제', '가', '매', '일', '매일', '쓰고있는', '제품', '이', '예요', '항상', '토너', '처럼', '화장', '솜', '에', '묻혀서', '용하고있는데', '하고나면', '피부', '가', '되게', '쫀득', '해지고', '진정', '되는', '느낌', '이어서', '너무', '즇았', '어', '요', '날씨', '건조하거나', '트러블', '올라왔을', '때', '용하면', '좋을거', '같아요']"
4,"몇번째 재구매인지 모를정도로 계속 구매하고 있는 제품이에요. 솜에 적셔서 팩처럼 사용해도 된다고는 하지만 그렇게 쓰다보니까 너무 제품을 빨리쓰게되더라구요. 그래서 요즘은 닦토다음에 손에다가 덜어서 얼굴에 착착발라주고있어요. 여러번 레이어해서 발라줘요. 정말 촉촉하고 계속 발라도 얼굴이 계속 흡수하더라구요. 저녁에 그렇게 해주고 크림까지 발라주고 자면 정말 그 다음알 피부가 좀 쫀쫀하다고 해야되나 느낌이 달라요. 
전 건성에 가까운 피부라 레이어를 해서 발라주지만 건성이 아닌분들은 한두번만 발라도 될거같아요. 이번 올리브영세일에서 아주 득템해서 기분좋아요ㅋㅋㅋ",5,2021-03-03,머그워트,"['몇번', '째', '재', '구매', '인지', '모를', '정도', '로', '계속', '구매', '하고', '있는', '제품', '이에요', '솜', '에', '적셔서', '팩', '처럼', '용해도', '된다고는', '하지만', '그렇게', '쓰다', '보', '니까', '너무', '제품', '을', '빨리', '쓰게', '되더라구요', '그래서', '요즘', '은', '닦', '토다', '음', '에', '손', '에다가', '덜어서', '얼굴', '에', '착착', '발라주고있어요', '여러', '번', '레이어', '해서', '발라줘요', '정말', '촉촉하고', '계속', '발라', '도', '얼굴', '이', '계속', '흡수', '하더라구요', '저녁', '에', '그렇게', '해주고', '크림', '까지', '발라주고', '자면', '정말', '그', '다음', '알', '피부', '가', '좀', '쫀쫀', '하다고', '해야되', '나', '느낌', '이', '달라', '요', '건성', '에', '가까운', '피부', '라', '레이어', '를', '해서', '발라주지만', '건성', '이', '아닌', '분', '들', '은', '한두', '번만', '발라', '도', '될거', '같아요', '이번', '올리브영', '세', '일', '에서', '아주', '득템', '해서', '기분', '좋아요']"
5,5통째 사용하고 있어요 그만큼 순하고 좋아요!,5,2021-03-02,머그워트,"['통째', '용하고', '있어요', '그만큼', '순하고', '좋아요']"
6,벌써 3통째 쓰고있는 것 같아요. 제 피부에 잘 맞아서 잘 사용중입니다. 사은품으로 주신 작은 사이즈도 팔면 좋을것 같아요. 본품은 들고다니기는 너무 커서 ㅠㅠ,5,2021-03-02,머그워트,"['벌써', '통째', '쓰고있는', '것', '같아요', '제', '피부', '에', '잘', '맞아서', '잘', '용', '중', '입니다', '은품', '으로', '주신', '작은', '이즈', '도', '팔면', '좋을것', '같아요', '본', '품', '은', '들고다니', '기는', '너무', '커서']"
7,"아임프롬 제품은 몇 통 째 쓰는지도 모르겠을 정도로 많이 쓰고 있어요! 진정에 좋아해서 사 봤는데 아주 드라마틱하게 효과가 있기 보다는 비교적 데일리 진정 케어 및 보습에 좋은 에센스라고 생각해요!
그래도 용량이 많아서 데일리 에센스로 쓰기도 하고 가끔은 2분의 1 화장솜 같은 것에 적셔서 얼굴에 긴급 진정 팩으로 간단하게 사용하곤 합니다! 아니면 마찬가지로 솜에 적셔서 스킨 닦토 대용으로 쓰고, 한번 더 에센스처럼 흡수 시켜주는 것도 보습력도 채워주면서 좋더라구요~!
 제형은 완전 물처럼 묽기보다는 약간의 점성이 느껴져요! 하지만 무덥지는 않은 제형이라서 피부타입에 상관없이 골고루 추천해 드릴 수 있을 것 같네요! 
 또한 저도 얼굴에 안맞는 제품을 쓰면 바로 피부에 뾰루지가 나거나 뒤집히는 예민한 피부인데 아임프롬 머그워트 쑥 에센스는 그런적이 한번도 없어서 안심하고 써요! 다음에는 머그워트 팩도 구매해서 써 보고 싶네요! 만약 진정보다 보습을 더 찾으시는 분은 무화과 라인도 추천드려요!",5,2021-03-01,머그워트,"['아', '임', '프롬', '제품', '은', '몇', '통', '째', '쓰는지도', '모르겠을', '정도', '로', '많이', '쓰고', '있어요', '진정', '에', '좋아해서', '봤는데', '아주', '드라마틱하게', '효과', '가', '있기', '보다는', '비교', '적', '데', '일리', '진정', '케어', '및', '보습', '에', '좋은', '에센스', '라고', '생각', '해요', '그래도', '용량', '이', '많아서', '데', '일리', '에센스', '로', '쓰기', '도', '하고', '가끔', '은', '분', '의', '화장', '솜', '같은', '것', '에', '적셔서', '얼굴', '에', '긴급', '진정', '팩', '으로', '간', '하게', '용하곤', '합니다', '아니면', '마찬가지', '로', '솜', '에', '적셔서', '스킨', '닦', '토', '대용', '으로', '쓰고', '한번', '더', '에센스', '처럼', '흡수', '시켜주는', '것', '도', '보습', '력', '도', '채워주면서', '좋더라구요', '제', '형', '은', '완', '물', '처럼', '묽기보다는', '약간', '의', '점성', '이', '느껴져요', '하지만', '무덥지는', '않은', '제', '형', '이라서', '피부', '타입', '에', '상관없이', '골고루', '추천', '해', '드릴', '수', '있을', '것', '같네요', '또한', '저', '도', '얼굴', '에', '안', '맞는', '제품', '을', '쓰면', '바로', '피부', '에', '뾰루지', '가', '나거나', '뒤집히는', '예민한', '피부', '인데', '아', '임', '프롬', '머그', '워트', '쑥', '에센스', '는', '그런', '적', '이', '한번', '도', '없어서', '안심', '하고', '써요', '다음', '에는', '머그', '워트', '팩', '도', '구매', '해서', '써', '보고', '싶네요', '만약', '진정', '보다', '보습', '을', '더', '찾으시는', '분', '은', '무화과', '라인', '도', '추천', '드려요']"
8,일단 정말 순하네요 그리고 열나는 피부에 진정효과도 있는것 같아요,4,2021-02-28,머그워트,"['일', '정말', '순하네요', '그리고', '열나는', '피부', '에', '진정', '효과', '도', '있는것', '같아요']"
9,"벌써 몇 통 째인지
모르겟습니다.
가격이 저렴한 편은 아닌데
닥토 후에 두 세번씩
도포해주다 보니까
금방 금방 쓰게 됩니다.
근데 보습, 진정효과가 좋아서
아끼지 않고 쓰고 있어요.
여행용도 주셔서 
요긴하게 쓰고 있습니다.
여름에는 이 제품
네 다섯 번 씩 발라서
속수분 채워줬엇는데,
메이크업 전에 수분 채우기 좋았어요.
겨울엔 너무 건조해서
머그워트 2번 해주고
다른 에센스랑 크림 많이 덧발라 주는데,
향도 좋고 그동안 잘 맞게 썻던 제품이라
딱히 교체하지 앙ㅎ고
꾸준히 쓰는 제품입니다.
가격이 조금만 내리면 좋겟지만
세일할 때 잘 맞춰서 사요",5,2021-02-28,머그워트,"['벌써', '몇', '통', '째인지', '모르겟습니다', '가격', '이', '저렴한', '편', '은', '아닌데', '닥토', '후', '에', '두', '세번', '씩', '도포', '해주다', '보', '니까', '금방', '금방', '쓰게', '됩니다', '근데', '보습', '진정', '효과', '가', '좋아서', '아끼지', '않고', '쓰고', '있어요', '여행', '용도', '주셔서', '요긴', '하게', '쓰고', '있습니다', '여름', '에는', '이', '제품', '네', '다섯', '번', '씩', '발라', '서', '속', '수분', '채워', '줬', '엇', '는데', '메이크업', '에', '수분', '채우기', '좋았어요', '겨울', '엔', '너무', '건조해서', '머그', '워트', '번', '해주고', '다른', '에센스', '랑', '크림', '많이', '덧', '발라', '주는데', '향', '도', '좋고', '그동안', '잘', '맞게', '썻던', '제품', '이라', '딱히', '교하', '지', '앙', '고', '꾸준히', '쓰는', '제품', '입니다', '가격', '이', '조금', '만', '내리면', '좋겟지', '만세', '일', '할', '때', '잘', '맞춰서', '요']"
