,review,point,date,ingre,token_review
0,늘쓰던거라 좋습니다~,5,2016-03-15,갈락토미세스,"['늘', '쓰던거라', '좋습니다']"
1,너무너무좋아요 에센스 냄새 너무 좋아요 냄새에 취합니다 또구매할게요,5,2016-04-08,갈락토미세스,"['너무', '너무', '좋아요', '에센스', '냄새', '너무', '좋아요', '냄새', '에', '취', '합니다', '또', '구매', '할게요']"
2,좋아요. 좋아요. 좋아요.,4,2016-06-14,갈락토미세스,"['좋아요', '좋아요', '좋아요']"
3,정말 피부결 정리해주면서 촉촉해져요,3,2016-06-15,갈락토미세스,"['정말', '피', '부결', '정리', '해주면서', '촉촉해져요']"
4,피테라 에센스 자주 이용합니다.,5,2016-07-13,갈락토미세스,"['피테라', '에센스', '자주', '이', '용합니다']"
5,배송 빠르고 좋네요,5,2016-07-21,갈락토미세스,"['배송', '빠르고', '좋네요']"
6,벌써 3병째네요 비싼것만 빼고는 100%만족합니다.,5,2016-08-16,갈락토미세스,"['벌써', '병', '째네요', '비싼것만', '빼고는', '만족합니다']"
7,정말 잘 고른듯,5,2016-09-12,갈락토미세스,"['정말', '잘', '고른듯']"
8,fresh i like it,4,2016-10-04,갈락토미세스,[]
9,좋은제품~^^잘받았습니다사업번창하세요~,5,2016-10-05,갈락토미세스,"['좋은', '제품', '잘', '받았습니다', '사업', '번창', '하세요']"
10,믿고 쓰는 제품입니다,4,2016-10-07,갈락토미세스,"['믿고', '쓰는', '제품', '입니다']"
11,샘플도 충분하고 배송도 빨라요,4,2016-10-31,갈락토미세스,"['샘플', '도', '충분하고', '배송', '도', '빨라요']"
12,정말 배송이 엄청느렸어요... 와...,2,2016-12-10,갈락토미세스,"['정말', '배송', '이', '엄청', '느렸어요', '와']"
13,가격도 만족스럽고 상담도 친절하게 해주셔서 좋았습니다. 다음달에도 구매하고 싶은데 계속 판매하시면 좋겠습니다. ^^ 다만..한진택배..배송메세지 완전 무시해요. 택배사가 대한통운이면 100점 드리겠네요.,5,2016-12-11,갈락토미세스,"['가격', '도', '만족스럽고', '상담', '도', '친절하게', '해주셔서', '좋았습니다', '다음', '달', '에도', '구매', '하고', '싶은데', '계속', '판매', '하시면', '좋겠습니다', '다만', '한진택배', '배송', '메세지', '완전', '무시', '해', '요', '택배', '사가', '대', '한', '통운', '이면', '점', '드리겠네요']"
14,여자친구에게 선물해주고 여자친구가 제품을 사용하고 2일후 몰라보게 달라지더군요 강추합니다,5,2016-12-13,갈락토미세스,"['여자친구', '에게', '선물', '해주고', '여자친구', '가', '제품', '을', '사용', '하고', '일후', '몰라', '보게', '달라지더군', '요강', '추합니다']"
15,좋아요 생각보다ㅎ,5,2016-12-16,갈락토미세스,"['좋아요', '생각', '보다']"
16,항상 쓰는...이번엔 내돈 주고 샀네요ㅋ,5,2016-12-16,갈락토미세스,"['항상', '쓰는', '이번', '엔', '내', '돈', '주고', '샀네요']"
17,ㅅ쳐챠략,4,2017-01-02,갈락토미세스,['쳐챠략']
18,비싼 화장품 잘 산거 같아요,4,2017-01-10,갈락토미세스,"['비싼', '화장품', '잘산거', '같아요']"
19,새로 나왔길래 집에 있는데 쟁여둘려고 구매했아여 사은품 마스크가 맘에 들어서요,4,2017-01-12,갈락토미세스,"['새로', '나왔길래', '집', '에', '있는데', '쟁', '여', '둘려고', '구매', '했아여', '사은', '품', '마스크', '가', '맘', '에', '들어서요']"
20,선물포장 감사합니다 감사합니다,5,2017-01-26,갈락토미세스,"['선물', '포장', '감사합니다', '감사합니다']"
21,샘플도 많이 주시고 ㅎㅎㅎㅎ 넘. 감사해용 ㅎㅎㅎㅎㅎ 앞으로도 자주 이용할게요 ㅋㅋ랑콤만 쓰다가 처음으로 sk2 써보는데 기대되네요~~~,4,2017-02-02,갈락토미세스,"['샘플', '도', '많이', '주시', '고', '넘', '감사해용', '앞', '으로도', '자주', '이', '용할게', '요랑', '콤', '만', '쓰다가', '처음', '으로써', '보는데', '기대', '되네요']"
22,엄마 사드렸는데 완전 좋아하시네요홍콩에서 온건데 빨리왔어요 매번 백화점가셨는데 만족하시네요,5,2017-02-08,갈락토미세스,"['엄마', '사', '드렸는데', '완전', '좋아하시네요', '홍콩', '에서', '온건데', '빨리', '왔어요', '매번', '백화점', '가셨는데', '만족하시네요']"
23,두말이 필요없죠. 잘쓰고 있습니다!!!!,5,2017-02-09,갈락토미세스,"['두', '말', '이', '필요없죠', '잘쓰고있습니다']"
24,이 에쎈스 쓸 때와 안 쓸 때 얼굴색이 달라요^^,4,2017-02-10,갈락토미세스,"['이', '에', '쎈', '스', '쓸', '때', '와', '안', '쓸', '때', '얼굴', '색', '이', '달라', '요']"
25,배송도 빠르고 저렴하게 구매했습니다 잘쓰겠습니다,5,2017-02-12,갈락토미세스,"['배송', '도', '빠르고', '저렴하게', '구매', '했습니다', '잘쓰겠습니다']"
26,안쓸수 없는 에센스^^,5,2017-02-20,갈락토미세스,"['안', '쓸수', '없는', '에센스']"
27,자꾸 돌아오게되는 스킨이에요.피부정리가 되는것같아 이것만 찾게되는듯,4,2017-02-20,갈락토미세스,"['자꾸', '돌아오게', '되는', '스킨', '이에요', '피부', '정리', '가', '되는것', '같아이것만', '찾게', '되는듯']"
28,역시 에스케이2 이름값해요 이곳에서 2번 구매했어요^^,5,2017-02-22,갈락토미세스,"['역시', '에스케이', '이름', '값해', '요', '이', '곳', '에서', '번', '구매', '했어요']"
29,늘 쓰던거 저렴하게 샀어요. 좋은제품 판매감사드려요!,5,2017-02-24,갈락토미세스,"['늘', '쓰던거', '저렴하게', '샀어요', '좋은', '제품', '판매', '감사', '드려요']"
30,좋아요,3,2017-02-25,갈락토미세스,['좋아요']
31,330ml는 플라스틱 용기인가봅니다ㅠ향기 별루;;처음 써보는 제품이라 꾸준히 써보구 효과를 기대해 봅니다 쓸때마다 이 향 어쩔~ㅋ,2,2017-02-26,갈락토미세스,"['는', '플라스틱', '용기', '인가', '봅니다', '향기', '별', '루', '처음', '써', '보는', '제품', '이라', '꾸준히', '써', '보구', '효과', '를', '기대', '해봅니다', '쓸', '때', '마다', '이향', '어쩔']"
32,배송이 쪼금늦지만 포장잘되서왔어요,5,2017-02-28,갈락토미세스,"['배송', '이', '쪼금늦', '지만', '포장', '잘되', '서', '왔어요']"
33,정품 맞나요?유통기한 표시는 어디에 있나요?,4,2017-03-02,갈락토미세스,"['정품', '맞나요', '유통', '기한', '표시', '는', '어디', '에', '있나요']"
34,저렴하게 구입했어요,5,2017-03-02,갈락토미세스,"['저렴하게', '구입', '했어요']"
35,항상잘쓰고있습니다.,5,2017-03-06,갈락토미세스,"['항상', '잘쓰고있습니다']"
36,겁나좋네요,5,2017-03-09,갈락토미세스,"['겁나', '좋네요']"
37,"제품만 비닐에 돌돌싸 보내는 센스~하지만 인터넷 최저가라 뭐라 할 수가 읍따~가격은 현대백화점 21,9000원 붙어 있따~참고로 면세가는 250ml에 19만원~",5,2017-03-09,갈락토미세스,"['제품', '만', '비닐', '에', '돌돌', '싸', '보내는', '센스', '하', '지만', '인터넷', '최저', '가라', '뭐라', '할수가', '읍', '따', '가격', '은', '현대', '백화점', '원', '붙어있', '따', '참고', '로', '면세', '가는에', '만원']"
38,해외배송이라 오래걸릴거라 생각했는데 생각보다 빨리받았어요십년넘게 에센스는 요아이로 쓰고있어요에센스로는 갑이네요잘쓸게요,5,2017-03-11,갈락토미세스,"['해외', '배송', '이라', '오래', '걸릴거라', '생각', '했는데', '생각', '보다', '빨리', '받았어요', '십년', '넘게', '에센스', '는', '요', '아이', '로', '쓰고있어요', '에센스', '로는', '갑이네요', '잘쓸게요']"
39,저렴하게 잘샀습니다 좋아요저렴하게 잘샀습니다 좋아요,5,2017-03-11,갈락토미세스,"['저렴하게잘', '샀습니다', '좋아요', '저렴하게잘', '샀습니다', '좋아요']"
40,굿 굿 굿,5,2017-03-12,갈락토미세스,['굿굿굿']
41,배송 엄청 빠르네요,5,2017-03-13,갈락토미세스,"['배송', '엄청', '빠르네요']"
42,엄마 선물하려고 삿어요좋아하시네요,5,2017-03-14,갈락토미세스,"['엄마', '선물', '하', '려고', '삿', '어', '요', '좋아하시네요']"
43,늘 쓰던가라서 믿고 주문했습니다.,5,2017-03-14,갈락토미세스,"['늘', '쓰던가', '라서', '믿고', '주문', '했습니다']"
44,잘받았습니다 고맙습니다,5,2017-03-14,갈락토미세스,"['잘', '받았습니다', '고맙습니다']"
45,예전에 쓰다가 안？㎢쨉？ 다시 써볼려구요~~그런데 캡이 없는게 좀 그러네요,4,2017-03-18,갈락토미세스,"['예', '전', '에쓰', '다', '가안', '쨉다시', '써', '볼려', '구', '요', '그런', '데캡', '이', '없는게', '좀', '그러네요']"
46,잘 받았습니다...싸게 잘 샀습니다...많이 파세요...,4,2017-03-20,갈락토미세스,"['잘', '받았습니다', '싸게잘', '샀습니다', '많이', '파세요']"
47,감사합니다^^,5,2017-03-20,갈락토미세스,['감사합니다']
48,제일 가격 좋은거 같아요 계속 쓰는 제품이라 너무 좋습니다 ~^^,4,2017-03-20,갈락토미세스,"['제', '일', '가격', '좋은', '거', '같아요', '계속', '쓰는', '제품', '이라', '너무', '좋습니다']"
