,나이,성별,건성,지성,모름,건조함,과잉피지,여드름,좁쌀,홍조&예민,복합성,기미&잡티,미백앰플,수분라이트,수분앰플,쑥앰플,진정앰플
0,3.0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,3.0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
2,4.0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
3,1.0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1
4,1.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
5,4.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
6,2.0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0
7,3.0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
8,3.0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
9,1.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
10,5.0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
11,4.0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
12,6.0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
13,4.0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
14,2.0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
15,3.0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
16,2.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
17,4.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
18,2.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
19,3.0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
20,6.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
21,2.0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1
22,3.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
23,3.0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
24,4.0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1
25,3.0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
26,4.0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1
27,2.0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0
28,3.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
29,2.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
30,5.0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
31,3.0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1
32,8.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
33,4.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
34,4.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
35,6.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
36,5.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
37,6.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
38,5.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
39,5.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
40,3.0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
41,6.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
42,3.0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1
43,5.0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0
44,5.0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1
45,2.0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
46,4.0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
47,1.0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1
48,5.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
49,4.0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0
50,4.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
51,3.0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1
52,3.0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1
53,4.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
54,3.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
55,3.0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1
56,6.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
57,3.0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
58,5.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
59,2.0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
60,1.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
61,6.0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
62,3.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
63,6.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
64,3.0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
65,6.0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1
66,3.0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1
67,4.0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0
68,5.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
69,3.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
70,3.0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
71,2.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
72,8.0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0
73,3.0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
74,2.0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1
75,4.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
76,2.0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1
77,2.0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
78,2.0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1
79,4.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
80,4.0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
81,7.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
82,4.0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
83,4.0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1
84,8.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
85,5.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
86,4.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
87,4.0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0
88,2.0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0
89,1.0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1
90,3.0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1
91,4.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
92,3.0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1
93,2.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
94,3.0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
95,4.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
96,3.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
97,2.0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1
98,4.0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
99,5.0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
100,3.0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1
101,3.0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1
102,2.0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
103,5.0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1
104,3.0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1
105,4.0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1
106,3.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
107,3.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
108,5.0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
109,3.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
110,2.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
111,1.0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1
112,3.0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1
113,3.0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1
114,4.0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1
115,7.0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
116,5.0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1
117,6.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
118,4.0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
119,8.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
120,4.0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0
121,4.0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1
122,3.0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
123,2.0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1
124,2.0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1
125,5.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
126,2.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
127,2.0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
128,4.0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1
129,5.0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1
130,3.0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1
131,5.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
132,3.0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1
133,2.0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1
134,2.0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1
135,2.0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1
136,5.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0
137,3.0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1
138,3.0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
139,3.0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1
140,4.0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1
141,4.0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
142,3.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
143,2.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
144,6.0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
145,5.0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
146,3.0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1
147,4.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
