,content,date,like,place,tags
0,"@reve_vcds #리그램 -백번 말로 좋다고 하는 것보다 직접 한번 써봐야 알겠죠? 일주일만에 달라지는 피부를 경험하실수 있게 준비했습니다.REVE 1기 체험단 모집!프리미엄 비타민C 세럼, 무료 체험할 기회 지금입니다!-* 기미,주근깨,잡티,트러블 때문에 고민이신분* 투명하고 깨끗한 피부를 원하시는분* 미백 화장품에 효과를 못보신분* 주름때문에 고민이신분* 피부에 생기가 없고 활렬이 떨어지신분-*모집기간 : 2021.1.19~2021.1.24-*모집인원 : 10명-*참여 방법1.@reve_vcds 공식 인스타그램 팔로우 하기2.본 게시물에 '좋아요♥' 누르기3.팔로우, 좋아요 모두 하셨다면 , 본 게시물 리그램하기-*본 게시물 댓글에 친구소환 시 체험단 선정 확률이 올라갑니다.*당첨자 발표는 1월 25일(일) 개별적 DM을 통해 발표-<체험단 미션>*제품 수령 후, 가이드 기한 내에 상품 리뷰 작성하기 (전/후 사진 필수)*남겨주신 리뷰는 추후 REVE의 마케팅 자료로 사용 될 수 있습니다.*체험단 미션을 수행 하실 수 있는 분들만 참여해주세요 :)-#체험단 #체험단모집 #체험단이벤트 #체험 #체험단모집중 #이벤트 #event #체험이벤트 #미백 #미백앰플 #미백세럼 #기초추천 #기초화장품추천 #보습케어 #주름개선 #항산화세럼 #나노세럼 #비타민c에센스 #비타민c앰플 #비타민c에센스 #비타민c세럼 #세럼추천 #세럼 #비타민세럼 #화장품추천 #비타민화장품 #뷰티스타그램 #진정세럼 #모공세럼 #홈케어",2021-01-23,150,,"['#리그램', '#체험단', '#체험단모집', '#체험단이벤트', '#체험', '#체험단모집중', '#이벤트', '#event', '#체험이벤트', '#미백', '#미백앰플', '#미백세럼', '#기초추천', '#기초화장품추천', '#보습케어', '#주름개선', '#항산화세럼', '#나노세럼', '#비타민c에센스', '#비타민c앰플', '#비타민c에센스', '#비타민c세럼', '#세럼추천', '#세럼', '#비타민세럼', '#화장품추천', '#비타민화장품', '#뷰티스타그램', '#진정세럼', '#모공세럼', '#홈케어']"
1,내일 오픈하는 옥시티컬은요미국 FDA로 부터 승인 받은 어마무시한 제품이에요🚨✨⠀최근 불법유통 짝퉁 옥시티컬을 판매하는 곳이 많다고해요본사 인증 판매처에서만 구매하셔야해요옥시티컬 본사 인증 공식판매처 비쥬빈마켓입니다‼️⠀✔️시중 피부과에서 1병에 18만원 상당✔️에스테틱샵에서는 1병당 10-14만원 상당이에요⠀관리 받는 것이 부담스러웠던 분들께 정말 좋은 기회랍니다✌🏻(1세트에 5병 9만원대)⠀💎옥시티컬 바이알키트 효과순도 100% 실크 펩타이드 섬유+코어 펩타이드보이지 않는 그물막 형성으로 피부를 팽팽하게 만들어 주어요⠀💎1제(큰병)+2제(작은병)섞어서 사용하는 방식으로 1병당 대략 일주일 사용x5병총 1박스당 한달 사용 가능한 풀구성입니다🙆🏻‍♀️오늘 자정에 만나요😘#비쥬빈마켓x옥시티컬..#진주카페#샤넬앰플#옥시티컬#옥시티컬바이알키트#고농축앰플#미백앰플#히알루론산#히알루론산앰플#앰플공구#화이트닝#안티에이징,2021-03-03,"1,635",,"['#비쥬빈마켓x옥시티컬..', '#진주카페', '#샤넬앰플', '#옥시티컬', '#옥시티컬바이알키트', '#고농축앰플', '#미백앰플', '#히알루론산', '#히알루론산앰플', '#앰플공구', '#화이트닝', '#안티에이징']"
2,"#협찬 ✏️Hydra: 남극의 추위를 견뎌낸 수분 발표 미생물, 수도알테로모나스 발효추출물 성분으로 건조하고 당기는 피부에 즉각적으로 수분을 공급해 촉촉하고 밸런스 있는 피부로 가꾸어주는 수분 집중 앰플! 수분을 가득 머금은 반투명 에센스 타입의 텍스처라서 요즘 같이 건조한 날씨에 딱이에요! 제일 제가 추천하는 앰플이에요!✏️Calming: 민감, 예민한 피부를 잠재우는 감초뿌리가루 성분으로 피부를 즉각 진정시키고 균형을 잡아주는 동시에 거친 피부를 촉촉하고 청정하게 가꾸는 진정 앰플! 감초 빛을 띄는 연노랑 에센스 타입의 텍스처로 듬뿍 바르고 자면 아침에 확실히 진정된 피부를 경험하실게요✏️Pore: 모공 처짐의 원인인 활성산소로부터 피부를 보호하는 황벽나무껍질추출물 성분이 각질 피지 케어를 통해 모공수렴을 도와 매끈쫀쫀 피부로 가꾸어주는 모공 앰플! 촉촉하게 피부에 스며드는 백색 에멀젼 타입의 텍스처라서 평소에 손이 자주 가는 앰플!✏️VitaminC: 멜라닌 생성을 억제하는 비타민 C 유도체와 미백 기능성 성분 아이아신아마이드 성분이 잡티를 케어해 화사한 피부로 가꾸어주는 미백 앰플! 비타민이 가득한 투명 에센스 타입의 텍스처라 이 앰플이 가장 인기가 많을 것 같아요✏️Propolis: 프로폴리스와 꿀추출물 성분이 함유되어 피부에 영양을 부여하고 미백 기능성 성분 나이아신아마이드, 주름 개선 기능성 성분아데노신으로 탄력과 화사함을 되찾아주는 영양 앰플! 영양 가득 고농축 반투명 세럼 타입의 텍스처! 🎁이 5가지의 다양한 세럼이 가성비 좋은 굉장히 저렴한 가격으로 출시되었다고 해요!🎁게다가 가격은 저렴하지만 성분은 걱정할 거 없이 아주아주 좋다는 것!❗️현재 할인 이벤트 중이니 좋은 기회 놓치지 마세요❗️16000원→4000원#포마랩 #웰릭 #앰플 #앰플추천 #미백앰플 #비타민앰플 #수분앰플 #보습앰플 #물광앰플 #수분앰플추천 #미백앰플추천#비타민C앰플#화이트닝앰플#진정앰플#비타민씨앰플#비타C앰플#진정앰플 #인플루언서 #followforfollowback #좋반 #좋아요 #좋아요테러 #첫줄좋반 #첫줄반사 #선팔하면맞팔 #맞팔100 #카페투어 #패션스타그램 #오늘뭐입지",2021-03-07,292,,"['#협찬', '#포마랩', '#웰릭', '#앰플', '#앰플추천', '#미백앰플', '#비타민앰플', '#수분앰플', '#보습앰플', '#물광앰플', '#수분앰플추천', '#미백앰플추천', '#비타민C앰플', '#화이트닝앰플', '#진정앰플', '#비타민씨앰플', '#비타C앰플', '#진정앰플', '#인플루언서', '#followforfollowback', '#좋반', '#좋아요', '#좋아요테러', '#첫줄좋반', '#첫줄반사', '#선팔하면맞팔', '#맞팔100', '#카페투어', '#패션스타그램', '#오늘뭐입지']"
3,"김고은의 피부가 빛나는 이유 #링클바운스 #블레미쉬앰플화사한 피부에 대한 고민, 블레미쉬 앰플과 함께 싹- 날리기가려지지 않는 기미와 잡티를 싹💨칙칙한 피부에 대한 스트레스도 싹💨미백과 보습 & 진정까지 한번에 싹💨The reason her skin is shiny #wrinkle bounce # Blemish ampoule. You can erase your worry about shiny skin with Blemish ampoule. Erase uncovered frecklesErase stress of dull skinErase worry about whitening, moisturizing and relaxing#링클바운스 #가히앰플 #김고은앰플 #성분플렉스",2021-02-02,"1,886",,"['#링클바운스', '#블레미쉬앰플화사한', '#wrinkle', '#링클바운스', '#가히앰플', '#김고은앰플', '#성분플렉스']"
4,"벌써 한통 뚝딱 클리어🤚🏻이름도 너무 예쁜 살구앰플 !요 아이 왠지 제가 너어무 홍보를 안 하고 있는듯한 느낌인데.. 또 고객님들께 혼날꺼 같구먼요🙄( 제가 저희 제품 홍보 너무 안 한다고 자주 혼나요ㅋㅋㅋ )제 생각에는 가장 오랜 기간 투자가 필요한 제품이모공 그리고 미백쪽인것 같아요☝🏻진정제품들은 일주일 안에도 드라마틱한 효과를 보여주는 경우도 많으나, 미백 & 모공쪽은 짧게는 3개월적어도 반년이상은 보고 홈케어를 시작해주셔야 합니다 :) 제 최대 고민이 기미 & 잡티라저도 아주 장기간 (최소1년) 저희 살구앰플을 쓰면서지켜볼 생각입니다🤔요즘 뭐 7-8일만에 잡티가 싹 다 사라졌다는그런 과장광고의 제품들이 많더라구요?그러면 노벨상 가야지요😅전 세계 피부과 망해야지요😱레이져 업체들 전부 문 닫아야지요오..그런 과장광고에는 속지 않으시길 바라며..저와 함께 장기전에 들어가실 분들 딱 기다려주세요!우선 제가 이 제품을 1년정도 테스트해보면서 느낀점은확실히 톤은 조금 빠르게 맑아지는게 금방 눈에 확 보였어요:)그치만 그 밖에 많은 효과들은천천히 인내심을 가지고 꾸준히 임해주세요 :)하루아침에 생긴 뾰루지는 며칠 신경써서 관리만잘 해주면 뿅 하고 사라지지만,미백은 아주아주 섬세한 관리가 필요한 라인입니다🙏🏻다음주부터 저와 함께 차근차근 공부해보실까유? :)ㅎㅎ #모어벨라 #살구앰플 #미백앰플 #미백기능성앰플#톤업크림버리기프로젝트 😎근데 저.. 한 이틀 인스타 안 했더니한 한달만에 업데이트 하는 기분이에요 ㅎㅎㅎ🤣낼부터 우리 다시 매일 만나용😍",2021-02-14,273,,"['#모어벨라', '#살구앰플', '#미백앰플', '#미백기능성앰플', '#톤업크림버리기프로젝트']"
5,"#유료광고 X @klalab_kr홈케어 시작 !톤업 미네랄 패드클랜징으로 다 지워지지 않는 메이크업 잔여물까지 관리해주고 미세먼지까지 닦아주며 마스크로 인한 민감성 트러블부분을 부드럽게 닦아주면 다음날 가라앉아요 !비타 화이트닝 앰플민감성피부도 순하게 작용해서 모든 피부에 적합할 것 같아요.톤업미백, 어린기미, 어린잡티등 재생에 도움이 된다고 해요 !톤업 미네랄 패드로 스킨 겸 피부정돈 후 비타 화이트닝 앰플을 발라주면 민감성 트러블 고민도 없어지고 피부톤업도 된답니당 🙂#화이트닝 #톤업패드 #미백앰플 #클라랩",2021-02-13,"7,897",,"['#유료광고', '#화이트닝', '#톤업패드', '#미백앰플', '#클라랩']"
6,며칠이지만밀가루 안먹고음료수 먹고 싶으면 탄산수에 바나나식초 타먹고전..탄산수만 못먹겠어요😭 맛이 음서..돼지입맛 다 됨..🐽일단 감춰진 콧대가 다시 살아나고 있어요이제 두턱턱선과 얼굴라인을 살려보아야 겠어요!좋은 거 발라도이너뷰티도 참 중요하다는 걸요즘 많이 느껴요내몸이 건강해야 예뻐지는 법고객님과 함께 다이어트 결심했어요몸도 피부도 건강하게 예뻐지자며함께 하실 분 계신가욧😆#밀가루대신밥#현미곤약밥시켜놓고안먹음#언젠가는먹을거라며,2021-01-22,158,,"['#밀가루대신밥', '#현미곤약밥시켜놓고안먹음', '#언젠가는먹을거라며']"
7,"#유료광고 지만 꿀템 소개! & 이벤트 (종료)오늘부터 이니스프리 빅세일이라 추천템 하나 알려드려요.  이니스프리에는 수많은 애정템들이 있지만,그 중에서도 제가 진심 추천하고 싶은 제품은작년에 마켓까지 진행했던 요 트루케어 비타민C 20 #잡티앰플 💛  지금까지도 간증 후기를 종종 보내주시는 분들이 많은, 그만큼 찐 존좋템인데요!피부톤이 환해지고 매끈매끈 결관리도 되는 제품이라 진짜 추천해요!이번에 30%나 할인한다고 하니 지금이 쟁일 기회!이거 말고도 여러가지 꿀템들 많이 할인하니기초 쟁이러 이니스프리로 달려가 봅시다아🌱🌿🍃✔️ 재롱이분들을 위한 이벤트도 가져왔어요. ✔️ (종료) **이벤트 참여 종료됐어요** 19일 오후에 당첨자 댓글로 발표 할게요💜2/17 지금부터 오늘 자정(24:00)까지!이니스프리에서 가장 애정하는 제품 한 가지와, 그 이유를 댓글로 남겨 주시면추첨을 통해 10분께 재유‘s 원픽! 트루케어 비타민 앰플 정품을 쏩니다.🔥당첨자 발표는 이번 주에 댓글로 발표할게요.@dmil.official 공식 계정에서 개별 DM으로 주소 취합 후 차주 이니스프리 측에서 발송 될 예정입니다:)그럼 많은 참여 부탁드려용! 💚  @innisfree.instalog#이니스프리 #빅세일 #이니스프리세일 #이니스프리추천템#트루케어 #비타민앰플 #미백앰플 #앰플추천",2021-02-17,510,,"['#유료광고', '#잡티앰플', '#이니스프리', '#빅세일', '#이니스프리세일', '#이니스프리추천템', '#트루케어', '#비타민앰플', '#미백앰플', '#앰플추천']"
8,"#광고피부정돈 잘 해주는 패드와 다크써클도 잘 잡아주는 앰플,,♥#화이트닝 #톤업패드 #미백앰플 #클라랩",2021-02-08,"828
님 
외 1,305명
이 좋아합니",,"['#광고피부정돈', '#화이트닝', '#톤업패드', '#미백앰플', '#클라랩']"
9,"𝗥 𝗘 𝗩 𝗜 𝗘 𝗪@reumcong_이미 옆에 수분크림 바닥 보이는 게 찐 추천임을 증명함 ^.^정제수 대신 편백나무 추출물, 갈락토미세스 발효 여과물이 들어있어 피부 보습과 각질제거, 피부결 관리 기본으로 최고 ⠒̫⃝지금 띠아느 공식 인스타그램에서 #띠아느클렌징세트이벤트 진행 중이니 많은 참여 부탁드립니다.",2021-03-08,36,더현대서울,['#띠아느클렌징세트이벤트']
